sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
0, 716344758, 0.6507939, 0.0010948791, -0.008162992, -0.7592098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 
1, 716361425, 0.6508361, 9.596469E-4, -0.008250986, -0.75917286, 0.10915642976760864, 0.11399375647306442, 9.885466575622559, 1.0269603729248047, -0.7597751617431641, 0.48685264587402344, 0, 
2, 716378092, 0.65095156, 7.187653E-4, -0.008371986, -0.7590728, 0.08300594985485077, 0.11333867162466049, 9.928472518920898, 1.0269603729248047, -0.7589298486709595, 0.5056906938552856, 0, 
3, 716394759, 0.650985, 5.945947E-4, -0.008408924, -0.7590438, 0.09532863646745682, 0.12817035615444183, 9.910995483398438, 0.9712271690368652, -0.7622083425521851, 0.4975331425666809, 0, 
4, 716411426, 0.65099466, 5.324181E-4, -0.008501988, -0.75903463, 0.0920640304684639, 0.12907665967941284, 9.899041175842285, 0.958907425403595, -0.794173002243042, 0.49101462960243225, 0, 
5, 716428093, 0.65102315, 5.177301E-4, -0.008628464, -0.75900865, 0.08237356692552567, 0.12448862940073013, 9.909089088439941, 1.0540202856063843, -0.8097454905509949, 0.5352221727371216, 0, 
6, 716444760, 0.65106285, 5.278739E-4, -0.008751013, -0.75897324, 0.0939096137881279, 0.1330079585313797, 9.913575172424316, 1.0728071928024292, -0.8376889228820801, 0.4860585629940033, 0, 
7, 716461427, 0.6511215, 5.5901485E-4, -0.008885097, -0.75892144, 0.0953303650021553, 0.12333653122186661, 9.90714168548584, 1.1064751148223877, -0.7344313859939575, 0.4899773895740509, 0, 
8, 716478094, 0.6511781, 5.8306585E-4, -0.009010869, -0.7588714, 0.09199093282222748, 0.13293729722499847, 9.900668144226074, 1.0573370456695557, -0.7024154663085938, 0.5006450414657593, 0, 
9, 716494761, 0.6512045, 6.063813E-4, -0.009139989, -0.758847, 0.0958668515086174, 0.1222207173705101, 9.90614128112793, 1.0319676399230957, -0.7187180519104004, 0.5400373935699463, 0, 
10, 716511428, 0.6512682, 6.30264E-4, -0.009261964, -0.7587908, 0.0887560173869133, 0.11881372332572937, 9.899725914001465, 1.0246167182922363, -0.6638043522834778, 0.5309320688247681, 0, 
11, 716528095, 0.65132356, 6.492585E-4, -0.00938611, -0.75874186, 0.09893698990345001, 0.12170035392045975, 9.896899223327637, 1.0491154193878174, -0.7139156460762024, 0.49248743057250977, 0, 
12, 716544762, 0.65139127, 6.6427706E-4, -0.009497083, -0.75868237, 0.08466332405805588, 0.1313343495130539, 9.919750213623047, 0.9729431867599487, -0.6491153836250305, 0.4801676273345947, 0, 
13, 716561429, 0.65147597, 6.7252334E-4, -0.009631684, -0.7586079, 0.09563681483268738, 0.1347511112689972, 9.898612022399902, 1.0408425331115723, -0.8155084252357483, 0.5074836611747742, 0, 
14, 716578096, 0.6515321, 6.864966E-4, -0.009764777, -0.75855803, 0.08882924914360046, 0.1332239955663681, 9.896769523620605, 1.0351052284240723, -0.7639116048812866, 0.48687824606895447, 0, 
15, 716594763, 0.65158683, 7.031097E-4, -0.009904844, -0.75850916, 0.09559345990419388, 0.12337005138397217, 9.90317153930664, 1.0719746351242065, -0.7860921025276184, 0.48521333932876587, 0, 
16, 716611430, 0.6516641, 7.1436976E-4, -0.010038699, -0.75844085, 0.08896692097187042, 0.14775289595127106, 9.94330883026123, 1.025295615196228, -0.777768075466156, 0.5098912119865417, 0, 
17, 716628097, 0.65172964, 7.337975E-4, -0.010170671, -0.75838286, 0.0836917832493782, 0.12585751712322235, 9.90863037109375, 1.019596815109253, -0.7319213151931763, 0.49335822463035583, 0, 
18, 716644764, 0.65180534, 7.493253E-4, -0.0103100445, -0.75831586, 0.10036157816648483, 0.12123826146125793, 9.889331817626953, 1.050626516342163, -0.797541081905365, 0.4828442335128784, 0, 
19, 716661431, 0.65187347, 7.6206494E-4, -0.010445313, -0.7582554, 0.10729139298200607, 0.12156186252832413, 9.895671844482422, 1.0317500829696655, -0.7779473662376404, 0.4574108421802521, 0, 
20, 716678098, 0.6519631, 7.6956407E-4, -0.010577969, -0.75817657, 0.08946101367473602, 0.1200767308473587, 9.91771125793457, 1.0050615072250366, -0.771685004234314, 0.5968079566955566, 0, 
21, 716694765, 0.65205866, 7.824835E-4, -0.010721898, -0.7580924, 0.08416915684938431, 0.12309080362319946, 9.915854454040527, 1.0991625785827637, -0.7998590469360352, 0.5564935803413391, 0, 
22, 716711432, 0.65214425, 7.9325907E-4, -0.010850748, -0.7580169, 0.10128980129957199, 0.1260370910167694, 9.899248123168945, 1.016279935836792, -0.7548831105232239, 0.4901566803455353, 0, 
23, 716728099, 0.65221775, 8.028006E-4, -0.010985095, -0.75795186, 0.10174480825662613, 0.13909918069839478, 9.908276557922363, 1.040727138519287, -0.7763849496841431, 0.44838228821754456, 0, 
24, 716744766, 0.65229577, 8.1505836E-4, -0.0111131035, -0.7578828, 0.09477006644010544, 0.12293029576539993, 9.912076950073242, 1.0090571641921997, -0.7252364158630371, 0.5187532305717468, 0, 
25, 716761433, 0.65238625, 8.3518925E-4, -0.011230451, -0.757803, 0.09050175547599792, 0.12693360447883606, 9.920289993286133, 0.9935998916625977, -0.6375897526741028, 0.5004017353057861, 0, 
26, 716778100, 0.652467, 8.549248E-4, -0.011361508, -0.7577316, 0.0876714214682579, 0.14054423570632935, 9.8972806930542, 1.0638362169265747, -0.704285204410553, 0.4595046043395996, 0, 
27, 716794767, 0.6525601, 8.683662E-4, -0.0114934845, -0.75764936, 0.0778532326221466, 0.13085398077964783, 9.906566619873047, 1.0319037437438965, -0.7458291053771973, 0.5040515065193176, 0, 
28, 716811434, 0.65265596, 8.8312285E-4, -0.011628439, -0.75756484, 0.08997678011655807, 0.12541928887367249, 9.898283958435059, 1.052509069442749, -0.7620930671691895, 0.5433926582336426, 0, 
29, 716828101, 0.652744, 8.987783E-4, -0.0117681315, -0.7574867, 0.08118309825658798, 0.10662144422531128, 9.910407066345215, 1.084307312965393, -0.778702974319458, 0.511402428150177, 0, 
30, 716844768, 0.65283364, 9.128979E-4, -0.011897257, -0.7574075, 0.08430960029363632, 0.10694003105163574, 9.903969764709473, 1.036168098449707, -0.7440105676651001, 0.545006275177002, 0, 
31, 716861435, 0.65291846, 9.264915E-4, -0.0120239435, -0.7573324, 0.08201318234205246, 0.140101358294487, 9.895403861999512, 1.0302003622055054, -0.7402198314666748, 0.4818965792655945, 0, 
32, 716878102, 0.6529981, 9.476559E-4, -0.012145431, -0.75726163, 0.08687108755111694, 0.13854461908340454, 9.894458770751953, 1.0309816598892212, -0.6814643740653992, 0.4324128329753876, 0, 
33, 716894769, 0.6530784, 9.5594884E-4, -0.012270534, -0.7571904, 0.0969911590218544, 0.10295690596103668, 9.89748764038086, 0.9865819811820984, -0.7656916379928589, 0.4477803707122803, 0, 
