sep=,
DeviceTag:,brasGauche,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2022-06-03 20:38:06.000 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2793834607, 0.23040618, -0.5546367, -0.3119045, -0.7362144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.10009765625, 0.26171875, -0.82861328125, 0, 
1, 2793851274, 0.23000829, -0.555098, -0.3113277, -0.7362355, 9.65999984741211, 1.6365437507629395, 2.194490432739258, -5.4088006019592285, -1.9101696014404297, 1.335414171218872, 1.099609375, 0.263671875, -0.82861328125, 0, 
2, 2793867941, 0.2300293, -0.55543834, -0.3110306, -0.73609775, 9.679999351501465, 1.61826753616333, 2.08333420753479, -1.8611211776733398, -1.4502806663513184, 2.379054546356201, 1.10009765625, 0.263671875, -0.82861328125, 0, 
3, 2793884608, 0.2302709, -0.55570805, -0.31085706, -0.7358918, 9.66211986541748, 1.735540509223938, 1.879778265953064, -0.13613148033618927, -1.0771803855895996, 2.980274200439453, 1.09912109375, 0.263671875, -0.830078125, 0, 
4, 2793901275, 0.23058847, -0.5559452, -0.3105603, -0.7357386, 9.652166366577148, 1.8290952444076538, 1.765828251838684, -0.5298499464988708, -0.35490235686302185, 3.681640148162842, 1.0986328125, 0.26220703125, -0.82958984375, 0, 
5, 2793917942, 0.23086607, -0.55612415, -0.30998707, -0.73575807, 9.481325149536133, 1.949948787689209, 1.988539695739746, -2.3572134971618652, 0.9538618326187134, 4.1355743408203125, 1.0966796875, 0.26318359375, -0.83056640625, 0, 
6, 2793934609, 0.23128171, -0.5561033, -0.30936784, -0.73590404, 9.601409912109375, 2.204615354537964, 1.9210505485534668, -2.013901472091675, 2.8146631717681885, 4.384632110595703, 1.09619140625, 0.26513671875, -0.8271484375, 0, 
7, 2793951276, 0.23180565, -0.5562558, -0.3090933, -0.73573935, 9.480286598205566, 2.145908832550049, 1.7069015502929688, 0.5277432799339294, 0.43146514892578125, 4.4781694412231445, 1.09765625, 0.265625, -0.8291015625, 0, 
8, 2793967943, 0.23203138, -0.55690336, -0.30899376, -0.7352197, 9.431862831115723, 2.1548893451690674, 1.5164977312088013, 0.2388448417186737, -4.342351913452148, 3.9180705547332764, 1.09521484375, 0.26708984375, -0.82861328125, 0, 
9, 2793984610, 0.23169322, -0.5579031, -0.3084118, -0.73481274, 9.531892776489258, 2.1926703453063965, 1.5601880550384521, -5.160717010498047, -6.119541168212891, 3.4840774536132812, 1.0966796875, 0.26904296875, -0.82861328125, 0, 
10, 2794001277, 0.23098005, -0.5589268, -0.30719075, -0.7347708, 9.541470527648926, 2.068054437637329, 1.7844136953353882, -10.640864372253418, -4.615948677062988, 3.511573076248169, 1.09228515625, 0.27001953125, -0.830078125, 0, 
11, 2794017944, 0.230232, -0.55986, -0.3058233, -0.73486555, 9.50636100769043, 1.7433547973632812, 1.9875015020370483, -11.659561157226562, -3.4743521213531494, 3.489597797393799, 1.09326171875, 0.271484375, -0.83154296875, 0, 
12, 2794034611, 0.2297245, -0.56066376, -0.30479765, -0.7348378, 9.578262329101562, 1.5882694721221924, 1.9999686479568481, -8.542824745178223, -3.3284482955932617, 3.3109359741210938, 1.09228515625, 0.27099609375, -0.83251953125, 0, 
13, 2794051278, 0.22961545, -0.5613062, -0.30426964, -0.7346001, 9.57344913482666, 1.627095341682434, 1.896857738494873, -3.799208164215088, -3.2742760181427, 3.398158311843872, 1.091796875, 0.27099609375, -0.83154296875, 0, 
14, 2794067945, 0.22966678, -0.5618494, -0.30393425, -0.73430765, 9.603890419006348, 1.8127198219299316, 1.8883395195007324, -1.9349497556686401, -2.9521710872650146, 3.3436803817749023, 1.087890625, 0.2724609375, -0.83154296875, 0, 
15, 2794084612, 0.22966674, -0.5622318, -0.30360562, -0.73415077, 9.61582088470459, 1.999255657196045, 1.8794233798980713, -2.128876209259033, -1.7358752489089966, 2.5080275535583496, 1.0888671875, 0.2724609375, -0.82958984375, 0, 
16, 2794101279, 0.22961167, -0.5624244, -0.30317366, -0.7341989, 9.632463455200195, 2.0129811763763428, 1.8908964395523071, -2.9908971786499023, 0.06270628422498703, 1.9096122980117798, 1.09033203125, 0.27490234375, -0.83154296875, 0, 
17, 2794117946, 0.22949734, -0.56251365, -0.30267376, -0.7343725, 9.592886924743652, 1.9934380054473877, 1.8724911212921143, -3.660310745239258, 1.0528931617736816, 1.46150541305542, 1.08984375, 0.27490234375, -0.83544921875, 0, 
18, 2794134613, 0.22924751, -0.56260216, -0.3021534, -0.7345971, 9.550201416015625, 2.0170938968658447, 1.7967054843902588, -4.394486427307129, 1.003665804862976, 0.772754430770874, 1.08984375, 0.2744140625, -0.83251953125, 0, 
19, 2794151280, 0.22870952, -0.5627744, -0.30159885, -0.7348606, 9.487043380737305, 2.094754934310913, 1.7111151218414307, -5.894596576690674, 0.18563446402549744, -0.43601784110069275, 1.08935546875, 0.2763671875, -0.8369140625, 0, 
20, 2794167947, 0.22767955, -0.56311566, -0.3008663, -0.7352192, 9.404369354248047, 2.0956318378448486, 1.6317964792251587, -9.161049842834473, -1.0395814180374146, -2.031791925430298, 1.09033203125, 0.2744140625, -0.83642578125, 0, 
21, 2794184614, 0.22625034, -0.56363285, -0.29995948, -0.7356348, 9.405107498168945, 1.946743369102478, 1.6311227083206177, -11.981727600097656, -2.2610130310058594, -3.09975266456604, 1.0908203125, 0.2744140625, -0.83740234375, 0, 
22, 2794201281, 0.22455893, -0.5642555, -0.29883096, -0.7361347, 9.438092231750488, 1.7640265226364136, 1.6313878297805786, -14.4563570022583, -2.663236141204834, -3.479398250579834, 1.08984375, 0.27685546875, -0.83984375, 0, 
23, 2794217948, 0.22285244, -0.56485885, -0.29761222, -0.73668426, 9.482537269592285, 1.5776476860046387, 1.6591473817825317, -15.044272422790527, -2.264279842376709, -3.3224434852600098, 1.0888671875, 0.27880859375, -0.8388671875, 0, 
24, 2794234615, 0.2214273, -0.565249, -0.29662699, -0.73721176, 9.5829496383667, 1.4545501470565796, 1.7211867570877075, -12.397616386413574, -1.0522855520248413, -3.206852674484253, 1.09130859375, 0.27734375, -0.8408203125, 0, 
25, 2794251282, 0.22036427, -0.56531405, -0.29602903, -0.73772055, 9.633776664733887, 1.4493592977523804, 1.783128023147583, -8.493570327758789, 0.6718148589134216, -3.5121676921844482, 1.0908203125, 0.2802734375, -0.84326171875, 0, 
