sep=,
DeviceTag:,poignetDroit,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2022-06-03 20:38:06.000 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2793751272, 0.58028746, -0.42213762, 0.5503033, 0.426966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.53125, 0.3828125, 0.5615234375, 0, 
1, 2793767939, 0.5800966, -0.42211273, 0.55009633, 0.42751604, -9.94946002960205, -0.4064314365386963, 0.3835923969745636, -2.93226957321167, -1.6652991771697998, 2.501905918121338, 1.53173828125, 0.3828125, 0.5595703125, 0, 
2, 2793784606, 0.57982683, -0.4221593, 0.54987794, 0.4281165, -9.977561950683594, -0.4484761953353882, 0.31842687726020813, -3.6699674129486084, -1.349546194076538, 2.631570816040039, 1.53271484375, 0.3828125, 0.56103515625, 0, 
3, 2793801273, 0.5794424, -0.42239845, 0.54962385, 0.42872676, -9.976175308227539, -0.48852428793907166, 0.27019116282463074, -4.912772178649902, -0.5195024609565735, 2.1773931980133057, 1.53271484375, 0.38134765625, 0.560546875, 0, 
4, 2793817940, 0.5789926, -0.42287144, 0.54934245, 0.42922878, -9.915433883666992, -0.4342977702617645, 0.2489325851202011, -5.705292701721191, 0.6221005320549011, 0.9767468571662903, 1.5341796875, 0.38037109375, 0.5615234375, 0, 
5, 2793834607, 0.5787567, -0.42338955, 0.5490863, 0.4293642, -9.885048866271973, -0.3274531960487366, 0.27055782079696655, -3.804241180419922, 1.1130317449569702, -1.2104177474975586, 1.53271484375, 0.38134765625, 0.56298828125, 0, 
6, 2793851274, 0.5788518, -0.42383453, 0.5488903, 0.42904732, -9.994158744812012, -0.296947181224823, 0.27060505747795105, -0.6645470857620239, 1.2038674354553223, -3.53525710105896, 1.53125, 0.3857421875, 0.56201171875, 0, 
7, 2793867941, 0.579101, -0.4243551, 0.5487285, 0.42840296, -10.040685653686523, -0.3350839912891388, 0.23389236629009247, 0.8204708695411682, 1.9341367483139038, -5.479325294494629, 1.53076171875, 0.3818359375, 0.56396484375, 0, 
8, 2793884608, 0.5795075, -0.4249585, 0.54850125, 0.42754525, -9.946013450622559, -0.32514387369155884, 0.23422740399837494, 1.5609725713729858, 1.9469561576843262, -7.294177532196045, 1.529296875, 0.384765625, 0.5634765625, 0, 
9, 2793901275, 0.5801363, -0.42549014, 0.548299, 0.42642164, -9.951382637023926, -0.2831142842769623, 0.24166062474250793, 3.5730042457580566, 1.7739169597625732, -8.66334342956543, 1.5283203125, 0.38525390625, 0.5634765625, 0, 
10, 2793917942, 0.5807196, -0.42613682, 0.5480857, 0.4252548, -9.908047676086426, -0.3108748197555542, 0.26696082949638367, 3.112539529800415, 2.3648533821105957, -9.168848991394043, 1.52783203125, 0.388671875, 0.56494140625, 0, 
11, 2793934609, 0.58118844, -0.42686632, 0.54791033, 0.4241073, -9.808526039123535, -0.2208418995141983, 0.2606237530708313, 2.4837605953216553, 3.132761001586914, -8.957597732543945, 1.525390625, 0.388671875, 0.5625, 0, 
12, 2793951276, 0.5815923, -0.4275841, 0.54776376, 0.42301828, -9.737539291381836, -0.22093869745731354, 0.25292035937309265, 2.2036213874816895, 3.2874486446380615, -8.40638542175293, 1.52392578125, 0.39013671875, 0.5625, 0, 
13, 2793967943, 0.5818217, -0.42831835, 0.547664, 0.4220879, -9.695072174072266, -0.22780579328536987, 0.26789596676826477, 1.1627205610275269, 3.7124524116516113, -7.1887946128845215, 1.5234375, 0.39306640625, 0.5654296875, 0, 
14, 2793984610, 0.5818682, -0.42904967, 0.5476265, 0.42132914, -9.670825004577637, -0.2181185483932495, 0.2747211456298828, 0.17072787880897522, 4.135868549346924, -5.777137756347656, 1.5263671875, 0.39306640625, 0.5654296875, 0, 
15, 2794001277, 0.58178306, -0.42969748, 0.54766345, 0.42073813, -9.691736221313477, -0.19696886837482452, 0.3128138482570648, -0.2992716133594513, 4.1916656494140625, -4.191441535949707, 1.521484375, 0.3935546875, 0.56396484375, 0, 
