-113.773373533963+0i,23.1079155948206+0i,89.8207507187928-3.5527136788005e-15i
-74.3225459250201+0i,21.6870203806172+0i,76.8755741487034+3.5527136788005e-15i
-19.2323756264627+8.88178419700125e-16i,35.082105156723+8.88178419700125e-16i,56.5305714896042+0i
43.7296038561627+3.5527136788005e-15i,63.2607804116476+3.5527136788005e-15i,31.3535154160161+0i
96.2239464121495+0i,89.9803881321033-3.5527136788005e-15i,12.4345992431559+4.44089209850063e-16i
128.349881997911+7.105427357601e-15i,97.2918481358949+0i,-1.99479342367927-2.22044604925031e-16i
147.021074767446-7.105427357601e-15i,83.0813671529497-7.105427357601e-15i,-7.57597939165007+0i
158.582630119722+0i,59.5262969092465+5.32907051820075e-15i,-6.04167743955047+0i
166.87212231922+0i,33.6647932962605+0i,0.475706863569831-1.11022302462516e-16i
158.841468679658+0i,-2.91141175975771-1.77635683940025e-15i,12.7736333585652-2.22044604925031e-16i
135.579911779474-7.105427357601e-15i,-51.0581722371337+0i,31.0908041852042+0i
108.033735058899+0i,-98.0826412530233+0i,54.9720692657605+0i
88.2288297114747+0i,-127.776596587583+0i,75.1140175984534+0i
83.0003764344196-3.5527136788005e-15i,-130.610397361859+7.105427357601e-15i,90.4157826186274-3.5527136788005e-15i
92.3446746382693+7.105427357601e-15i,-115.797956686819-7.105427357601e-15i,100.507238032019+3.5527136788005e-15i
112.033098440929-3.5527136788005e-15i,-84.9945685062167+3.5527136788005e-15i,93.2234661338734+0i
125.361859487886+7.105427357601e-15i,-52.0351841714617-1.77635683940025e-15i,75.8268583291686+0i
119.703828766023+0i,-22.0720409649351+4.44089209850063e-16i,56.7813401312598+0i
91.9065356059999+3.5527136788005e-15i,-2.43962062081915-4.44089209850063e-16i,43.4784699535387+3.5527136788005e-15i
53.0917114531+0i,8.44764578767353+0i,31.1944619847216-8.88178419700125e-16i
12.4075848027664+8.88178419700125e-16i,17.1972745733285+8.88178419700125e-16i,14.4710467146734+0i
-9.87002729172277+8.88178419700125e-16i,30.9827853013331+8.88178419700125e-16i,-8.74702293637755+1.33226762955019e-15i
-9.89196945844719+0i,55.2253928527373+0i,-40.4660354476034-1.77635683940025e-15i
14.7179559996569-4.44089209850063e-16i,86.3795745908525-3.5527136788005e-15i,-69.8771086740909+0i
46.4044195093559+0i,110.473502140619+0i,-84.6757106700997-3.5527136788005e-15i
73.3525242305098+0i,116.02969574029+0i,-89.0834723312104+0i
89.471551243648+0i,106.702727688303+3.5527136788005e-15i,-89.3351965554008-3.5527136788005e-15i
95.0972139936034-3.5527136788005e-15i,95.9798869254392+3.5527136788005e-15i,-87.6143492548072+0i
91.5413068313933+3.5527136788005e-15i,93.9212932308901-3.5527136788005e-15i,-81.4226776109249+3.5527136788005e-15i
77.470950408433-3.5527136788005e-15i,93.8485113298978+0i,-66.0712317270372-3.5527136788005e-15i
54.5024019965112+0i,86.1688922344713-3.5527136788005e-15i,-42.4336458181117+0i
31.1272380332232+8.88178419700125e-16i,74.8876359568087+0i,-10.1161920922309+8.88178419700125e-16i
15.635850278077-4.44089209850063e-16i,68.1141539288665-3.5527136788005e-15i,27.685326379203+2.66453525910038e-15i
3.37848489052046+0i,64.4926788879725+3.5527136788005e-15i,64.5005972760337+0i
-15.4303066002061-4.44089209850063e-16i,48.9682711474456-1.77635683940025e-15i,95.0058906637981+0i
-47.2376592428465-3.5527136788005e-15i,23.4876853969041-8.88178419700125e-16i,115.844420851388+3.5527136788005e-15i
-78.8625865763002+0i,-6.15522012644321+2.22044604925031e-16i,125.323837176456+0i
-97.0699282869039-3.5527136788005e-15i,-26.264346865565-1.77635683940025e-15i,121.432807322797+7.105427357601e-15i
-91.2847099943703-3.5527136788005e-15i,-35.1520535730015-1.77635683940025e-15i,104.206642350757-3.5527136788005e-15i
-64.6785962232182+0i,-26.6802209512882+8.88178419700125e-16i,80.8124145603461+0i
-30.2402458047302-8.88178419700125e-16i,-9.63891465570864+0i,48.881580989294+3.5527136788005e-15i
4.1850807098582+4.44089209850063e-16i,3.23698328220288+0i,16.3237349253445+4.44089209850063e-16i
29.8231905965672+0i,11.2849174411734+0i,-10.0588848888312+4.44089209850063e-16i
51.3119030175333+1.77635683940025e-15i,19.6718018241715+8.88178419700125e-16i,-27.190618183464+0i
66.4234247844875-3.5527136788005e-15i,29.5651704447169-1.77635683940025e-15i,-46.0649592042072+0i
77.4259633319236+0i,42.1121351227425+1.77635683940025e-15i,-64.7696420582051-3.5527136788005e-15i
86.8823021111562+3.5527136788005e-15i,52.3140692208622+1.77635683940025e-15i,-67.7476817835545+3.5527136788005e-15i
91.7675586721832+0i,57.8706165493177-1.77635683940025e-15i,-50.9287201513814+1.77635683940025e-15i
88.666720923883+0i,50.2414358027876+0i,-27.0605159995058+8.88178419700125e-16i
71.7773859795556+0i,35.6161929975308+0i,-10.6736483344697+0i
44.1119093088694+0i,21.2310517457165-8.88178419700125e-16i,-1.35234686049215-1.66533453693773e-16i
14.3496845670823+0i,15.5399430814045+0i,5.24970810386124+4.44089209850063e-16i
-13.4009350081524+1.33226762955019e-15i,19.1122326253892+0i,13.119294942834+0i
-29.9863723058916-1.77635683940025e-15i,28.6614708902905-8.88178419700125e-16i,18.9460299365201+0i
-41.6606085239507+0i,37.9312374324816+1.77635683940025e-15i,19.4300949158531+0i
-45.9742452513793+1.77635683940025e-15i,48.3579122238255+0i,15.2210817846751-4.44089209850063e-16i
-45.0563472237391+0i,61.4785833183481-1.77635683940025e-15i,11.4478779275534+4.44089209850063e-16i
-33.2111082731265+0i,73.3592569541476+3.5527136788005e-15i,8.18342356959895+0i
-21.8589873886898-8.88178419700125e-16i,75.5147151684201-3.5527136788005e-15i,2.95124930475625+0i
-10.4994272620593-8.88178419700125e-16i,65.7057037363216+0i,-2.79316191764857+0i
-0.000710731389691688-4.44089209850063e-16i,53.6147421421023+0i,-2.05300116541345+0i
13.588686348947-8.88178419700125e-16i,45.2046987548059+0i,3.17658627707616-4.44089209850063e-16i
24.9737997847706+0i,43.1486184611013+1.77635683940025e-15i,5.53748141196879+0i
35.0350680524757+1.77635683940025e-15i,43.8539069570303-1.77635683940025e-15i,2.55693112329106+2.77555756156289e-17i
43.3351703490777+0i,44.6858899114063+1.77635683940025e-15i,-0.590353903549189+0i
48.7488243289299+0i,42.7348083725569+0i,0.786198342152956-1.66533453693773e-16i
53.4630370591314-1.77635683940025e-15i,37.6468269221963+0i,3.77277748327597-2.22044604925031e-16i
58.9036070266655-1.77635683940025e-15i,31.6081428849937+0i,3.09013103104084-2.22044604925031e-16i
61.8628827256751+0i,23.5452156265935+0i,-2.3622097287502-1.11022302462516e-16i
61.613592748577-1.77635683940025e-15i,14.6005390535643+0i,-6.04613297146126+0i
54.7477092862203-1.77635683940025e-15i,6.38507112944936-4.44089209850063e-16i,-4.62889850730571-1.11022302462516e-16i
46.4493404312172+1.77635683940025e-15i,2.20046702929954+0i,2.42490328138159+1.11022302462516e-16i
39.6460239934158-1.77635683940025e-15i,2.32669108787008+5.55111512312578e-17i,13.7760940605793+0i
34.3910688228528+1.77635683940025e-15i,8.12574223023302-2.22044604925031e-16i,30.4229416944381+8.88178419700125e-16i
26.3868578866448+0i,13.8516001930116+0i,43.3097191586163-1.77635683940025e-15i
18.7054356981704+0i,21.5023510366644+0i,49.2641475180159+1.77635683940025e-15i
20.0327912051622+8.88178419700125e-16i,30.8720084511035+0i,47.3216895657506-1.77635683940025e-15i
24.7045486728432-8.88178419700125e-16i,37.1229934604079+0i,39.4248265250438+1.77635683940025e-15i
26.6745893460066+8.88178419700125e-16i,34.4694578825851+0i,26.4068371085356-8.88178419700125e-16i
29.6098290499376+1.77635683940025e-15i,31.6719301617218+0i,14.1042950311482-4.44089209850063e-16i
34.1632226521925-1.77635683940025e-15i,37.8537755610485+0i,6.1545775643648+0i
39.7256418433948+1.77635683940025e-15i,48.3717497122677+0i,-2.33227809633619-3.33066907387547e-16i
41.8893436361104+0i,54.1247543027362+0i,-12.5838243627808-8.88178419700125e-16i
46.7968608965123+1.77635683940025e-15i,55.1837045287577+0i,-16.1643605050946+8.88178419700125e-16i
45.0826464912727+0i,52.0302878451314-1.77635683940025e-15i,-9.25928444446333-4.44089209850063e-16i
37.4580993773791+0i,43.0879749469155-1.77635683940025e-15i,2.40890552658037+0i
29.076350097853-8.88178419700125e-16i,38.5569272697009+0i,14.1177599582073+4.44089209850063e-16i
29.8849495372146+8.88178419700125e-16i,41.9316268815684+1.77635683940025e-15i,19.2387398008891-8.88178419700125e-16i
32.2547839088088+0i,46.6485886533658+0i,21.2924083771282+8.88178419700125e-16i
31.8325580464+8.88178419700125e-16i,44.0553139265752-1.77635683940025e-15i,21.9915733335275-8.88178419700125e-16i
27.8719427546144-8.88178419700125e-16i,35.8351286353454+0i,24.9490910959371+8.88178419700125e-16i
20.4768696484959+8.88178419700125e-16i,22.6449603559386-8.88178419700125e-16i,24.6675235153769-8.88178419700125e-16i
14.6294153594448-2.22044604925031e-16i,10.5374393632619+4.44089209850063e-16i,16.5052525166106+8.88178419700125e-16i
17.8344404370434-4.44089209850063e-16i,6.96065788389863+5.55111512312578e-17i,10.5954825491342+0i
34.7017701940376+1.77635683940025e-15i,11.938468358873+0i,9.70487341797506-4.44089209850063e-16i
50.1670489264584-1.77635683940025e-15i,11.474682957239+0i,12.4034315929542+4.44089209850063e-16i
52.133397132829+0i,-2.69331806458479+0i,13.7147890407101+0i
44.2994213783512+0i,-16.9082157094073+0i,13.1379419036323+0i
45.6564804726726+1.77635683940025e-15i,-17.6420980920714-8.88178419700125e-16i,12.3844960758886-4.44089209850063e-16i
59.5835483395957+3.5527136788005e-15i,2.16046591249681-4.44089209850063e-16i,12.925837530277+4.44089209850063e-16i
71.9060417610532-3.5527136788005e-15i,18.8832709763613-1.77635683940025e-15i,11.8331302889828-8.88178419700125e-16i
67.4247553632842+0i,23.3640174233226+0i,7.12142813182884+2.22044604925031e-16i
49.2834807970983-1.77635683940025e-15i,20.9993173690869-4.44089209850063e-16i,4.65128789159165+0i
24.9545496203142+8.88178419700125e-16i,24.3518423370728+8.88178419700125e-16i,6.60024899301964+0i
7.92445990566919-2.22044604925031e-16i,38.6453885192766-8.88178419700125e-16i,10.8002133075989-8.88178419700125e-16i
0.0930330084427105+0i,60.1638371012552-1.77635683940025e-15i,12.6643124336988+4.44089209850063e-16i
-4.96036176841121-4.44089209850063e-16i,75.2025136250545+0i,13.8413748297624-8.88178419700125e-16i
-15.2841907265941+0i,66.4733566806694+0i,15.3761542087546+4.44089209850063e-16i
-19.3510905516495-8.88178419700125e-16i,47.1759571782694+3.5527136788005e-15i,13.6238049772115+8.88178419700125e-16i
-15.0378919542025+8.88178419700125e-16i,38.9157478725748+0i,12.116450495534-8.88178419700125e-16i
-13.2701262499834-4.44089209850063e-16i,38.8263414236797-3.5527136788005e-15i,18.0277525694778+8.88178419700125e-16i
-20.5554306033058+8.88178419700125e-16i,32.3793722931343-1.77635683940025e-15i,24.4696620747146+0i
-27.6089118333474-8.88178419700125e-16i,19.3047691399576+8.88178419700125e-16i,25.4956415315823+0i
-24.8740124349301-8.88178419700125e-16i,4.89654354645637+2.22044604925031e-16i,15.6800629958388+0i
-16.4044584989771+0i,-9.89126783849835+4.44089209850063e-16i,6.66790043873191+2.22044604925031e-16i
-3.84994513418725+0i,-25.1796369797619-8.88178419700125e-16i,8.57441078737687+4.44089209850063e-16i
13.7805897931609-8.88178419700125e-16i,-33.6212009720736+0i,18.8449322575493+0i
39.8030146375203+0i,-30.9714491443026+1.77635683940025e-15i,30.6828434684249+0i
53.8668560346391+0i,-23.3392527724834-8.88178419700125e-16i,37.1839584606768+1.77635683940025e-15i
39.8123185282489+1.77635683940025e-15i,-25.8306927544493+0i,36.928747204281+0i
11.2775777580798+5.55111512312578e-16i,-38.5233557325223-1.77635683940025e-15i,28.0848802635921-1.77635683940025e-15i
-2.80286051349464-4.44089209850063e-16i,-47.2357236883894+3.5527136788005e-15i,19.604530541619+4.44089209850063e-16i
15.559059989954-8.88178419700125e-16i,-45.3259573958538-1.77635683940025e-15i,22.5678937733465-8.88178419700125e-16i
43.2562637286408+1.77635683940025e-15i,-34.2142113520533+0i,37.4907513216054-1.77635683940025e-15i
61.9802965820493+0i,-29.704566569332+0i,50.6699903556948+0i
60.4708099256008-1.77635683940025e-15i,-26.7281386128156+0i,46.528370890376+0i
55.146632526883+0i,-24.8134026536675+8.88178419700125e-16i,26.8427157822954-8.88178419700125e-16i
56.1430328861661+0i,-18.7028096645362+0i,0.645453149443706+0i
67.9712862549073+0i,-18.8513732130475+0i,-16.9053091942084+1.77635683940025e-15i
92.5850047117925+3.5527136788005e-15i,-26.2912848141491+1.77635683940025e-15i,-22.8928289107235+1.77635683940025e-15i
122.576261189678+7.105427357601e-15i,-30.5523199721061-1.77635683940025e-15i,-22.5544717331173-8.88178419700125e-16i
148.885619907561+0i,-37.2771812429857+8.88178419700125e-16i,-15.8388778971474-8.88178419700125e-16i
162.861056719108+7.105427357601e-15i,-50.110399804913-1.77635683940025e-15i,-8.63839439306874+4.44089209850063e-16i
183.803115411246+0i,-70.1119785849679+3.5527136788005e-15i,0.788753796290094+0i
207.634352958019+7.105427357601e-15i,-77.2361848061709+3.5527136788005e-15i,18.4352861348012+0i
222.649351050974-7.105427357601e-15i,-79.9666189304722+0i,45.3601689379622+0i
211.263379658059+1.4210854715202e-14i,-100.178805247739+3.5527136788005e-15i,64.6903660072111+0i
193.418967154954-7.105427357601e-15i,-146.094052342981+0i,75.0344315360746+3.5527136788005e-15i
208.931932864124-7.105427357601e-15i,-183.469760961336+0i,96.0910054789226-7.105427357601e-15i
258.738927751419+0i,-192.571922390988+0i,134.271754755279+0i
303.127981074913-1.4210854715202e-14i,-205.973595131847+1.4210854715202e-14i,165.410842196881+0i
326.229022950179-1.4210854715202e-14i,-257.380470197543+0i,182.006469342867+7.105427357601e-15i
344.733233034582-1.4210854715202e-14i,-320.989969791432+0i,197.6022208253+7.105427357601e-15i
374.181289147506+0i,-365.897977019434+0i,213.556223961436-7.105427357601e-15i
393.548701767692+0i,-400.768886241196-1.4210854715202e-14i,225.813915670394+0i
404.503157681283+0i,-430.076900442895+1.4210854715202e-14i,245.090966750641+0i
423.759937809452-1.4210854715202e-14i,-448.455121016851+0i,289.213543611282+1.4210854715202e-14i
435.401335796454+0i,-468.127070468344+0i,348.375030960505+0i
426.364997173502-1.4210854715202e-14i,-517.695560547528+0i,415.193297140213+0i
389.738273645258-1.4210854715202e-14i,-560.383616443963+2.8421709430404e-14i,477.733482885039-1.4210854715202e-14i
360.099704568379+1.4210854715202e-14i,-540.771197648928-5.6843418860808e-14i,529.410396714701+2.8421709430404e-14i
333.906264786901+0i,-456.427626981761+0i,555.716847277806-2.8421709430404e-14i
296.209620320965+0i,-382.425949686572+0i,566.473037342555+2.8421709430404e-14i
241.812031061896+0i,-343.947961099342+1.4210854715202e-14i,581.240628322059+0i
186.012287377905+0i,-312.001138057495+0i,602.211814099099-2.8421709430404e-14i
147.187946438132+7.105427357601e-15i,-252.582440031237+1.4210854715202e-14i,612.496353124971+2.8421709430404e-14i
115.891368992527-3.5527136788005e-15i,-164.027183396214+0i,596.60412645095-2.8421709430404e-14i
86.2764659030036-3.5527136788005e-15i,-55.109445391128+0i,564.466780314582+2.8421709430404e-14i
57.5715044090573+3.5527136788005e-15i,64.2809180047841+0i,522.172682314425+0i
27.9586340506101+1.77635683940025e-15i,160.664511184393+7.105427357601e-15i,472.768363316682-1.4210854715202e-14i
2.00523033676731+0i,227.816227343784+0i,412.65420950388+0i
-37.1775680664277-1.77635683940025e-15i,287.805737570276-1.4210854715202e-14i,351.240750618002+0i
-65.7707929429539+0i,342.645584388908+1.4210854715202e-14i,280.633428517168+0i
-79.3765056343596+0i,382.991352904767+0i,205.495560596068+0i
-80.4639807562835-3.5527136788005e-15i,415.100032732014+0i,127.213684638368-7.105427357601e-15i
-108.029857728622+3.5527136788005e-15i,454.31054283915+2.8421709430404e-14i,47.2488682810877-1.77635683940025e-15i
-152.466582867441+7.105427357601e-15i,487.476734299311+2.8421709430404e-14i,-35.4097725552245+0i
-179.218098255195+0i,503.537510114676+0i,-126.675891850469+0i
-178.753141718097+7.105427357601e-15i,509.603175796087+0i,-215.529735300955+0i
-186.149029851116-7.105427357601e-15i,516.465908762782+0i,-297.244530657573+1.4210854715202e-14i
-218.938955232133+0i,513.323913399215+2.8421709430404e-14i,-359.013833356107-1.4210854715202e-14i
-258.923996558456+0i,502.239881845651+0i,-412.66047211966+1.4210854715202e-14i
-273.824822805169-1.4210854715202e-14i,483.805894329042+0i,-462.038646764808-1.4210854715202e-14i
-254.873517848094-1.4210854715202e-14i,455.421985430188+0i,-507.648730190567+0i
-225.576217264594+0i,424.305565231044-1.4210854715202e-14i,-546.060758840308+2.8421709430404e-14i
-214.97504380236+1.4210854715202e-14i,387.341303730751+0i,-575.323526622191+0i
-223.962293228417+0i,341.929253983519-1.4210854715202e-14i,-586.578186542972+0i
-235.304948334579+0i,289.561589592159+1.4210854715202e-14i,-583.310497858959+2.8421709430404e-14i
-231.956213898934+7.105427357601e-15i,259.008154361665-7.105427357601e-15i,-572.433563299861+0i
-208.610303313777+0i,253.746523159736+1.4210854715202e-14i,-553.014331990185+0i
-174.562731404889-7.105427357601e-15i,252.122288725009+0i,-524.63370778978-2.8421709430404e-14i
-143.43160004471+0i,245.766552579582-7.105427357601e-15i,-485.87004513404+2.8421709430404e-14i
-122.904510422656+0i,242.229770220863+0i,-447.575665564814+1.4210854715202e-14i
-102.817298380346+0i,237.43715259429+7.105427357601e-15i,-408.017330389842-1.4210854715202e-14i
-96.9376000416798+0i,211.06113845543-7.105427357601e-15i,-371.960867724922-1.4210854715202e-14i
-105.715648880123-3.5527136788005e-15i,169.072736962235+0i,-324.199984435896+1.4210854715202e-14i
-120.056459412329+3.5527136788005e-15i,121.986218579419+0i,-267.949499293117-2.8421709430404e-14i
-113.41078048621-3.5527136788005e-15i,91.8937478933031+3.5527136788005e-15i,-208.112982598952+0i
-90.240664911814+0i,85.9010583380728+3.5527136788005e-15i,-170.516746920471+0i
-61.080076272816-1.77635683940025e-15i,92.9278217465269+0i,-152.911025209666+0i
-50.2381182662896+1.77635683940025e-15i,87.1841628662857+0i,-147.407201635955-7.105427357601e-15i
-59.3964226794677-1.77635683940025e-15i,61.0116043233755-3.5527136788005e-15i,-136.067048332001-7.105427357601e-15i
-66.2789749209227+0i,43.9399250547769-3.5527136788005e-15i,-118.974396982574+0i
-52.6166208966481+0i,37.9439303311403-1.77635683940025e-15i,-103.486749443672+3.5527136788005e-15i
-26.3395786558044+0i,31.6679044293334+0i,-92.7479636271705+3.5527136788005e-15i
-14.7224848635648+4.44089209850063e-16i,10.7436207231115+0i,-81.8523429861843-3.5527136788005e-15i
-14.7345889867728+8.88178419700125e-16i,-5.54106571516761+4.44089209850063e-16i,-67.5221034361793-3.5527136788005e-15i
-20.4249356066042+8.88178419700125e-16i,-4.27862323074352-8.88178419700125e-16i,-52.4814777276597+0i
-14.1442634667138+0i,0.850843075510067-8.88178419700125e-16i,-37.1027536999877+1.77635683940025e-15i
-10.3610876390128-2.22044604925031e-16i,2.71951585078769+0i,-24.1488270861928+8.88178419700125e-16i
-11.973901125369+0i,-7.20979836035683+0i,-3.73108985671287-4.44089209850063e-16i
-18.4021134916589+8.88178419700125e-16i,-18.8728915594652-1.33226762955019e-15i,23.3178380920581+0i
-16.2276361152103-8.88178419700125e-16i,-31.5163484515601+1.77635683940025e-15i,49.1504235568235-1.77635683940025e-15i
-2.66279110349599+0i,-35.1644816276998-1.77635683940025e-15i,61.9951389625654+3.5527136788005e-15i
6.79710471497347+4.44089209850063e-16i,-31.7789632158011-8.88178419700125e-16i,55.6203196668616-1.77635683940025e-15i
