-98.9169318366519+0i,-21.0538864687861+0i,113.383288031308+3.5527136788005e-15i
-43.3341810893718+0i,-12.4157438177037+8.88178419700125e-16i,78.0886736889292-3.5527136788005e-15i
14.4056303560671-1.77635683940025e-15i,-5.92291598814514+2.22044604925031e-16i,45.9273213310746+0i
60.4758818091101+0i,-7.93992414311837-4.44089209850063e-16i,19.6951612766579+8.88178419700125e-16i
84.2423422086796+3.5527136788005e-15i,-22.4489359408566+0i,8.50115705833256+6.66133814775094e-16i
87.034793866618+3.5527136788005e-15i,-47.561786372194+1.77635683940025e-15i,14.609082173307+0i
87.6624631943498-3.5527136788005e-15i,-73.0273176710826+3.5527136788005e-15i,32.9996874192038+0i
80.8781276403251+3.5527136788005e-15i,-90.0989618197013-3.5527136788005e-15i,48.5281542533679+1.77635683940025e-15i
68.9524868039506+0i,-97.0484873600059+3.5527136788005e-15i,65.2625706999447+0i
40.6678262429857+0i,-97.2523981118264+0i,80.8714712609263+3.5527136788005e-15i
15.214758272311+2.22044604925031e-16i,-100.053918976492+0i,100.136473126317+0i
-3.24057169740779-2.22044604925031e-16i,-98.4619653921661-3.5527136788005e-15i,122.775177467633-7.105427357601e-15i
-3.68050778901066+0i,-105.40432809309+0i,145.152777667775+7.105427357601e-15i
17.6357073915796+0i,-109.784510597707+0i,147.703806665836+0i
55.1365778440947+0i,-115.083533706341+0i,131.608094978218+0i
73.6969712806779+3.5527136788005e-15i,-99.2200815437291-3.5527136788005e-15i,104.318947021226+0i
46.0829486514232+0i,-65.666783042781+0i,76.9510049557963+3.5527136788005e-15i
-22.4049586097768+1.77635683940025e-15i,-23.6909646571026-4.44089209850063e-16i,42.5304987287382+0i
-84.767604623449+0i,6.60961489339991-4.44089209850063e-16i,0.719669319786862-8.88178419700125e-16i
-118.408016709937-7.105427357601e-15i,27.6132490435238+8.88178419700125e-16i,-39.1610793710008-1.77635683940025e-15i
-114.233403288386+0i,43.5361069562083+1.77635683940025e-15i,-69.6123164055322-3.5527136788005e-15i
-78.6929282809695-3.5527136788005e-15i,55.8850602862135+0i,-83.2926298509014+0i
-25.8349683506622-2.66453525910038e-15i,59.0767622330937-1.77635683940025e-15i,-84.901514237575-3.5527136788005e-15i
25.1487814704945+0i,58.914040031315-1.77635683940025e-15i,-76.0382987730477+0i
55.015017861587+0i,52.3180820572554+1.77635683940025e-15i,-56.1272901149628+0i
65.0670926965272-3.5527136788005e-15i,44.2662712756893-1.77635683940025e-15i,-30.9764722388468+0i
58.9449074053357+0i,37.7729375198902+0i,-7.19152520048981+0i
43.2807807188343+0i,35.253404152394+1.77635683940025e-15i,12.9240654569352+4.44089209850063e-16i
18.0728314297759+0i,32.2220120719594+0i,31.168472111566+8.88178419700125e-16i
-12.5534767480495-8.88178419700125e-16i,30.123208917463-8.88178419700125e-16i,53.8616228549892-1.77635683940025e-15i
-44.9650327047733+0i,31.4158424325334-8.88178419700125e-16i,83.8586660813243+0i
-75.1974972621997+0i,30.1102872664085-1.77635683940025e-15i,114.079748605267-3.5527136788005e-15i
-103.003479481887+0i,27.6566305493491+8.88178419700125e-16i,132.79376885794-1.4210854715202e-14i
-130.755108783628+7.105427357601e-15i,25.135254937595+1.77635683940025e-15i,136.110534222115+7.105427357601e-15i
-153.856181843541-7.105427357601e-15i,21.4796912390356+0i,127.883518268381+0i
-164.008596894592+7.105427357601e-15i,14.9380653695697+0i,116.290661314592+0i
-157.031707755099-7.105427357601e-15i,3.11006721801386-4.44089209850063e-16i,103.471086185302+0i
-136.394111069452+7.105427357601e-15i,-17.1704618239192-4.44089209850063e-16i,89.5722490518233+0i
-107.342100530266-3.5527136788005e-15i,-40.8833367781965+0i,70.5414078215067+3.5527136788005e-15i
-73.5557529320109-3.5527136788005e-15i,-56.6198544819841+0i,45.4276910949692-1.77635683940025e-15i
-43.5041335823331+0i,-56.7206357108003+1.77635683940025e-15i,21.1889114834453+0i
-25.5071908487372+1.77635683940025e-15i,-47.6056789667535+0i,2.06242103723744+4.44089209850063e-16i
