DataRate=60		
DataType=Quaternion
version= 3		
OpenSimVersion= 4.1		
endheader		
time	r_humerus_imu	r_ulna_radius_hand_imu
0	 0.71788913, 0.009288853, 0.007892065, 0.69605076	 0.6507939, 0.0010948791, -0.008162992, -0.7592098
0.016666666666666666	 0.717982, 0.008899326, 0.008192736, 0.6959567	 0.6508361, 9.596469E-4, -0.008250986, -0.75917286
0.03333333333333333	 0.71805155, 0.008665954, 0.008500161, 0.6958841	 0.65095156, 7.187653E-4, -0.008371986, -0.7590728
0.05	 0.7181462, 0.008610773, 0.008652745, 0.6957853	 0.650985, 5.945947E-4, -0.008408924, -0.7590438
0.06666666666666667	 0.7181843, 0.008584232, 0.008738797, 0.6957451	 0.65099466, 5.324181E-4, -0.008501988, -0.75903463
0.08333333333333333	 0.71824986, 0.008579335, 0.008812948, 0.6956767	 0.65102315, 5.177301E-4, -0.008628464, -0.75900865
0.1	 0.71833557, 0.008597771, 0.008888596, 0.69558704	 0.65106285, 5.278739E-4, -0.008751013, -0.75897324
0.11666666666666667	 0.7184188, 0.008614524, 0.008996095, 0.6954994	 0.6511215, 5.5901485E-4, -0.008885097, -0.75892144
0.13333333333333333	 0.7184571, 0.008640387, 0.009109663, 0.695458	 0.6511781, 5.8306585E-4, -0.009010869, -0.7588714
0.15	 0.71858126, 0.008669789, 0.009221688, 0.6953278	 0.6512045, 6.063813E-4, -0.009139989, -0.758847
0.16666666666666666	 0.7187046, 0.0086951135, 0.009335487, 0.69519854	 0.6512682, 6.30264E-4, -0.009261964, -0.7587908
0.18333333333333332	 0.71882045, 0.008701263, 0.009450182, 0.6950772	 0.65132356, 6.492585E-4, -0.00938611, -0.75874186
0.2	 0.71893436, 0.008713056, 0.009585837, 0.6949573	 0.65139127, 6.6427706E-4, -0.009497083, -0.75868237
0.21666666666666667	 0.71896833, 0.00872508, 0.009715753, 0.6949203	 0.65147597, 6.7252334E-4, -0.009631684, -0.7586079
0.23333333333333334	 0.7192406, 0.008735457, 0.009823942, 0.6946367	 0.6515321, 6.864966E-4, -0.009764777, -0.75855803
0.25	 0.71928334, 0.008754978, 0.0099390745, 0.6945907	 0.65158683, 7.031097E-4, -0.009904844, -0.75850916
0.26666666666666666	 0.7194827, 0.008777737, 0.010056581, 0.69438213	 0.6516641, 7.1436976E-4, -0.010038699, -0.75844085
0.2833333333333333	 0.7193014, 0.008782389, 0.010178527, 0.69456816	 0.65172964, 7.337975E-4, -0.010170671, -0.75838286
0.3	 0.71930856, 0.008794046, 0.0103115775, 0.6945586	 0.65180534, 7.493253E-4, -0.0103100445, -0.75831586
0.31666666666666665	 0.7192699, 0.008806831, 0.01043598, 0.69459665	 0.65187347, 7.6206494E-4, -0.010445313, -0.7582554
0.3333333333333333	 0.7192897, 0.008818225, 0.0105689885, 0.694574	 0.6519631, 7.6956407E-4, -0.010577969, -0.75817657
0.35	 0.71925503, 0.008814071, 0.010699318, 0.69460785	 0.65205866, 7.824835E-4, -0.010721898, -0.7580924
0.36666666666666664	 0.7189341, 0.008805171, 0.01083957, 0.694938	 0.65214425, 7.9325907E-4, -0.010850748, -0.7580169
0.3833333333333333	 0.7190576, 0.008812312, 0.010963534, 0.6948082	 0.65221775, 8.028006E-4, -0.010985095, -0.75795186
0.4	 0.7192903, 0.008816885, 0.011084509, 0.69456536	 0.65229577, 8.1505836E-4, -0.0111131035, -0.7578828
0.4166666666666667	 0.7197678, 0.00883242, 0.011198151, 0.69406843	 0.65238625, 8.3518925E-4, -0.011230451, -0.757803
0.43333333333333335	 0.7199726, 0.008840896, 0.011319104, 0.6938539	 0.652467, 8.549248E-4, -0.011361508, -0.7577316
0.45	 0.71976775, 0.008843835, 0.011430507, 0.6940646	 0.6525601, 8.683662E-4, -0.0114934845, -0.75764936
0.4666666666666667	 0.71983266, 0.008849694, 0.011565502, 0.693995	 0.65265596, 8.8312285E-4, -0.011628439, -0.75756484
0.48333333333333334	 0.71977377, 0.0088541685, 0.011693381, 0.6940538	 0.652744, 8.987783E-4, -0.0117681315, -0.7574867
0.5	 0.71984303, 0.008869991, 0.011817814, 0.69397974	 0.65283364, 9.128979E-4, -0.011897257, -0.7574075
0.5166666666666666	 0.719685, 0.008870116, 0.011944729, 0.69414127	 0.65291846, 9.264915E-4, -0.0120239435, -0.7573324
0.5333333333333333	 0.71981305, 0.00887932, 0.012065893, 0.6940063	 0.6529981, 9.476559E-4, -0.012145431, -0.75726163
0.55	 0.71990764, 0.008884727, 0.012193487, 0.693906	 0.6530784, 9.5594884E-4, -0.012270534, -0.7571904
0.5666666666666667	 0.72004, 0.008888225, 0.012310156, 0.69376653	 0.6531667, 9.6682366E-4, -0.012398613, -0.75711215
0.5833333333333334	 0.7200513, 0.008898575, 0.012440975, 0.6937524	 0.6532534, 9.801304E-4, -0.01252545, -0.7570353
0.6	 0.7199148, 0.00889707, 0.012558532, 0.6938919	 0.6533494, 9.897557E-4, -0.012650543, -0.7569502
0.6166666666666667	 0.7200989, 0.008897693, 0.012673025, 0.6936986	 0.6534394, 9.926901E-4, -0.012782927, -0.7568703
0.6333333333333333	 0.72052515, 0.008922096, 0.012792583, 0.69325346	 0.65353763, 0.001008538, -0.012903376, -0.75678355
0.65	 0.7208234, 0.008938198, 0.012906905, 0.692941	 0.65362835, 0.0010267346, -0.0130192265, -0.7567031
0.6666666666666666	 0.7209605, 0.008946501, 0.013031573, 0.69279605	 0.6537173, 0.0010410313, -0.013146728, -0.7566241
0.6833333333333333	 0.7210485, 0.008955188, 0.013148399, 0.69270205	 0.6538142, 0.0010529954, -0.013277967, -0.7565381
0.7	 0.7211147, 0.008955222, 0.013271795, 0.69263077	 0.65391237, 0.0010661604, -0.013395937, -0.7564509
0.7166666666666667	 0.72097725, 0.008950683, 0.013400978, 0.6927714	 0.654002, 0.001079756, -0.0135199595, -0.75637126
0.7333333333333333	 0.72102094, 0.008967075, 0.013522994, 0.69272345	 0.6540992, 0.0010874972, -0.013645988, -0.7562849
0.75	 0.72102755, 0.008968531, 0.0136544155, 0.6927139	 0.6541767, 0.001099258, -0.013776544, -0.75621545
0.7666666666666666	 0.72158873, 0.008974588, 0.01377085, 0.69212687	 0.65425706, 0.0011122593, -0.013897291, -0.7561437
0.7833333333333333	 0.72149384, 0.008968866, 0.013895136, 0.6922234	 0.6543467, 0.0011254441, -0.014016536, -0.756064
0.8	 0.7224481, 0.008995036, 0.01399915, 0.691225	 0.6544391, 0.0011373612, -0.014143445, -0.7559816
0.8166666666666667	 0.7226373, 0.009005342, 0.014114257, 0.6910247	 0.6545346, 0.001151112, -0.014266498, -0.75589657
0.8333333333333334	 0.72293043, 0.009019613, 0.014230685, 0.6907155	 0.65462816, 0.0011684747, -0.014385564, -0.7558133
0.85	 0.72238356, 0.009010802, 0.014363913, 0.6912847	 0.65471137, 0.0011978657, -0.014504757, -0.7557389
0.8666666666666667	 0.7227214, 0.009018627, 0.014475722, 0.6909291	 0.6548004, 0.0012117414, -0.01462593, -0.7556594
0.8833333333333333	 0.72278875, 0.009027364, 0.014596914, 0.690856	 0.65488505, 0.0012314798, -0.014751537, -0.7555836
0.9	 0.72285426, 0.009032253, 0.014715495, 0.69078475	 0.65497303, 0.0012464487, -0.01488022, -0.7555047
0.9166666666666666	 0.7231329, 0.00903853, 0.014825538, 0.69049066	 0.65506727, 0.0012680709, -0.01501544, -0.75542027
0.9333333333333333	 0.72316873, 0.009047357, 0.014943459, 0.6904505	 0.65515995, 0.0012809453, -0.015131778, -0.75533754
0.95	 0.7237308, 0.009061912, 0.015051946, 0.68985885	 0.65524983, 0.0012909833, -0.015250246, -0.7552571
0.9666666666666667	 0.72373587, 0.009059047, 0.015162555, 0.6898511	 0.6553347, 0.0013090764, -0.015376589, -0.755181
0.9833333333333333	 0.7239038, 0.009068176, 0.015274969, 0.68967235	 0.6554209, 0.0013239605, -0.015501618, -0.75510365
1	 0.7240133, 0.009078793, 0.015386064, 0.68955463	 0.655518, 0.0013274511, -0.015628388, -0.7550168
1.0166666666666666	 0.7241662, 0.009088917, 0.015497873, 0.6893915	 0.6555989, 0.0013339142, -0.015750365, -0.75494397
1.0333333333333332	 0.7242527, 0.009087382, 0.0156068085, 0.68929815	 0.6556928, 0.0013434998, -0.015873961, -0.7548598
1.05	 0.724332, 0.009078122, 0.015717495, 0.68921244	 0.65578985, 0.0013485609, -0.01599232, -0.75477296
1.0666666666666667	 0.72442555, 0.009076969, 0.015827132, 0.68911165	 0.6558894, 0.00135732, -0.016109593, -0.754684
1.0833333333333333	 0.7245116, 0.009082804, 0.015939048, 0.6890184	 0.6559821, 0.0013610861, -0.016228426, -0.75460094
1.1	 0.7246718, 0.00908692, 0.016049277, 0.6888474	 0.65608495, 0.0013663177, -0.016336108, -0.75450903
1.1166666666666667	 0.7247901, 0.009109836, 0.016141811, 0.6887206	 0.65618473, 0.0013747122, -0.016452793, -0.75441974
1.1333333333333333	 0.7249756, 0.0091190785, 0.016239097, 0.6885227	 0.65628046, 0.0013754893, -0.016581371, -0.75433373
1.15	 0.7249941, 0.009124881, 0.016345788, 0.68850076	 0.65637416, 0.0013801683, -0.016700514, -0.7542495
1.1666666666666667	 0.72513705, 0.0091381045, 0.016450513, 0.68834746	 0.65647316, 0.0013848152, -0.016820982, -0.75416064
1.1833333333333333	 0.7253123, 0.009142964, 0.016560525, 0.6881602	 0.6565715, 0.0013905315, -0.016938293, -0.7540724
1.2	 0.7253569, 0.00915173, 0.016670467, 0.68811035	 0.6566694, 0.0013985769, -0.017055303, -0.7539845
1.2166666666666666	 0.7254987, 0.009162332, 0.016772548, 0.68795836	 0.6567729, 0.0014053656, -0.017178372, -0.7538914
1.2333333333333334	 0.7252121, 0.009154715, 0.016877692, 0.6882578	 0.6568755, 0.0014059818, -0.017296484, -0.7537994
1.25	 0.7248757, 0.009159287, 0.01697768, 0.6886097	 0.65697175, 0.001417782, -0.017408252, -0.75371283
