sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
0, 155536714, 0.71788913, 0.009288853, 0.007892065, 0.69605076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 
1, 155553381, 0.717982, 0.008899326, 0.008192736, 0.6959567, -0.008513147011399269, 0.24668768048286438, 10.26536750793457, 0.8884469270706177, 0.8392577171325684, -0.6081478595733643, 0, 
2, 155570048, 0.71805155, 0.008665954, 0.008500161, 0.6958841, 0.016492830589413643, 0.24297207593917847, 10.257101058959961, 0.8794953227043152, 0.7441450357437134, -0.6884182095527649, 0, 
3, 155586715, 0.7181462, 0.008610773, 0.008652745, 0.6957853, 0.014201408252120018, 0.23282641172409058, 10.243326187133789, 0.8761783838272095, 0.7450029253959656, -0.6031918525695801, 0, 
4, 155603382, 0.7181843, 0.008584232, 0.008738797, 0.6957451, 0.008220544084906578, 0.2353571057319641, 10.239603042602539, 0.8474409580230713, 0.8204068541526794, -0.5901550054550171, 0, 
5, 155620049, 0.71824986, 0.008579335, 0.008812948, 0.6956767, 0.013992398045957088, 0.24256137013435364, 10.247790336608887, 0.8663175106048584, 0.7540314197540283, -0.585160493850708, 0, 
6, 155636716, 0.71833557, 0.008597771, 0.008888596, 0.69558704, 0.002522058319300413, 0.2515413165092468, 10.249530792236328, 0.854843020439148, 0.7548382878303528, -0.5909106135368347, 0, 
7, 155653383, 0.7184188, 0.008614524, 0.008996095, 0.6954994, 0.00934916827827692, 0.24581962823867798, 10.26049518585205, 0.8457890152931213, 0.820393979549408, -0.6000031232833862, 0, 
8, 155670050, 0.7184571, 0.008640387, 0.009109663, 0.695458, 0.01969439908862114, 0.2539036273956299, 10.255879402160645, 0.8965661525726318, 0.8090347647666931, -0.547484278678894, 0, 
9, 155686717, 0.71858126, 0.008669789, 0.009221688, 0.6953278, 0.009014056995511055, 0.23999513685703278, 10.266830444335938, 0.8401286602020264, 0.8489906191825867, -0.6582591533660889, 0, 
10, 155703384, 0.7187046, 0.0086951135, 0.009335487, 0.69519854, -0.005460895597934723, 0.23978106677532196, 10.272238731384277, 0.8736940622329712, 0.8424850106239319, -0.6401766538619995, 0, 
11, 155720051, 0.71882045, 0.008701263, 0.009450182, 0.6950772, -0.002735593356192112, 0.25986751914024353, 10.288609504699707, 0.8104562759399414, 0.8548175096511841, -0.5714449286460876, 0, 
12, 155736718, 0.71893436, 0.008713056, 0.009585837, 0.6949573, 0.016883136704564095, 0.24571792781352997, 10.258480072021484, 0.8900349736213684, 0.8859753012657166, -0.6254621744155884, 0, 
13, 155753385, 0.71896833, 0.00872508, 0.009715753, 0.6949203, 0.007734162267297506, 0.23471499979496002, 10.276758193969727, 0.8736171126365662, 0.879405677318573, -0.6115543842315674, 0, 
14, 155770052, 0.7192406, 0.008735457, 0.009823942, 0.6946367, -0.006942283362150192, 0.24834629893302917, 10.276602745056152, 0.7974450588226318, 0.8056026101112366, -0.5820357799530029, 0, 
15, 155786719, 0.71928334, 0.008754978, 0.0099390745, 0.6945907, 0.003665782045572996, 0.24614624679088593, 10.2518949508667, 0.8730407953262329, 0.7302373647689819, -0.6177911758422852, 0, 
16, 155803386, 0.7194827, 0.008777737, 0.010056581, 0.69438213, 0.015226720832288265, 0.24783821403980255, 10.251900672912598, 0.8993322849273682, 0.7416733503341675, -0.6587458252906799, 0, 
17, 155820053, 0.7193014, 0.008782389, 0.010178527, 0.69456816, -0.00283006951212883, 0.2414238601922989, 10.279279708862305, 0.8326495885848999, 0.8187675476074219, -0.5853142142295837, 0, 
18, 155836720, 0.71930856, 0.008794046, 0.0103115775, 0.6945586, 0.003940919414162636, 0.23844784498214722, 10.281122207641602, 0.9293248057365417, 0.8459554314613342, -0.5949829816818237, 0, 
19, 155853387, 0.7192699, 0.008806831, 0.01043598, 0.69459665, 0.004183019977062941, 0.246677428483963, 10.260900497436523, 0.9056458473205566, 0.7885830402374268, -0.5801404714584351, 0, 
20, 155870054, 0.7192897, 0.008818225, 0.0105689885, 0.694574, 3.8111116737127304E-5, 0.24377964437007904, 10.259024620056152, 0.9385069608688354, 0.841742217540741, -0.6506650447845459, 0, 
21, 155886721, 0.71925503, 0.008814071, 0.010699318, 0.69460785, 0.0011897051008418202, 0.22908878326416016, 10.249014854431152, 0.8523329496383667, 0.8882932066917419, -0.6453247666358948, 0, 
22, 155903388, 0.7189341, 0.008805171, 0.01083957, 0.694938, 0.004663581028580666, 0.2483307123184204, 10.28001880645752, 0.8972704410552979, 0.9179782867431641, -0.6166000962257385, 0, 
23, 155920055, 0.7190576, 0.008812312, 0.010963534, 0.6948082, 0.0010266868630424142, 0.25012728571891785, 10.269880294799805, 0.8876015543937683, 0.8229423761367798, -0.6007330417633057, 0, 
24, 155936722, 0.7192903, 0.008816885, 0.011084509, 0.69456536, -0.0013034107396379113, 0.2461666464805603, 10.247896194458008, 0.8541514277458191, 0.8316763639450073, -0.6574395298957825, 0, 
25, 155953389, 0.7197678, 0.00883242, 0.011198151, 0.69406843, 0.01058635301887989, 0.2691470682621002, 10.264264106750488, 0.8655107021331787, 0.7770700454711914, -0.580153226852417, 0, 
26, 155970056, 0.7199726, 0.008840896, 0.011319104, 0.6938539, -0.004462568089365959, 0.22137902677059174, 10.273629188537598, 0.852115273475647, 0.816577672958374, -0.5262513160705566, 0, 
27, 155986723, 0.71976775, 0.008843835, 0.011430507, 0.6940646, 0.012591098435223103, 0.2228575348854065, 10.23343276977539, 0.807421088218689, 0.7318635582923889, -0.5720083713531494, 0, 
28, 156003390, 0.71983266, 0.008849694, 0.011565502, 0.693995, 0.012030571699142456, 0.2527332305908203, 10.251493453979492, 0.9432068467140198, 0.8779969215393066, -0.6040371060371399, 0, 
29, 156020057, 0.71977377, 0.0088541685, 0.011693381, 0.6940538, -0.008340873755514622, 0.2712586224079132, 10.274977684020996, 0.8981157541275024, 0.8370167016983032, -0.5729048848152161, 0, 
30, 156036724, 0.71984303, 0.008869991, 0.011817814, 0.69397974, 0.008499317802488804, 0.25214314460754395, 10.277979850769043, 0.9213465452194214, 0.7771341800689697, -0.5987993478775024, 0, 
31, 156053391, 0.719685, 0.008870116, 0.011944729, 0.69414127, 0.004319007508456707, 0.24107132852077484, 10.273432731628418, 0.8587489724159241, 0.8352877497673035, -0.5673213005065918, 0, 
32, 156070058, 0.71981305, 0.00887932, 0.012065893, 0.6940063, 0.016528718173503876, 0.23549312353134155, 10.278152465820312, 0.8731945157051086, 0.8029260635375977, -0.6671211123466492, 0, 
33, 156086725, 0.71990764, 0.008884727, 0.012193487, 0.693906, 0.013938886113464832, 0.25004178285598755, 10.279813766479492, 0.8915075659751892, 0.8566744327545166, -0.5779505968093872, 0, 
34, 156103392, 0.72004, 0.008888225, 0.012310156, 0.69376653, 0.002367572393268347, 0.24605903029441833, 10.263258934020996, 0.8272069692611694, 0.8192285895347595, -0.6559156775474548, 0, 
35, 156120059, 0.7200513, 0.008898575, 0.012440975, 0.6937524, 0.01842043176293373, 0.23030802607536316, 10.255293846130371, 0.933397114276886, 0.8395395278930664, -0.5916149616241455, 0, 
36, 156136726, 0.7199148, 0.00889707, 0.012558532, 0.6938919, 0.015648292377591133, 0.2386966049671173, 10.2680025100708, 0.8221611976623535, 0.8136193752288818, -0.6223373413085938, 0, 
37, 156153393, 0.7200989, 0.008897693, 0.012673025, 0.6936986, 0.0038868531119078398, 0.24936841428279877, 10.274188041687012, 0.8122235536575317, 0.8398340940475464, -0.6175734400749207, 0, 
38, 156170060, 0.72052515, 0.008922096, 0.012792583, 0.69325346, -0.006861589848995209, 0.25826922059059143, 10.274894714355469, 0.944871723651886, 0.7906320095062256, -0.5535672307014465, 0, 
39, 156186727, 0.7208234, 0.008938198, 0.012906905, 0.692941, -0.01575637422502041, 0.24744096398353577, 10.29137897491455, 0.879700243473053, 0.7793623805046082, -0.6276135444641113, 0, 
40, 156203394, 0.7209605, 0.008946501, 0.013031573, 0.69279605, 0.015353812836110592, 0.2297188639640808, 10.254335403442383, 0.8950933814048767, 0.8375673294067383, -0.6344010233879089, 0, 
41, 156220061, 0.7210485, 0.008955188, 0.013148399, 0.69270205, 0.0064458949491381645, 0.23322619497776031, 10.24779224395752, 0.8665481209754944, 0.7940769195556641, -0.626128077507019, 0, 
42, 156236728, 0.7211147, 0.008955222, 0.013271795, 0.69263077, -8.98590253200382E-4, 0.24422480165958405, 10.267732620239258, 0.8600807785987854, 0.8674445748329163, -0.5462421178817749, 0, 
43, 156253395, 0.72097725, 0.008950683, 0.013400978, 0.6927714, 0.009298617020249367, 0.24688315391540527, 10.269639015197754, 0.8732969760894775, 0.8853733539581299, -0.5749538540840149, 0, 
44, 156270062, 0.72102094, 0.008967075, 0.013522994, 0.69272345, 0.014800199307501316, 0.2516242265701294, 10.284293174743652, 0.9380331039428711, 0.7778639793395996, -0.6419950723648071, 0, 
45, 156286729, 0.72102755, 0.008968531, 0.0136544155, 0.6927139, 0.026543496176600456, 0.23583586513996124, 10.258981704711914, 0.9096799492835999, 0.8933134078979492, -0.6428531408309937, 0, 
46, 156303396, 0.72158873, 0.008974588, 0.01377085, 0.69212687, 0.004441564437001944, 0.24756024777889252, 10.260416984558105, 0.8440088629722595, 0.893146812915802, -0.6243734955787659, 0, 
47, 156320063, 0.72149384, 0.008968866, 0.013895136, 0.6922234, -0.008330516517162323, 0.2354886829853058, 10.272318840026855, 0.8474538922309875, 0.8832091689109802, -0.6431605219841003, 0, 
48, 156336730, 0.7224481, 0.008995036, 0.01399915, 0.691225, 0.0043327719904482365, 0.24032211303710938, 10.288899421691895, 0.8720805048942566, 0.8000704050064087, -0.5892073512077332, 0, 
49, 156353397, 0.7226373, 0.009005342, 0.014114257, 0.6910247, 0.025165751576423645, 0.24726982414722443, 10.254279136657715, 0.8768314123153687, 0.8108660578727722, -0.5679360032081604, 0, 
50, 156370064, 0.72293043, 0.009019613, 0.014230685, 0.6907155, 0.01418592594563961, 0.24739313125610352, 10.284363746643066, 0.8995500206947327, 0.8185114860534668, -0.6686579585075378, 0, 
