sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.378 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 963752836, -106.92955780029297, -71.2035903930664, 73.59295654296875, -0.3962733, 0.080485, 0.31284618, 0
2, 963769503, -107.02758026123047, -71.32137298583984, 73.57109832763672, -0.29807642, 0.050049245, 0.29473686, 0
3, 963786170, -107.10895538330078, -71.46503448486328, 73.4505844116211, -0.07578877, 0.10027216, 0.19124699, 0
4, 963802837, -107.14801025390625, -71.6236343383789, 73.27031707763672, 0.17435575, 0.21986276, 0.10563564, 0
5, 963819504, -107.1202392578125, -71.78133392333984, 73.05960083007812, 0.35473293, 0.34095627, 0.031318665, 0
6, 963836171, -107.05081939697266, -71.93439483642578, 72.85623931884766, 0.47313088, 0.37484866, -0.0050497055, 0
7, 963852838, -106.98937225341797, -72.08338928222656, 72.68758392333984, 0.50896895, 0.29487225, -0.04742527, 0
8, 963869505, -106.93791198730469, -72.2256088256836, 72.5612564086914, 0.55463755, 0.1974918, -0.023221016, 0
9, 963886172, -106.88630676269531, -72.37413024902344, 72.47554779052734, 0.5930483, 0.13124792, 0.0078754425, 0
10, 963902839, -106.80085754394531, -72.52513122558594, 72.41461944580078, 0.59401476, 0.020719204, 0.019291878, 0
11, 963919506, -106.68696594238281, -72.65802001953125, 72.36922454833984, 0.46595836, -0.18747194, 0.11045551, 0
12, 963936173, -106.59310150146484, -72.7744369506836, 72.34420013427734, 0.35773605, -0.36516765, 0.19476414, 0
13, 963952840, -106.51119995117188, -72.87771606445312, 72.3069076538086, 0.30820695, -0.46834904, 0.26864147, 0
14, 963969507, -106.46571350097656, -72.9671401977539, 72.25873565673828, 0.25581238, -0.49778458, 0.32030582, 0
15, 963986174, -106.4344711303711, -73.04639434814453, 72.20894622802734, 0.30873486, -0.39155513, 0.35492134, 0
16, 964002841, -106.37606048583984, -73.11906433105469, 72.16841888427734, 0.40248916, -0.3225739, 0.37417507, 0
17, 964019508, -106.20063018798828, -73.18340301513672, 72.07453155517578, 0.45738932, -0.16960923, 0.23684692, 0
