sep=,
DeviceTag:,Thoracique,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2022-06-03 20:38:06.000 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2793801273, -0.19484253, -0.7332818, 0.4508486, -0.4701935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5859375, -0.47509765625, -0.92724609375, 0, 
1, 2793817940, -0.1951747, -0.7330962, 0.45053685, -0.4706438, 8.601476669311523, -1.18949294090271, -5.150838375091553, 0.6975171566009521, 4.292951583862305, -1.2527557611465454, -0.5830078125, -0.4765625, -0.92919921875, 0, 
2, 2793834607, -0.1957725, -0.7325973, 0.4503159, -0.47138306, 8.50040340423584, -1.2062393426895142, -4.912524700164795, -0.45881322026252747, 7.4652910232543945, -0.2963774502277374, -0.58203125, -0.4736328125, -0.92822265625, 0, 
3, 2793851274, -0.19615416, -0.7322842, 0.4502663, -0.47175828, 8.591123580932617, -1.2508046627044678, -4.593622207641602, -0.8034062385559082, 4.131001949310303, 0.20311510562896729, -0.58349609375, -0.47265625, -0.93115234375, 0, 
4, 2793867941, -0.19637126, -0.7322148, 0.45018196, -0.4718561, 8.658549308776855, -1.2569156885147095, -4.772202968597412, -0.3926170766353607, 1.4791141748428345, -0.5671932697296143, -0.58447265625, -0.47705078125, -0.93212890625, 0, 
5, 2793884608, -0.19672015, -0.73208916, 0.4501772, -0.47191024, 8.641334533691406, -1.328442096710205, -4.862807750701904, -1.524314284324646, 1.744116187095642, -0.47886788845062256, -0.5830078125, -0.47412109375, -0.93212890625, 0, 
6, 2793901275, -0.19714484, -0.7317771, 0.4503964, -0.47200796, 8.66110897064209, -1.377389907836914, -4.857437610626221, -2.7500617504119873, 2.4989736080169678, 1.0379996299743652, -0.58349609375, -0.47265625, -0.9296875, 0, 
7, 2793917942, -0.19762136, -0.7312997, 0.45068264, -0.47227508, 8.740278244018555, -1.3785568475723267, -4.827040195465088, -2.9278135299682617, 3.958103656768799, 1.9491842985153198, -0.583984375, -0.47412109375, -0.93212890625, 0, 
8, 2793934609, -0.19820827, -0.7307036, 0.45077893, -0.47285956, 8.796097755432129, -1.3871324062347412, -4.780041694641113, -2.0450849533081055, 6.540095806121826, 1.4356369972229004, -0.580078125, -0.4736328125, -0.931640625, 0, 
9, 2793951276, -0.1989246, -0.7300513, 0.45063645, -0.4737014, 8.769058227539062, -1.3833506107330322, -4.7558512687683105, -1.197393774986267, 8.741301536560059, 0.3390289545059204, -0.583984375, -0.4755859375, -0.93603515625, 0, 
10, 2793967943, -0.19972876, -0.7293756, 0.45043218, -0.47459757, 8.695948600769043, -1.3818036317825317, -4.719371318817139, -1.300702691078186, 9.445959091186523, -0.1099681481719017, -0.58203125, -0.474609375, -0.93994140625, 0, 
