sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:18:32.880 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2677336373, 0.1326408, 0.8991352, 0.24752632, 0.33573073, -0.26358858, -0.23339826, 0.49591064, 0
2, 2677353040, 0.13324934, 0.9001994, 0.2468523, 0.33312404, -0.075524315, -0.016265038, 0.4110632, 0
3, 2677369707, 0.1343201, 0.9012258, 0.24603347, 0.33051443, 0.2269395, 0.0357766, 0.1898222, 0
4, 2677386374, 0.13545531, 0.90199715, 0.24569951, 0.32818717, 0.09724782, -0.18794735, 0.008014679, 0
5, 2677403041, 0.1358285, 0.90266997, 0.24610677, 0.3258696, 0.12518166, -0.44668797, -0.12489414, 0
6, 2677419708, 0.13610566, 0.90323544, 0.24652447, 0.32386518, 0.19776574, -0.64988965, 0.044342995, 0
7, 2677436375, 0.13623604, 0.9037239, 0.24709365, 0.32200894, 0.1518723, -0.2758121, 0.16810322, 0
8, 2677453042, 0.13588914, 0.9040044, 0.24737608, 0.32115027, 0.972546, 0.19921777, -0.35268974, 0
9, 2677469709, 0.13366954, 0.9044907, 0.24693619, 0.3210507, 1.6775732, 0.42170995, -1.1413507, 0
10, 2677486376, 0.12759718, 0.905461, 0.2461726, 0.32137266, 1.8327936, 1.5523913, -1.3629646, 0
11, 2677503043, 0.11845684, 0.90639704, 0.24659441, 0.32190967, 1.6865476, 1.0732561, -1.8534741, 0
