sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-06 01:04:08.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 3290990107, 0.72004235, -0.2972731, -0.36859027, -0.50725657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1220703125, 0.26123046875, -0.084716796875, 0, 
1, 3291006774, 0.7196892, -0.29747343, -0.36939943, -0.5070516, 8.382847785949707, -0.5061300992965698, 5.656301498413086, 0.2910563349723816, -1.307861328125, -0.8659910559654236, -1.1220703125, 0.26025390625, -0.0859375, 0, 
2, 3291023441, 0.719917, -0.2968334, -0.36927697, -0.50719243, 8.37390422821045, -0.5069303512573242, 5.696791648864746, 0.49602195620536804, 0.8419342041015625, -0.07331635057926178, -1.12255859375, 0.26025390625, -0.083740234375, 0, 
3, 3291040108, 0.72037697, -0.29608712, -0.36859936, -0.5074683, 8.320120811462402, -0.5146685838699341, 5.656394958496094, -0.24557457864284515, 2.0431699752807617, 0.9232289791107178, -1.123046875, 0.262451171875, -0.08642578125, 0, 
4, 3291056775, 0.72106934, -0.29549554, -0.36769792, -0.5074838, 8.250386238098145, -0.489967405796051, 5.571899890899658, -1.2547019720077515, 3.1744441986083984, 2.5800247192382812, -1.120849609375, 0.26123046875, -0.0849609375, 0, 
5, 3291073442, 0.72162336, -0.29516032, -0.36676046, -0.50756973, 8.211309432983398, -0.5031332969665527, 5.540670394897461, -1.640941858291626, 3.7626659870147705, 3.430187940597534, -1.123779296875, 0.262939453125, -0.08740234375, 0, 
6, 3291090109, 0.72212595, -0.29492798, -0.3659485, -0.50757587, 8.171636581420898, -0.5350290536880493, 5.513833999633789, -1.4778271913528442, 3.7175238132476807, 3.462817907333374, -1.119873046875, 0.265625, -0.087646484375, 0, 
7, 3291106776, 0.72257984, -0.29488158, -0.3652287, -0.50747526, 8.170188903808594, -0.5241977572441101, 5.510738849639893, -2.363617181777954, 3.1790294647216797, 3.290560007095337, -1.123291015625, 0.26416015625, -0.089599609375, 0, 
8, 3291123443, 0.7228573, -0.2949191, -0.36458975, -0.50751805, 8.166726112365723, -0.5375449061393738, 5.472697734832764, -1.9404181241989136, 2.866182804107666, 2.776563882827759, -1.120361328125, 0.2646484375, -0.0908203125, 0, 
9, 3291140110, 0.72313344, -0.2949656, -0.3639594, -0.50755006, 8.22530746459961, -0.5684676170349121, 5.499072074890137, -2.002542018890381, 3.3859927654266357, 2.666929006576538, -1.120849609375, 0.26513671875, -0.08984375, 0, 
10, 3291156777, 0.723423, -0.2950058, -0.36330044, -0.50758594, 8.270134925842285, -0.585536003112793, 5.515951633453369, -1.677465558052063, 4.022007942199707, 2.7995643615722656, -1.118896484375, 0.263427734375, -0.092529296875, 0, 
11, 3291173444, 0.7236809, -0.29517663, -0.3625515, -0.5076546, 8.250205039978027, -0.5985089540481567, 5.504476070404053, -2.3509130477905273, 4.322585582733154, 3.181718587875366, -1.12060546875, 0.263916015625, -0.092529296875, 0, 
12, 3291190111, 0.7239214, -0.29538453, -0.36189052, -0.50766236, 8.185797691345215, -0.5791454315185547, 5.466165065765381, -1.8513500690460205, 3.8068737983703613, 3.402539014816284, -1.12109375, 0.266845703125, -0.096923828125, 0, 
13, 3291206778, 0.7241824, -0.29553568, -0.3614013, -0.5075506, 8.165183067321777, -0.5909989476203918, 5.460258960723877, -1.219651222229004, 3.1476023197174072, 3.200697660446167, -1.118896484375, 0.268798828125, -0.0947265625, 0, 
14, 3291223445, 0.724438, -0.2956631, -0.36097288, -0.50741655, 8.153564453125, -0.5790101885795593, 5.469174861907959, -0.9723860621452332, 2.96004056930542, 3.027350664138794, -1.1171875, 0.269287109375, -0.09521484375, 0, 
