sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-06 01:04:08.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 899477162, 0.77658176, 0.01089663, -0.6284298, 0.043339558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.064208984375, 0.162109375, -0.24462890625, 0, 
1, 899493829, 0.7762344, 0.011671843, -0.6287497, 0.044697057, 9.766709327697754, -0.38717278838157654, 2.037388324737549, 10.898868560791016, 0.9383407831192017, 0.1972498744726181, -1.061279296875, 0.161865234375, -0.244873046875, 0, 
2, 899510496, 0.77596056, 0.012814217, -0.628969, 0.04603418, 9.70456600189209, -0.33283478021621704, 2.0397531986236572, 11.905217170715332, 1.5716791152954102, 0.4181467592716217, -1.060791015625, 0.162841796875, -0.244384765625, 0, 
3, 899527163, 0.7758817, 0.014073872, -0.62896246, 0.04707348, 9.701478004455566, -0.26291874051094055, 2.0973072052001953, 10.746063232421875, 2.136247396469116, 0.7931552529335022, -1.061767578125, 0.1650390625, -0.24365234375, 0, 
4, 899543830, 0.7760802, 0.015221285, -0.62864673, 0.047660053, 9.683431625366211, -0.234130397439003, 2.099027395248413, 8.26571273803711, 2.815636396408081, 1.0090829133987427, -1.060791015625, 0.168212890625, -0.24658203125, 0, 
5, 899560497, 0.776443, 0.016159361, -0.6281468, 0.048032448, 9.713549613952637, -0.27552637457847595, 2.051992177963257, 5.669609546661377, 3.7795965671539307, 1.3416128158569336, -1.060302734375, 0.169677734375, -0.24755859375, 0, 
6, 899577164, 0.7768163, 0.01676678, -0.6276481, 0.048306674, 9.72095775604248, -0.316801518201828, 2.0821781158447266, 3.87420916557312, 4.407887935638428, 1.6572248935699463, -1.0634765625, 0.169189453125, -0.248291015625, 0, 
7, 899593831, 0.77717096, 0.017157108, -0.6271782, 0.04856711, 9.732060432434082, -0.3192167282104492, 2.061974287033081, 3.3576908111572266, 4.266134262084961, 1.710781216621399, -1.059326171875, 0.17138671875, -0.248046875, 0, 
8, 899610498, 0.7774498, 0.01749553, -0.62679887, 0.048878293, 9.734328269958496, -0.31278127431869507, 2.035963296890259, 3.7056586742401123, 3.7380969524383545, 1.7170755863189697, -1.06005859375, 0.170166015625, -0.252197265625, 0, 
9, 899627165, 0.77765465, 0.017953653, -0.6264958, 0.049336564, 9.71818733215332, -0.3218168616294861, 2.0647194385528564, 4.1561737060546875, 3.357043981552124, 1.4872143268585205, -1.0595703125, 0.171875, -0.251708984375, 0, 
10, 899643832, 0.77780277, 0.018406807, -0.62626576, 0.049751468, 9.716841697692871, -0.38097453117370605, 2.0952579975128174, 4.630527019500732, 2.729590892791748, 1.1740800142288208, -1.058349609375, 0.17236328125, -0.2509765625, 0, 
11, 899660499, 0.7779125, 0.018928805, -0.62607384, 0.050254777, 9.732192993164062, -0.3964219093322754, 2.1392576694488525, 5.517847537994385, 2.235131025314331, 0.9428421258926392, -1.060546875, 0.172607421875, -0.249755859375, 0, 
12, 899677166, 0.7779798, 0.019476693, -0.6259267, 0.050834086, 9.740506172180176, -0.35802316665649414, 2.111340045928955, 6.480500221252441, 1.586463451385498, 1.024661660194397, -1.060302734375, 0.175048828125, -0.249755859375, 0, 
13, 899693833, 0.7780289, 0.020072773, -0.6257924, 0.05149672, 9.739730834960938, -0.3280918598175049, 2.1016180515289307, 6.940395355224609, 1.3922359943389893, 1.133176326751709, -1.05810546875, 0.176025390625, -0.25146484375, 0, 
14, 899710500, 0.77809083, 0.020650256, -0.6256417, 0.052159864, 9.732991218566895, -0.3486892282962799, 2.1208388805389404, 7.043383598327637, 1.526945948600769, 1.2619057893753052, -1.05908203125, 0.177734375, -0.253662109375, 0, 
15, 899727167, 0.77814484, 0.02118372, -0.6255019, 0.05281262, 9.710362434387207, -0.3353395462036133, 2.095698595046997, 6.816437244415283, 1.3947910070419312, 1.3662201166152954, -1.06103515625, 0.177734375, -0.2509765625, 0, 
16, 899743834, 0.77815574, 0.021629557, -0.62542623, 0.05336671, 9.717193603515625, -0.2786153554916382, 2.0929477214813232, 6.047031402587891, 0.879130482673645, 1.267047643661499, -1.0595703125, 0.17626953125, -0.251220703125, 0, 
17, 899760501, 0.77815574, 0.02196237, -0.6253806, 0.053765375, 9.767247200012207, -0.23507463932037354, 2.0899531841278076, 4.957485675811768, 0.6887320280075073, 1.0724871158599854, -1.05712890625, 0.17626953125, -0.253173828125, 0, 
18, 899777168, 0.77818525, 0.02215702, -0.6253137, 0.054033194, 9.75229263305664, -0.19160841405391693, 2.0888102054595947, 3.312535524368286, 0.9927546381950378, 1.018264889717102, -1.056884765625, 0.1796875, -0.253662109375, 0, 
19, 899793835, 0.77820575, 0.022039076, -0.62530094, 0.053935863, 9.772968292236328, -0.1915176957845688, 2.0794897079467773, 1.444165587425232, 0.6854790449142456, 0.8959001302719116, -1.056640625, 0.179931640625, -0.254150390625, 0, 
20, 899810502, 0.77818745, 0.021903884, -0.62534034, 0.053797897, 9.748961448669434, -0.21029534935951233, 2.0673587322235107, -0.310886949300766, 0.307512491941452, 0.5681344270706177, -1.05712890625, 0.1806640625, -0.25146484375, 0, 
21, 899827169, 0.7781386, 0.021639729, -0.625434, 0.05351887, 9.72494125366211, -0.2325085699558258, 2.059417963027954, -2.1828296184539795, -0.051788877695798874, 0.32609453797340393, -1.0576171875, 0.17822265625, -0.2548828125, 0, 
22, 899843836, 0.77809185, 0.021196377, -0.62554854, 0.05303722, 9.731595039367676, -0.2961716055870056, 2.0880367755889893, -3.645897388458252, -0.1228577196598053, 0.12089195102453232, -1.05712890625, 0.179931640625, -0.25146484375, 0, 
