sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-06 01:04:08.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 269925475, 0.6533684, -0.40214717, -0.4915175, -0.41206533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.88232421875, 0.25634765625, 0.20751953125, 0, 
1, 269942142, 0.65296793, -0.40168193, -0.492059, -0.4125076, 9.688366889953613, -1.1031467914581299, 1.869310736656189, -0.5451151132583618, 0.955744206905365, 2.49957537651062, -0.886474609375, 0.254150390625, 0.20849609375, 0, 
2, 269958809, 0.6525973, -0.40136826, -0.4925524, -0.41281056, 9.67573070526123, -1.1571000814437866, 1.8563129901885986, 1.096204400062561, 1.3397555351257324, 2.50935959815979, -0.885986328125, 0.255615234375, 0.21142578125, 0, 
3, 269975476, 0.6526553, -0.40106767, -0.4929747, -0.4125071, 9.641108512878418, -1.1883023977279663, 1.8700683116912842, 3.3520936965942383, 1.5566309690475464, 2.575913906097412, -0.8837890625, 0.25732421875, 0.20849609375, 0, 
4, 269992143, 0.65315616, -0.40058684, -0.49337536, -0.41170123, 9.613774299621582, -1.1785862445831299, 1.8631349802017212, 5.0880208015441895, 1.5532246828079224, 2.5927674770355225, -0.88330078125, 0.25634765625, 0.20654296875, 0, 
5, 270008810, 0.6536469, -0.40026376, -0.49360865, -0.41095644, 9.617669105529785, -1.1770727634429932, 1.812117338180542, 4.917747497558594, 1.3119401931762695, 2.7109313011169434, -0.88330078125, 0.25634765625, 0.20849609375, 0, 
6, 270025477, 0.65392274, -0.40030214, -0.49371538, -0.4103519, 9.642743110656738, -1.1721574068069458, 1.8345898389816284, 3.2740654945373535, 0.6670635938644409, 3.0829176902770996, -0.884033203125, 0.260009765625, 0.20556640625, 0, 
7, 270042144, 0.6542392, -0.400354, -0.4937777, -0.40972114, 9.675314903259277, -1.1449991464614868, 1.8604437112808228, 1.2882227897644043, 0.9685891270637512, 3.152071952819824, -0.886474609375, 0.256591796875, 0.20703125, 0, 
8, 270058811, 0.6542595, -0.40072998, -0.49355173, -0.4095938, 9.693318367004395, -1.1132222414016724, 1.8531739711761475, -0.661102294921875, 1.0398051738739014, 2.864915132522583, -0.883056640625, 0.259033203125, 0.208251953125, 0, 
9, 270075478, 0.6542935, -0.4010225, -0.49335772, -0.40948662, 9.690282821655273, -1.1039823293685913, 1.816428303718567, -1.455249547958374, 1.1958248615264893, 2.642430067062378, -0.88232421875, 0.260986328125, 0.212646484375, 0, 
10, 270092145, 0.654337, -0.40121138, -0.49322337, -0.40939385, 9.65859603881836, -1.216335415840149, 1.774283766746521, -0.8388414978981018, 1.3196494579315186, 2.3888771533966064, -0.881591796875, 0.257568359375, 0.207763671875, 0, 
11, 270108812, 0.6544567, -0.40127158, -0.49317163, -0.4092059, 9.60254955291748, -1.283385992050171, 1.7625516653060913, 1.3416764736175537, 1.3391920328140259, 2.2042994499206543, -0.88037109375, 0.263427734375, 0.20703125, 0, 
12, 270125479, 0.654845, -0.40100706, -0.49339616, -0.4085728, 9.54925537109375, -1.261116623878479, 1.7618368864059448, 3.608797550201416, 1.0268068313598633, 2.198779821395874, -0.881591796875, 0.26123046875, 0.21044921875, 0, 
13, 270142146, 0.65519094, -0.4007502, -0.49361247, -0.4080085, 9.538239479064941, -1.1444623470306396, 1.799170970916748, 4.938531875610352, 0.84188312292099, 1.9311401844024658, -0.88330078125, 0.260986328125, 0.207275390625, 0, 
14, 270158813, 0.65554196, -0.4004317, -0.49385262, -0.40746656, 9.58462905883789, -1.0647655725479126, 1.8495557308197021, 5.162650108337402, 0.8350381255149841, 1.7316491603851318, -0.8798828125, 0.2626953125, 0.205078125, 0, 
15, 270175480, 0.6558613, -0.40009853, -0.4940971, -0.40698293, 9.626473426818848, -1.073297381401062, 1.895586371421814, 4.396254062652588, 0.7576749324798584, 1.5295907258987427, -0.88232421875, 0.263916015625, 0.20654296875, 0, 
16, 270192147, 0.6560729, -0.3998415, -0.49430105, -0.40664694, 9.67715072631836, -1.1145116090774536, 1.9504942893981934, 3.0065340995788574, 0.5406200885772705, 1.1194671392440796, -0.87841796875, 0.261474609375, 0.2060546875, 0, 
17, 270208814, 0.6560715, -0.39978367, -0.49434757, -0.40664962, 9.720635414123535, -1.1104156970977783, 1.9607975482940674, 1.1037793159484863, 0.4950934648513794, 0.4228784739971161, -0.87939453125, 0.2607421875, 0.20751953125, 0, 
