sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-03 12:47:07.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 3370358135, 0.1149457, 0.55403763, 0.012295831, 0.82442653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.439697265625, -0.93017578125, -0.309814453125, 0, 
1, 3370374802, 0.11449594, 0.55585164, 0.013646811, 0.8232457, 8.765048027038574, 1.4518992900848389, 3.591113328933716, 9.42014217376709, -5.941430568695068, -0.09903153777122498, -0.439208984375, -0.9296875, -0.308837890625, 0, 
2, 3370391469, 0.114319675, 0.55777997, 0.014570345, 0.82194895, 8.851719856262207, 1.4489034414291382, 3.5817604064941406, 9.185186386108398, -7.456526279449463, 0.09226339310407639, -0.438232421875, -0.931884765625, -0.30712890625, 0, 
3, 3370408136, 0.11399617, 0.559724, 0.015261991, 0.8206589, 8.87954330444336, 1.423316240310669, 3.5589654445648193, 10.125199317932129, -8.798890113830566, 0.5805698037147522, -0.439453125, -0.93359375, -0.30322265625, 0, 
4, 3370424803, 0.113217056, 0.5616882, 0.016017944, 0.8194095, 8.967278480529785, 1.4018183946609497, 3.5085062980651855, 12.296160697937012, -10.176279067993164, 1.2471153736114502, -0.441162109375, -0.935546875, -0.298583984375, 0, 
5, 3370441470, 0.111892164, 0.56381756, 0.017025298, 0.8181076, 9.020207405090332, 1.4137462377548218, 3.479377508163452, 15.819622039794922, -11.473876953125, 2.014460802078247, -0.44287109375, -0.935546875, -0.29638671875, 0, 
6, 3370458137, 0.11023972, 0.56603086, 0.018325778, 0.8167745, 9.088835716247559, 1.497236967086792, 3.4269802570343018, 19.689626693725586, -12.149035453796387, 2.727853536605835, -0.444091796875, -0.939453125, -0.29150390625, 0, 
7, 3370474804, 0.10824427, 0.5683139, 0.01997744, 0.8154162, 9.144184112548828, 1.6341183185577393, 3.3879830837249756, 22.89748191833496, -12.513805389404297, 3.9255077838897705, -0.447021484375, -0.942626953125, -0.28515625, 0, 
8, 3370491471, 0.10583767, 0.570616, 0.02213465, 0.81406754, 9.171079635620117, 1.72385573387146, 3.38693904876709, 26.804122924804688, -12.419047355651855, 5.460086822509766, -0.450927734375, -0.9482421875, -0.28173828125, 0, 
9, 3370508138, 0.10302128, 0.5728712, 0.024792425, 0.8127672, 9.19739818572998, 1.7910327911376953, 3.3677773475646973, 31.550512313842773, -11.943519592285156, 7.147157192230225, -0.4521484375, -0.94970703125, -0.27392578125, 0, 
10, 3370524805, 0.09973054, 0.5750074, 0.027900044, 0.8115677, 9.188730239868164, 1.944199562072754, 3.3877921104431152, 35.613792419433594, -10.988018989562988, 8.864582061767578, -0.4580078125, -0.952880859375, -0.26611328125, 0, 
11, 3370541472, 0.09611615, 0.5769943, 0.031213881, 0.81047213, 9.191985130310059, 2.0904269218444824, 3.4257469177246094, 37.95724105834961, -10.150283813476562, 10.947258949279785, -0.4580078125, -0.9580078125, -0.260009765625, 0, 
12, 3370558139, 0.09237875, 0.57876927, 0.034492407, 0.8095078, 9.179463386535645, 2.1854209899902344, 3.4615297317504883, 38.31619644165039, -9.093029975891113, 12.924641609191895, -0.46337890625, -0.962890625, -0.25146484375, 0, 
13, 3370574806, 0.08861804, 0.5803111, 0.037610285, 0.8086849, 9.073492050170898, 2.2155275344848633, 3.5043787956237793, 37.234153747558594, -8.037575721740723, 14.501267433166504, -0.465087890625, -0.96484375, -0.244873046875, 0, 
14, 3370591473, 0.08485527, 0.58165073, 0.04053697, 0.80798435, 8.961627006530762, 2.1664671897888184, 3.5299482345581055, 35.93498992919922, -7.31265926361084, 15.797329902648926, -0.471923828125, -0.96875, -0.23583984375, 0, 
15, 3370608140, 0.08034374, 0.5828003, 0.043879293, 0.80744267, 8.88098430633545, 2.093618154525757, 3.5804922580718994, 35.965721130371094, -6.794729232788086, 16.764049530029297, -0.474853515625, -0.968505859375, -0.230224609375, 0, 
16, 3370624807, 0.07569754, 0.58378774, 0.0471954, 0.80699086, 8.895174980163574, 2.113736152648926, 3.63822603225708, 36.38800811767578, -6.182819843292236, 17.593761444091797, -0.478271484375, -0.97119140625, -0.22509765625, 0, 
17, 3370641474, 0.07097129, 0.58464175, 0.050472297, 0.80660385, 8.92540168762207, 2.1483006477355957, 3.724390983581543, 36.53324508666992, -5.7616167068481445, 18.146575927734375, -0.484619140625, -0.973388671875, -0.218017578125, 0, 
18, 3370658141, 0.06624506, 0.58549255, 0.05381441, 0.80617255, 9.0335054397583, 2.045123815536499, 3.8309788703918457, 37.0282096862793, -6.427475452423096, 17.83301544189453, -0.487548828125, -0.97705078125, -0.208984375, 0, 
19, 3370674808, 0.061626136, 0.58635443, 0.057224903, 0.8056773, 9.148036003112793, 1.9919304847717285, 3.832103729248047, 37.176185607910156, -7.243257522583008, 16.71925163269043, -0.490966796875, -0.979736328125, -0.202880859375, 0, 
20, 3370691475, 0.057247236, 0.58714384, 0.060487807, 0.8051869, 9.160243034362793, 2.0430715084075928, 3.7522668838500977, 35.521793365478516, -7.3022661209106445, 15.674493789672852, -0.493408203125, -0.984130859375, -0.197265625, 0, 
21, 3370708142, 0.053134497, 0.5878023, 0.06348871, 0.8047575, 9.072460174560547, 2.06626558303833, 3.7019972801208496, 33.02171325683594, -6.697310924530029, 15.035416603088379, -0.49560546875, -0.984130859375, -0.18994140625, 0, 
22, 3370724809, 0.04922172, 0.5883145, 0.0664991, 0.8043888, 8.94944953918457, 1.9795624017715454, 3.625249147415161, 32.256595611572266, -5.816792011260986, 13.711204528808594, -0.498046875, -0.98681640625, -0.18310546875, 0, 
23, 3370741476, 0.045590475, 0.5886968, 0.06960485, 0.8040603, 8.939425468444824, 1.9977418184280396, 3.6029627323150635, 31.658552169799805, -5.060533046722412, 11.533382415771484, -0.501953125, -0.98779296875, -0.17919921875, 0, 
