sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 10:44:53.667 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 658162657, -0.99965924, 2.9062302E-4, 0.008209175, 0.024824202, -0.0031840608, -0.011216764, 0.21787643, 0
2, 658179324, -0.99966097, 2.571881E-4, 0.0082045, 0.024761816, -0.0070764064, 0.00604858, 0.22232819, 0
3, 658195991, -0.99966115, 2.6124608E-4, 0.008197959, 0.024753895, -0.0061749783, 0.010082409, 0.24888325, 0
4, 658212658, -0.9996609, 2.6982938E-4, 0.008197718, 0.02476849, 0.010194928, -0.0073421607, 0.25157928, 0
5, 658229325, -0.9996608, 2.7726113E-4, 0.008193166, 0.024775326, -0.016596332, -0.008634067, 0.23202801, 0
6, 658245992, -0.99966043, 2.7836912E-4, 0.008190894, 0.024784053, 0.009054852, 0.014142571, 0.22394276, 0
7, 658262659, -0.9996603, 2.8324142E-4, 0.0081862025, 0.024794089, 0.00443046, 0.008669594, 0.26346684, 0
8, 658279326, -0.9996605, 2.8206868E-4, 0.008176443, 0.0247882, -0.0071475673, -1.2691432E-4, 0.25140953, 0
9, 658295993, -0.99966043, 2.8025953E-4, 0.008169822, 0.024792433, -0.002214699, 0.0024892911, 0.23161125, 0
10, 658312660, -0.99966043, 2.8167653E-4, 0.008171639, 0.024793357, 0.0032441148, -8.840594E-4, 0.2500782, 0
11, 658329327, -0.9996606, 2.8751307E-4, 0.008173861, 0.02478749, 0.0024485355, -0.008198905, 0.22955132, 0
12, 658345994, -0.99966055, 2.8317436E-4, 0.008164169, 0.024787454, -0.0038036946, -0.004427116, 0.25969696, 0
13, 658362661, -0.99966043, 2.8208958E-4, 0.008174407, 0.024795406, -0.0035784284, 0.011583171, 0.2376175, 0
14, 658379328, -0.99966, 2.8035077E-4, 0.008179766, 0.02480613, -0.016075723, -0.00865347, 0.26007652, 0
15, 658395995, -0.9996599, 2.873069E-4, 0.008173871, 0.024812955, -0.0036054945, -0.0026382837, 0.24108219, 0
16, 658412662, -0.99965984, 2.8803298E-4, 0.008186459, 0.024811126, -0.0067159357, 3.4875443E-4, 0.23792648, 0
17, 658429329, -0.9996597, 2.8750135E-4, 0.008182967, 0.024814527, 2.95533E-4, 0.017200986, 0.23073483, 0
18, 658445996, -0.9996597, 2.9808504E-4, 0.008185524, 0.02482004, 0.010971699, -0.007360554, 0.24618435, 0
19, 658462663, -0.99965966, 2.9598534E-4, 0.008188231, 0.024816047, 0.0026932193, -0.010376614, 0.2568798, 0
20, 658479330, -0.99965966, 2.9880047E-4, 0.008199922, 0.024813915, -0.0016443569, 0.001988951, 0.2569914, 0
21, 658495997, -0.99965984, 2.9647013E-4, 0.008192452, 0.024808459, 0.004998637, 0.0032019836, 0.2502203, 0
22, 658512664, -0.9996597, 2.9471886E-4, 0.008196463, 0.02480876, -0.0051905853, -0.0016054467, 0.22977924, 0
23, 658529331, -0.99966, 3.002237E-4, 0.00819557, 0.024801485, -0.005708975, -5.60567E-4, 0.23912811, 0
24, 658545998, -0.99966, 3.022355E-4, 0.008184508, 0.024804767, -0.005003386, 0.0053256275, 0.25526333, 0
25, 658562665, -0.9996599, 2.9973517E-4, 0.00818746, 0.02480927, 0.0033838814, 0.0038414535, 0.24464798, 0
26, 658579332, -0.9996598, 2.975608E-4, 0.008181805, 0.024816185, -0.012362348, 0.0064084106, 0.26603127, 0
