sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:18:32.881 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2677336373, -0.18578053, -0.5709553, 0.15998557, -0.78347945, -0.037933502, -0.24244182, -0.7550669, 0
2, 2677353040, -0.18672392, -0.57180274, 0.16024388, -0.7825839, 0.0512675, -0.1852111, -0.44744778, 0
3, 2677369707, -0.1878221, -0.5726136, 0.16044635, -0.7816864, 0.18254024, -0.24288751, -0.14083385, 0
4, 2677386374, -0.18877766, -0.57364213, 0.16063061, -0.7806633, 0.1487472, -0.075522125, 0.05095291, 0
5, 2677403041, -0.18929487, -0.5748369, 0.1606788, -0.77964866, -0.0023227467, -0.061340224, 0.24156284, 0
6, 2677419708, -0.18953884, -0.57591605, 0.16077365, -0.77877307, -0.04177122, 0.006616207, 0.3767681, 0
7, 2677436375, -0.18974417, -0.5767286, 0.16102841, -0.7780687, -0.034882102, 7.791662E-4, 0.43886662, 0
8, 2677453042, -0.18998241, -0.5772828, 0.16135101, -0.7775325, 0.11640823, -0.014863611, 0.44084167, 0
9, 2677469709, -0.1902225, -0.5776533, 0.16162814, -0.77714103, 0.19956668, -0.030728115, 0.38886833, 0
10, 2677486376, -0.19035426, -0.57795215, 0.16171978, -0.7768676, 0.26030543, -0.09516824, 0.35381794, 0
11, 2677503043, -0.1905981, -0.5780441, 0.16160715, -0.7767628, 0.29745868, -0.030034985, 0.35139656, 0
12, 2677519710, -0.19099876, -0.57777023, 0.16127284, -0.7769375, 0.20561561, -0.09651423, 0.3012743, 0
13, 2677536377, -0.19137916, -0.57730997, 0.16104145, -0.7772339, -0.04907607, -0.18082154, 0.3010044, 0
