sep=									
DeviceTag:	Xsens_2								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:18:32.882 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2677336373	9.81E-18	7.50E-17	0.707106781	0.707106781	-0.16053835	0.35979939	0.8328446	0
2	2677353040	0.000994247	0.001962215	0.706407485	0.707801968	0.116815785	0.003475746	0.321156061	0
3	2677369707	0.002543963	0.004040098	0.705136788	0.709055228	0.217280763	-0.017200768	0.11922079	0
4	2677386374	0.003656968	0.006317719	0.703476409	0.71068112	0.082238783	0.145517307	-0.339433605	0
5	2677403041	0.004251012	0.008282434	0.701540259	0.71256901	0.038860603	0.169073718	-0.593127519	0
6	2677419708	0.004828324	0.010020952	0.699488969	0.714556821	-0.139008171	0.074799815	-0.384225984	0
7	2677436375	0.005324829	0.011705526	0.697488729	0.716480356	-0.286407348	-0.110857527	-0.334932943	0
8	2677453042	0.006032623	0.0132327	0.695756926	0.718130074	-0.085570852	-0.067946547	-0.167042273	0
9	2677469709	0.006670174	0.014469484	0.694369602	0.719442144	0.209533331	0.168233044	-0.391681696	0
10	2677486376	0.006556327	0.014999157	0.692888768	0.720858651	0.22583751	-0.007298789	-1.01330874	0
11	2677503043	0.005994829	0.014642155	0.691645932	0.722063415	0.396286543	-0.128562536	-1.40148157	0
12	2677519710	0.004964147	0.012989615	0.689825455	0.723842158	0.67440071	-0.276539094	-1.757259648	0
13	2677536377	0.003545856	0.010169336	0.686516038	0.727034896	0.75354902	-0.730748537	-1.335513287	0
14	2677553044	0.001873	0.007138476	0.681507376	0.73177403	0.685207709	-0.76123853	-0.777973313	0
15	2677569711	0.000659035	0.004299422	0.675697718	0.737165975	0.412370152	-0.536275273	-0.103894004	0
16	2677586378	0.00020483	0.001307562	0.670447551	0.741955746	0.229167504	-0.233826258	-0.143102503	0
17	2677603045	0.000489447	0.002718779	-0.665969696	-0.745973681	0.455246031	-0.20357138	-0.529023031	0
18	2677619712	0.001303245	0.007515423	-0.662077335	-0.749396706	0.70051814	-0.898980469	-0.726620556	0
19	2677636379	0.001562063	0.01202005	-0.658575694	-0.752416861	0.360624757	-1.211647815	-0.391506536	0
20	2677653046	0.001088554	0.015550857	-0.656670588	-0.754016396	-0.594094955	-0.674226909	-0.311470689	0
21	2677669713	0.001125664	0.019679798	-0.655531884	-0.754910185	-0.59576975	0.006662267	-0.793510003	0
22	2677686380	0.001855017	0.025061851	-0.654507932	-0.755637366	0.038660453	-0.358103071	-0.903604795	0
23	2677703047	0.002609442	0.029704017	-0.653857657	-0.756029779	-0.533491761	-0.662750111	-0.474637748	0
24	2677719714	0.003832708	0.032852381	-0.653718589	-0.756014575	-1.493552225	-0.288989207	0.33668683	0
25	2677736381	0.005319325	0.035284354	-0.654881181	-0.754888971	-1.310835871	0.453332066	0.825399349	0
26	2677753048	0.006198511	0.037824591	-0.656816911	-0.753075311	-0.742416367	0.360404558	0.640995489	0
27	2677769715	0.006305218	0.040146622	-0.659764353	-0.750372902	-0.378106222	0.203063174	0.111436957	0
28	2677786382	0.006028384	0.042274041	-0.663423892	-0.747024299	-0.215452149	-0.243071619	-0.153521758	0
29	2677803049	0.00586386	0.044267434	-0.668627753	-0.742255305	-0.184128887	-0.521280967	-0.209340356	0
30	2677819716	0.005156807	0.04559072	-0.675765103	-0.735687718	-0.870180045	0.047926956	-0.237808212	0
31	2677836383	0.004082137	0.047276248	-0.68423986	-0.727711554	-1.237445284	0.24273112	-0.373997327	0
32	2677853050	0.003325486	0.049742409	-0.693794551	-0.718445374	-0.908312991	-0.019157865	-0.567316524	0
33	2677869717	0.003855437	0.052334675	-0.704218304	-0.708041522	-0.979830431	-0.111671905	-1.138159512	0
34	2677886384	0.006507818	0.055316362	-0.713463002	-0.698475692	-0.951015291	-0.687264331	-2.032658863	0
35	2677903051	0.010512598	0.059274472	-0.720283719	-0.691062505	-0.210157643	-1.593094574	-2.068962258	0
36	2677919718	0.014957188	0.063628708	-0.725917526	-0.684668837	0.316405321	-1.892153834	-1.180972042	0
37	2677936385	0.020225049	0.06764375	-0.730607718	-0.679137418	-0.096784865	-1.706764329	-0.864774168	0
38	2677953052	0.027076343	0.07257866	-0.734190444	-0.674509898	-0.121072396	-1.048645865	-1.475845467	0
39	2677969719	0.034988801	0.079207708	-0.737160844	-0.670146113	0.894257177	-0.045197996	-2.390135536	0
40	2677986386	0.042996047	0.087768587	-0.73871687	-0.666892346	2.114377375	0.444836115	-2.076512694	0
41	2678003053	0.050569853	0.09617198	-0.739370607	-0.664473284	1.638242044	0.784891756	-0.90207455	0
42	2678019720	0.057724317	0.104045585	-0.740038777	-0.661955458	-0.108765866	0.728385135	-0.083899054	0
43	2678036387	0.064203789	0.112564135	-0.741807062	-0.657973762	-1.500802962	0.813528102	0.2684192	0
