sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:18:32.879 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2677336373, 0.017776608, 0.719687, -0.18832055, 0.6680547, 0.26698488, 0.3887402, 0.8874321, 0
2, 2677353040, 0.022934586, 0.72318715, -0.18966278, 0.6637238, 0.19236396, -0.17081396, 1.0001793, 0
3, 2677369707, 0.026700586, 0.72544384, -0.19059929, 0.6608459, -0.011716326, -0.8848789, 0.8876381, 0
4, 2677386374, 0.030728042, 0.72657496, -0.19176173, 0.6590898, -0.54786915, -0.78590935, 0.37777328, 0
5, 2677403041, 0.036474794, 0.72719204, -0.19417113, 0.6574086, -0.8380028, -0.8758031, 0.094641685, 0
6, 2677419708, 0.04313597, 0.72700244, -0.19776434, 0.65614253, -0.63621265, -1.0257362, 0.36661148, 0
7, 2677436375, 0.049907178, 0.725589, -0.20127079, 0.65616095, 0.05289233, -0.9312735, 0.55338764, 0
8, 2677453042, 0.05615443, 0.72279054, -0.20498857, 0.6575922, -0.3284514, -1.827744, 0.69812775, 0
9, 2677469709, 0.062008798, 0.7180151, -0.2096518, 0.6608196, -1.3183849, -2.0818546, 0.6867037, 0
10, 2677486376, 0.06860009, 0.71137804, -0.21580805, 0.665349, -1.3493428, -2.0877647, 0.20289421, 0
11, 2677503043, 0.076244354, 0.7030078, -0.2230745, 0.6709931, -1.5671803, -1.6906382, -0.09450245, 0
12, 2677519710, 0.084560424, 0.69453096, -0.22996369, 0.67647636, -0.998081, -1.1528921, -0.8597059, 0
13, 2677536377, 0.093652666, 0.68658686, -0.23543525, 0.6814873, -0.48840284, -0.51640266, -1.0198126, 0
14, 2677553044, 0.103339255, 0.6794747, -0.23881088, 0.6860261, -0.07096581, 0.045293447, -0.6909647, 0
15, 2677569711, 0.113039106, 0.6724776, -0.24108177, 0.6905815, -0.4534367, 0.20000331, 0.034321785, 0
16, 2677586378, 0.12091476, 0.6657645, -0.2427249, 0.69516104, -0.8742155, -0.36798716, -0.26786518, 0
17, 2677603045, 0.1272347, 0.66009235, -0.24358205, 0.6991311, -0.038343873, 0.3254085, -1.1571064, 0
19, 2677636379, 0.13597664, 0.65499926, -0.24247587, 0.7026513, 2.1438384, 1.0476608, -2.0878386, 0
22, 2677686380, 0.1331138, 0.6659791, -0.2333215, 0.6959461, 1.2373128, -0.044194322, -1.480401, 0
24, 2677719714, 0.12668106, 0.67804784, -0.22720057, 0.6874665, 1.709129, -0.119484775, 0.97015476, 0
27, 2677769715, 0.10982585, 0.68975157, -0.21781808, 0.68173563, 0.8580432, -0.56928927, 0.83452034, 0
30, 2677819716, 0.07108399, 0.7058039, -0.19999, 0.6758838, 1.987083, -0.40924975, 0.66898537, 0
33, 2677869717, 0.018307775, 0.7105703, -0.18628067, 0.678293, 0.4507228, -2.6870716, 0.31078148, 0
35, 2677903051, -0.010359526, 0.7064053, -0.1799953, 0.6844802, 0.31037167, -0.114755355, -2.3840203, 0
38, 2677953052, -0.032441944, 0.7011204, -0.18974239, 0.6865877, -1.1486518, -1.8097012, -1.5768251, 0
42, 2678019720, -0.04873213, 0.6967123, -0.2049696, 0.6857344, 1.5183935, -0.97823507, 1.745944, 0
