sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:23:35.414 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2979875757, -0.2728946, -0.59611726, 0.22889513, -0.71952754, -0.19670838, -0.17571114, -0.11237526, 0
2, 2979892424, -0.27107924, -0.5959588, 0.22865729, -0.72042, -0.2622844, -0.19180205, -0.26161575, 0
3, 2979909091, -0.2689047, -0.5961031, 0.22800551, -0.72132164, -0.21629862, -0.15558223, -0.20591545, 0
4, 2979925758, -0.26618856, -0.5970786, 0.2269173, -0.7218652, -0.31047112, 0.088285156, -0.20556164, 0
5, 2979942425, -0.26354674, -0.597576, 0.22574368, -0.7227905, -0.4064932, -0.14953017, -0.039618492, 0
6, 2979959092, -0.26081952, -0.59837204, 0.2243886, -0.72354263, -0.5784788, -0.26097083, -0.025868416, 0
7, 2979975759, -0.25799587, -0.59960115, 0.2227124, -0.7240552, -0.7041892, -0.18268228, 0.09244156, 0
8, 2979992426, -0.2548874, -0.6011139, 0.22076428, -0.7244984, -0.72093457, -0.15341727, 0.30311775, 0
9, 2980009093, -0.25157645, -0.60223305, 0.218634, -0.7253716, -0.6042646, -0.050975483, 0.19740677, 0
10, 2980025760, -0.24810447, -0.60295635, 0.21647023, -0.7266143, -0.5762269, -0.035842985, 0.05597496, 0
11, 2980042427, -0.24451336, -0.60352665, 0.21420403, -0.7280286, -0.59024477, 0.030304557, -0.0974884, 0
12, 2980059094, -0.24086602, -0.6041235, 0.21181083, -0.72944814, -0.6317017, 0.06606551, -0.13728905, 0
13, 2980075761, -0.23722452, -0.60476166, 0.2092824, -0.7308409, -0.56342834, 0.14086412, -0.09499836, 0
14, 2980092428, -0.23366065, -0.60529184, 0.20667875, -0.73228985, -0.6064613, 0.1790151, -0.08059883, 0
15, 2980109095, -0.23007916, -0.6057911, 0.20416886, -0.7337137, -0.6678584, 0.14903486, -0.022336006, 0
16, 2980125762, -0.22655456, -0.606315, 0.2017201, -0.7350539, -0.74593896, 0.16215418, -0.02765274, 0
17, 2980142429, -0.22316079, -0.606795, 0.1991926, -0.7363841, -0.822158, 0.17333676, 0.14894962, 0
20, 2980192430, -0.21337405, -0.6074086, 0.19096513, -0.74094445, -0.7076083, 0.2866661, 0.23240757, 0
23, 2980242431, -0.2045285, -0.60645604, 0.18439996, -0.7458658, -0.9142744, 0.07236299, 0.055537224, 0
25, 2980275765, -0.20010148, -0.6050521, 0.18130872, -0.7489584, -0.9371136, 0.0700988, 0.048707962, 0
28, 2980325766, -0.19563505, -0.60320395, 0.1780413, -0.752405, -0.6846962, -0.17159872, 0.058181763, 0
31, 2980375767, -0.19413403, -0.6025887, 0.17528959, -0.7539313, -0.48620638, -0.06026401, -0.15425968, 0
33, 2980409101, -0.19415349, -0.6023854, 0.17472127, -0.75422066, -0.1607351, -0.22339562, -0.19516659, 0
36, 2980459102, -0.19466934, -0.6020454, 0.1759351, -0.754077, 0.12966746, -0.28195444, -0.18808365, 0
39, 2980509103, -0.1974268, -0.60255116, 0.17815411, -0.7524333, 0.37405652, -0.28744906, 0.35132122, 0
42, 2980559104, -0.2037989, -0.60396814, 0.17940506, -0.7492945, 0.47653967, 0.038814366, 0.51113033, 0
44, 2980592438, -0.20841005, -0.6050991, 0.18063025, -0.7468154, 0.95488375, -0.14570944, 0.6533928, 0
