sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:23:35.414 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2979875757	2.19E-17	2.35E-16	0.707106781	0.707106781	0.495047	-0.7457571	-0.023412758	0
2	2979892424	0.002281374	0.005076463	0.712399423	0.701752155	0.75099467	-0.699180026	-0.439238982	0
3	2979909091	0.004202696	0.01070075	0.716640838	0.697347647	0.751396321	-0.584123368	-0.70254103	0
4	2979925758	0.00576651	0.01664876	0.720157159	0.69358722	0.485093754	-0.539754613	-0.764028297	0
5	2979942425	0.006761398	0.023172733	0.724259288	0.689105066	-0.152919138	-0.350263589	-0.312470478	0
6	2979959092	0.007304779	0.030154327	0.728703387	0.684126253	-0.56131168	-0.361001649	-0.171420312	0
7	2979975759	0.007851504	0.037076093	0.733691495	0.67842502	-0.469079723	-0.225141852	-0.276608796	0
8	2979992426	0.008001941	0.043861394	0.739442779	0.671741412	-0.576928893	0.192843354	-0.284479688	0
9	2980009093	0.007238986	0.050229065	0.745960247	0.664054175	-0.707487984	0.61185807	-0.390245501	0
10	2980025760	0.005494397	0.056097354	0.753026144	0.655571907	-0.799582382	0.631893124	-0.653702389	0
11	2980042427	0.003211628	0.061968317	0.760037151	0.646910459	-0.642681608	0.528810437	-0.869054032	0
12	2980059094	0.000607572	0.067560356	0.766467307	0.638719889	-0.324822995	0.414203992	-1.049694665	0
13	2980075761	0.002105004	-0.072565451	-0.77209999	-0.631340978	0.043459591	0.219705396	-1.306034003	0
14	2980092428	0.004864746	-0.076964625	-0.776664137	-0.625176454	0.172745552	0.043818351	-1.494713965	0
15	2980109095	0.007582517	-0.080546501	-0.780150033	-0.620339176	0.126195124	-0.298672832	-1.531460509	0
16	2980125762	0.010392115	-0.083449494	-0.782616573	-0.616797768	-0.115583177	-0.568399342	-1.330565195	0
17	2980142429	0.013248631	-0.085952338	-0.783798731	-0.61489529	-0.702793157	-0.665698421	-1.0480661	0
18	2980159096	0.015227974	-0.087568899	-0.783494868	-0.615008608	-0.786330581	-0.971684757	-1.669470184	0
21	2980209097	0.019140009	-0.085612985	-0.781679243	-0.617480071	1.131290927	-0.063858013	0.020791891	0
24	2980259098	0.022971402	-0.075912292	-0.791426211	-0.606097509	0.821955386	-0.006967355	-0.661788277	0
27	2980309099	0.02576538	-0.060925945	-0.803987263	-0.590955713	0.351949699	-0.307808508	-0.243269724	0
29	2980342433	0.028674195	-0.051866051	-0.809466808	-0.584167091	0.454866511	0.050298835	0.518459197	0
32	2980392434	0.034655155	-0.043071734	-0.816180772	-0.575145889	0.571039278	-0.027549381	0.549439396	0
35	2980442435	0.037839961	-0.041321069	-0.818071578	-0.572380642	0.912877381	-0.281480689	-0.191256773	0
39	2980509103	0.034801915	-0.044641579	-0.81363511	-0.578613744	-0.215470748	0.541314954	0.418632972	0
41	2980542437	0.032757595	-0.047242343	-0.811100774	-0.582074424	-0.789560724	0.923224745	0.344841989	0
44	2980592438	0.030753589	-0.05281656	-0.804294081	-0.591080078	-0.771805311	0.65692128	0.356068268	0
47	2980642439	0.029611257	-0.05701774	-0.797047472	-0.600489365	-1.022397924	0.127738555	0.65916018	0
51	2980709107	0.032831204	-0.058695401	-0.790677185	-0.608528184	-0.740687895	-0.852571774	0.53480028	0
54	2980759108	0.037450313	-0.058348718	-0.78582907	-0.614545014	-1.158659964	-0.64485842	0.756145706	0
56	2980792442	0.041393231	-0.058251903	-0.782178486	-0.618942754	-1.095305808	-0.464353052	0.587166532	0
59	2980842443	0.048062406	-0.058854209	-0.775219212	-0.627105542	-0.766454185	0.272879436	0.298867153	0
62	2980892444	0.05113453	-0.061137144	-0.764129661	-0.64011981	-0.158303892	0.166469971	-0.305048054	0
64	2980925778	0.050971559	-0.063017018	-0.754179558	-0.651647106	0.088528346	0.562763884	-0.427367085	0
67	2980975779	0.04376358	-0.063039574	-0.741085314	-0.667010733	1.859726921	1.035518421	-1.146287047	0
70	2981025780	0.027485087	-0.057316819	-0.72675554	-0.683948636	1.96542883	1.143236849	-1.443380978	0
