sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:02:17.797 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1702266872, -0.32373378, -0.7129516, 0.1805551, -0.5952212, 0.2580943, -0.0073663164, 0.042030334, 0
2, 1702283539, -0.32351434, -0.71283734, 0.18049477, -0.5954956, 0.20229095, -0.037127513, 0.08514309, 0
3, 1702300206, -0.32331976, -0.7126308, 0.18049684, -0.5958477, 0.23709807, -0.0011658436, 0.06597614, 0
4, 1702316873, -0.32305646, -0.712436, 0.18047148, -0.59623104, 0.18588479, -0.09262581, 0.12251949, 0
5, 1702333540, -0.32282284, -0.71218294, 0.1805795, -0.596627, 0.11727747, -0.15447092, 0.16093636, 0
6, 1702350207, -0.32273278, -0.7118316, 0.18090762, -0.5969954, 0.19917698, -0.13064533, 0.12820435, 0
7, 1702366874, -0.32252502, -0.71152544, 0.18120015, -0.5973839, 0.24671952, -0.07351028, 0.08226681, 0
8, 1702383541, -0.3221674, -0.71128243, 0.18140705, -0.59780324, 0.13465047, -0.081873246, 0.08302021, 0
9, 1702400208, -0.32208872, -0.71089673, 0.18190545, -0.5981529, 0.04856445, -0.20780112, 0.106313705, 0
10, 1702416875, -0.32215095, -0.71042305, 0.18260124, -0.5984702, 0.11685671, -0.11754636, 0.09540844, 0
11, 1702433542, -0.3220889, -0.70999265, 0.18323214, -0.5988212, 0.10822944, -0.07059724, 0.112148285, 0
12, 1702450209, -0.32204926, -0.70951295, 0.18385993, -0.5992187, 0.08296969, -0.10836735, 0.097042084, 0
13, 1702466876, -0.32209688, -0.70898396, 0.18454674, -0.59960806, 0.084092505, -0.14255098, 0.08128643, 0
14, 1702483543, -0.3219941, -0.7085613, 0.1850845, -0.5999968, 0.05094866, -0.108851254, 0.066334724, 0
15, 1702500210, -0.32183605, -0.7082023, 0.18548793, -0.60038066, -0.07550592, -0.14483729, 0.11962223, 0
16, 1702516877, -0.3218226, -0.707793, 0.18591207, -0.6007395, -0.103526846, -0.155755, 0.13496399, 0
17, 1702533544, -0.3218264, -0.7073946, 0.18625543, -0.6011002, -0.043707065, -0.07057824, 0.09373093, 0
18, 1702550211, -0.32177037, -0.7070569, 0.18635316, -0.6014972, -0.085780025, -0.033309463, 0.10208511, 0
19, 1702566878, -0.32150403, -0.7068339, 0.18602909, -0.6020018, -0.123275, -0.020431766, 0.105321884, 0
20, 1702583545, -0.32095158, -0.7067807, 0.1853132, -0.6025794, -0.13429776, -0.039116554, 0.13839054, 0
21, 1702600212, -0.32028994, -0.70680535, 0.18428229, -0.6032185, -0.22193305, -0.08591123, 0.16031265, 0
22, 1702616879, -0.3200298, -0.70668954, 0.183483, -0.6037356, -0.3342615, -0.22512336, 0.17904568, 0
23, 1702633546, -0.3201068, -0.70647055, 0.18286286, -0.60413915, -0.111551516, -0.06457714, 0.13258362, 0
24, 1702650213, -0.31994024, -0.70643634, 0.18194945, -0.604543, -0.06825091, -0.0067954645, 0.11870575, 0
25, 1702666880, -0.31981122, -0.7064628, 0.18090956, -0.6048925, -0.21671358, -0.10285351, 0.23268795, 0
26, 1702683547, -0.3196631, -0.70658743, 0.17987248, -0.6051341, -0.21066901, -0.117398836, 0.2142477, 0
27, 1702700214, -0.31956226, -0.70679605, 0.17903568, -0.60519195, -0.23106389, -0.24420221, 0.20865631, 0
28, 1702716881, -0.31983507, -0.7068715, 0.17856678, -0.6050983, -0.16687454, -0.19761361, 0.19239044, 0
29, 1702733548, -0.32026678, -0.70693165, 0.17822388, -0.6049009, -0.038106613, -0.0461295, 0.088321686, 0
30, 1702750215, -0.32070228, -0.70705926, 0.17799157, -0.6045893, -0.08129781, -0.09675854, 0.06944561, 0
31, 1702766882, -0.32132125, -0.7071227, 0.17794047, -0.60420126, -0.111038886, -0.14536835, 0.1442051, 0
32, 1702783549, -0.3219427, -0.70714056, 0.17779925, -0.6038911, 0.06776175, 0.03318944, 0.09942055, 0
33, 1702800216, -0.32226437, -0.7072895, 0.1773681, -0.60367185, 0.120816015, 0.07966896, 0.067204475, 0
34, 1702816883, -0.32238838, -0.7075216, 0.176815, -0.6034957, 0.07546446, -0.04157788, 0.06796646, 0
35, 1702833550, -0.32272425, -0.7075966, 0.1763646, -0.6033603, 0.09769684, -0.097698405, 0.029462814, 0
36, 1702850217, -0.32301795, -0.7076454, 0.17590116, -0.60328114, 0.18044826, -0.04519186, -0.013846397, 0
37, 1702866884, -0.32301286, -0.7078155, 0.1751777, -0.6032947, 0.24011293, 0.014022308, -0.040078163, 0
38, 1702883551, -0.32269114, -0.70809275, 0.1742007, -0.60342443, 0.17211123, -0.07165691, -0.011517525, 0
39, 1702900218, -0.32257068, -0.7082351, 0.17340101, -0.603552, 0.04251574, -0.16172302, 0.03951168, 0
40, 1702916885, -0.32312062, -0.7080003, 0.1732931, -0.60356444, 0.017524421, -0.27196923, 0.09339619, 0
41, 1702933552, -0.32386714, -0.70767176, 0.17346913, -0.6034992, 0.18081886, -0.10269079, 0.054697037, 0
42, 1702950219, -0.3241537, -0.707566, 0.17342544, -0.6034819, 0.1947968, -0.11696523, 0.06526089, 0
43, 1702966886, -0.32432124, -0.7074915, 0.17333268, -0.6035058, 0.042155214, -0.1574794, 0.100390434, 0
44, 1702983553, -0.3250008, -0.70715034, 0.17373605, -0.6034241, -0.04740777, -0.32000485, 0.08210468, 0
45, 1703000220, -0.32602993, -0.7066394, 0.17457621, -0.60322475, 0.10493967, -0.20323318, 0.025405884, 0
46, 1703016887, -0.32673746, -0.70629084, 0.17520706, -0.6030674, 0.23511474, -0.08577131, 0.04161358, 0
47, 1703033554, -0.3270467, -0.70610374, 0.17547521, -0.603041, 0.14010228, -0.11215969, 0.119654655, 0
48, 1703050221, -0.3273773, -0.70585704, 0.17571023, -0.6030821, 0.041851126, -0.18516909, 0.1483326, 0
50, 1703083555, -0.32930097, -0.70469177, 0.17739603, -0.60290366, 0.061922587, -0.1809523, 0.101278305, 0
51, 1703100222, -0.3303511, -0.704041, 0.1782931, -0.60282505, 0.17167248, -0.12969518, 0.06431484, 0
53, 1703133556, -0.33162266, -0.7031255, 0.17934035, -0.60288453, 0.046205714, -0.23289469, 0.12131786, 0
54, 1703150223, -0.33268523, -0.7024749, 0.18033114, -0.602762, -0.04824517, -0.29948267, 0.13854027, 0
55, 1703166890, -0.33436006, -0.7015363, 0.18200569, -0.6024251, 0.054572254, -0.3178703, 0.14106178, 0
58, 1703216891, -0.33871105, -0.69894284, 0.18672805, -0.60156316, 0.19494398, 0.005227968, 0.07918739, 0
59, 1703233558, -0.33986908, -0.6981711, 0.18805583, -0.6013926, 0.027211025, -0.085085124, 0.076999664, 0
