sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:08:09.690 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2054157243, -0.4075718, 0.65485835, 0.28069025, 0.5712127, 0.022775726, -0.06155969, 0.06315231, 0
2, 2054173910, -0.4067551, 0.6558568, 0.28111023, 0.57044226, -0.05249116, 0.040510774, 0.11148262, 0
3, 2054190577, -0.40614876, 0.65669304, 0.2815392, 0.56970006, 0.029657032, 0.054042637, 0.14385319, 0
4, 2054207244, -0.40552747, 0.65751475, 0.2818073, 0.56906205, 0.0076250606, -0.06770864, 0.07939339, 0
5, 2054223911, -0.40469512, 0.6584358, 0.28176355, 0.568611, -8.550488E-4, -0.046617456, 0.08929157, 0
6, 2054240578, -0.40388763, 0.6593288, 0.28156692, 0.56824756, 0.038839057, 0.05681923, 0.11057949, 0
7, 2054257245, -0.4032692, 0.66001993, 0.28145486, 0.56794024, -0.006786049, 0.09502712, 0.12648964, 0
8, 2054273912, -0.40284297, 0.6605296, 0.28139833, 0.56767803, 0.01724992, 0.0038451771, 0.12020874, 0
9, 2054290579, -0.4024534, 0.6609303, 0.2813014, 0.5675362, 0.05159413, -0.006489978, 0.12083912, 0
10, 2054307246, -0.40198022, 0.6613771, 0.281176, 0.567413, 0.13001677, -0.0081838155, 0.09492493, 0
11, 2054323913, -0.40152016, 0.66181153, 0.28116536, 0.56723756, 0.1986515, 0.06851208, 0.1441307, 0
12, 2054340580, -0.40137708, 0.66199887, 0.2814052, 0.567001, 0.1997245, 0.09153169, 0.17086029, 0
13, 2054357247, -0.40136594, 0.6620319, 0.2817824, 0.566783, 0.16074602, 0.039451797, 0.1384449, 0
14, 2054373914, -0.4013011, 0.66207224, 0.2819987, 0.5666744, 0.14673209, -0.030574895, 0.18942642, 0
