sep=									
DeviceTag:	Xsens_2								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:08:09.693 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2054157243	0	0	-0.707106781	-0.707106781	-0.104876846	0.2121973	0.036611646	0
2	2054173910	0.000303321	6.07E-05	-0.707205923	-0.707007558	-0.019234171	0.170727757	-0.053131675	0
3	2054190577	0.000463797	3.17E-05	-0.707170222	-0.707043182	0.083629668	0.089128864	-0.021774708	0
4	2054207244	0.000513629	-8.46E-05	-0.707020583	-0.707192778	0.03397781	0.155925049	0.036704548	0
5	2054223911	0.000465641	-0.000252813	-0.70672775	-0.707485411	0.042566731	0.127816581	0.082851004	0
6	2054240578	0.000281212	-0.000476193	-0.706362798	-0.707849766	0.052485462	0.142927201	0.063074383	0
7	2054257245	3.14E-05	-0.000767396	-0.706019171	-0.708192305	0.053049417	0.116885736	0.109272544	0
8	2054273912	0.000292656	0.00108377	0.70590344	0.708307188	0.068160201	0.131511339	0.157199148	0
9	2054290579	0.000704117	0.001440296	0.705859592	0.70834996	-0.004612513	0.188232828	0.116591998	0
10	2054307246	0.001064596	0.0016918	0.705619404	0.708588217	-0.101003597	0.251162442	0.032827865	0
11	2054323913	0.00131203	0.001895077	0.705433786	0.70877208	-0.126130937	0.196592895	0.150944353	0
12	2054340580	0.001568407	0.002004743	0.70546446	0.708740726	-0.084534919	0.21778562	0.221885366	0
13	2054357247	0.001759733	0.002063263	0.705570063	0.708634979	-0.067289288	0.240172791	0.121960751	0
14	2054373914	0.001966326	0.002121366	0.705601299	0.708603161	-0.055968939	0.239212704	0.022702068	0
15	2054390581	0.002263543	0.00224185	0.705313371	0.708888495	-0.078772717	0.34345458	-0.133361566	0
16	2054407248	0.002716967	0.002477604	0.70443706	0.709756936	-0.144773883	0.394733424	-0.162496424	0
17	2054423915	0.003227331	0.002756177	0.703198058	0.710981349	-0.152404679	0.330689191	-0.05402164	0
