sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 10:46:50.655 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 775131663, 0.9705731, 0.014042822, 0.0015802851, -0.24039182, -0.109513804, -0.30083266, 0.078840256, 0
2, 775148330, 0.97056955, 0.014051066, 0.0015771461, -0.24040602, -0.114365906, -0.3109197, 0.084239006, 0
3, 775164997, 0.97056854, 0.014050293, 0.0015727857, -0.24040966, -0.11760893, -0.30747923, 0.074025154, 0
4, 775181664, 0.97057635, 0.014056464, 0.0015641873, -0.24037771, -0.13129167, -0.31018898, 0.091724396, 0
5, 775198331, 0.97058195, 0.014066686, 0.0015707185, -0.24035494, -0.10585731, -0.30571687, 0.07889271, 0
6, 775214998, 0.97059524, 0.014066152, 0.0015769792, -0.24030115, -0.11681849, -0.2955448, 0.09033203, 0
7, 775231665, 0.97060144, 0.014067981, 0.0015656272, -0.24027602, -0.1294577, -0.3084644, 0.08735561, 0
8, 775248332, 0.9706098, 0.014070359, 0.0015640049, -0.24024217, -0.10905168, -0.2958164, 0.0809536, 0
9, 775264999, 0.9706167, 0.014076574, 0.0015602398, -0.24021383, -0.12371387, -0.30590174, 0.10011864, 0
10, 775281666, 0.9706181, 0.014082756, 0.0015639984, -0.24020746, -0.12415295, -0.31563118, 0.0723896, 0
11, 775298333, 0.97061455, 0.014088407, 0.0015551558, -0.24022143, -0.119714685, -0.3019834, 0.06947136, 0
12, 775315000, 0.9706205, 0.014093076, 0.001554645, -0.24019766, -0.12852575, -0.31450903, 0.09170437, 0
13, 775331667, 0.9706266, 0.014094512, 0.0015503521, -0.240173, -0.1257595, -0.30092135, 0.08737373, 0
14, 775348334, 0.9706325, 0.014115214, 0.0015463759, -0.24014802, -0.12450214, -0.30966, 0.07730484, 0
15, 775365001, 0.97064054, 0.014120622, 0.0015453062, -0.24011499, -0.1305857, -0.30294436, 0.084527016, 0
16, 775381668, 0.97064465, 0.014124167, 0.0015430922, -0.24009815, -0.12877595, -0.3160556, 0.074671745, 0
17, 775398335, 0.9706498, 0.014130944, 0.0015380643, -0.24007693, -0.13379242, -0.31525242, 0.07156563, 0
18, 775415002, 0.9706649, 0.014138297, 0.001541766, -0.2400152, -0.13077365, -0.31479454, 0.07511139, 0
19, 775431669, 0.9706617, 0.014146836, 0.0015474078, -0.2400276, -0.12130973, -0.3074013, 0.07962322, 0
20, 775448336, 0.97066647, 0.014153943, 0.0015456356, -0.24000782, -0.12115518, -0.3080166, 0.08284092, 0
21, 775465003, 0.97067225, 0.014167974, 0.0015469977, -0.239984, -0.12963733, -0.30230233, 0.07472134, 0
22, 775481670, 0.97067565, 0.014173625, 0.0015524601, -0.23997, -0.11146188, -0.3137084, 0.08287048, 0
23, 775498337, 0.97068083, 0.014182017, 0.0015532029, -0.23994796, -0.13534336, -0.30924365, 0.0634985, 0
24, 775515004, 0.97068393, 0.0141890375, 0.0015508456, -0.23993534, -0.12283509, -0.29970193, 0.08543301, 0
25, 775531671, 0.9706885, 0.01420253, 0.0015361299, -0.23991592, -0.11402852, -0.31093428, 0.09147644, 0
26, 775548338, 0.9706922, 0.0142125, 0.0015333986, -0.2399003, -0.113290034, -0.29732984, 0.098890305, 0
27, 775565005, 0.970702, 0.01422017, 0.0015403038, -0.23986024, -0.12387158, -0.30709878, 0.08439064, 0
28, 775581672, 0.9707034, 0.014227051, 0.0015351704, -0.23985459, -0.11422585, -0.30914482, 0.071219444, 0
29, 775598339, 0.97070765, 0.014224666, 0.0015382818, -0.23983693, -0.12257539, -0.30267975, 0.07290268, 0
30, 775615006, 0.97071296, 0.014237001, 0.00153939, -0.239815, -0.13077246, -0.31320876, 0.09639168, 0
31, 775631673, 0.970731, 0.014243057, 0.0015296481, -0.23974185, -0.117393054, -0.30923772, 0.07415104, 0
32, 775648340, 0.9707146, 0.014246207, 0.00153086, -0.23980813, -0.11043462, -0.31168282, 0.064759254, 0
33, 775665007, 0.9707196, 0.014239639, 0.0015320521, -0.23978841, -0.13399144, -0.3215096, 0.073287964, 0
34, 775681674, 0.9707277, 0.014235461, 0.001530548, -0.23975575, -0.10795343, -0.31274173, 0.059261322, 0
35, 775698341, 0.97072804, 0.014246901, 0.0015173525, -0.23975343, -0.1234699, -0.3047273, 0.06994057, 0
36, 775715008, 0.97073317, 0.014254962, 0.0015060815, -0.23973219, -0.12492338, -0.31953758, 0.07246113, 0
37, 775731675, 0.970733, 0.014267473, 0.0015090576, -0.23973215, -0.13222714, -0.30751768, 0.077708244, 0
38, 775748342, 0.9707374, 0.014272481, 0.001511482, -0.23971449, -0.1280512, -0.2970495, 0.07265282, 0
39, 775765009, 0.9707439, 0.014272979, 0.0015124308, -0.2396882, -0.118801855, -0.3032051, 0.08596039, 0
40, 775781676, 0.97075087, 0.014272884, 0.0015159933, -0.23965988, -0.117800824, -0.3118406, 0.08046436, 0
41, 775798343, 0.9707562, 0.014278004, 0.0015209044, -0.23963751, -0.12736462, -0.31320858, 0.09648132, 0
