sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:18:32.882 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2677336373, -0.063411176, 0.8150631, -0.3486686, 0.45833308, 0.16053835, 0.8328446, 0.35979939, 0
2, 2677353040, -0.06364992, 0.81584287, -0.34954488, 0.45624068, -0.11635917, 0.3213077, 0.00459671, 0
3, 2677369707, -0.063260034, 0.81699145, -0.35050032, 0.45349836, -0.21717559, 0.1197683, -0.014515877, 0
4, 2677386374, -0.06257787, 0.8179306, -0.35207602, 0.45067057, -0.08148176, -0.34059653, 0.14320755, 0
5, 2677403041, -0.061446846, 0.8185656, -0.3539787, 0.44817597, -0.03932811, -0.59547496, 0.16049671, 0
6, 2677419708, -0.060063407, 0.8191743, -0.35583746, 0.44577277, 0.13763134, -0.38671747, 0.063679695, 0
7, 2677436375, -0.058721334, 0.81972003, -0.35767716, 0.44347024, 0.28052643, -0.3343009, -0.12667465, 0
8, 2677453042, -0.05758533, 0.8203466, -0.35912484, 0.44128507, 0.0819223, -0.16562545, -0.07549286, 0
9, 2677469709, -0.056682512, 0.820884, -0.36024246, 0.43948805, -0.20895836, -0.39520347, 0.16053581, 0
10, 2677486376, -0.05532086, 0.8209529, -0.36151782, 0.43848434, -0.23864299, -1.0095944, -0.04023838, 0
11, 2677503043, -0.05374834, 0.8206927, -0.36246076, 0.4383888, -0.41781768, -1.389933, -0.17673874, 0
12, 2677519710, -0.050809026, 0.82011366, -0.36337882, 0.43906218, -0.70209306, -1.7345355, -0.34307957, 0
13, 2677536377, -0.045556992, 0.81930995, -0.36483938, 0.439927, -0.7805913, -1.2847053, -0.7909708, 0
14, 2677553044, -0.038327098, 0.8184021, -0.36736035, 0.4402082, -0.7007683, -0.71708214, -0.8055763, 0
15, 2677569711, -0.030326545, 0.8177508, -0.37013286, 0.43971992, -0.41655752, -0.054921605, -0.5402756, 0
