sep=									
DeviceTag:	Xsens_3								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:18:32.879 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2677336373	1.23E-17	-1.29E-16	0.707106781	0.707106781	-0.26698488	0.8874321	0.3887402	0
2	2677353040	0.005461302	0.000913364	0.703294238	0.710877314	-0.182263312	1.003648731	-0.161273817	0
3	2677369707	0.009141164	0.001315111	0.700541479	0.713551922	0.034661829	0.903423942	-0.868143464	0
4	2677386374	0.01153105	0.000737778	0.697674656	0.716321552	0.566374535	0.38858804	-0.767297846	0
5	2677403041	0.013534942	-0.000441959	0.693308976	0.720513201	0.857029941	0.112249203	-0.855065265	0
6	2677419708	0.014556539	-0.002037782	0.687918626	0.725638972	0.666740908	0.408854805	-0.989747228	0
7	2677436375	0.014247644	-0.004798124	0.68264259	0.730597753	-0.020495273	0.615767081	-0.892589859	0
8	2677453042	0.012080734	-0.008302019	0.677688269	0.735203198	0.384252804	0.842055778	-1.754765699	0
9	2677469709	0.007177586	-0.012637075	0.672665013	0.739804411	1.369122029	0.889652784	-1.969223727	0
10	2677486376	2.28E-05	0.017917511	-0.666587216	-0.745211678	1.392851894	0.466268629	-2.015740723	0
11	2677503043	0.009047753	0.024397798	-0.659381389	-0.75135815	1.601060172	0.198371457	-1.649393046	0
12	2677519710	0.017638266	0.031437939	-0.651817097	-0.757518989	1.072643851	-0.607927105	-1.242690595	0
13	2677536377	0.024693025	0.039272178	-0.644340382	-0.763330481	0.586563263	-0.871092899	-0.66510712	0
14	2677553044	0.029755966	0.048042694	-0.637427404	-0.768435285	0.14703884	-0.6757382	-0.079229567	0
15	2677569711	0.034205102	0.057366527	-0.630952767	-0.772940941	0.440963167	0.049851114	0.223272259	0
16	2677586378	0.038802085	0.065828743	-0.625759176	-0.776264406	0.912539304	-0.055487857	-0.368255566	0
17	2677603045	0.042588548	0.073103168	-0.621777976	-0.778610487	0.222798	-1.179746709	0.069389613	0
19	2677636379	0.043993792	0.082448281	-0.617290278	-0.781165501	-1.758688791	-2.609150195	0.38994263	0
22	2677686380	0.030276395	0.078435899	-0.623481585	-0.777304228	-0.981171465	-1.597377888	-0.458442652	0
24	2677719714	0.01769087	0.069430023	-0.629909155	-0.773356943	-1.810205039	0.771155847	-0.071240332	0
27	2677769715	0.008676394	0.057301795	-0.64409001	-0.762751128	-0.900068188	0.84130576	-0.488706946	0
30	2677819716	0.000198236	0.034789315	-0.674192686	-0.737735648	-1.997713229	0.608883605	-0.449364264	0
33	2677869717	0.009666635	0.009559242	-0.708980779	-0.705096753	-0.459212912	0.283644568	-2.688635196	0
35	2677903051	0.022019847	-3.86E-05	-0.726915494	-0.686373797	-0.237352312	-2.394945149	0.030883135	0
38	2677953052	0.038647251	-0.015654172	-0.733089287	-0.678853029	1.0639991	-1.678288811	-1.769759692	0
42	2678019720	0.053954855	-0.032386871	-0.733193741	-0.677101841	-1.68586387	1.621600815	-0.916000509	0
45	2678069721	0.065251413	-0.044090647	-0.756495417	-0.649240288	0.983800157	3.10363707	-0.187302949	0
47	2678103055	0.06968638	-0.048363146	-0.76698581	-0.636032689	1.849982921	3.371571027	1.587527609	0
50	2678153056	0.078052188	-0.044892417	-0.766199063	-0.636263722	2.659836056	-0.102678769	2.266187859	0
53	2678203057	0.077773913	-0.043386236	-0.746696747	-0.659175864	2.024338871	-1.085911223	1.493936107	0
57	2678269725	0.06054102	-0.038873962	-0.710539892	-0.699969044	1.279387098	0.158870289	1.154354103	0
60	2678319726	0.037447756	-0.0294312	-0.672280865	-0.738762417	1.256134324	0.92737782	1.865218475	0
62	2678353060	0.026303056	-0.021362894	-0.643258916	-0.764898518	0.332938566	1.226804239	1.117394869	0
65	2678403061	0.018672085	0.004420757	-0.61342719	-0.789518139	0.182839086	0.644964742	-0.004846345	0
68	2678453062	0.017237155	0.036588725	-0.606923861	-0.793730164	-0.514549233	0.335705698	-1.943440206	0
70	2678486396	0.01703193	0.056678853	-0.611954858	-0.788675264	-0.391811386	0.070754354	-2.539107403	0
73	2678536397	0.01565762	0.076437167	-0.619828847	-0.780848512	-4.013591437	-1.774371311	-2.46603209	0
76	2678586398	0.006698235	0.063139305	-0.637180788	-0.768094529	-1.446279586	1.371325959	1.170044912	0
78	2678619732	0.004786409	0.057041489	-0.63555209	-0.769933049	-1.572928813	0.779953874	0.72563513	0
81	2678669733	0.016861217	0.052405375	-0.620867985	-0.781979745	1.046750835	0.944183132	0.110158885	0
84	2678719734	0.033997675	0.055469275	-0.610022799	-0.789708492	1.3418584	0.241120723	-0.675252635	0
87	2678769735	0.046595799	0.062771598	-0.61072428	-0.78797488	1.366903204	-0.392710146	-0.660907912	0
89	2678803069	0.050744091	0.065783918	-0.612167579	-0.786351301	0.249628126	-0.342370317	-0.220129672	0
92	2678853070	0.05177246	0.065139448	-0.616728602	-0.782765799	-1.087822064	-0.220049448	0.791392351	0
96	2678919738	0.04940534	0.060802101	-0.618934655	-0.781525502	-0.128927809	0.193308834	1.201686454	0
99	2678969739	0.04841375	0.059772298	-0.618407862	-0.782083817	0.304431262	0.300111468	0.319674255	0
101	2679003073	0.046128965	0.059588597	-0.620089545	-0.780903499	0.834561904	0.341481984	0.080579794	0
104	2679053074	0.043123474	0.060340424	-0.621339777	-0.780023257	0.042777483	0.06167326	-0.442213785	0
107	2679103075	0.039578021	0.060422223	-0.625687375	-0.77672263	-0.10257334	-0.076624357	-0.884731475	0
110	2679153076	0.028318668	0.053685149	-0.625362358	-0.777970359	-0.270114489	-0.078537362	-0.209671645	0
112	2679186410	0.021622559	0.048535675	-0.622796475	-0.780577545	-0.332973705	0.486567564	0.070288449	0
115	2679236411	0.018427072	0.04657427	-0.62438699	-0.779507644	-0.246599572	0.293771033	0.249764252	0
118	2679286412	0.017225548	0.04698806	-0.627500431	-0.777006185	-0.001406253	0.12083101	0.062767087	0
120	2679319746	0.017626601	0.048592551	-0.629572242	-0.775220523	-0.24719316	0.139536949	-0.216844858	0
