sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.4.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-11-25 11:23:35.414 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2979875757, 0.0759515, 0.79430926, 0.21522994, 0.5630294, -0.495047, -0.023412758, -0.7457571, 0
2, 2979892424, 0.06997503, 0.7982011, 0.2174944, 0.5574019, -0.75994575, -0.44667155, -0.6846485, 0
3, 2979909091, 0.06478432, 0.80214137, 0.21842663, 0.55198187, -0.7698334, -0.71100837, -0.5488024, 0
4, 2979925758, 0.06008193, 0.806053, 0.21842067, 0.54679364, -0.5133525, -0.7757897, -0.49498463, 0
5, 2979942425, 0.05418311, 0.8101355, 0.21827115, 0.5414098, 0.13080096, -0.3329391, -0.3402195, 0
6, 2979959092, 0.04744394, 0.8143169, 0.217921, 0.5358821, 0.53551024, -0.21247488, -0.37796974, 0
7, 2979975759, 0.04000044, 0.81843406, 0.21808642, 0.530119, 0.44235653, -0.3133257, -0.23105145, 0
8, 2979992426, 0.031380236, 0.82234925, 0.21879609, 0.52431613, 0.5758203, -0.29596534, 0.1783247, 0
9, 2980009093, 0.021353304, 0.82577175, 0.21996728, 0.51892364, 0.7337592, -0.36397085, 0.5969286, 0
10, 2980025760, 0.010141164, 0.8286116, 0.22144446, 0.5140862, 0.809768, -0.6228401, 0.6498413, 0
11, 2980042427, -0.001450181, 0.83119565, 0.22266045, 0.5094664, 0.62430733, -0.8306577, 0.606781, 0
12, 2980059094, -0.012564927, 0.8334291, 0.22344947, 0.50530237, 0.27546078, -0.9887843, 0.57040405, 0
13, 2980075761, -0.022690497, 0.8352344, 0.22390608, 0.5017538, -0.14287968, -1.2256438, 0.4829769, 0
14, 2980092428, -0.031402946, 0.836654, 0.22382492, 0.49894756, -0.32085443, -1.4196543, 0.38414192, 0
15, 2980109095, -0.038526848, 0.8376447, 0.2233482, 0.4969958, -0.33043072, -1.5283328, 0.074272156, 0
16, 2980125762, -0.044219106, 0.8382703, 0.22236297, 0.4959079, -0.11162339, -1.4268416, -0.2418766, 0
17, 2980142429, -0.04817781, 0.8387061, 0.22049022, 0.49563807, 0.48076227, -1.2664629, -0.44772148, 0
18, 2980159096, -0.049440555, 0.8389796, 0.21829496, 0.49602264, 0.43911463, -1.9487956, -0.59915924, 0
21, 2980209097, -0.048669256, 0.83707917, 0.21590443, 0.500337, -1.1180954, 0.18393378, 0.018982887, 0
24, 2980259098, -0.060347505, 0.8310147, 0.22809097, 0.5037554, -0.8972187, -0.51270264, 0.2139101, 0
27, 2980309099, -0.07389767, 0.8221186, 0.24653018, 0.5078435, -0.39724755, -0.27573624, -0.20966339, 0
29, 2980342433, -0.08023118, 0.8163411, 0.2553128, 0.51184726, -0.39364812, 0.55791086, -0.10959053, 0
32, 2980392434, -0.090321526, 0.80957973, 0.26359984, 0.51668155, -0.510084, 0.5678905, -0.21457672, 0
35, 2980442435, -0.09430571, 0.807592, 0.26478, 0.5184739, -0.9348708, -0.17333469, -0.21243191, 0
39, 2980509103, -0.087361276, 0.81060255, 0.2603055, 0.5172568, 0.2769473, 0.54523677, 0.37512684, 0
41, 2980542437, -0.08345896, 0.81273496, 0.25749776, 0.51595896, 0.8571778, 0.5274351, 0.76270866, 0
44, 2980592438, -0.074727714, 0.81668115, 0.24912491, 0.5151762, 0.83781534, 0.437994, 0.51013756, 0
47, 2980642439, -0.06566115, 0.8195942, 0.24081795, 0.5157351, 1.0972768, 0.5342464, -0.08167744, 0
51, 2980709107, -0.059663065, 0.81988883, 0.23266733, 0.51972157, 0.75488937, 0.19895966, -0.9757385, 0
54, 2980759108, -0.055954576, 0.81863505, 0.22638668, 0.524859, 1.2168005, 0.41404948, -0.82343864, 0
