sep=									
DeviceTag:	Xsens_1								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:23:35.414 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2979875757	0	0	-0.707106781	-0.707106781	0.19670838	-0.11237526	-0.17571114	0
2	2979892424	0.001230188	-0.000812397	-0.708105453	-0.706105158	0.261885015	-0.2620035	-0.191818503	0
3	2979909091	0.002292968	-0.001714257	-0.709521969	-0.704677501	0.215586345	-0.206803987	-0.155392196	0
4	2979925758	0.00266639	-0.00308139	-0.711484372	-0.702690105	0.311068496	-0.204645851	0.088309906	0
5	2979942425	0.003549741	-0.004093062	-0.713421544	-0.700714169	0.404825595	-0.042650311	-0.153175739	0
6	2979959092	0.00411454	-0.005193693	-0.715508722	-0.698572376	0.574952784	-0.033082391	-0.26785728	0
7	2979975759	0.004201733	-0.006366672	-0.717834736	-0.696171748	0.701630536	0.084489163	-0.195900126	0
8	2979992426	0.004092732	-0.007677836	-0.720447935	-0.69345445	0.719697528	0.293160645	-0.176794195	0
9	2980009093	0.004540569	-0.008778015	-0.723217244	-0.690549888	0.604276399	0.190958274	-0.071334503	0
10	2980025760	0.005529173	-0.009743819	-0.726039567	-0.687561658	0.575603186	0.050172119	-0.051177019	0
11	2980042427	0.006743761	-0.010634266	-0.728945516	-0.684455893	0.590346473	-0.099092417	0.021976746	0
12	2980059094	0.007934246	-0.011492397	-0.731928381	-0.681238444	0.632725788	-0.136005046	0.05848656	0
13	2980075761	0.009047634	-0.012283965	-0.734964338	-0.677934116	0.567118794	-0.086609349	0.131125805	0
14	2980092428	0.010223842	-0.012926933	-0.737979708	-0.674621611	0.611827251	-0.067469353	0.165690034	0
15	2980109095	0.011432908	-0.013634347	-0.74093089	-0.671345521	0.672703967	-0.010831104	0.126874699	0
16	2980125762	0.012568277	-0.01436884	-0.743806849	-0.668121954	0.751570713	-0.013591192	0.135795166	0
17	2980142429	0.013663555	-0.014954256	-0.746646549	-0.664912482	0.828426622	0.164525248	0.121721707	0
20	2980192430	0.017569447	-0.015632583	-0.755173618	-0.65510285	0.718785888	0.270135998	0.217424994	0
23	2980242431	0.022800968	-0.016075302	-0.762188498	-0.646753736	0.915983193	0.071143539	0.011482601	0
25	2980275765	0.026472423	-0.015950803	-0.765484176	-0.642712034	0.938445101	0.06912277	0.003322891	0
28	2980325766	0.030632749	-0.01550944	-0.768814556	-0.638549349	0.67068839	0.03605969	-0.224759665	0
31	2980375767	0.031875158	-0.014262833	-0.770757937	-0.636170377	0.486031843	-0.153849168	-0.062673159	0
33	2980409101	0.032052672	-0.013763864	-0.771019777	-0.635855082	0.152726771	-0.231063447	-0.192654069	0
36	2980459102	0.032290886	-0.014078692	-0.770175437	-0.636858607	-0.1410744	-0.240327045	-0.232439972	0
39	2980509103	0.030492089	-0.014144127	-0.767983734	-0.63958671	-0.400765644	0.286812107	-0.321088081	0
42	2980559104	0.025688019	-0.011848292	-0.76485894	-0.643576371	-0.486080153	0.503044923	-0.022863001	0
44	2980592438	0.022086247	-0.010467633	-0.762412127	-0.646630014	-0.973390064	0.608685712	-0.204865458	0
47	2980642439	0.01941219	-0.009105717	-0.75784719	-0.652079665	-0.580498759	0.609545054	-0.124410065	0
50	2980692440	0.020992425	-0.008557544	-0.752640342	-0.658041489	-0.656628499	-0.152685508	-0.053052679	0
52	2980725774	0.024068905	-0.008315446	-0.748884058	-0.662211604	-0.62484799	-0.231045455	-0.162296407	0
55	2980775775	0.029471586	-0.007822809	-0.742318304	-0.669353244	-0.691876798	-0.36573098	-0.205484069	0
58	2980825776	0.035019069	-0.007626196	-0.735100032	-0.677010671	-0.722579435	-0.194605561	-0.28049507	0
60	2980859110	0.038770525	-0.00778663	-0.730396068	-0.68187814	-0.710640254	-0.530270388	-0.104247135	0
63	2980909111	0.043205177	-0.007701968	-0.724363582	-0.688019908	-0.648355576	0.354816689	0.121572566	0
66	2980959112	0.048290287	-0.005757446	-0.719199542	-0.693099501	-0.193220451	0.109361806	-0.201682706	0
69	2981009113	0.053691638	-0.002042141	-0.71499971	-0.697056994	-0.001235609	0.58909015	0.139791997	0
71	2981042447	0.055935747	0.001359176	-0.712553822	-0.699382868	0.014115043	0.465916384	-0.331774454	0
74	2981092448	0.06159222	0.007412516	-0.709278411	-0.702193413	-0.412074486	0.082864961	-0.218265666	0
77	2981142449	0.069672004	0.012847773	-0.706088628	-0.704570505	-0.534101634	-0.044021462	-0.091470157	0
79	2981175783	0.074978686	0.015847588	-0.704013354	-0.706039835	-0.531514973	-0.097903264	0.177197499	0
82	2981225784	0.080623101	0.020343584	-0.701803959	-0.707500712	-0.153732785	-0.139132742	0.106615605	0
85	2981275785	0.085352589	0.024650429	-0.701367133	-0.707242135	-0.145813659	-0.117740584	0.17518125	0
87	2981309119	0.088020775	0.026027078	-0.702699292	-0.70554138	-0.222202674	-0.076784252	-0.26928542	0
90	2981359120	0.09110675	0.02741617	-0.706187093	-0.701603666	-0.241867864	-0.060707875	-0.020130038	0
