sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-17 14:57:19.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1112319256, 0.13063684, 0.632309, -0.28006506, 0.71041036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.014892578125, -0.43896484375, -0.44873046875, 0, 
1, 1112335923, 0.13018095, 0.63334274, -0.2796547, 0.70973474, 9.665886878967285, -2.2927820682525635, 0.424767404794693, 4.495357036590576, -5.826993465423584, -0.9342364072799683, -1.011474609375, -0.436279296875, -0.44384765625, 0, 
2, 1112352590, 0.12995367, 0.63411933, -0.2793235, 0.70921326, 9.721434593200684, -2.251803159713745, 0.44528689980506897, 3.300292730331421, -5.598270893096924, -0.9194320440292358, -1.014892578125, -0.435302734375, -0.4423828125, 0, 
3, 1112369257, 0.13007535, 0.6346746, -0.27897075, 0.7088328, 9.740038871765137, -2.2737979888916016, 0.4237051010131836, 1.9750913381576538, -5.116931438446045, -0.8025996088981628, -1.018310546875, -0.4384765625, -0.438232421875, 0, 
4, 1112385924, 0.13003634, 0.63521886, -0.2786215, 0.7084897, 9.746687889099121, -2.322895050048828, 0.40903913974761963, 0.46185457706451416, -4.841402530670166, -0.6355279088020325, -1.01513671875, -0.438720703125, -0.4375, 0, 
5, 1112402591, 0.12997, 0.6356352, -0.27856305, 0.7081516, 9.757164001464844, -2.3640596866607666, 0.3511124551296234, -0.05598936229944229, -4.549379348754883, -0.27158427238464355, -1.017578125, -0.437255859375, -0.438232421875, 0, 
6, 1112419258, 0.12978578, 0.636051, -0.27867958, 0.7077658, 9.655210494995117, -2.391275644302368, 0.33653128147125244, 0.599510133266449, -4.623208045959473, -0.0615089014172554, -1.01708984375, -0.442626953125, -0.434326171875, 0, 
7, 1112435925, 0.12910134, 0.6366205, -0.27857143, 0.7074215, 9.584038734436035, -2.4464991092681885, 0.30135172605514526, 2.3299169540405273, -5.186187267303467, 0.10824567824602127, -1.018310546875, -0.440673828125, -0.437255859375, 0, 
8, 1112452592, 0.1284911, 0.63715154, -0.27863267, 0.7070304, 9.625295639038086, -2.4140853881835938, 0.2636781930923462, 2.9677882194519043, -5.338391304016113, -0.31238532066345215, -1.015625, -0.441650390625, -0.432861328125, 0, 
9, 1112469259, 0.12775198, 0.6377643, -0.27856067, 0.7066402, 9.652276039123535, -2.3155837059020996, 0.24767492711544037, 3.578216075897217, -5.390589714050293, -0.5394675135612488, -1.021240234375, -0.44189453125, -0.43115234375, 0, 
10, 1112485926, 0.12736991, 0.6383441, -0.2785375, 0.70619446, 9.732843399047852, -2.165708541870117, 0.2465890645980835, 1.5555682182312012, -4.665584087371826, -1.4722052812576294, -1.020263671875, -0.43896484375, -0.429931640625, 0, 
11, 1112502593, 0.12747276, 0.6387808, -0.27873805, 0.7057017, 9.752137184143066, -2.112443208694458, 0.27437183260917664, -1.272464394569397, -3.5738418102264404, -1.505232572555542, -1.01904296875, -0.43896484375, -0.42529296875, 0, 
12, 1112519260, 0.12797134, 0.63908297, -0.2790914, 0.70519805, 9.733296394348145, -2.1361730098724365, 0.22188004851341248, -4.7326765060424805, -2.3115336894989014, -1.662827968597412, -1.016845703125, -0.442626953125, -0.42578125, 0, 
13, 1112535927, 0.12872446, 0.6393445, -0.2794974, 0.704663, 9.612954139709473, -2.2493669986724854, 0.15704798698425293, -6.373709201812744, -1.7648179531097412, -2.1772336959838867, -1.020263671875, -0.447509765625, -0.425048828125, 0, 
14, 1112552594, 0.12926131, 0.6396957, -0.2796936, 0.70416796, 9.427640914916992, -2.357001543045044, 0.12201377004384995, -4.939486026763916, -1.9639434814453125, -2.3104450702667236, -1.014892578125, -0.441162109375, -0.42529296875, 0, 
15, 1112569261, 0.12978905, 0.64011484, -0.27975616, 0.70366514, 9.37187385559082, -2.387563705444336, 0.06094536557793617, -3.1370184421539307, -2.3574442863464355, -3.3993821144104004, -1.017578125, -0.443359375, -0.42431640625, 0, 
16, 1112585928, 0.13007286, 0.6406674, -0.27962592, 0.7031613, 9.258877754211426, -2.4407286643981934, 0.06698393076658249, -1.3257004022598267, -3.063649892807007, -3.735816717147827, -1.01953125, -0.446044921875, -0.423583984375, 0, 
17, 1112602595, 0.12999602, 0.6412944, -0.27932006, 0.7027253, 9.426872253417969, -2.417069435119629, 0.08681768923997879, 1.3071376085281372, -3.5915277004241943, -3.2837531566619873, -1.017822265625, -0.447021484375, -0.4228515625, 0, 
18, 1112619262, 0.13024831, 0.64176863, -0.27916056, 0.7023089, 9.59078598022461, -2.381503105163574, 0.12593974173069, -0.6587202548980713, -2.3438823223114014, -4.130508899688721, -1.017578125, -0.447265625, -0.420166015625, 0, 
19, 1112635929, 0.13083264, 0.64212793, -0.27910486, 0.701894, 9.664872169494629, -2.394069194793701, 0.1535259485244751, -3.090851068496704, -1.2393089532852173, -5.124102592468262, -1.0166015625, -0.44873046875, -0.42138671875, 0, 
20, 1112652596, 0.13162886, 0.6423477, -0.27914515, 0.70152783, 9.700425148010254, -2.4668500423431396, 0.20899221301078796, -4.322131633758545, -0.19849848747253418, -5.449731349945068, -1.015625, -0.44970703125, -0.42041015625, 0, 
21, 1112669263, 0.13237944, 0.64250207, -0.27915773, 0.7012402, 9.646610260009766, -2.583566188812256, 0.21078139543533325, -4.140779495239258, 0.2864972651004791, -5.271106243133545, -1.015380859375, -0.44970703125, -0.421142578125, 0, 
22, 1112685930, 0.13285191, 0.64269996, -0.27889514, 0.70107394, 9.598323822021484, -2.6337339878082275, 0.24209806323051453, -1.1964075565338135, 0.1601882129907608, -5.3362135887146, -1.01513671875, -0.454345703125, -0.419189453125, 0, 
23, 1112702597, 0.13274115, 0.6430413, -0.27808002, 0.70110583, 9.56328296661377, -2.559727191925049, 0.3243897259235382, 3.83532977104187, -0.2614160478115082, -5.305543899536133, -1.016845703125, -0.456298828125, -0.423095703125, 0, 
