sep=															
DeviceTag:	Xsens_3														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-17 14:57:19.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
0	1113944863	1.47E-17	-1.56E-16	0.707106781	0.707106781	0	0	0	0	0	0	0.969726563	-0.009033203	-0.463867188	0
1	1113961530	0.00028431	0.000323743	0.707544581	0.706668579	-9.147574847	-0.74836377	-3.954992805	-0.732896699	0.391866418	-4.624411583	0.96944926	-0.008980643	-0.467084829	0
2	1113978197	0.000512259	0.000658772	0.70798333	0.706228652	-9.129237375	-0.739666426	-3.961809162	-0.755175493	0.171188519	-4.58104906	0.966441735	-0.010081582	-0.466243115	0
3	1113994864	0.000640721	0.00093781	0.708367137	0.705843261	-9.078182319	-0.768102143	-3.925396288	-1.259637766	-0.158146606	-4.094974723	0.968784886	-0.008215578	-0.464740041	0
4	1114011531	0.000896655	0.001240277	0.70869447	0.70551386	-9.035261435	-0.807070637	-3.828351475	-0.568721413	-0.350094828	-3.473900759	0.967771213	-0.009169544	-0.46577243	0
5	1114028198	0.001375915	0.001491274	0.708732048	0.705474852	-9.03080418	-0.799098717	-3.817459593	0.971254246	-0.335059383	-3.406967738	0.966699324	-0.008272327	-0.467907043	0
6	1114044865	0.001931612	0.001667972	0.708734529	0.705470661	-9.048507295	-0.792062666	-3.878764197	1.351965245	-0.431874719	-2.869910401	0.970117209	-0.009051765	-0.467874645	0
7	1114061532	0.002414906	0.001835263	0.708738252	0.705465017	-9.080566758	-0.746532955	-3.888874592	0.882141367	-0.460445234	-2.56388492	0.969096496	-0.010188012	-0.467682923	0
8	1114078199	0.002793819	0.00194659	0.708761687	0.705439775	-9.115083952	-0.794675734	-3.845049074	0.342401004	-0.422078846	-2.300360312	0.96806063	-0.008936215	-0.468545413	0
9	1114094866	0.003217363	0.002063428	0.708804822	0.705394298	-9.099223984	-0.807498989	-3.833977458	0.529944548	-0.35872944	-2.245212228	0.967291946	-0.008013426	-0.467156261	0
10	1114111533	0.003613829	0.002153996	0.70887539	0.705321191	-9.023712585	-0.842516213	-3.811973749	0.285023043	-0.245071882	-1.827866409	0.967485609	-0.009264981	-0.467221	0
11	1114128200	0.003926394	0.002189958	0.708985827	0.705208398	-8.90437908	-0.849088802	-3.797956474	-0.591196893	-0.148114981	-1.08995942	0.969642161	-0.007723315	-0.469531896	0
12	1114144867	0.004138975	0.0021702	0.709167498	0.705024552	-8.799728561	-0.896911386	-3.777055585	-0.954988288	-0.054536484	0.012548293	0.968087769	-0.00747588	-0.467999007	0
13	1114161534	0.004252427	0.002087079	0.709245846	0.70494531	-8.774315538	-0.891532352	-3.757183751	-0.067045801	-0.076482347	1.053423727	0.970404122	-0.009360729	-0.469420803	0
14	1114178201	0.00430524	0.001929013	0.709109346	0.705082747	-8.825947765	-0.83437494	-3.784539433	1.531748508	-0.305195681	1.671694232	0.969585435	-0.007317652	-0.469390837	0
15	1114194868	0.004401197	0.00168581	0.708970432	0.705222458	-8.904605219	-0.811605314	-3.863351453	1.858835407	-1.004089057	1.952016976	0.970529435	-0.009385416	-0.470376498	0
16	1114211535	0.004536343	0.001302541	0.708831614	0.705361941	-8.957512668	-0.788374977	-3.943942005	1.500627412	-2.063077612	2.170117187	0.97183453	-0.009338466	-0.466242889	0
