sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-07 11:12:00.242 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 391467142, -0.0145484125, -0.700884, 0.017132051, -0.7129211, 0.0026039742, 9.658833E-4, 0.10238743, 0
2, 391483809, -0.014448429, -0.7007623, 0.017223202, -0.71304065, 0.005528813, -0.018062124, 0.11270523, 0
3, 391500476, -0.014437148, -0.7006687, 0.017216865, -0.71313304, 0.007452522, -0.025528064, 0.10488796, 0
4, 391517143, -0.014388782, -0.700588, 0.01712528, -0.7132155, -0.019175299, 0.008123383, 0.10459614, 0
5, 391533810, -0.014143067, -0.70056736, 0.01699703, -0.7132437, -0.025063783, -0.0125634745, 0.10642719, 0
6, 391550477, -0.013938458, -0.7005827, 0.016884336, -0.7132352, 0.0038555074, -0.0064013065, 0.11694431, 0
7, 391567144, -0.013898853, -0.7005723, 0.016970666, -0.7132443, -0.003917426, -0.0073653874, 0.10457039, 0
8, 391583811, -0.013680631, -0.70054406, 0.016887888, -0.7132783, -0.0037337136, -0.019733734, 0.108382225, 0
9, 391600478, -0.013526948, -0.70053005, 0.016854458, -0.71329564, -6.7050743E-4, -0.017764565, 0.10443497, 0
10, 391617145, -0.01335463, -0.7004988, 0.016799811, -0.7133309, -0.017715532, -0.020978214, 0.10934639, 0
11, 391633812, -0.013266051, -0.7004636, 0.016836371, -0.71336615, -0.007269022, -0.033664744, 0.106702805, 0
12, 391650479, -0.013167352, -0.70043796, 0.016864026, -0.71339256, 0.0011158679, -0.016931623, 0.0991869, 0
13, 391667146, -0.013005304, -0.7004074, 0.016822878, -0.7134266, -0.017005717, -0.024361124, 0.09815884, 0
14, 391683813, -0.012796888, -0.7003866, 0.01674467, -0.7134527, -0.0065486967, -0.037429087, 0.12106323, 0
15, 391700480, -0.012605501, -0.70034313, 0.016683558, -0.71350014, 0.00953815, -0.029600253, 0.10266876, 0
16, 391717147, -0.012520136, -0.7003197, 0.016713766, -0.7135239, -0.018456073, -0.03872684, 0.10972786, 0
17, 391733814, -0.012211066, -0.70030195, 0.016521435, -0.71355116, -0.041034214, -0.026942754, 0.11340046, 0
18, 391750481, -0.011992023, -0.7002744, 0.016426416, -0.71358407, -0.01251153, -0.02856073, 0.11258602, 0
19, 391767148, -0.012203687, -0.70025325, 0.016759487, -0.7135935, -0.013615603, -0.026595848, 0.11661816, 0
20, 391783815, -0.011973601, -0.70022225, 0.016663644, -0.71363014, -0.039076686, -0.029588569, 0.110321045, 0
21, 391800482, -0.011718756, -0.7002022, 0.016550995, -0.7136566, -0.0025578102, -0.034019608, 0.1067543, 0
22, 391817149, -0.011888886, -0.7001752, 0.016860439, -0.7136728, -0.011456196, -0.04678868, 0.09953499, 0
23, 391833816, -0.01208023, -0.7001371, 0.017174996, -0.7136995, -0.025800422, -0.043815874, 0.09234142, 0
24, 391850483, -0.011943249, -0.7001224, 0.01717689, -0.71371645, -0.019477403, -0.052936137, 0.11076164, 0
25, 391867150, -0.011554188, -0.70009696, 0.016946308, -0.7137532, -0.025536897, -0.040815394, 0.11229992, 0
26, 391883817, -0.011574557, -0.7000474, 0.017091706, -0.713798, -0.0048305714, -0.035358526, 0.11120033, 0
27, 391900484, -0.011294835, -0.70003897, 0.016953742, -0.7138141, -0.02938811, -0.04166862, 0.09969711, 0
28, 391917151, -0.011610768, -0.69999504, 0.017391378, -0.71384144, -0.045579303, -0.056575514, 0.12510681, 0
29, 391933818, -0.011380357, -0.6999547, 0.017292459, -0.7138873, -0.010498535, -0.05476039, 0.11176109, 0
30, 391950485, -0.011091905, -0.69994307, 0.017148998, -0.7139067, -0.029274452, -0.06717631, 0.10961056, 0
31, 391967152, -0.010909499, -0.69991785, 0.017099027, -0.7139354, -0.02105673, -0.055116296, 0.11429119, 0
32, 391983819, -0.0105307195, -0.69989324, 0.016858974, -0.71397096, -0.033463076, -0.07670951, 0.10004997, 0
33, 392000486, -0.0100600375, -0.69987446, 0.016532063, -0.7140036, -0.03661701, -0.06251461, 0.11587334, 0
34, 392017153, -0.009771927, -0.699846, 0.016385168, -0.7140389, -0.04928354, -0.075768076, 0.11114693, 0
35, 392033820, -0.009534367, -0.6998241, 0.016267158, -0.7140665, -0.02679226, -0.057751313, 0.10650349, 0
36, 392050487, -0.009783096, -0.69978464, 0.016635597, -0.7140932, -0.013418567, -0.07496364, 0.11046219, 0
37, 392067154, -0.009292836, -0.6997722, 0.016290033, -0.7141199, -0.026670149, -0.05461411, 0.098698616, 0
38, 392083821, -0.009022931, -0.69974494, 0.016153814, -0.71415323, -0.0492329, -0.059270866, 0.09939003, 0
39, 392100488, -0.008485755, -0.69972044, 0.015760805, -0.71419245, -0.0449905, -0.07713797, 0.11735821, 0
40, 392117155, -0.00875022, -0.699701, 0.016138328, -0.7141999, -0.018839175, -0.07509491, 0.11083698, 0
41, 392133822, -0.008434081, -0.69967335, 0.015945977, -0.7142352, -0.058177117, -0.08108764, 0.10945606, 0
42, 392150489, -0.008199903, -0.6996444, 0.015844248, -0.7142686, -0.043187194, -0.08190864, 0.1026535, 0
43, 392167156, -0.007942786, -0.6996282, 0.015723351, -0.71428996, -0.03837496, -0.07260807, 0.10184193, 0
44, 392183823, -0.0076361257, -0.6995897, 0.015550862, -0.71433485, -0.05937681, -0.07007021, 0.108644485, 0
45, 392200490, -0.0073629264, -0.6995664, 0.015418523, -0.7143634, -0.014960857, -0.082097284, 0.100663185, 0
46, 392217157, -0.0072919596, -0.69955295, 0.015482836, -0.7143758, -0.03560586, -0.089417115, 0.10999012, 0
47, 392233824, -0.00700151, -0.69951427, 0.015321108, -0.7144201, -0.024791861, -0.09979318, 0.10460377, 0
48, 392250491, -0.0066736173, -0.69950145, 0.015134331, -0.71443987, -0.04753015, -0.08425742, 0.12094498, 0
49, 392267158, -0.0058808727, -0.69948196, 0.014483131, -0.71447927, -0.05683727, -0.08317655, 0.107860565, 0
50, 392283825, -0.0058450145, -0.6994468, 0.014581637, -0.71451205, -0.03488206, -0.0905962, 0.1120882, 0
51, 392300492, -0.0056998613, -0.69943273, 0.014569524, -0.7145273, -0.052728586, -0.09288612, 0.11381054, 0
52, 392317159, -0.0059283525, -0.69939214, 0.014921501, -0.71455777, -0.047785252, -0.10156787, 0.10505962, 0
53, 392333826, -0.005925552, -0.6993598, 0.0150372265, -0.7145872, -0.039444484, -0.099131845, 0.1048727, 0
54, 392350493, -0.005273235, -0.6993462, 0.014529594, -0.7146161, -0.05200134, -0.10180063, 0.120884895, 0
55, 392367160, -0.005125012, -0.69930756, 0.014505947, -0.71465534, -0.07657825, -0.10792807, 0.095443726, 0
56, 392383827, -0.005288924, -0.699278, 0.014789353, -0.71467733, -0.037962124, -0.10434026, 0.11021328, 0
57, 392400494, -0.004969097, -0.6992592, 0.0146024525, -0.71470183, -0.041570894, -0.10778551, 0.09496212, 0
58, 392417161, -0.0045129736, -0.69923174, 0.014275591, -0.7147384, -0.030161446, -0.102225386, 0.10435867, 0
59, 392433828, -0.0047414694, -0.6992042, 0.014633649, -0.7147566, -0.043022946, -0.11077359, 0.11993408, 0
60, 392450495, -0.004179348, -0.69918925, 0.01421316, -0.7147832, -0.058028746, -0.11434066, 0.102007866, 0
61, 392467162, -0.0041017234, -0.69916743, 0.014261982, -0.71480405, -0.060919363, -0.114704885, 0.114341736, 0
62, 392483829, -0.003871634, -0.69913375, 0.014165097, -0.7148401, -0.069411695, -0.11584163, 0.10679817, 0
63, 392500496, -0.0032645804, -0.6991039, 0.013694665, -0.7148814, -0.028813392, -0.106188215, 0.10939121, 0
64, 392517163, -0.0028761707, -0.69909054, 0.013432409, -0.71490115, -0.043120228, -0.13456245, 0.10085297, 0
65, 392533830, -0.003095875, -0.6990571, 0.01375865, -0.7149268, -0.047018528, -0.1264875, 0.107972145, 0
66, 392550497, -0.0028596215, -0.6990264, 0.013650572, -0.71496, -0.061452296, -0.12708078, 0.10785103, 0
67, 392567164, -0.002477962, -0.6990074, 0.013399475, -0.71498466, -0.061564114, -0.12194678, 0.112641335, 0
68, 392583831, -0.0022800926, -0.6989845, 0.0133186765, -0.7150092, -0.0327218, -0.13086104, 0.10978413, 0
69, 392600498, -0.0020302755, -0.69896525, 0.01318619, -0.7150314, -0.0436041, -0.11800431, 0.09246349, 0
70, 392617165, -0.0014263152, -0.69894814, 0.012714046, -0.71505785, -0.07442418, -0.12257571, 0.09221363, 0
71, 392633832, -0.0015357649, -0.69892263, 0.012935326, -0.7150787, -0.06039051, -0.13449186, 0.11637592, 0
