sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-07 11:12:00.241 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	379189050	0	2.75E-18	0.707106781	0.707106781	0.00523702	0.17982769	-0.007847764	0
2	379205717	1.66E-05	6.11E-05	-0.706814147	-0.707399291	0.008365649	0.170465093	0.003797812	0
3	379222384	0.000109216	8.06E-05	-0.706943453	-0.707270058	-0.003770672	0.190612877	0.016998277	0
4	379239051	0.000257441	0.000194122	-0.70710001	-0.707113478	-0.007747366	0.179653004	0.010290893	0
5	379255718	0.00039818	0.000322749	-0.707403595	-0.706809657	0.02312557	0.177864739	-0.010612217	0
6	379272385	0.000453479	0.000379696	-0.707118697	-0.707094618	0.005022911	0.183470522	0.007152037	0
7	379289052	0.000527847	0.000472791	-0.706957302	-0.707255874	0.013490961	0.167006825	0.014516469	0
8	379305719	0.000621611	0.000533754	-0.706989093	-0.707223975	0.005165263	0.197836065	0.006633809	0
9	379322386	0.00070197	0.000605224	-0.707038003	-0.707174945	0.012177987	0.186385373	-0.015613084	0
10	379339053	0.000768661	0.000690196	-0.706997567	-0.707215224	0.008888358	0.179734754	-0.003296999	0
11	379355720	0.000841384	0.000752193	-0.707249842	-0.706962791	-0.001169653	0.176080211	-0.011630079	0
12	379372387	0.000914149	0.000821889	-0.707478698	-0.706733599	0.023540892	0.183542941	-0.022753017	0
13	379389054	0.00095973	0.000882912	-0.707595464	-0.706616558	0.012219798	0.193534677	-0.025051997	0
14	379405721	0.001002663	0.00095039	-0.707689662	-0.706522069	0.019094661	0.179344371	-0.030255749	0
15	379422388	0.001030263	0.001015457	-0.70760135	-0.706610386	0.0178628	0.182436999	0.012562996	0
16	379439055	0.001061005	0.001071232	-0.70750341	-0.706708321	0.016996436	0.186296774	-0.006241486	0
17	379455722	0.00110613	0.001150149	-0.707467608	-0.706743969	0.024398068	0.174101834	-0.019930545	0
18	379472389	0.001156684	0.00120108	-0.707702565	-0.706508527	0.032405053	0.187875189	-0.022094034	0
19	379489056	0.001208247	0.001264668	-0.707795116	-0.70641561	0.010398064	0.189845205	0.001530401	0
20	379505723	0.001264186	0.001347035	-0.7078232	-0.70638722	0.033576021	0.185101452	-0.020220234	0
21	379522390	0.001311757	0.001394325	-0.707920799	-0.706289231	0.027588505	0.170487605	-0.020516083	0
22	379539057	0.001348254	0.001464582	-0.707811385	-0.706398669	0.030397982	0.171050188	-0.018387078	0
23	379555724	0.001420671	0.001522665	-0.708031326	-0.706177955	0.024827811	0.189335629	-0.032617094	0
24	379572391	0.001454257	0.001575522	-0.708027835	-0.706181271	0.040061112	0.168425992	-0.044381785	0
25	379589058	0.001517012	0.001642627	-0.708107788	-0.706100815	0.019743343	0.166647322	-0.01093383	0
26	379605725	0.001530084	0.001721719	-0.707950712	-0.706258086	0.024136427	0.17634774	-0.026121901	0
27	379622392	0.001564418	0.001790574	-0.707904758	-0.706303901	0.028506253	0.178570895	-0.034336825	0
28	379639059	0.001614557	0.001869698	-0.707883325	-0.706325064	0.025693929	0.186715373	-0.011451823	0
29	379655726	0.001637371	0.001919922	-0.707877523	-0.706330691	0.035694786	0.179404162	-0.025168844	0
30	379672393	0.001670322	0.0019949	-0.707806153	-0.706401925	0.034010558	0.184982636	-0.06280264	0
31	379689060	0.001744787	0.002057967	-0.708052334	-0.706154808	0.025430471	0.173412892	-0.034905375	0
32	379705727	0.001783434	0.002122771	-0.708103646	-0.706103066	0.018404958	0.170344783	-0.012984682	0
33	379722394	0.001825146	0.002197675	-0.708121857	-0.706084467	0.0333433	0.177935562	-0.040968176	0
34	379739061	0.001866288	0.002268805	-0.708122915	-0.706083074	0.04076756	0.176654424	-0.026993471	0
35	379755728	0.001901161	0.002341378	-0.708077168	-0.70612862	0.043131588	0.166209682	-0.031438956	0
36	379772395	0.001956616	0.002392467	-0.708351112	-0.705853491	0.031004206	0.164223224	-0.038727006	0
37	379789062	0.001984568	0.002452069	-0.708356222	-0.70584808	0.052193377	0.189086366	-0.038519092	0
38	379805729	0.002029225	0.002517536	-0.708435764	-0.705767888	0.03274843	0.187566574	-0.066125421	0
39	379822396	0.002076167	0.00257857	-0.708497834	-0.705705221	0.03117843	0.176473796	-0.021788155	0
40	379839063	0.002123885	0.002641613	-0.708582249	-0.705620087	0.045081211	0.178624373	-0.052038005	0
41	379855730	0.00217246	0.002720527	-0.708649937	-0.705551661	0.057560531	0.188327722	-0.059118172	0
42	379872397	0.002194544	0.002783278	-0.708682791	-0.705518348	0.033873637	0.177116108	-0.0250637	0
43	379889064	0.002228206	0.00285126	-0.708706573	-0.705494081	0.056449611	0.175160472	-0.063640612	0
44	379905731	0.002271873	0.002928312	-0.708653456	-0.705546981	0.037589346	0.181543366	-0.050613465	0
45	379922398	0.002308318	0.002975001	-0.708848723	-0.705350487	0.035123091	0.193432721	-0.032769027	0
46	379939065	0.002350398	0.003051981	-0.708862898	-0.705335773	0.059566194	0.18435251	-0.069524001	0
