sep=									
DeviceTag:	Xsens_3								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-11 15:21:33.861 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	222145058	4.83E-18	-8.48E-18	0.707106781	0.707106781	-0.001140335	0.006965637	-0.02722589	0
2	222161725	9.39E-05	5.51E-05	-0.707110625	-0.707102929	-0.009013236	0.016737531	-0.011788811	0
3	222178392	8.89E-05	9.69E-05	-0.707172044	-0.7070415	-0.002910361	0.025765408	-0.021261873	0
4	222195059	0.000202603	3.71E-05	-0.707241061	-0.706972445	-0.009004388	0.027509252	-0.030871249	0
5	222211726	0.000276579	2.42E-05	-0.70729732	-0.706916137	0.007942784	0.042539704	-0.013978045	0
6	222228393	0.000360621	5.47E-05	-0.707405367	-0.706807976	-0.005856154	0.026396397	-0.026944739	0
7	222245060	0.000470461	6.81E-05	-0.707521975	-0.706691184	0.000155712	-0.003183558	-0.029499946	0
8	222261727	0.000551498	9.48E-05	-0.707643002	-0.706569932	-0.004780354	0.00208562	-0.02798789	0
9	222278394	0.000637635	0.000111372	-0.707775353	-0.70643728	-0.008031164	-0.002756735	-0.040701206	0
10	222295061	0.000710364	0.000133617	-0.707913098	-0.706299174	-0.012815159	0.015882675	-0.048411906	0
11	222311728	0.000777574	0.000142229	-0.708038663	-0.706173227	-0.013263944	0.008394518	-0.040581202	0
12	222328395	0.000840012	0.000146174	-0.708175459	-0.706035971	-0.017151501	-0.004968469	-0.047217393	0
13	222345062	0.000922126	0.000144236	-0.708312876	-0.705898008	-0.02691897	0.012249589	-0.050094681	0
14	222361729	0.000988945	0.000135539	-0.708447681	-0.705762628	-0.021949948	0.02207545	-0.061780123	0
15	222378396	0.001044981	0.000135353	-0.70858159	-0.705628104	-0.016936793	0.043678317	-0.056024792	0
16	222395063	0.001107759	0.00013481	-0.708719483	-0.70548951	-0.035363455	0.047153597	-0.059074013	0
17	222411730	0.001176351	0.000133334	-0.708861636	-0.705346567	-0.020360053	0.014948556	-0.069629574	0
18	222428397	0.001250522	0.000117649	-0.70900358	-0.705203762	-0.02264095	0.021554178	-0.066683636	0
19	222445064	0.001316451	0.000112428	-0.709141712	-0.705064739	-0.031930194	0.042649438	-0.077997377	0
20	222461731	0.001385587	0.0001079	-0.709282616	-0.704922861	-0.019494296	0.027886927	-0.086534675	0
21	222478398	0.001440839	0.000103716	-0.709431175	-0.704773241	-0.019499719	0.020069358	-0.07914157	0
22	222495065	0.001518696	8.64E-05	-0.709576118	-0.704627149	-0.015515553	0.014591102	-0.090788151	0
23	222511732	0.001599908	8.13E-05	-0.709715513	-0.704486568	-0.042337091	-0.007607688	-0.084421865	0
24	222528399	0.001676101	8.21E-05	-0.709855111	-0.704345729	-0.028011717	0.012265801	-0.101292602	0
25	222545066	0.001762488	8.09E-05	-0.710002198	-0.704197249	-0.03512532	0.035662751	-0.103019571	0
26	222561733	0.001827008	8.95E-05	-0.710143337	-0.704054753	-0.026273389	0.009467866	-0.100199539	0
27	222578400	0.001894136	9.01E-05	-0.710281688	-0.703915001	-0.027244104	0.025488044	-0.105700048	0
28	222595067	0.001951361	0.00010352	-0.710421476	-0.703773762	-0.02737747	-0.000350108	-0.112516646	0
29	222611734	0.002021244	0.00010505	-0.710568838	-0.703624779	-0.038787775	-0.009860113	-0.116011039	0
32	222661735	0.002219644	0.000107487	-0.711001589	-0.70318689	-0.037353346	0.021098084	-0.131808704	0
34	222695069	0.002336944	0.000109629	-0.71128868	-0.70289611	-0.042793521	0.025423916	-0.126328482	0
36	222728403	0.002477846	0.000108222	-0.711581476	-0.702599211	-0.051651073	0.024126143	-0.146261842	0
37	222745070	0.002542167	9.90E-05	-0.711727723	-0.702450836	-0.049627686	0.024673512	-0.142099969	0
39	222778404	0.00267072	0.000100076	-0.712027532	-0.702146459	-0.041290433	0.020343642	-0.154049846	0
41	222811738	0.002791881	9.02E-05	-0.712311222	-0.701858191	-0.045413961	0.004361155	-0.165247115	0
43	222845072	0.002923985	8.19E-05	-0.712599489	-0.701564973	-0.052306051	0.030238879	-0.170262108	0
45	222878406	0.003052774	8.60E-05	-0.712883363	-0.701275968	-0.054687237	0.013056155	-0.182902475	0
46	222895073	0.003113044	8.73E-05	-0.713029724	-0.701126888	-0.067671532	0.008460478	-0.186932083	0
48	222928407	0.003244149	0.000107969	-0.713317506	-0.700833504	-0.059216733	0.00938095	-0.198538503	0
52	222995075	0.003486158	0.000128211	-0.713879749	-0.70025962	-0.067637354	0.012447971	-0.203123203	0
54	223028409	0.003608793	0.000140658	-0.714163123	-0.699969993	-0.068590859	0.030246198	-0.214245495	0
55	223045076	0.003679434	0.000141037	-0.714306156	-0.699823662	-0.075395723	0.004773875	-0.211553893	0
57	223078410	0.003798582	0.000140952	-0.714577907	-0.699545542	-0.061729743	0.016398636	-0.212798937	0
59	223111744	0.003916429	0.000148982	-0.714860111	-0.699256506	-0.075749309	0.030139485	-0.232148763	0
61	223145078	0.004039153	0.000155082	-0.715126029	-0.698983851	-0.069034015	-0.003176977	-0.238654987	0
63	223178412	0.004158536	0.000163448	-0.71540186	-0.698700837	-0.070383378	0.007217837	-0.2412489	0
64	223195079	0.004216271	0.000157085	-0.715538211	-0.698560854	-0.080876993	0.014695012	-0.256559157	0
66	223228413	0.004328312	0.000179255	-0.715802777	-0.698289065	-0.094408119	0.018993615	-0.26593618	0
68	223261747	0.004440673	0.000182453	-0.716061644	-0.6980229	-0.084235151	-0.006064829	-0.269748564	0
72	223328415	0.004668934	0.000210312	-0.716587301	-0.697481754	-0.101117998	0.004689759	-0.282243358	0
73	223345082	0.004716812	0.000223479	-0.716716075	-0.697349101	-0.077303742	0.029941482	-0.280441083	0
75	223378416	0.004818737	0.000231223	-0.716962074	-0.697095482	-0.085065908	0.000713211	-0.288054147	0
77	223411750	0.004916914	0.000259368	-0.7172021	-0.696847835	-0.085867054	0.013959384	-0.302662863	0
79	223445084	0.005013612	0.000286803	-0.717445184	-0.696596863	-0.099664572	-0.004699766	-0.305532517	0
81	223478418	0.005105397	0.000302838	-0.717673226	-0.696361245	-0.101339393	0.003349921	-0.315953447	0
82	223495085	0.005162926	0.000322225	-0.717787975	-0.696242532	-0.096466319	0.010084148	-0.319131556	0
84	223528419	0.00523881	0.000349272	-0.718023284	-0.695999279	-0.105414772	0.006686547	-0.320004948	0
86	223561753	0.005336974	0.000395553	-0.718249792	-0.695764757	-0.105429729	0.002469644	-0.342475242	0
88	223595087	0.005421242	0.000435887	-0.718469925	-0.695536762	-0.11850909	0.00441623	-0.339145766	0
91	223645088	0.005520314	0.00050093	-0.718795779	-0.695199183	-0.110356339	0.008653232	-0.351919344	0
93	223678422	0.005572357	0.000535992	-0.719005686	-0.694981644	-0.102876494	0.006916789	-0.34049321	0
95	223711756	0.005628165	0.000558428	-0.719217246	-0.694762236	-0.114754592	0.014894475	-0.365684764	0
97	223745090	0.005678691	0.000587052	-0.719418488	-0.694553416	-0.098187925	0.001221297	-0.345870941	0
99	223778424	0.005722746	0.000630225	-0.719612194	-0.694352319	-0.119008598	0.030824712	-0.36674126	0
100	223795091	0.005747748	0.000646797	-0.719707512	-0.694253298	-0.123485886	0.017269916	-0.385460644	0
102	223828425	0.005783937	0.000694567	-0.719893321	-0.694060279	-0.115360318	-0.002428111	-0.365344775	0
104	223861759	0.005831677	0.000724619	-0.720070869	-0.693875645	-0.13155933	0.013662364	-0.37956947	0
106	223895093	0.005887669	0.0007829	-0.720236817	-0.693702855	-0.117958912	0.012037837	-0.382263166	0
108	223928427	0.005946485	0.000848381	-0.720397126	-0.693535796	-0.143121377	-0.003273386	-0.383165851	0
109	223945094	0.005963256	0.00086914	-0.720474077	-0.693455686	-0.126552387	-0.00899457	-0.385413406	0
111	223978428	0.005985668	0.000918232	-0.72063273	-0.693290557	-0.127452543	0.008098559	-0.400084714	0
113	224011762	0.006013597	0.000967186	-0.720782221	-0.693134829	-0.141925493	0.019963974	-0.388735182	0
115	224045096	0.006010209	0.001011191	-0.720930948	-0.692980103	-0.137927873	-0.002542544	-0.399881956	0
117	224078430	0.006010138	0.001070976	-0.721079562	-0.692825372	-0.124573509	0.015439624	-0.402011059	0
118	224095097	0.00600623	0.001102601	-0.721138189	-0.692764334	-0.131330278	0.014013752	-0.40668725	0
120	224128431	0.001520255	-0.001581053	0.706343404	0.707865937	0.00120975	0.014168434	-0.001551382	0
122	224161765	0.001511671	-0.001575211	0.706339198	0.707870166	-0.001559052	0.030076108	0.001286843	0
124	224195099	0.001502209	-0.00156349	0.706342053	0.707867363	-0.001561981	0.043950984	-0.00119736	0
127	224245100	0.001469958	-0.001561183	0.706347532	0.707861969	-0.003165368	-0.000476488	-0.001828344	0
129	224278434	0.001461443	-0.001563967	0.706341593	0.707867906	0.007241787	0.019331607	0.001778682	0
131	224311768	0.001455227	-0.001561853	0.706345388	0.707864136	-0.005623202	0.047845754	-0.00611839	0
133	224345102	0.001447912	-0.001548088	0.706336686	0.707872865	0.004261257	0.013541424	0.006981681	0
135	224378436	0.001435501	-0.001554026	0.706334495	0.707875063	-0.00100451	0.003409767	0.007218789	0
136	224395103	0.001433254	-0.001553948	0.706334872	0.707874692	0.003648463	0.027552916	0.002928676	0
138	224428437	0.001427876	-0.001532041	0.70632435	0.70788525	0.001715482	0.010068189	0.006401438	0
140	224461771	0.001423998	-0.001516454	0.706315593	0.707894029	-0.005096589	0.030214884	0.008798307	0
142	224495105	0.001405385	-0.001516384	0.706313064	0.707896589	0.002028212	0.004525262	0.005582674	0
144	224528439	0.00139283	-0.001517465	0.70631209	0.707897583	0.005433435	0.019419163	0.002034014	0
147	224578440	0.001397179	-0.001507659	0.70630255	0.707907114	-0.006164647	0.017347974	0.002384727	0
149	224611774	0.001396112	-0.001510909	0.706295463	0.70791418	-0.003876885	0.028271329	-0.000184041	0
151	224645108	0.001382049	-0.00149915	0.70629728	0.70791242	-0.014468925	0.025491579	0.01439133	0
153	224678442	0.001405048	-0.001473499	0.706292909	0.70791679	0.000907141	0.061276148	-0.006043787	0
154	224695109	0.001380215	-0.00150238	0.706290495	0.707919186	-0.008498351	0.00159064	0.005266989	0
156	224728443	0.001397215	-0.001457067	0.706287238	0.707922497	0.009629085	0.050791627	0.001426868	0
158	224761777	0.001388326	-0.00146793	0.706280874	0.707928842	0.002280972	0.015323187	0.007615321	0
160	224795111	0.001378741	-0.001462059	0.706283637	0.707926116	0.00025685	0.019440057	0.00347377	0
162	224828445	0.001389052	-0.001439157	0.706290341	0.707919454	-0.007909328	0.037585301	-0.012202834	0
163	224845112	0.001375226	-0.001453064	0.706293289	0.707916511	-0.008023511	0.004789142	-0.005728699	0
167	224911780	0.00136039	-0.001434134	0.706300457	0.707909427	-0.002332896	0.029912244	-0.002269533	0
169	224945114	0.001368037	-0.001420765	0.706295625	0.70791426	0.00051774	0.02549773	-0.009523791	0
171	224978448	0.00135565	-0.001401191	0.706301636	0.707908326	-0.00258988	0.016347641	0.005291084	0
172	224995115	0.001349613	-0.001396839	0.706308584	0.707901414	-0.001836078	0.025964951	0.008178953	0
174	225028449	0.001347132	-0.001396522	0.706310977	0.707899032	-0.011206246	0.00492903	-0.009012466	0
176	225061783	0.001359355	-0.001374529	0.706305014	0.707905001	-0.003723185	0.009925892	-0.005916043	0
178	225095117	0.001362056	-0.001372705	0.706294241	0.707915747	0.006791097	0.016365277	0.004872768	0
180	225128451	0.001358253	-0.001364866	0.706290216	0.707919785	0.016597054	0.01662484	-0.007166637	0
181	225145118	0.001362694	-0.001364641	0.706290663	0.707919332	0.004750472	0.006425309	0.010072735	0
183	225178452	0.001362249	-0.001370393	0.706296366	0.707913631	-0.003756207	0.013890756	-0.008178619	0
187	225245120	0.001359661	-0.001353689	0.706304478	0.707905575	-0.0071715	0.023796159	-0.008230941	0
189	225278454	0.001352072	-0.001342265	0.706306124	0.707903969	-0.006168149	0.015239559	0.014601292	0
190	225295121	0.001345686	-0.001343162	0.706310236	0.707899877	-0.012678119	-0.004383382	0.007242411	0
192	225328455	0.001338484	-0.001350288	0.70630412	0.707905979	0.006957425	0.008710176	-0.003954754	0
194	225361789	0.001342944	-0.001337394	0.706289452	0.70792063	0.003068602	0.012876796	0.006133314	0
196	225395123	0.001350277	-0.001330593	0.706276677	0.707933374	0.003595433	0.037304356	0.010929923	0
198	225428457	0.001348971	-0.001326262	0.706276601	0.70793346	0.001952052	0.0397442	-0.00641546	0
199	225445124	0.001345233	-0.001338716	0.706277976	0.707932073	-0.00482824	0.028940371	-0.005496872	0
201	225478458	0.001355291	-0.001327757	0.706274705	0.707935337	0.00855727	0.023528968	-0.012851182	0
203	225511792	0.001356295	-0.001315345	0.706270648	0.707939406	0.002341526	0.02444493	0.013126403	0
205	225545126	0.00135529	-0.001303688	0.706277763	0.707932331	0.012588161	0.005317147	0.001407259	0
207	225578460	0.00135599	-0.001305236	0.706261832	0.70794822	-0.003146352	0.02429568	0.014826584	0
208	225595127	0.001345259	-0.001299319	0.70625792	0.707952154	-0.004369724	0.017421101	0.012826621	0
210	225628461	0.001334971	-0.001307922	0.706259973	0.70795011	-0.015611616	0.020394056	0.0116344	0
212	225661795	0.001345405	-0.001295501	0.706250747	0.707959316	-0.01261798	0.011898798	0.005132284	0
214	225695129	0.001348667	-0.001286002	0.706257567	0.707952524	0.007080856	0.026754486	-0.008061599	0
216	225728463	0.001341084	-0.001278431	0.706245933	0.707964158	-0.004570251	0.027450779	0.015715148	0
217	225745130	0.00134024	-0.0012856	0.706241471	0.707968598	-0.004236096	0.01074219	0.000872301	0
219	225778464	0.001347223	-0.001276997	0.706242183	0.70796789	-0.003659953	0.03909535	0.008165614	0
223	225845132	0.001352661	-0.001296505	0.706239486	0.707970534	0.013474862	0.013348719	0.006546743	0
225	225878466	0.001341134	-0.00128341	0.706232143	0.707977906	0.00361845	0.03746979	-0.001586038	0
226	225895133	0.001335933	-0.001283393	0.706228941	0.707981109	-0.006408047	0.029445135	0.008243931	0
228	225928467	0.001331192	-0.001273439	0.706222202	0.707987858	0.016289803	0.018785783	0.019056857	0
230	225961801	0.00132514	-0.001257758	0.706215719	0.707994364	-0.000836954	0.014380676	0.007223309	0
232	225995135	0.001306866	-0.001249704	0.706209422	0.708000694	-0.006751542	0.034528048	0.012934069	0
234	226028469	0.001297028	-0.00124639	0.706204332	0.708005795	-0.009078854	0.002547647	-0.005967646	0
235	226045136	0.001302851	-0.001244223	0.706200612	0.708009499	0.004586737	0.020140784	0.00618522	0
237	226078470	0.001307687	-0.0012394	0.706200761	0.708009349	0.01139924	0.019399382	-0.005273753	0
239	226111804	0.001220461	-0.001306382	0.706256464	0.70795382	0.009659347	0.014987072	0.00731736	0
243	226178472	0.001200558	-0.001286561	0.706256003	0.70795435	0.004607606	0.036664754	0.000304852	0
244	226195139	0.001205217	-0.001283388	0.706257726	0.707952629	0.004686804	0.014069341	-0.001162142	0
246	226228473	0.001195211	-0.001293344	0.706252564	0.707957778	-0.008495479	0.029343445	0.000791048	0
248	226261807	0.001180062	-0.001289116	0.706254379	0.707956	0.010871392	-0.007619566	-0.001901549	0
250	226295141	0.001183855	-0.001291831	0.706251741	0.70795862	0.025838212	0.021937981	0.003315451	0
252	226328475	0.001177319	-0.001287649	0.706244798	0.707965565	-0.007276805	-0.001551992	0.007182597	0
253	226345142	0.00117768	-0.001282894	0.706241509	0.707968854	0.008715798	0.012972464	0.005622095	0
255	226378476	0.001170325	-0.001283224	0.706230461	0.707979886	0.005146823	0.003268238	0.006885792	0
257	226411810	0.001152458	-0.001282999	0.706233874	0.707976511	-0.002990829	0.008063514	-0.016893065	0
259	226445144	0.001151406	-0.001287583	0.706233563	0.707976815	-0.007909014	0.00094432	0.004116008	0
264	226528479	0.001121469	-0.001296399	0.706243676	0.707966759	0.004950378	0.016755878	0.003170021	0
266	226561813	0.001098504	-0.001295965	0.706235241	0.70797521	0.007294685	0.00170084	0.005049006	0
268	226595147	0.001098614	-0.001283637	0.706227339	0.707983115	0.001932465	0.010528764	-0.016593334	0
270	226628481	0.001094445	-0.001296102	0.706228841	0.7079816	-0.003659331	0.037460582	0.005243469	0
271	226645148	0.001094682	-0.001300958	0.706234837	0.70797561	-0.013037917	-9.71E-05	0.015709723	0
273	226678482	0.001091761	-0.001297014	0.706233644	0.707976811	-0.000428638	0.018880465	0.001849083	0
275	226711816	0.001083482	-0.001288028	0.706239174	0.707971324	0.007678722	0.006241152	-0.001285818	0
277	226745150	0.001076406	-0.001290593	0.706242985	0.707967529	0.008658048	0.022312559	0.004587309	0
279	226778484	0.001065805	-0.001287895	0.706235156	0.707975359	-0.006391763	0.023086445	0.006420404	0
280	226795151	0.001058103	-0.001283149	0.706229728	0.707980795	-0.003612309	0.021075085	-0.006322294	0
284	226861819	0.001057839	-0.001266873	0.70623718	0.70797339	-0.00419273	0.022583254	0.000932565	0
286	226895153	0.001043846	-0.001273436	0.706239902	0.707970684	-0.000780442	0.020536196	0.002559755	0
288	226928487	0.001043579	-0.001258652	0.706239469	0.707971143	-0.004775779	0.038550945	0.008274053	0
289	226945154	0.001052991	-0.001255667	0.706248862	0.707961764	0.007960033	0.026065327	-0.013412274	0
291	226978488	0.001041744	-0.001249057	0.706243267	0.707967374	0.004361047	0.034376206	0.010910436	0
295	227045156	0.001062131	-0.001223882	0.706252149	0.707958527	-0.005017388	0.020174771	-0.000513732	0
297	227078490	0.001076608	-0.001222887	0.706246298	0.707964344	-0.010866562	0.016053098	-0.006974634	0
298	227095157	0.001078512	-0.00122282	0.706244899	0.707965737	0.00439154	0.022945169	-0.004500017	0
300	227128491	0.001077791	-0.001215735	0.706247604	0.707963051	0.005765921	0.022654086	-0.002058102	0
302	227161825	0.0010917	-0.001213443	0.706249595	0.707961048	-0.008408005	0.028417197	-0.006049951	0
304	227195159	0.001094516	-0.001213065	0.706259343	0.70795132	-0.000122222	0.016744556	0.000904325	0
306	227228493	0.001112067	-0.001202122	0.706258918	0.707951734	-0.006824552	0.038373871	0.010758249	0
307	227245160	0.001116577	-0.001213252	0.706257016	0.707953606	-0.002778747	0.014239654	0.018035055	0
309	227278494	0.0010985	-0.001217806	0.706264474	0.707946186	-0.000530637	0.023584786	0.001179704	0
311	227311828	0.001099139	-0.001218646	0.706266819	0.707943845	-0.002270259	0.016112084	0.00810872	0
