sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-11 15:21:33.862 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 217069164, 0.96970856, 0.0055245087, 0.036761053, -0.24141961, 0.00196873, 0.009085498, 0.42866707, 0
2, 217085831, 0.96966857, 0.0057709375, 0.036860567, -0.24155936, 1.6020291E-4, -4.7765067E-4, 0.45271015, 0
3, 217102498, 0.96962047, 0.0059810523, 0.03694147, -0.24173543, 0.008125674, 0.005657857, 0.42368126, 0
4, 217119165, 0.96961474, 0.006179991, 0.036985837, -0.24174634, -0.010595408, -0.0186693, 0.42507935, 0
5, 217135832, 0.9695875, 0.006293135, 0.03707093, -0.24183959, 0.003126639, -0.014564967, 0.42935753, 0
6, 217152499, 0.9695728, 0.0064022606, 0.03713908, -0.24188551, 0.0059556146, -0.01819115, 0.4251957, 0
7, 217169166, 0.9695473, 0.0065069464, 0.037180487, -0.24197823, 0.0046435376, -7.389059E-4, 0.43739414, 0
8, 217185833, 0.9695254, 0.0066213952, 0.03723186, -0.24205497, -0.009742622, -0.009877967, 0.40941143, 0
9, 217202500, 0.96951735, 0.0067465003, 0.03729076, -0.24207488, 0.009037858, -0.026470559, 0.41555786, 0
10, 217219167, 0.969506, 0.0068600383, 0.037357416, -0.24210626, 0.0035330413, -0.019630497, 0.4346962, 0
11, 217235834, 0.9694927, 0.006975966, 0.03741082, -0.24214853, -0.0025072007, -0.02492429, 0.44898987, 0
12, 217252501, 0.96948576, 0.007084961, 0.03745365, -0.24216655, 0.0020028716, -0.025484538, 0.4278593, 0
13, 217269168, 0.9694713, 0.007194698, 0.037521794, -0.24221087, 7.434041E-4, -0.039462943, 0.43962955, 0
14, 217285835, 0.96945703, 0.007295056, 0.037576605, -0.24225591, 0.016817618, -0.030016107, 0.43313694, 0
15, 217302502, 0.96943915, 0.0073995097, 0.03762662, -0.24231653, 0.024037952, -0.035958227, 0.44537067, 0
16, 217319169, 0.9694264, 0.007507449, 0.037684098, -0.24235547, 0.001250108, -0.038602702, 0.44191742, 0
17, 217335836, 0.96941465, 0.007617775, 0.037725084, -0.24239263, -0.0024135767, -0.04179209, 0.43134594, 0
18, 217352503, 0.9694014, 0.0077280304, 0.037769433, -0.2424347, 0.012182183, -0.038458396, 0.44579792, 0
19, 217369170, 0.96938455, 0.00784017, 0.03781182, -0.24249206, 0.0138660455, -0.042659316, 0.45712376, 0
20, 217385837, 0.96936905, 0.007952605, 0.037851393, -0.242544, 0.012669077, -0.03884236, 0.4251032, 0
21, 217402504, 0.9693545, 0.008069848, 0.0379047, -0.24259046, 0.016579827, -0.050127354, 0.43722248, 0
22, 217419171, 0.9693416, 0.0081891855, 0.037949022, -0.24263111, 0.013262896, -0.052762017, 0.44769, 0
23, 217435838, 0.96932757, 0.008299315, 0.037997138, -0.24267554, 0.0072896234, -0.07029062, 0.423728, 0
24, 217452505, 0.9693171, 0.008411347, 0.03804191, -0.24270666, 0.014843551, -0.0572819, 0.44260883, 0
25, 217469172, 0.96930444, 0.008518946, 0.038094234, -0.24274531, 0.020113343, -0.05328769, 0.43819523, 0
26, 217485839, 0.96928793, 0.008635379, 0.038132537, -0.24280111, 0.0093606105, -0.060143605, 0.42024803, 0
27, 217502506, 0.96927494, 0.008748319, 0.03817349, -0.24284223, 0.009839543, -0.067240216, 0.44994164, 0
28, 217519173, 0.9692644, 0.008860006, 0.038228627, -0.24287175, 0.013618533, -0.06478462, 0.44460392, 0
29, 217535840, 0.9692476, 0.008962849, 0.038276162, -0.24292797, 0.021355154, -0.07513329, 0.43897724, 0
30, 217552507, 0.96923584, 0.009082027, 0.038330827, -0.24296118, 0.009531654, -0.07183149, 0.43305683, 0
31, 217569174, 0.96922445, 0.009185357, 0.038383987, -0.24299414, 0.027782101, -0.065577, 0.448987, 0
32, 217585841, 0.9692069, 0.009301886, 0.03842935, -0.24305291, 0.008732568, -0.07200651, 0.42702198, 0
33, 217602508, 0.96919405, 0.009416947, 0.03847447, -0.24309283, 0.012330875, -0.081230536, 0.4442644, 0
34, 217619175, 0.9691806, 0.009530912, 0.03851645, -0.24313538, 0.014537115, -0.07024748, 0.41345024, 0
35, 217635842, 0.9691688, 0.009651672, 0.03857321, -0.24316858, 0.014926614, -0.06977779, 0.42053223, 0
36, 217652509, 0.9691574, 0.009762507, 0.03861403, -0.2432032, 0.022893427, -0.08119422, 0.4327736, 0
37, 217669176, 0.9691422, 0.009882105, 0.038665358, -0.24325074, 0.020135583, -0.08543473, 0.44200134, 0
38, 217685843, 0.9691272, 0.00999556, 0.03871678, -0.24329774, 0.025605533, -0.093227334, 0.44047546, 0
39, 217702510, 0.9691164, 0.010104187, 0.038767565, -0.24332821, 0.027172303, -0.09773765, 0.4440441, 0
40, 217719177, 0.96910167, 0.010222673, 0.038816385, -0.24337386, 0.009997763, -0.0813552, 0.43141365, 0
41, 217735844, 0.9690879, 0.0103352815, 0.038870737, -0.24341545, 0.013779714, -0.11017733, 0.4484787, 0
42, 217752511, 0.96907246, 0.010439141, 0.03893043, -0.24346294, 0.015723381, -0.09693266, 0.4440031, 0
43, 217769178, 0.9690584, 0.010540775, 0.03897566, -0.24350725, 0.025065636, -0.09353062, 0.43583488, 0
44, 217785845, 0.9690446, 0.010652477, 0.039031073, -0.24354829, 0.021057826, -0.10759962, 0.45633125, 0
45, 217802512, 0.9690334, 0.010766471, 0.039076444, -0.2435807, 0.016135316, -0.10488621, 0.44680405, 0
46, 217819179, 0.96901906, 0.010879311, 0.039127104, -0.24362436, 0.024634872, -0.102860786, 0.42046642, 0
47, 217835846, 0.96900624, 0.010983174, 0.039181456, -0.24366242, 0.021015722, -0.109478645, 0.43373394, 0
48, 217852513, 0.96899176, 0.011095188, 0.0392308, -0.24370678, 0.024891185, -0.10467143, 0.43532467, 0
49, 217869180, 0.96897835, 0.011207764, 0.039276525, -0.2437477, 0.019495191, -0.12335448, 0.44029427, 0
50, 217885847, 0.96896696, 0.01131073, 0.039322026, -0.24378054, 0.0321073, -0.11549555, 0.43639374, 0
51, 217902514, 0.96895623, 0.011414944, 0.03937395, -0.2438099, 0.026466085, -0.12784359, 0.42914677, 0
52, 217919181, 0.9689424, 0.011533033, 0.0394215, -0.24385157, 0.022494987, -0.115809776, 0.42814255, 0
53, 217935848, 0.9689291, 0.011642515, 0.039469637, -0.24389148, 0.031115491, -0.1311006, 0.44362164, 0
54, 217952515, 0.9689159, 0.011754345, 0.03951791, -0.243931, 0.0105674965, -0.13884825, 0.45821953, 0
55, 217969182, 0.96890247, 0.011865272, 0.039565396, -0.24397117, 0.03009328, -0.12877823, 0.45632076, 0
