sep=									
DeviceTag:	Xsens_1								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-11 15:23:06.896 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	41824572	0	5.74E-18	0.707106781	0.707106781	0.006862658	0.14258575	0.001221338	0
2	41841239	1.24E-05	8.86E-05	-0.706966318	-0.707247211	-0.001902342	0.144660384	-0.003302047	0
3	41857906	2.52E-05	0.00014242	-0.70684255	-0.707370899	-0.002581652	0.145443164	-0.014673663	0
4	41874573	2.26E-05	-0.000161426	0.706716931	0.707496398	-0.014862075	0.130430159	-0.003298833	0
5	41891240	4.35E-05	-0.000172716	0.706620519	0.707592687	-0.010808262	0.134540669	-0.011129362	0
6	41907907	6.74E-05	-0.000175747	0.706529233	0.707683833	-0.014184955	0.141539548	0.000993643	0
7	41924574	7.98E-05	-0.000200264	0.706438712	0.707774187	-0.018359999	0.136515975	-0.000157213	0
8	41941241	6.83E-05	-0.000218082	0.706353578	0.707859146	-0.021313626	0.152182405	0.006979711	0
9	41957908	5.35E-05	-0.00024783	0.706282966	0.707929592	-0.02288736	0.140426037	-0.002375008	0
10	41974575	3.56E-05	-0.000262953	0.706213994	0.707998393	-0.040664464	0.12928398	0.003664242	0
11	41991242	2.48E-05	-0.000269855	0.706153741	0.708058487	-0.029691578	0.156222048	0.009745521	0
12	42007909	1.52E-05	-0.000307913	0.706095096	0.708116954	-0.026925224	0.134212032	0.009177824	0
13	42024576	2.53E-05	0.000339403	-0.70602959	-0.708182252	-0.028513068	0.157760005	0.00922883	0
14	42041243	5.10E-05	0.000358883	-0.705958057	-0.708253549	-0.040081373	0.131807142	0.018671366	0
15	42057910	9.07E-05	0.000382958	-0.705882866	-0.708328472	-0.037365382	0.144804234	0.013362474	0
16	42074577	0.000123445	0.000390028	-0.705817777	-0.708393322	-0.048986263	0.15255668	0.003354893	0
17	42091244	0.000160447	0.000418569	-0.705749454	-0.708461366	-0.042177279	0.137921146	0.003845139	0
18	42107911	0.000185102	0.000432498	-0.705679219	-0.708531311	-0.037602877	0.168083961	0.011863364	0
19	42124578	0.000216939	0.000466626	-0.705612392	-0.708597831	-0.037384036	0.164924831	-0.007258171	0
20	42141245	0.000255684	0.000499646	-0.70554164	-0.708668243	-0.061328003	0.118651561	0.011680959	0
21	42157912	0.000282264	0.000517684	-0.705473631	-0.708735923	-0.041949831	0.141251783	0.020548148	0
22	42174579	0.00031211	0.000547707	-0.705406224	-0.708802978	-0.051699063	0.140407474	0.022748734	0
23	42191246	0.000345894	0.000566178	-0.705332835	-0.708875978	-0.046698577	0.149702713	0.011141998	0
24	42207913	0.000379655	0.000588909	-0.705255073	-0.708953307	-0.043694522	0.160384134	0.012455318	0
25	42224580	0.000414605	0.000609787	-0.705183096	-0.709024864	-0.057012232	0.138672746	0.003037938	0
26	42241247	0.000441261	0.000632867	-0.705105787	-0.709101709	-0.068195844	0.144704321	0.016198904	0
