"sep=,",,,,,,,,,
"DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,",,,,,,,,,
"FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,",,,,,,,,,
"AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,",,,,,,,,,
"SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,",,,,,,,,,
"OutputRate:,60Hz,,,,,,,,,,,,,,,,,",,,,,,,,,
"FilterProfile:,General,,,,,,,,,,,,,,,,,",,,,,,,,,
"Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,",,,,,,,,,
"StartTime:,2023-07-11 15:23:06.901 +0200,,,,,,,,,,,,,,,,,",,,,,,,,,
"© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,",,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,22988313,1.72495509376879e-17,1.58727921354813e-16,0.707106781186548,0.707106781186548,-0.009534225,0.08683491,-0.02114787,0
2,23004980,3.78647047834293e-06,-0.000502645166794758,-0.707110251345949,-0.707103132347021,0.0117066282142892,0.10575312925857,-0.0162945495191036,0
3,23021647,1.98612512961489e-05,0.000747759529925206,0.707079262872342,0.707133902791488,0.00165370897081301,0.0905048634721567,-0.0131028791396433,0
4,23038314,4.71895827750334e-05,0.000978034270772746,0.70708645908093,0.707126424768938,0.00365024160233961,0.0899712929274693,-0.0032534825601046,0
5,23054981,7.19385695522854e-05,0.0011480916124467,0.707125537037804,0.707087089105359,-0.0013398891651436,0.0937065831313522,-0.0015848058138678,0
6,23071648,3.08092559413369e-05,0.00136721264624776,0.707199694198124,0.707012533344671,0.0125170669656636,0.10781359115768,-0.00907502175985095,0
7,23088315,3.06836936421302e-05,0.00151580774994412,0.707266517466407,0.706945383078718,0.0246075064785807,0.0960623084401555,-0.0129580640610805,0
8,23104982,1.27978967843954e-05,-0.00168412123284487,-0.70732355662719,-0.706887932993731,0.0124919290334918,0.0838756217974577,-0.000535891969662389,0
9,23121649,4.6772865838987e-05,-0.00184025405479462,-0.707388002237464,-0.706823051101053,0.0203949884873629,0.0631488732493279,-0.00906433572410842,0
10,23138316,6.7678909207726e-05,-0.00197092109110691,-0.707454620714214,-0.706756019089845,0.0182750480012771,0.0999063945384315,-0.0148382242229439,0
11,23154983,8.85594293590065e-05,-0.00211101965819655,-0.707515770157875,-0.706694396985811,0.025259168819085,0.0876379167000025,-0.0177614945827172,0
12,23171650,9.86689702614541e-05,-0.00224226176446181,-0.707588327715412,-0.706621342026633,0.0360186413946155,0.108488680792155,-0.0101421929437593,0
13,23188317,0.000135782688271394,-0.00238991751725777,-0.707653725888987,-0.706555358123309,0.0383572128613564,0.0901251452633575,0.00402048838777027,0
14,23204984,0.000155571344874406,-0.00250781888137303,-0.707719016142356,-0.706489547574846,0.0251662696230435,0.0948239946872785,-0.0157584871679268,0
15,23221651,0.00018186722028243,-0.00262070917229164,-0.707784821784019,-0.706423205210526,0.04419859078858,0.0672229800328564,-0.00418166872540568,0
16,23238318,0.000205342069562026,-0.00273357149825117,-0.707851622835099,-0.706355834881553,0.047612977043142,0.097946747464588,-0.0116779010220755,0
17,23254985,0.000243110655543099,-0.00285465347990279,-0.707917154673379,-0.706289667183278,0.0312836693562375,0.0527585844250406,-0.00955974354702828,0
18,23271652,0.000268333746494017,-0.00299615277897628,-0.707983091960061,-0.706222976519596,0.041499052346093,0.114299948434807,-0.0116304948060404,0
19,23288319,0.000290725272665182,-0.00310486008051483,-0.708053046909701,-0.706152361806279,0.0322906855790526,0.1148179473501,-0.0157351494349181,0
20,23304986,0.000299239012523727,-0.00321662006442704,-0.708130452347333,-0.706074235664873,0.0374250114427625,0.0805654529922642,-0.0213890207142335,0
21,23321653,0.000321843257290225,-0.00334931830026151,-0.708200370192794,-0.706003480262407,0.0559685111860386,0.0999382941775105,-0.0195057445191415,0
22,23338320,0.000336597401648503,-0.00347401008037906,-0.708277100864145,-0.70592589295735,0.0503663413576937,0.0933412062288731,-0.0223783525614804,0
23,23354987,0.000359473486221945,-0.00360825216270275,-0.708353505434362,-0.705848540859861,0.0549036234158264,0.0917364498240725,-0.0249587959294603,0
24,23371654,0.000382870299091503,-0.00373440389713027,-0.708428079245759,-0.70577302596092,0.054775781903651,0.0927794425335535,-0.00806653008820933,0
25,23388321,0.000405773576343336,-0.00386029459538147,-0.708503577062226,-0.705696545806675,0.0544639546398612,0.0979726709087905,-0.0251139628044594,0
26,23404988,0.000429703842514437,-0.00398784268315178,-0.708578972056229,-0.705620119345445,0.068960388920048,0.0887834214899924,-0.021777508657527,0
27,23421655,0.000452195733275832,-0.00411626054630076,-0.708648023446728,-0.705550020043355,0.0659543768817168,0.100857805788387,-0.0208127593436783,0
28,23438322,0.000473629737826152,-0.00423980080551137,-0.708724564230155,-0.705472389127156,0.0666049960525106,0.0933751519789024,-0.0282102160367876,0
29,23454989,0.00049601629187746,-0.00435968234112611,-0.708798738742026,-0.705397118717844,0.0773189507681167,0.092578693406225,-0.0170081344146791,0
30,23471656,0.000499742530237291,-0.00448675887333092,-0.708870941310926,-0.70532376099007,0.0820606598601181,0.106633047405161,-0.0239896305612435,0
32,23504990,0.000558369577338052,-0.00474134369819948,-0.709017118847024,-0.70517510808679,0.0689699356605863,0.080669846389084,-0.0316272028830332,0
34,23538324,0.000600273434308823,-0.0049996842603934,-0.709159720606012,-0.705029881281002,0.0977686818194938,0.0983478355137274,-0.0263611934877001,0
36,23571658,0.000661669274937571,-0.00526551079792271,-0.709309591063781,-0.704877110292808,0.088885196860777,0.109199237318225,-0.0381142525801511,0
39,23621659,0.000710235011807792,-0.00565524392577365,-0.709524028898563,-0.70465819103869,0.103544861630074,0.0986818755183901,-0.0344378392289927,0
41,23654993,0.00074926478255307,-0.00588416117434614,-0.709658271815307,-0.704521080233709,0.109840562693602,0.0828183854979742,-0.0355079544593724,0
43,23688327,0.000790106113925685,-0.00613284998100611,-0.709802670725867,-0.704373432572429,0.103211896166113,0.0761537938395281,-0.0287965704878236,0
