sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-17 14:49:02.190 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 618163760, 0.8093916, -0.007886368, 0.0017100866, 0.5872138, 0.026034495, 0.011548317, 0.016763687, 0
2, 618180427, 0.8094952, -0.007737329, 0.0016533444, 0.58707315, 0.01949726, 0.012404554, 0.012295723, 0
3, 618197094, 0.8095888, -0.0075753303, 0.0016035025, 0.5869464, 0.004003884, 0.0023989994, 0.034347534, 0
4, 618213761, 0.8095795, -0.007375719, 0.0016799395, 0.5869613, 0.019299226, 0.010686873, 0.009583473, 0
5, 618230428, 0.80956686, -0.007181974, 0.0017593383, 0.5869812, 0.013145111, 0.007032081, 0.01198864, 0
6, 618247095, 0.8095768, -0.0069932933, 0.0018626566, 0.58696944, 0.018771246, 0.009102723, 0.017350197, 0
7, 618263762, 0.8096021, -0.006796844, 0.0019917511, 0.5869365, 0.012180072, -0.0064459043, 0.02453804, 0
8, 618280429, 0.8096329, -0.006620607, 0.0021739707, 0.5868953, 0.031048367, 0.0112224845, 0.030189514, 0
9, 618297096, 0.8096548, -0.006426644, 0.0023311188, 0.58686656, 0.046601865, 0.0017610516, 0.030629158, 0
10, 618313763, 0.80968744, -0.0062516113, 0.0024870578, 0.5868227, 0.041057598, -0.009102883, 0.014155388, 0
11, 618330430, 0.8097092, -0.00609648, 0.0026381733, 0.58679366, 0.027576568, -0.009034505, 0.022935867, 0
12, 618347097, 0.8097151, -0.0059445375, 0.002806755, 0.5867862, 0.038664263, -0.004135779, 0.023470879, 0
13, 618363764, 0.8097158, -0.005779665, 0.0029605383, 0.5867863, 0.055735387, -0.0025345287, 0.021632195, 0
14, 618380431, 0.80973166, -0.005618258, 0.003131205, 0.5867651, 0.06357483, 0.010178124, 0.01365757, 0
15, 618397098, 0.8097518, -0.00546324, 0.003296952, 0.58673763, 0.07302914, 0.0013951015, 0.04047203, 0
16, 618413765, 0.8097682, -0.0053058886, 0.0034554373, 0.5867158, 0.0758566, 0.0017280835, 0.043504715, 0
17, 618430432, 0.80977744, -0.005153958, 0.0035990607, 0.58670354, 0.077554315, -5.4393975E-5, 0.028635979, 0
18, 618447099, 0.80979735, -0.005006974, 0.0037522912, 0.58667636, 0.06644607, -0.016217517, 0.019199371, 0
19, 618463766, 0.80980915, -0.004864362, 0.003918964, 0.58666, 0.08533449, -0.0071939044, 0.03498459, 0
20, 618480433, 0.8098217, -0.0047195116, 0.00407305, 0.58664304, 0.07455546, -0.013893415, 0.014716148, 0
21, 618497100, 0.80983394, -0.0045668595, 0.004229678, 0.58662623, 0.08885751, -0.0021528138, 0.0020809174, 0
22, 618513767, 0.80984724, -0.0044093234, 0.0043914723, 0.58660793, 0.09707748, -0.011183007, 0.024895668, 0
23, 618530434, 0.80986077, -0.004256671, 0.0045539434, 0.586589, 0.0817702, -0.014182379, 0.03609276, 0
24, 618547101, 0.80987144, -0.0041172416, 0.0047205314, 0.586574, 0.10294183, -0.005159821, 0.009017944, 0
25, 618563768, 0.8098884, -0.0039642057, 0.0048881695, 0.5865503, 0.10215608, -0.016753906, 0.03439808, 0
26, 618580435, 0.80988604, -0.0038182093, 0.005054979, 0.58655304, 0.103634894, -0.009450257, 0.010998726, 0
27, 618597102, 0.8098889, -0.0036662575, 0.005222542, 0.5865485, 0.109239966, -0.010976372, 0.008323669, 0
28, 618613769, 0.8098968, -0.0035139446, 0.0054011345, 0.58653694, 0.115841374, -0.006762444, 0.024645805, 0
29, 618630436, 0.8099071, -0.0033585504, 0.0055727847, 0.58652216, 0.13968652, -0.018713247, 0.021972656, 0
30, 618647103, 0.8099202, -0.003218596, 0.005744278, 0.58650315, 0.14896242, -0.013982098, 0.016759872, 0
31, 618663770, 0.8099287, -0.0030734143, 0.005903486, 0.5864905, 0.13383844, -0.0055173878, 0.0088710785, 0
32, 618680437, 0.80993444, -0.0029273848, 0.0060608345, 0.5864817, 0.12699443, -0.029914694, 0.024121284, 0
33, 618697104, 0.8099443, -0.0027810242, 0.0062164166, 0.5864674, 0.13328214, -0.024085568, 0.024132729, 0
34, 618713771, 0.8099521, -0.002629969, 0.0063854354, 0.5864553, 0.1467007, -0.016276501, 0.056937218, 0
35, 618730438, 0.80996597, -0.0024809465, 0.0065542227, 0.58643496, 0.15494901, -0.008568131, 0.02875328, 0
36, 618747105, 0.80997956, -0.0023322774, 0.0067056403, 0.58641523, 0.13856924, -0.008085454, 0.039183617, 0
37, 618763772, 0.80999357, -0.0021899214, 0.0068744957, 0.5863943, 0.16295029, -0.020040553, 0.025612831, 0
38, 618780439, 0.81000113, -0.0020386032, 0.007041307, 0.5863824, 0.14536805, -0.016032204, 0.01910019, 0
39, 618797106, 0.81001157, -0.0018919319, 0.007210302, 0.5863664, 0.16776572, -0.004448739, 0.02913475, 0
40, 618813773, 0.81001973, -0.0017334638, 0.0073824637, 0.5863537, 0.15532729, -0.022317443, 0.018811226, 0
41, 618830440, 0.81003034, -0.0015839025, 0.007533376, 0.5863374, 0.1648218, -0.010327618, 0.03831768, 0
42, 618847107, 0.8100356, -0.0014303585, 0.0076897936, 0.58632845, 0.16328391, -0.032708563, 0.03358078, 0
43, 618863774, 0.810042, -0.0012801972, 0.007862768, 0.58631784, 0.17601494, -0.025999041, 0.032619476, 0
44, 618880441, 0.81005394, -0.0011335998, 0.008028304, 0.58629936, 0.17632322, -0.020950396, 0.012150764, 0
45, 618897108, 0.8100737, -9.786072E-4, 0.008197011, 0.5862699, 0.18781634, -0.024268685, 0.032431602, 0
46, 618913775, 0.8100877, -8.2578964E-4, 0.008347147, 0.5862487, 0.18407261, -0.01792388, 0.015545845, 0
47, 618930442, 0.81010145, -6.855748E-4, 0.008506349, 0.5862277, 0.20509356, -0.0138889365, 0.02189064, 0
48, 618947109, 0.8101142, -5.3707906E-4, 0.008667075, 0.5862079, 0.20875283, -0.02433251, 0.029450417, 0
49, 618963776, 0.8101253, -3.8868695E-4, 0.008822493, 0.5861903, 0.21979618, 0.004336777, 0.011096954, 0
50, 618980443, 0.8101437, -2.3691157E-4, 0.008980217, 0.5861623, 0.22504023, -0.04134125, 0.026547432, 0
51, 618997110, 0.8101623, -9.499874E-5, 0.009140072, 0.58613425, 0.20996274, -0.021588096, 0.034196854, 0
52, 619013777, 0.81017536, 5.3644853E-5, 0.00929752, 0.5861138, 0.2137876, -0.022527467, 0.03599453, 0
53, 619030444, 0.810191, 1.975186E-4, 0.009460573, 0.58608943, 0.23402897, -0.033244204, 0.00825119, 0
54, 619047111, 0.81020415, 3.5172395E-4, 0.009624569, 0.58606863, 0.2311444, -0.017631777, 0.02486515, 0
55, 619063778, 0.8102211, 4.919992E-4, 0.00978765, 0.58604246, 0.23473367, -0.021899235, 0.02306652, 0
56, 619080445, 0.8102329, 6.367798E-4, 0.009950435, 0.58602333, 0.23343135, -0.026211413, 0.033462524, 0
57, 619097112, 0.810252, 7.714974E-4, 0.0101138735, 0.5859938, 0.24687296, -0.015841933, 0.012615204, 0
58, 619113779, 0.81026787, 9.2739164E-4, 0.010271608, 0.58596885, 0.23314382, -0.024126928, 0.008462906, 0
59, 619130446, 0.81028664, 0.0010738571, 0.010422724, 0.5859401, 0.25290054, -0.030920388, 0.018947601, 0
