sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-13 15:18:37.505 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 774468563, 0.6913458, 0.15785296, -0.6815931, 0.1804284, 0.011755887, 0.009664253, 0.046875, 0
2, 774485230, 0.6911648, 0.15781525, -0.68181, 0.18033509, -0.002757703, -0.003933381, 0.055262566, 0
3, 774501897, 0.6911601, 0.15756565, -0.68191, 0.1801936, 0.007930687, -0.02412107, 0.040924072, 0
4, 774518564, 0.6911199, 0.1574602, -0.6819227, 0.18039165, 0.024330726, -0.0029055567, 0.043459892, 0
5, 774535231, 0.69104725, 0.15736133, -0.68197095, 0.18057373, 0.014713858, 0.025890624, 0.05621338, 0
6, 774551898, 0.6909774, 0.15731756, -0.6820237, 0.18067971, 6.513168E-4, 0.05448374, 0.05838871, 0
7, 774568565, 0.69090366, 0.15743098, -0.6820391, 0.18080491, -0.043948904, 0.027160065, 0.050551414, 0
8, 774585232, 0.6909049, 0.15746136, -0.68202424, 0.18082972, -5.5431214E-5, 0.0016285154, 0.049964905, 0
9, 774601899, 0.69091266, 0.15744027, -0.6820146, 0.18085489, -0.0054260003, -0.021314867, 0.06258392, 0
10, 774618566, 0.69089985, 0.1574489, -0.6819961, 0.18096565, 0.027574345, 0.027660064, 0.06287193, 0
11, 774635233, 0.69090676, 0.15741304, -0.68197954, 0.18103307, -0.011897148, 0.050283153, 0.06062603, 0
12, 774651900, 0.6909307, 0.15733765, -0.68196833, 0.18104964, -0.042203717, 0.018866953, 0.042744637, 0
13, 774668567, 0.6909688, 0.15725002, -0.68195224, 0.1810409, -0.015322708, -0.008979633, 0.045084953, 0
14, 774685234, 0.6909786, 0.15718986, -0.6819444, 0.18108581, 0.007191306, 0.0028767234, 0.053866386, 0
15, 774701901, 0.6910023, 0.1570988, -0.6819346, 0.18111053, 0.02497176, 0.0310122, 0.055113792, 0
16, 774718568, 0.6910717, 0.1568323, -0.6819638, 0.18096708, 0.011557855, 0.03441988, 0.064338684, 0
17, 774735235, 0.69111, 0.15670401, -0.6819569, 0.18095806, -0.016019173, 0.041872248, 0.051239014, 0
18, 774751902, 0.69114476, 0.15656888, -0.6819604, 0.18092868, 0.018356225, 0.06309402, 0.053847313, 0
19, 774768569, 0.6911426, 0.15654498, -0.68194675, 0.18100882, 0.0049423184, 0.0064847814, 0.04915619, 0
20, 774785236, 0.69114536, 0.15651192, -0.6819316, 0.1810844, 0.0056463843, 0.008552835, 0.0594759, 0
21, 774801903, 0.6911765, 0.15638678, -0.6819297, 0.181081, -0.0016235982, 0.02070691, 0.049678802, 0
22, 774818570, 0.69121605, 0.15627313, -0.68191683, 0.18107645, -0.029310148, 0.06141756, 0.04382515, 0
