sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-13 15:18:37.504 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	750100842	3.60E-18	-4.56E-17	-0.707106781	-0.707106781	0.041375376	0.17662716	-0.0262899	0
2	750117509	0.000591285	0.000203171	-0.707297528	-0.706915706	-0.021989084	0.177045451	-0.020366344	0
3	750134176	0.00081796	0.000138729	-0.707468806	-0.706744084	-0.026789118	0.172218351	-0.020646378	0
4	750150843	0.000897417	1.50E-05	-0.707567393	-0.706645299	-0.020436035	0.180149356	0.001358469	0
5	750167510	0.000913973	-1.38E-05	-0.707714325	-0.706498124	-0.024567814	0.161959347	0.011215134	0
6	750184177	0.000874402	1.96E-05	-0.707821099	-0.7063912	0.003862568	0.162688539	-0.00872951	0
7	750200844	0.000875111	6.43E-05	-0.707841709	-0.706370543	0.012869903	0.163501489	-0.011026507	0
8	750217511	0.000922254	0.000124781	-0.707921682	-0.706290327	-0.002107708	0.175631178	-0.043590815	0
9	750234178	0.001003064	0.000171594	-0.708052088	-0.706159476	-0.014548688	0.166468598	-0.015878402	0
10	750250845	0.001084392	0.000224567	-0.708170677	-0.706040413	-0.022379857	0.162392977	0.024183143	0
11	750267512	0.001114628	0.000310824	-0.708222035	-0.705988817	0.013623892	0.171368087	-0.00081955	0
12	750284179	0.001160882	0.000401775	-0.708359682	-0.705850588	0.004177926	0.167268447	-0.025943255	0
13	750300846	0.001198855	0.00048152	-0.708456575	-0.705753223	-0.028689445	0.168158376	-0.036756016	0
14	750317513	0.001246185	0.000563754	-0.708525656	-0.705683728	-0.016112496	0.172178365	-0.009937311	0
15	750334180	0.001306902	0.000649738	-0.708467027	-0.705742404	-0.02402673	0.164228316	0.007746729	0
16	750350847	0.001358933	0.000728816	-0.708773638	-0.7054343	-0.014197903	0.164494925	0.01035602	0
17	750367514	0.001401606	0.000812694	-0.708967035	-0.705239759	-0.015567167	0.163529077	0.002674284	0
18	750384181	0.001417341	0.000911614	-0.708853249	-0.705353976	-0.016501923	0.165989216	-0.028511394	0
19	750400848	0.001450528	0.000985946	-0.709030099	-0.705176036	-0.042662292	0.169161266	-0.032466618	0
20	750417515	0.001480425	0.001081108	-0.708984721	-0.705221458	-0.055981856	0.169430737	-0.020280531	0
21	750434182	0.001522852	0.001171295	-0.709114419	-0.70509081	-0.014734617	0.168643552	-0.003035503	0
22	750450849	0.001545366	0.001259278	-0.709109072	-0.705095986	-0.03738496	0.171010368	-0.003852248	0
23	750467516	0.001578785	0.00132711	-0.709395392	-0.704807722	-0.003714193	0.173905195	-0.036204274	0
24	750484183	0.001597456	0.001418302	-0.709251918	-0.70495188	-0.035001056	0.174600423	-0.034649545	0
25	750500850	0.001653076	0.001491264	-0.709454761	-0.704747462	-0.019517101	0.176396929	-0.027659412	0
26	750517517	0.001718881	0.001560554	-0.709881628	-0.704317176	-0.012870519	0.162621281	-0.01641477	0
27	750534184	0.001741354	0.001661252	-0.709691896	-0.70450807	-0.014737374	0.185794133	-0.009577296	0
28	750550851	0.001768718	0.001755511	-0.709614766	-0.704585463	-0.017502927	0.173670413	-0.014424647	0
29	750567518	0.001791128	0.001843828	-0.709550591	-0.704649808	-0.0415585	0.167587667	-0.057490011	0
30	750584185	0.001818994	0.001949979	-0.709268144	-0.704933747	-0.058346965	0.177392942	-0.044939231	0
31	750600852	0.001854611	0.002039676	-0.70924864	-0.704953024	-0.057813332	0.168078587	-0.032029604	0
32	750617519	0.001874123	0.002160507	-0.708837807	-0.705365708	-0.02505531	0.169270602	-0.012223671	0
33	750634186	0.001902576	0.002247317	-0.70874165	-0.705461979	-0.016044246	0.184830707	-0.015482356	0
34	750650853	0.001921476	0.002310262	-0.708744923	-0.705458435	-0.069688149	0.167681269	-0.049269518	0
35	750667520	0.001932017	0.00240512	-0.70861977	-0.705583804	-0.073652397	0.165774287	-0.052234066	0
36	750684187	0.002020224	0.002457929	-0.709271979	-0.704927753	-0.053479863	0.179281688	-0.046655567	0
37	750700854	0.002047429	0.002570789	-0.709065444	-0.705135019	-0.022380959	0.175189756	-0.017816123	0
38	750717521	0.0020858	0.002636838	-0.709211885	-0.704987375	-0.052678185	0.171815067	-0.016182227	0
39	750734188	0.002100456	0.002718735	-0.709092634	-0.705106966	-0.067323848	0.176610075	-0.049139746	0
40	750750855	0.002126384	0.002792778	-0.709111507	-0.705087618	-0.075388662	0.17126508	-0.065571488	0
41	750767522	0.002163409	0.002893742	-0.70910255	-0.705096106	-0.069225657	0.154268726	-0.081177535	0
42	750784189	0.002193822	0.002989413	-0.709032729	-0.705165824	-0.048638981	0.160209727	-0.03618311	0
43	750800856	0.002224782	0.003073424	-0.709026556	-0.705171573	-0.026779082	0.164968506	-0.005312627	0
44	750817523	0.00224583	0.003151816	-0.709055469	-0.705142088	-0.035636033	0.178288771	-0.041069781	0
45	750834190	0.002279812	0.003214139	-0.709257109	-0.70493888	-0.071613346	0.156359718	-0.072664442	0
46	750850857	0.002324966	0.003284536	-0.709376181	-0.704818587	-0.082034531	0.165059241	-0.079688966	0
47	750867524	0.002332875	0.003408782	-0.708961512	-0.705235076	-0.069086915	0.165246802	-0.05907131	0
48	750884191	0.00237697	0.003482788	-0.709128036	-0.705067124	-0.052387723	0.168396951	-0.038910936	0
49	750900858	0.002371515	0.00360532	-0.708464165	-0.705733594	-0.056764056	0.169359891	-0.027204399	0
50	750917525	0.002402154	0.003660513	-0.708709783	-0.705486551	-0.073817502	0.168548405	-0.045815065	0
51	750934192	0.002416252	0.003760345	-0.708434481	-0.70576243	-0.075885732	0.156237539	-0.078853244	0
52	750950859	0.002472048	0.003844915	-0.708652107	-0.705543264	-0.074785241	0.171283899	-0.070679675	0
53	750967526	0.002460208	0.003986282	-0.707857642	-0.706339589	-0.044218488	0.165606627	-0.035673978	0
54	750984193	0.002499121	0.004053568	-0.707989556	-0.706206847	-0.084430449	0.166680714	-0.021892808	0
