DataType=Vec3																								
version=3																								
OpenSimVersion=4.4-2022-07-23-0e9fedc																								
endheader																								
time	/bodyset/femur_r|position			/bodyset/femur_l|position			/bodyset/tibia_r|position			/bodyset/tibia_l|position			/bodyset/humerus_r|position			/bodyset/humerus_l|position			/bodyset/radius_r|position			/bodyset/radius_l|position		
0	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.10528	1.1045152	0.231036	-0.10528	1.1045152	-0.231036
0.01666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105425431	1.104521607	0.231207426	-0.105230925	1.104552396	-0.230954405
0.03333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105515861	1.104529211	0.231295293	-0.105215897	1.104580533	-0.230884273
0.05	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105594991	1.104539051	0.231367551	-0.10529342	1.104603713	-0.230843325
0.06666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105660864	1.104548292	0.231428081	-0.105416403	1.104622253	-0.230824086
0.08333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105778002	1.104558367	0.231516715	-0.105596922	1.104633852	-0.230809973
0.1	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105877177	1.104565525	0.231536454	-0.105770623	1.104643771	-0.23087056
0.11666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.105989731	1.104566289	0.231545016	-0.106056579	1.104637084	-0.230821162
0.13333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106101188	1.104575605	0.231558771	-0.106425974	1.104627699	-0.23089826
0.15	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106194147	1.104576733	0.231434716	-0.106613331	1.104622987	-0.230805114
0.16666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106212977	1.104589449	0.231307684	-0.106815833	1.104622095	-0.230777554
0.18333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106324703	1.104588139	0.231127962	-0.10696779	1.104618879	-0.230700793
0.2	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106417604	1.104589787	0.230897754	-0.107095935	1.104615759	-0.230619469
0.21666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106595828	1.104586214	0.230695185	-0.107203468	1.10461167	-0.2305532
0.23333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.106815524	1.104581909	0.230491582	-0.107342015	1.104606145	-0.230513571
0.25	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.107132951	1.104575571	0.230263313	-0.107548568	1.104593326	-0.230486602
0.26666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.107429842	1.104565963	0.230112247	-0.1078298	1.104588536	-0.230495898
0.28333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.107776642	1.104551831	0.229959048	-0.108092231	1.104578875	-0.230435923
0.3	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.108350735	1.104514323	0.229636453	-0.108282166	1.104565532	-0.230364513
0.31666667	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.109530964	1.104448472	0.229206209	-0.108404349	1.104560101	-0.23030115
0.33333333	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.109186429	1.104436909	0.228610809	-0.108548089	1.104552736	-0.230323477
0.35	-0.0641847	0.8497811	0.0779238	-0.0641847	0.8497811	-0.0779238	-0.0639132	0.44861852	0.07671751	-0.06369986	0.46041849	-0.07679338	-0.111697	1.4037952	0.214548	-0.111697	1.4037952	-0.214548	-0.108213091	1.104449392	0.22787248	-0.108677846	1.104536502	-0.230464233
