sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.4.0								
AppVersion:	2022.0.1								
SyncStatus:	Synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2020-11-25 11:08:09.691 +0100								
© Xsens Technologies B. V. 2005-2020									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	2054157243	6.08E-19	-1.51E-16	0.707106781	0.707106781	0.15063633	0.28704262	0.051303823	0
2	2054173910	0.00039915	-1.78E-05	0.707409752	0.706803568	0.159321088	0.35671943	-0.046314872	0
3	2054190577	0.000711087	-0.000100077	0.707838411	0.706374028	0.15179206	0.356834854	-0.013707546	0
4	2054207244	0.000977137	-0.000189581	0.708239691	0.705971351	0.197587938	0.323713393	0.037601312	0
5	2054223911	0.001226407	-0.000298498	0.708504182	0.705705485	0.233159022	0.317811244	0.049948078	0
6	2054240578	0.001469994	-0.000373267	0.70868712	0.705521272	0.172968017	0.248477998	0.059350434	0
7	2054257245	0.001708526	-0.000382082	0.708791341	0.705416026	0.205971315	0.291065213	0.024519473	0
8	2054273912	0.001976055	-0.000420564	0.708887549	0.705318624	0.203001695	0.292877504	-0.004587728	0
9	2054290579	0.002217067	-0.000450002	0.708974297	0.705230691	0.086974687	0.295061941	-0.035267529	0
10	2054307246	0.002320914	-0.000538574	0.709091753	0.705112196	0.103098505	0.2760465	-0.049872957	0
11	2054323913	0.002409535	-0.000584771	0.709284672	0.704917802	0.129566224	0.234350975	-0.030343348	0
12	2054340580	0.002448494	-0.000597153	0.70944313	0.704758181	0.112948334	0.215258376	-0.030568371	0
13	2054357247	0.002454733	-0.000493125	0.709542352	0.704658344	0.068231678	0.152952332	0.028771799	0
14	2054373914	0.002497031	-0.000262877	0.709461602	0.70473962	0.113234937	0.130860843	0.035233782	0
15	2054390581	0.002647215	1.64E-05	0.709238182	0.704963966	0.137659523	0.165681501	-0.021859768	0
16	2054407248	0.002832883	0.000381071	0.708946839	0.70525613	0.106258769	0.194653883	-0.005135224	0
17	2054423915	0.003026128	0.000893258	0.708683103	0.705519882	0.091339285	0.163477137	0.064794347	0
18	2054440582	0.003199487	0.001479096	0.708457608	0.705744567	0.218174289	0.20750284	0.017152124	0
20	2054473916	0.003365715	0.00278288	0.70783491	0.706364401	0.22211399	0.228955521	0.039988847	0
24	2054540584	0.003611384	0.005376927	0.704968456	0.709209082	0.15603909	0.507519049	-0.207554784	0
27	2054590585	0.002385601	0.005941182	0.705744055	0.708437957	0.160428079	0.364870963	-0.077741493	0
30	2054640586	0.000392265	0.005941829	0.708133103	0.706053857	0.273810215	0.353344367	-0.026453957	0
32	2054673920	0.000410299	-0.005947845	-0.709006156	-0.705177089	0.278561279	0.189394401	-0.031544133	0
35	2054723921	0.001131926	-0.006264057	-0.709169581	-0.705009209	0.286217366	0.250829748	-0.024553503	0
38	2054773922	0.001099078	-0.00663449	-0.708721756	-0.705456057	0.349071214	0.406001336	-0.067372816	0
41	2054823923	0.001374162	-0.005729687	-0.70876295	-0.705422116	0.187345514	0.342037547	-0.028494808	0
43	2054857257	0.001533772	-0.004892478	-0.708915668	-0.705274618	0.315036282	0.285546332	-0.063627579	0
46	2054907258	0.001291548	-0.003543289	-0.708866418	-0.705332672	0.2908595	0.270042416	0.010287206	0
49	2054957259	0.000688519	-0.002304781	-0.708429366	-0.705777619	0.157017203	0.268055891	0.057725951	0
53	2055023927	0.000838777	0.001663264	0.708499526	0.705708829	0.051762854	0.416581116	-0.021796382	0
55	2055057261	0.001992973	0.001469886	0.709993674	0.704203699	0.070039272	0.399110398	-0.155241405	0
58	2055107262	0.003189731	0.000256781	0.712602618	0.701560595	0.450260417	0.193882275	-0.065480905	0
61	2055157263	0.004650768	-0.001450478	0.71211696	0.702043946	0.265527144	0.153650134	0.023802043	0
63	2055190597	0.005774913	-0.002429607	0.711027666	0.703136122	0.218985208	0.180448797	0.02848745	0
66	2055240598	0.007163846	-0.003691839	0.708705638	0.705458268	0.17278214	0.334545259	-0.016089721	0
69	2055290599	0.007982147	-0.00481378	0.706378697	0.707772738	0.038275474	0.255676491	0.071985821	0
72	2055340600	0.00872731	-0.005299277	0.705260784	0.708874445	0.051897884	0.210467212	-0.022268088	0
74	2055373934	0.008999756	-0.005440299	0.705406218	0.708725247	0.074411481	0.273142793	-0.013707243	0
77	2055423935	0.009408867	-0.005624321	0.705815716	0.708310677	0.153075883	0.295154341	-0.071928691	0
81	2055490603	0.010259289	-0.006267865	0.706781689	0.707329559	0.126877132	0.358752365	-0.104051033	0
84	2055540604	0.010915652	-0.006840757	0.707596255	0.706499534	0.164368632	0.346958264	-0.037966076	0
86	2055573938	0.011441623	-0.00713609	0.707718441	0.706365892	0.146517307	0.284139301	-0.008414177	0
89	2055623939	0.012251659	-0.007555351	0.707019772	0.70704728	0.166657625	0.263830921	-0.015139084	0
92	2055673940	0.013140607	-0.007954282	0.705454971	0.708588271	0.13983556	0.317233201	-0.048427299	0
95	2055723941	0.014030089	-0.008541725	0.702734234	0.711262815	0.218340022	0.323972879	-0.078349902	0
97	2055757275	0.014314618	-0.009329488	0.699867533	0.714068266	0.310105972	0.297896714	0.01839577	0
100	2055807276	0.014541845	-0.010637944	0.694276435	0.719482871	0.02703517	0.261061188	0.015082406	0
103	2055857277	0.013967191	-0.01137465	0.692237737	0.721444697	0.03717637	0.308759689	-0.038710948	0
105	2055890611	0.013216296	-0.011933418	0.692124265	0.721558677	0.223667914	0.365782798	-0.082532185	0
108	2055940612	0.012410419	-0.012936492	0.691242097	0.722400853	0.035682741	0.344936141	-0.033247254	0
111	2055990613	0.011547383	-0.013895667	0.69114498	0.722490267	0.149985407	0.257963654	-0.074540699	0
113	2056023947	0.011474516	-0.014410692	0.690904137	0.722711658	0.07840132	0.197216541	-0.060521326	0
116	2056073948	0.011633199	-0.014861068	0.691787188	0.721854767	0.124156481	0.300064908	-0.069770116	0
119	2056123949	0.011568495	-0.015094764	0.693614777	0.720095035	0.144302373	0.345025374	0.112602939	0
122	2056173950	0.011689988	-0.014990669	0.69482354	0.718928976	0.279700674	0.243330509	0.125742	0
124	2056207284	0.011899944	-0.014886872	0.69460911	0.719134867	0.277319747	0.168665507	0.054732379	0
127	2056257285	0.012419224	-0.014622559	0.693877752	0.71983721	0.187878648	0.283143486	0.033238181	0
130	2056307286	0.012789727	-0.014586508	0.693438886	0.720254238	0.230754721	0.388740179	0.00385482	0
132	2056340620	0.012978425	-0.014818674	0.693056943	0.720613656	0.215707991	0.268199895	0.012531408	0
135	2056390621	0.013675403	-0.014943887	0.692575911	0.721060519	0.112225174	0.251493782	-0.042100715	0
138	2056440622	0.014781726	-0.014844821	0.692882826	0.720745809	0.109173142	0.323757665	-0.029110757	0
140	2056473956	0.015283617	-0.014896439	0.693306334	0.720326894	0.219509493	0.348419787	0.003142268	0
143	2056523957	0.015832767	-0.014953066	0.693528164	0.720100281	0.151648957	0.321540649	0.012681544	0
146	2056573958	0.016015653	-0.014851075	0.694228378	0.719423313	0.161892543	0.311609597	-0.0067659	0
149	2056623959	0.015803698	-0.014586162	0.69543183	0.718270184	0.181778443	0.271479822	-0.012896688	0
151	2056657293	0.015635822	-0.014333982	0.696124269	0.717607874	0.198994031	0.271261125	-0.047033558	0
154	2056707294	0.015534366	-0.013697113	0.697754893	0.716037137	0.177192165	0.239967582	-0.03275572	0
157	2056757295	0.015859381	-0.012785523	0.699412275	0.714428079	0.285170324	0.227385523	-0.002277433	0
161	2056823963	0.016645891	-0.011548475	0.700382722	0.713479916	0.169916919	0.310324571	-0.025496565	0
163	2056857297	0.01659624	-0.011087206	0.701333208	0.712554117	0.226498027	0.338002187	-0.015346313	0
166	2056907298	0.016079859	-0.010526003	0.702506904	0.711417382	0.197730418	0.282833944	0.032607285	0
169	2056957299	0.015273333	-0.009944649	0.703852858	0.710111951	0.19287105	0.401251138	0.01966349	0
171	2056990633	0.014663381	-0.009661685	0.704588366	0.709398951	0.2439147	0.274433448	-0.054874101	0
174	2057040634	0.013805966	-0.009312876	0.705039956	0.70897202	0.150841577	0.297175858	0.011301403	0
177	2057090635	0.013289685	-0.009021643	0.705438598	0.708589005	0.181618896	0.345928144	-0.019638964	0
180	2057140636	0.012766994	-0.009049959	0.705853065	0.708185394	0.226844649	0.300401938	-0.009402757	0
182	2057173970	0.012592126	-0.009137565	0.706081419	0.707959725	0.168498313	0.229604866	0.030276023	0
185	2057223971	0.012615748	-0.009224575	0.706215519	0.707824407	0.221686109	0.369423572	-0.023442362	0
189	2057290639	0.012584783	-0.009618185	0.706287152	0.707748241	0.123910107	0.288307286	-0.019513301	0
192	2057340640	0.012320693	-0.009895007	0.70689416	0.707142797	0.174712193	0.315341238	-0.010931481	0
194	2057373974	0.012184431	-0.01006712	0.707269147	0.706767675	0.183537093	0.332042509	-0.006485819	0
197	2057423975	0.012239766	-0.010227904	0.707831957	0.70620075	0.115521923	0.288208842	-0.002572145	0
200	2057473976	0.012663164	-0.010222195	0.708686412	0.705335892	0.160408932	0.25253479	-0.011238143	0
203	2057523977	0.013355533	-0.01016386	0.709218493	0.704788944	0.222378949	0.309864051	-0.017418386	0
205	2057557311	0.013961074	-0.010190508	0.709266768	0.704728241	0.144155429	0.285846648	-0.010105171	0
208	2057607312	0.014998687	-0.010078145	0.709174069	0.704801823	0.17884767	0.285763527	-0.056170266	0
211	2057657313	0.016102776	-0.01000209	0.709146744	0.70480604	0.126904345	0.295226824	-0.042537062	0
213	2057690647	0.016835065	-0.009867055	0.70920148	0.704735754	0.180810945	0.319612185	-0.054116672	0
217	2057757315	0.018022401	-0.009692703	0.709314276	0.704595276	0.154633383	0.271995843	-0.066915248	0
220	2057807316	0.018848547	-0.009535529	0.709341777	0.704548117	0.104011263	0.300633273	-0.099096403	0
223	2057857317	0.019503285	-0.009335986	0.70944948	0.704424514	0.120639215	0.333718546	-0.107381381	0
225	2057890651	0.019956427	-0.009337495	0.709220013	0.704642835	0.189610752	0.287455937	-0.091057584	0
228	2057940652	0.020285704	-0.009311756	0.709258761	0.704594771	0.078308657	0.308677679	-0.053187998	0
231	2057990653	0.020324957	-0.009193958	0.709869012	0.703980364	0.145901266	0.290940585	-0.01464408	0
234	2058040654	0.020176394	-0.008920002	0.710329365	0.70352366	0.130324349	0.226098324	-0.039690456	0
236	2058073988	0.019940525	-0.008748211	0.710796527	0.703060553	0.135795715	0.25624934	-0.002871067	0
239	2058123989	0.019178349	-0.00848211	0.711828439	0.702040254	0.158671633	0.298192918	0.001790253	0
