sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-18 10:24:00.653 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 181546190, 0.9467125, 1.590887E-4, -0.0073451847, -0.32199615, 7.1736483E-4, 0.0030674338, 0.22341633, 0
2, 181562857, 0.9467016, 4.1101794E-4, -0.0073236222, -0.32202852, -0.0074089305, -0.007092479, 0.2119379, 0
3, 181579524, 0.94668543, 6.0283317E-4, -0.0072895903, -0.32207665, -0.01402255, -0.0022795948, 0.2341404, 0
4, 181596191, 0.94664365, 7.967481E-4, -0.0072240247, -0.3222007, -0.025908578, -0.015944693, 0.20240974, 0
5, 181612858, 0.9466635, 9.412977E-4, -0.0071441936, -0.3221436, -0.0028731753, -0.021387057, 0.21643448, 0
6, 181629525, 0.9466548, 0.0011053515, -0.00712124, -0.32216895, 1.17630676E-4, -0.03195335, 0.22037983, 0
7, 181646192, 0.9466866, 0.0012492567, -0.007126524, -0.32207498, -0.012163261, -0.023120746, 0.23461246, 0
8, 181662859, 0.9466416, 0.0014029427, -0.007122444, -0.32220638, -0.0064773844, -0.026135517, 0.23698044, 0
9, 181679526, 0.94664425, 0.0015693462, -0.0071459613, -0.3221974, -0.009082456, -0.030581161, 0.20767975, 0
10, 181696193, 0.94664407, 0.0017394527, -0.0071642934, -0.3221967, -0.014141724, -0.03480481, 0.2190609, 0
11, 181712860, 0.94664246, 0.0019115862, -0.007174655, -0.32220045, -0.0103103975, -0.034968942, 0.21964264, 0
