sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-11 15:23:06.900 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	27659403	0	-9.58E-18	-0.707106781	-0.707106781	0.010808528	0.39968872	0.013555118	0
2	27676070	0.000188828	0.000151479	-0.707280224	-0.706933255	-0.003959779	0.436557805	0.000220011	0
3	27692737	0.000231683	0.000323665	-0.707426951	-0.706786354	-0.016105957	0.450276936	0.000204361	0
4	27709404	0.000303739	0.000340675	-0.707565136	-0.706647982	0.008438259	0.442255159	-0.008435597	0
5	27726071	0.000317926	0.000468772	-0.707664445	-0.70654845	-0.007469546	0.444195119	-0.014907918	0
6	27742738	0.000332853	0.000558365	-0.707748879	-0.706463801	-0.00525257	0.422519623	-0.020862498	0
7	27759405	0.00034432	0.000647307	-0.707816822	-0.706395646	0.005160517	0.411543662	-0.017638167	0
8	27776072	0.000366401	0.000747312	-0.707885086	-0.706327129	0.002121176	0.423267225	-0.011110037	0
9	27792739	0.000394272	0.00084222	-0.70795584	-0.706256089	-0.009373046	0.434696222	-0.020787656	0
10	27809406	0.000421978	0.000931667	-0.708026959	-0.706184663	-0.003845672	0.42959819	-0.022454124	0
11	27826073	0.000455761	0.001016277	-0.708105043	-0.70610623	-0.014150847	0.439188981	-0.021749123	0
12	27842740	0.000463111	0.001112364	-0.708180177	-0.706030725	-0.015760597	0.442472433	-0.025468352	0
13	27859407	0.000492207	0.001196352	-0.708254853	-0.705955657	-0.010660922	0.446071542	-0.028523231	0
14	27876074	0.000514597	0.001279863	-0.708332614	-0.705877472	-0.013919142	0.420111499	-0.028297205	0
15	27892741	0.000522502	0.001365315	-0.708406364	-0.705803291	-0.009269853	0.459621436	-0.037132315	0
16	27909408	0.000533077	0.001452624	-0.708482362	-0.705726823	-0.005057242	0.448585062	-0.03390273	0
17	27926075	0.000540285	0.001542478	-0.708563384	-0.705645279	-0.009845862	0.449123268	-0.018850184	0
18	27942742	0.000566513	0.001626942	-0.708642099	-0.705566019	-0.017637337	0.442156226	-0.053722186	0
19	27959409	0.000576982	0.001723443	-0.708721005	-0.705486523	-0.017809395	0.445608624	-0.048814315	0
20	27976076	0.000605877	0.001802035	-0.708794869	-0.705412092	-0.00055123	0.433466611	-0.041988995	0
21	27992743	0.000640645	0.001883377	-0.70886906	-0.705337294	-0.01830858	0.448287359	-0.053603292	0
22	28009410	0.000656238	0.001973268	-0.708945616	-0.705260086	-0.003957144	0.441407524	-0.054342662	0
23	28026077	0.000675835	0.002047334	-0.709017949	-0.705187138	-0.005497207	0.417404301	-0.06428368	0
24	28042744	0.000690221	0.002127118	-0.709093357	-0.705111062	-0.001625882	0.446138859	-0.067342501	0
25	28059411	0.000731134	0.002211272	-0.709163764	-0.70503995	-0.006900457	0.437058639	-0.060828963	0
26	28076078	0.000757616	0.002301648	-0.709237802	-0.704965155	-0.011134933	0.430094856	-0.082447242	0
27	28092745	0.00079065	0.002387911	-0.709309668	-0.704892522	-0.017539833	0.44504787	-0.075084169	0
28	28109412	0.000816386	0.002469793	-0.709382557	-0.704818857	-0.018124371	0.444630832	-0.078956926	0
29	28126079	0.000840131	0.002561625	-0.709451856	-0.704748747	-0.01714493	0.445946054	-0.069510642	0
30	28142746	0.000847821	0.002653694	-0.70951954	-0.704680254	-0.017562842	0.44717422	-0.082316743	0
31	28159413	0.000864044	0.0027505	-0.709594353	-0.704604529	-0.014123768	0.4248065	-0.072855741	0
32	28176080	0.000895982	0.002841459	-0.709663673	-0.70453431	-0.020262502	0.434894569	-0.078910699	0
33	28192747	0.000909918	0.002929025	-0.709736676	-0.704460391	-0.003725492	0.417394318	-0.094151885	0
34	28209414	0.000933735	0.003018072	-0.709808449	-0.704387667	-0.014081372	0.469334106	-0.097400934	0
35	28226081	0.000950717	0.003107467	-0.709881587	-0.704313547	-0.016723686	0.45051286	-0.094425647	0
36	28242748	0.000972366	0.00319627	-0.709956204	-0.704237905	-0.003070708	0.433999703	-0.104941769	0
37	28259415	0.00098409	0.003292605	-0.710023286	-0.704169812	-0.014253067	0.446020878	-0.088365977	0
