sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-17 14:48:33.868 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 589843977, 0.80880463, -0.0064853677, -8.413449E-4, 0.588041, 0.0130294245, -0.04198565, 0.012481689, 0
2, 589860644, 0.80886906, -0.0067035207, -4.1882842E-4, 0.5879506, -0.006101126, -0.02172395, 0.009133339, 0
3, 589877311, 0.8088784, -0.006772944, 2.6432088E-5, 0.5879369, -0.02091781, -0.039545722, 0.0071229935, 0
4, 589893978, 0.808922, -0.006777424, 5.450287E-4, 0.58787674, -0.013946356, -0.015952025, 0.009179115, 0
5, 589910645, 0.8090008, -0.0066816937, 9.892806E-4, 0.5877686, -0.009141859, -0.013588149, 0.020116806, 0
6, 589927312, 0.8090699, -0.006552928, 0.0013733393, 0.5876743, 0.0077223107, 0.012625164, 0.008987427, 0
7, 589943979, 0.8091229, -0.0063747265, 0.0016654929, 0.58760244, 0.025510402, 0.0027975405, 0.033070564, 0
8, 589960646, 0.8091608, -0.00621215, 0.0019105595, 0.5875513, 0.04240355, -5.978762E-4, -0.006998062, 0
9, 589977313, 0.809193, -0.0060584424, 0.002115319, 0.5875078, 0.03274378, 0.0067304326, 0.010620117, 0
10, 589993980, 0.80923504, -0.005905641, 0.0023013076, 0.5874509, 0.047351226, 6.311657E-4, 0.005929947, 0
11, 590010647, 0.8092727, -0.005755655, 0.0024637475, 0.58739996, 0.044432357, -0.015501622, 0.018707275, 0
12, 590027314, 0.8092935, -0.005600939, 0.0026257008, 0.58737195, 0.060789727, -0.0021767332, 0.03447342, 0
13, 590043981, 0.8093083, -0.0054556313, 0.0027959552, 0.5873522, 0.05547896, -0.012508445, 0.008440971, 0
14, 590060648, 0.80933565, -0.005317253, 0.0029653846, 0.58731484, 0.064478554, -0.015622452, 0.018260956, 0
15, 590077315, 0.8093725, -0.005182945, 0.003119889, 0.5872647, 0.07257567, -0.004052098, 0.016039848, 0
16, 590093982, 0.8093885, -0.005045516, 0.0032883268, 0.5872426, 0.07539525, -0.013710103, -0.0074415207, 0
17, 590110649, 0.8094082, -0.0049056998, 0.0034496034, 0.5872157, 0.070691235, 0.002958365, 0.0062036514, 0
18, 590127316, 0.80942947, -0.004760336, 0.0036051038, 0.5871867, 0.07679052, 0.004104498, 0.003891945, 0
19, 590143983, 0.8094524, -0.0046149273, 0.0037615758, 0.58715516, 0.07487791, 0.004441489, 0.031778336, 0
20, 590160650, 0.80946505, -0.004471639, 0.003921243, 0.58713794, 0.0632115, -0.022576725, 0.014496803, 0
21, 590177317, 0.8094874, -0.0043209805, 0.0040815026, 0.58710694, 0.071921006, -0.026800793, 0.02436161, 0
22, 590193984, 0.80950356, -0.0041756826, 0.0042443643, 0.58708483, 0.09406115, -0.03426982, 0.011340141, 0
23, 590210651, 0.809519, -0.0040320847, 0.004404251, 0.5870633, 0.10318698, -0.017379846, 0.013140678, 0
24, 590227318, 0.80952746, -0.0038811627, 0.0045720553, 0.58705133, 0.10061714, -0.014623953, 8.840561E-4, 0
25, 590243985, 0.80954623, -0.0037306247, 0.004732742, 0.58702517, 0.11896273, 0.0072474354, 0.040842056, 0
26, 590260652, 0.80956084, -0.0035960216, 0.004902885, 0.58700436, 0.09854776, -0.0065489924, 0.03053379, 0
27, 590277319, 0.8095746, -0.0034663228, 0.0050717085, 0.58698505, 0.095990725, -0.026326763, 0.022492409, 0
28, 590293986, 0.809591, -0.003327123, 0.00523827, 0.58696157, 0.10295771, -0.019392176, -0.010694504, 0
29, 590310653, 0.8096058, -0.003184387, 0.005409774, 0.5869404, 0.121019565, -0.003278626, -9.95636E-4, 0
30, 590327320, 0.8096227, -0.003037096, 0.005578788, 0.58691627, 0.15458173, 0.019476553, 0.008813858, 0
31, 590343987, 0.80963, -0.0028923994, 0.005743733, 0.58690536, 0.16495152, 0.017642371, 0.0053958893, 0
32, 590360654, 0.80964303, -0.0027454742, 0.0059169317, 0.5868862, 0.17847541, 0.009116388, 0.009198189, 0
33, 590377321, 0.8096508, -0.002619446, 0.0060849576, 0.5868748, 0.15343834, -0.014231328, -0.0027828217, 0
34, 590393988, 0.809662, -0.002470507, 0.006264847, 0.58685774, 0.12901509, -0.05295769, 0.013414383, 0
35, 590410655, 0.80967796, -0.0023261735, 0.0064201364, 0.5868346, 0.09963328, -0.04673945, -0.02357006, 0
36, 590427322, 0.80968624, -0.0021868353, 0.0065902164, 0.58682173, 0.11059583, -0.041552424, -0.014369011, 0
37, 590443989, 0.80969673, -0.0020252327, 0.006751636, 0.58680624, 0.12597932, -0.019511476, 8.325577E-4, 0
38, 590460656, 0.8097085, -0.001866716, 0.0069027315, 0.58678883, 0.171286, -0.025112554, 0.02810955, 0
39, 590477323, 0.80971944, -0.0017201848, 0.0070564933, 0.5867725, 0.21634166, 0.0018695758, 0.0055379868, 0
40, 590493990, 0.80972517, -0.0015621132, 0.0072214035, 0.5867627, 0.20122355, -0.020120878, 0.015481949, 0
41, 590510657, 0.80974036, -0.0014341421, 0.007376556, 0.5867404, 0.19256178, -0.034554005, 0.020310402, 0
42, 590527324, 0.80974877, -0.0012966604, 0.007548261, 0.58672667, 0.16565408, -0.011651, 0.010477066, 0
43, 590543991, 0.80976903, -0.0011568752, 0.007701445, 0.5866974, 0.1496267, 0.0018318493, 0.037672997, 0
44, 590560658, 0.80977637, -0.0010179735, 0.00785387, 0.5866853, 0.15831992, -0.0025537254, 0.031355858, 0
45, 590577325, 0.8097912, -8.8135217E-4, 0.008016637, 0.5866629, 0.18538763, -0.016180292, 0.036286354, 0
46, 590593992, 0.8098065, -7.443384E-4, 0.008182444, 0.5866396, 0.21906891, -0.028773593, 0.0076141357, 0
