DeviceTag:;Xsens_5;;;;;;;;;;;;;;;
FirmwareVersion:;2.2.1;;;;;;;;;;;;;;;
AppVersion:;2023.0.0;;;;;;;;;;;;;;;
StartTime:;2023-07-04 14:47:22.000 +0200;;;;;;;;;;;;;;;
© Movella Technologies B. V. 2005-2023;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PacketCounter;SampleTimeFine;Quat_W;Quat_X;Quat_Y;Quat_Z;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Status;
0;2164768552;0.4489716;-0.48519447;-0.37788367;-0.64823973;0;0;0;0;0;0;-0.918701172;-0.229248047;0.456787109;0; 
1;2164785219;0.44851476;-0.48565787;-0.3778334;-0.6482383;9.573111534;0.518027484;2.412673473;-2.276008368;-2.442567825;-0.695576847;-0.918457031;-0.225341797;0.456298828;0; 
2;2164801886;0.44850594;-0.48591703;-0.37802076;-0.6479409;9.568496704;0.494838983;2.384225607;-1.736553907;-3.090710402;-0.732600093;-0.916992188;-0.229248047;0.458496094;0; 
3;2164818553;0.44827545;-0.4863987;-0.37807563;-0.647707;9.577206612;0.520783067;2.417306662;-0.557063401;-3.423790216;-0.768150449;-0.91796875;-0.230224609;0.458007813;0; 
4;2164835220;0.44794005;-0.48683637;-0.37811288;-0.6475887;9.607146263;0.53724581;2.429245234;-0.492212147;-3.854801655;-0.825292587;-0.916503906;-0.230957031;0.458007813;0; 
5;2164851887;0.4475111;-0.48729238;-0.37809068;-0.6475551;9.629295349;0.523962677;2.445366859;-1.355423927;-4.158004284;-0.634208858;-0.918212891;-0.232421875;0.463623047;0; 
6;2164868554;0.4471038;-0.4877268;-0.37810412;-0.6475013;9.615927696;0.520117044;2.455600739;-1.35763967;-4.533396721;-0.642904401;-0.916503906;-0.228515625;0.4609375;0; 
7;2164885221;0.44682822;-0.4880752;-0.3782822;-0.6473253;9.620294571;0.49745214;2.448452711;-1.084826112;-5.089487553;-0.793123007;-0.916992188;-0.231445313;0.464111328;0; 
8;2164901888;0.4464809;-0.48849604;-0.37841436;-0.64717;9.573651314;0.509755135;2.449186325;-1.03294754;-5.400066853;-0.801242113;-0.916992188;-0.233154297;0.463134766;0; 
9;2164918555;0.4459764;-0.48906144;-0.37856066;-0.64700526;9.509403229;0.542243242;2.462795973;-1.298909783;-6.587715149;-0.956980169;-0.915283203;-0.232421875;0.461914063;0; 
10;2164935222;0.44530326;-0.48974156;-0.37882453;-0.6468001;9.481803894;0.516919672;2.459469318;-1.820115924;-8.238775253;-1.52020371;-0.921142578;-0.232421875;0.465820313;0; 
11;2164951889;0.44451448;-0.49048656;-0.379201;-0.64655733;9.522662163;0.539013386;2.44125843;-2.534659147;-9.474114418;-2.284141302;-0.919433594;-0.232910156;0.469726563;0; 
12;2164968556;0.4435879;-0.49133116;-0.37969482;-0.6462626;9.528000832;0.539160252;2.337552547;-2.906248808;-10.8208847;-2.856624126;-0.916748047;-0.235107422;0.471435547;0; 
13;2164985223;0.44260845;-0.492208;-0.3804521;-0.64582145;9.586367607;0.584356666;2.265804529;-1.249375343;-12.0915184;-3.319510221;-0.915039063;-0.234619141;0.4765625;0; 
14;2165001890;0.4416902;-0.49300563;-0.38143277;-0.645263;9.63766861;0.661771119;2.211108446;-0.115398072;-12.31963825;-3.670891285;-0.915771484;-0.238037109;0.477050781;0; 
15;2165018557;0.4406817;-0.49385917;-0.38228202;-0.64479715;9.731788635;0.751675844;2.169025421;-0.892346919;-11.70524025;-3.399972439;-0.915283203;-0.240722656;0.479980469;0; 
16;2165035224;0.439652;-0.49474794;-0.3830213;-0.64438;9.773180008;0.750839531;2.138523579;-1.332667828;-11.07562923;-2.782795668;-0.916503906;-0.241210938;0.483398438;0; 
17;2165051891;0.43878153;-0.49550816;-0.38375798;-0.6439505;9.776881218;0.789241314;2.131196499;-0.814829886;-9.894406319;-2.276803255;-0.916503906;-0.243408203;0.487792969;0; 
18;2165068558;0.437941;-0.49621692;-0.38431373;-0.6436455;9.774198532;0.811562538;2.119571447;-1.539169788;-8.453421593;-1.830924273;-0.914794922;-0.241699219;0.485595703;0; 
19;2165085225;0.437225;-0.49681816;-0.3846592;-0.64346206;9.761026382;0.79521811;2.094846964;-2.188785076;-6.514130592;-1.104560852;-0.909912109;-0.244628906;0.489990234;0; 
20;2165101892;0.4367457;-0.49723408;-0.3850212;-0.64324987;9.763487816;0.734227598;2.086407185;-0.739233911;-5.1434021;-0.465677381;-0.913818359;-0.243896484;0.490722656;0; 
21;2165118559;0.43659338;-0.49735346;-0.38565597;-0.6428806;9.736332893;0.708269656;2.177174091;2.779074192;-4.279306412;-0.322976202;-0.913818359;-0.243896484;0.491210938;0; 
22;2165135226;0.43658045;-0.49730736;-0.386434;-0.6424576;9.719654083;0.751051486;2.277899027;4.571041584;-3.861511946;-0.533243656;-0.912597656;-0.241210938;0.492919922;0; 
23;2165151893;0.43650314;-0.49734926;-0.38702846;-0.6421198;9.725613594;0.768903434;2.326839447;2.627357483;-3.769460201;-0.325614274;-0.916015625;-0.243896484;0.4921875;0; 
24;2165168560;0.43623227;-0.49753088;-0.38739958;-0.6419394;9.641666412;0.728090107;2.319475174;0.657779038;-3.834836721;-0.423377991;-0.912841797;-0.243896484;0.494628906;0; 
25;2165185227;0.43598413;-0.49767798;-0.3878657;-0.64171237;9.587039948;0.643652499;2.301282167;1.354277968;-4.220115185;-0.658361733;-0.912109375;-0.245117188;0.496337891;0; 
26;2165201894;0.43584526;-0.49768957;-0.38857687;-0.64136755;9.577955246;0.65403372;2.290977716;3.442993879;-4.595968723;-1.150778651;-0.912353516;-0.243896484;0.497802734;0; 
27;2165218561;0.43570346;-0.49766013;-0.3893765;-0.64100164;9.60799408;0.696255684;2.295990229;3.875990152;-4.863352776;-1.627136707;-0.913818359;-0.245117188;0.495605469;0; 
28;2165235228;0.4353935;-0.49774477;-0.39003623;-0.6407452;9.630102158;0.720825255;2.317971706;2.383665085;-5.08038187;-1.899655581;-0.912841797;-0.245117188;0.49609375;0; 
29;2165251895;0.43503058;-0.49787298;-0.39057523;-0.64056385;9.635115623;0.690848887;2.282262564;1.319828987;-4.876812458;-1.870329261;-0.913330078;-0.24609375;0.499023438;0; 
30;2165268562;0.43470615;-0.49795565;-0.391129;-0.64038193;9.686605453;0.673962414;2.233002186;1.69015038;-4.663087368;-1.922873735;-0.912841797;-0.247314453;0.500244141;0; 
31;2165285229;0.43447387;-0.49795413;-0.39175647;-0.6401572;9.724597931;0.651999474;2.223178387;2.757969379;-4.420303822;-1.918173671;-0.911865234;-0.249023438;0.500732422;0; 
32;2165301896;0.43427476;-0.49789375;-0.39247546;-0.63989866;9.747908592;0.695758462;2.26211381;3.760322332;-4.448183537;-2.169933558;-0.911132813;-0.249023438;0.501220703;0; 
33;2165318563;0.4340543;-0.49786282;-0.39310545;-0.6396857;9.740056992;0.703849375;2.246064901;3.061608076;-4.234201908;-2.065907717;-0.911865234;-0.249511719;0.504150391;0; 
34;2165335230;0.43379593;-0.49787214;-0.39360732;-0.639545;9.764842987;0.706914425;2.211588144;2.026265621;-3.896460295;-1.947448969;-0.911376953;-0.250732422;0.503417969;0; 
35;2165351897;0.4335859;-0.49785882;-0.39413255;-0.6393744;9.722473145;0.634418309;2.172543287;2.621747971;-3.820646048;-1.78939271;-0.910644531;-0.25;0.501953125;0; 
36;2165368564;0.43355048;-0.49767113;-0.39493978;-0.6390461;9.671620369;0.679887176;2.160489082;5.303655624;-3.953859091;-2.073387146;-0.911865234;-0.252197266;0.503417969;0; 
37;2165385231;0.43347436;-0.49751616;-0.39572808;-0.6387309;9.658836365;0.721791804;2.138794661;5.160043716;-4.076722145;-2.134267807;-0.908447266;-0.251708984;0.505859375;0; 
38;2165401898;0.4333337;-0.4974234;-0.396337;-0.63852084;9.683691025;0.738690376;2.100859642;3.630106926;-3.619228125;-1.982179642;-0.913085938;-0.255126953;0.506347656;0; 
