sep=															
DeviceTag:	Xsens_5														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-04 14:47:22.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
0	2164768552	1.59E-17	6.98E-17	0.707106781	0.707106781	0	0	0	0	0	0	0.918701172	0.456787109	-0.229248047	0
1	2164785219	0.000386892	0.000251131	0.70678012	0.707433142	-9.571030391	2.420831781	0.51842159	2.275849821	-0.695374584	-2.442773137	0.918911677	0.455677728	-0.224744303	0
2	2164801886	0.000574215	0.000629136	0.706860017	0.707352947	-9.564387152	2.400159941	0.497249632	1.735066409	-0.7333993	-3.091356204	0.917753466	0.457094637	-0.229000166	0
3	2164818553	0.00087577	0.001087661	0.706715175	0.707496793	-9.570301448	2.443311511	0.526338335	0.553907458	-0.765907739	-3.424804527	0.919168364	0.455711568	-0.229994865	0
4	2164835220	0.001230435	0.001418296	0.706509141	0.707701425	-9.597837323	2.464303497	0.54392259	0.488105106	-0.820627617	-3.856319511	0.91815255	0.454960597	-0.230431044	0
5	2164851887	0.001615044	0.001689928	0.706215014	0.707993566	-9.617707935	2.489019655	0.531187465	1.35202889	-0.630075467	-4.159737649	0.920346607	0.459909641	-0.231357766	0
6	2164868554	0.002003876	0.001962464	0.705956677	0.708249464	-9.602037816	2.507801613	0.527601217	1.354318905	-0.635807663	-4.535390423	0.919090405	0.456527782	-0.226974429	0
7	2164885221	0.002392574	0.002274269	0.705878979	0.708324763	-9.604015064	2.510159856	0.504419561	1.080477798	-0.782660111	-5.09203164	0.920076507	0.458846556	-0.22969543	0
8	2164901888	0.002816312	0.002612424	0.705726649	0.708473811	-9.554721539	2.520621153	0.516651482	1.028403695	-0.78816981	-5.402857184	0.920591204	0.456982621	-0.23110199	0
9	2164918555	0.003391313	0.003031293	0.705482536	0.708712708	-9.486930797	2.546576164	0.548849169	1.293655801	-0.938651915	-6.591384969	0.91956343	0.454636961	-0.229861268	0
10	2164935222	0.004189303	0.003524849	0.705207491	0.708979845	-9.454911418	2.559996141	0.521411742	1.811407743	-1.496042177	-8.245114842	0.926393103	0.45697341	-0.229092255	0
