sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-13 15:13:43.892 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 456491169, 0.6927167, 0.0043865787, 0.0012167365, -0.7211954, -0.0047231736, 0.0020671003, 0.44243717, 0
2, 456507836, 0.69281024, 0.004532881, 0.0012346023, -0.7211047, -0.010870707, 0.0035378854, 0.41275215, 0
3, 456524503, 0.6928767, 0.004652877, 0.0012887376, -0.72103995, 0.01992193, -0.005338696, 0.424407, 0
4, 456541170, 0.6928483, 0.0048546726, 0.0012046113, -0.721066, 0.038527444, -0.0117413, 0.39789963, 0
5, 456557837, 0.69313765, 0.0051127193, 0.0010460003, -0.72078645, -0.02024126, -0.025927799, 0.4388895, 0
6, 456574504, 0.69329596, 0.0052687177, 9.577614E-4, -0.7206332, -0.083809525, -0.012000088, 0.46555614, 0
7, 456591171, 0.6933896, 0.0053119757, 9.991718E-4, -0.72054267, -0.1034787, -0.0045981016, 0.4499588, 0
8, 456607838, 0.69362, 0.0052996455, 0.0011045072, -0.7203209, -0.017941333, -0.016056752, 0.47149658, 0
9, 456624505, 0.69367504, 0.0053320224, 0.0011703575, -0.72026753, 0.02828229, -0.0088266, 0.418787, 0
10, 456641172, 0.69368523, 0.005386984, 0.0011546592, -0.7202574, 0.004376118, 0.0011423677, 0.4547882, 0
11, 456657839, 0.69380736, 0.005516553, 0.0011610325, -0.72013867, -0.048059244, -0.01708983, 0.42940235, 0
12, 456674506, 0.69385284, 0.0056217085, 0.001162615, -0.720094, -0.08566787, 3.903933E-4, 0.4104147, 0
13, 456691173, 0.69387823, 0.005699625, 0.0011806192, -0.7200689, -0.048461854, -0.029656533, 0.46091938, 0
14, 456707840, 0.69380826, 0.0057820547, 0.0011953538, -0.7201356, -0.02253384, -0.030538134, 0.4298296, 0
15, 456724507, 0.69385356, 0.0058968873, 0.0012137145, -0.720091, -0.0013152986, -0.010117136, 0.45938396, 0
16, 456741174, 0.6938801, 0.0059992736, 0.0012123615, -0.7200647, -0.021683093, 0.01064543, 0.44804573, 0
17, 456757841, 0.6938882, 0.0061261505, 0.0012142531, -0.7200557, -0.07774546, 0.018563386, 0.47902775, 0
18, 456774508, 0.69458956, 0.0062396796, 0.0012329482, -0.7193782, -0.07675703, -0.035702918, 0.40706062, 0
19, 456791175, 0.6943531, 0.0063322685, 0.001216141, -0.7196056, -0.039046902, -0.07074159, 0.4266281, 0
20, 456807842, 0.6943649, 0.0064245122, 0.0012194889, -0.7195934, -0.00614557, -0.064312056, 0.46260262, 0
21, 456824509, 0.6943902, 0.0065566166, 0.001216592, -0.7195679, 5.608167E-5, -0.048773754, 0.40730667, 0
22, 456841176, 0.6943738, 0.006672164, 0.0011930523, -0.71958274, -0.05059086, -0.021186031, 0.44729805, 0
23, 456857843, 0.6945105, 0.0067908717, 0.001174525, -0.71944964, -0.09210553, -0.025628377, 0.42126465, 0
24, 456874510, 0.69446474, 0.006908249, 0.0011619267, -0.7194927, -0.08292664, -0.0649515, 0.4719324, 0
25, 456891177, 0.69460225, 0.007016168, 0.00114404, -0.7193589, -0.056920514, -0.04859472, 0.4352169, 0
26, 456907844, 0.694598, 0.0071321134, 0.0011301036, -0.7193619, -0.006994954, -0.052212104, 0.4375267, 0
27, 456924511, 0.6948088, 0.0072531076, 0.0011125461, -0.71915716, -0.039259024, -0.029289784, 0.42922306, 0
28, 456941178, 0.69492954, 0.0073686466, 0.0010930856, -0.7190394, -0.08627816, -0.03065939, 0.46302986, 0
29, 456957845, 0.6949734, 0.007472808, 0.0010697533, -0.71899587, -0.10274658, -0.06300372, 0.4325037, 0
30, 456974512, 0.69497234, 0.0075764414, 0.0010524185, -0.7189958, -0.062080808, -0.07643017, 0.44840622, 0
31, 456991179, 0.6950194, 0.0076936707, 0.0010396341, -0.71894914, -0.017744254, -0.04749799, 0.4426775, 0
32, 457007846, 0.69514763, 0.0078075663, 0.0010250002, -0.7188239, -0.017031254, -0.025075192, 0.43938732, 0
33, 457024513, 0.6953066, 0.007922526, 0.00100353, -0.7186688, -0.05597335, -0.03351923, 0.4376335, 0
34, 457041180, 0.6953256, 0.008042308, 9.820507E-4, -0.7186492, -0.09292376, -0.04389543, 0.44493008, 0
35, 457057847, 0.6954266, 0.008158794, 9.6769957E-4, -0.71855015, -0.098067716, -0.058912944, 0.44192982, 0
36, 457074514, 0.69549346, 0.008276801, 9.372366E-4, -0.7184841, -0.054028217, -0.05986356, 0.4240589, 0
37, 457091181, 0.6954891, 0.0083999345, 9.1634924E-4, -0.71848696, -0.04467759, -0.054488372, 0.45585918, 0
38, 457107848, 0.69560343, 0.008535223, 9.086449E-4, -0.7183747, -0.06365179, -0.04774639, 0.42774487, 0
39, 457124515, 0.6956843, 0.008664045, 8.93489E-4, -0.7182949, -0.10535354, -0.057053626, 0.44175816, 0
40, 457141182, 0.6956964, 0.008792583, 8.784703E-4, -0.7182816, -0.106634505, -0.06444366, 0.42213058, 0
41, 457157849, 0.69581294, 0.008917626, 8.710902E-4, -0.71816725, -0.07344011, -0.064977914, 0.42040157, 0
42, 457174516, 0.6958007, 0.009030252, 8.595111E-4, -0.7181776, -0.070130005, -0.05141926, 0.44319057, 0
43, 457191183, 0.69592553, 0.009159023, 8.502363E-4, -0.7180551, -0.06658904, -0.05026524, 0.449605, 0
44, 457207850, 0.6961211, 0.009289137, 8.415433E-4, -0.7178638, -0.09448801, -0.070946336, 0.42910767, 0
45, 457224517, 0.6961998, 0.009420176, 8.279417E-4, -0.7177858, -0.095417276, -0.08398873, 0.4553337, 0
46, 457241184, 0.6962332, 0.009546337, 8.080854E-4, -0.7177517, -0.11827996, -0.09156512, 0.43807983, 0
47, 457257851, 0.69622815, 0.009667435, 7.9503295E-4, -0.71775514, -0.106945194, -0.070278, 0.43235302, 0
48, 457274518, 0.69641227, 0.009795178, 7.9454656E-4, -0.7175748, -0.08460106, -0.063219845, 0.42094135, 0
49, 457291185, 0.696238, 0.00992769, 7.910519E-4, -0.71774197, -0.048612796, -0.12482872, 0.4331007, 0
50, 457307852, 0.6963635, 0.010045842, 7.8771054E-4, -0.7176185, -0.10657687, -0.11820808, 0.463686, 0
51, 457324519, 0.6963865, 0.0101810675, 8.024688E-4, -0.7175944, -0.18259504, -0.034551587, 0.4317894, 0
52, 457341186, 0.6963238, 0.010299545, 7.950734E-4, -0.71765345, -0.10733442, -0.07276227, 0.43672466, 0
53, 457357853, 0.69631517, 0.010431321, 8.008969E-4, -0.71765995, -0.05822458, -0.09820845, 0.4603157, 0
54, 457374520, 0.69642556, 0.010565928, 7.97449E-4, -0.7175508, -0.07442011, -0.09611451, 0.44947052, 0
55, 457391187, 0.69658226, 0.010687396, 7.896426E-4, -0.717397, -0.10647528, -0.0879518, 0.4303589, 0
56, 457407854, 0.6966993, 0.010811752, 7.9300825E-4, -0.71728146, -0.120305866, -0.08436088, 0.46105957, 0
57, 457424521, 0.6967698, 0.01092903, 7.9202425E-4, -0.7172112, -0.16083898, -0.07537053, 0.4572096, 0
58, 457441188, 0.6966871, 0.011059427, 8.006964E-4, -0.7172895, -0.15216906, -0.09805308, 0.43446255, 0
59, 457457855, 0.69689083, 0.01120351, 8.157696E-4, -0.71708935, -0.0830792, -0.11094375, 0.44638443, 0
60, 457474522, 0.6969772, 0.011335143, 8.1936305E-4, -0.7170032, -0.042752974, -0.11433836, 0.4516468, 0
61, 457491189, 0.69705755, 0.011457912, 8.245357E-4, -0.7169232, -0.14986017, -0.06658287, 0.4681759, 0
62, 457507856, 0.6970745, 0.011566793, 8.0092787E-4, -0.716905, -0.20695786, -0.0746266, 0.46814537, 0
63, 457524523, 0.6971358, 0.011659748, 7.8128756E-4, -0.7168439, -0.16511014, -0.10561284, 0.45702553, 0
64, 457541190, 0.6971843, 0.01175121, 7.451721E-4, -0.7167953, -0.090697534, -0.10955503, 0.46430302, 0
65, 457557857, 0.69721633, 0.011846557, 7.067207E-4, -0.7167627, -0.10863267, -0.08876451, 0.42106056, 0
66, 457574524, 0.69726586, 0.011959037, 6.8517827E-4, -0.7167126, -0.11017482, -0.08698528, 0.46203136, 0
67, 457591191, 0.6972486, 0.012071745, 6.741932E-4, -0.7167276, -0.14270438, -0.11923009, 0.40269566, 0
68, 457607858, 0.6974143, 0.0121685555, 6.657725E-4, -0.7165647, -0.18880619, -0.11207262, 0.443923, 0
69, 457624525, 0.69745046, 0.012271552, 6.4964197E-4, -0.7165278, -0.17396946, -0.09234537, 0.43784618, 0
70, 457641192, 0.69753027, 0.012320161, 5.712613E-4, -0.71644926, -0.11460566, -0.0829217, 0.28604507, 0
71, 457657859, 0.69761956, 0.012483793, 6.204276E-4, -0.71635944, -0.034147765, -0.21497747, 0.29685783, 0
72, 457674526, 0.6976892, 0.012672236, 6.933907E-4, -0.7162883, -0.16888507, -0.26013538, 0.47720337, 0
73, 457691193, 0.69780636, 0.012816248, 7.237315E-4, -0.7161715, -0.30159786, -0.056512494, 0.5095997, 0
74, 457707860, 0.69786274, 0.012910052, 7.1339327E-4, -0.71611494, -0.15396833, 0.038527858, 0.55644894, 0
75, 457724527, 0.6978633, 0.012987229, 6.933995E-4, -0.716113, -0.002270434, -0.05411616, 0.43279076, 0
76, 457741194, 0.6979338, 0.0130835185, 6.6158973E-4, -0.7160425, -0.12880766, -0.18295364, 0.529274, 0
77, 457757861, 0.6980132, 0.013164548, 6.2207365E-4, -0.7159637, -0.23778339, -0.22776401, 0.4923315, 0
78, 457774528, 0.698038, 0.013257816, 6.1129505E-4, -0.7159378, -0.15377475, -0.1314808, 0.44291115, 0
79, 457791195, 0.69813555, 0.013339208, 5.825827E-4, -0.7158412, -0.11110424, -0.04159516, 0.4683876, 0
80, 457807862, 0.69820946, 0.013441846, 5.754468E-4, -0.7157672, -0.2102092, -0.0037477117, 0.42514133, 0
81, 457824529, 0.69827706, 0.013532502, 5.553216E-4, -0.71569955, -0.16469999, -0.173865, 0.45380116, 0
82, 457841196, 0.6983568, 0.013637534, 5.541824E-4, -0.7156197, -0.064496025, -0.2688594, 0.44065857, 0
83, 457857863, 0.6983319, 0.013733039, 5.283061E-4, -0.7156422, -0.18255675, -0.1571982, 0.45755005, 0
84, 457874530, 0.69841015, 0.013819018, 5.2139914E-4, -0.71556413, -0.28442568, -0.001377217, 0.42417622, 0
85, 457891197, 0.6984703, 0.013904468, 5.0796353E-4, -0.7155039, -0.15805839, -0.035169665, 0.45495796, 0
86, 457907864, 0.6985811, 0.013993862, 4.8513E-4, -0.715394, -0.04395949, -0.18447532, 0.44630718, 0
87, 457924531, 0.69867384, 0.014083167, 4.7426383E-4, -0.7153015, -0.1613663, -0.19654341, 0.4435444, 0
88, 457941198, 0.6987255, 0.014166059, 4.636122E-4, -0.71524954, -0.26333946, -0.1379053, 0.41750145, 0
89, 457957865, 0.698758, 0.014250729, 4.4500682E-4, -0.71521616, -0.18385705, -0.08619058, 0.42862892, 0
90, 457974532, 0.6988053, 0.014335553, 4.262458E-4, -0.7151682, -0.12666059, -0.08765, 0.4314432, 0
