sep=									
DeviceTag:	Xsens_4								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-13 15:13:43.892 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	456491169	0	-5.74E-17	-0.707106781	-0.707106781	0.004723174	0.44243717	0.0020671	0
2	456507836	0.00017576	-8.64E-06	-0.707168951	-0.707044584	0.010967265	0.412750135	0.003474398	0
3	456524503	0.000329157	1.37E-05	-0.707199828	-0.707013645	-0.019673444	0.424417326	-0.005438331	0
4	456541170	0.000363994	0.000102124	-0.707341639	-0.706871744	-0.038232907	0.397920528	-0.011993143	0
5	456557837	0.000703716	-0.000128557	-0.707547556	-0.70666537	0.020609206	0.438838276	-0.026498696	0
6	456574504	0.000896593	-0.000248092	-0.707668132	-0.706544371	0.084259616	0.465452976	-0.012821953	0
7	456591171	0.001031142	-0.000297553	-0.707667734	-0.706544568	0.10393555	0.449844963	-0.005368039	0
8	456607838	0.001302726	-0.000477542	-0.707606844	-0.706605002	0.018442162	0.471456795	-0.0166467	0
9	456624505	0.001405644	-0.000482692	-0.707588818	-0.706622853	-0.027790868	0.41881029	-0.009271305	0
10	456641172	0.00143626	-0.000472584	-0.707623652	-0.706587914	-0.003773265	0.454794691	0.000560042	0
11	456657839	0.001626251	-0.000523654	-0.707683117	-0.706527909	0.048645557	0.429307638	-0.017795872	0
12	456674506	0.00172591	-0.000514314	-0.707733481	-0.70647723	0.08631044	0.41028004	-0.000399206	0
13	456691173	0.001799773	-0.000490958	-0.707762254	-0.706448237	0.049199787	0.460783877	-0.030534169	0
14	456707840	0.001780552	-0.000373523	-0.70779542	-0.706415129	0.023287985	0.429729694	-0.031367129	0
15	456724507	0.001893194	-0.000350859	-0.707841938	-0.706368235	0.002239009	0.459359606	-0.011020345	0
16	456741174	0.001971312	-0.000325759	-0.707892518	-0.706317344	0.022691718	0.448018699	0.009632701	0
17	456757841	0.002045605	-0.000268752	-0.707953504	-0.706256029	0.078907762	0.478887029	0.017242946	0
18	456774508	0.002803719	-0.000889764	-0.707995214	-0.706211105	0.077664318	0.406777661	-0.036944233	0
19	456791175	0.002610361	-0.000619441	-0.708050509	-0.706156695	0.039951128	0.426331299	-0.072014578	0
20	456807842	0.002671132	-0.000582795	-0.708093781	-0.706113109	0.007230322	0.462395209	-0.065676372	0
21	456824509	0.002762653	-0.000542304	-0.70815961	-0.706046769	0.000984819	0.407151562	-0.050042396	0
22	456841176	0.002794556	-0.000479481	-0.70822813	-0.705977957	0.051896803	0.447066442	-0.022850524	0
23	456857843	0.00298138	-0.000562792	-0.708294664	-0.705910379	0.093385413	0.42086718	-0.027461407	0
24	456874510	0.002990685	-0.000464912	-0.708358667	-0.705846186	0.084297894	0.471396413	-0.067044777	0
25	456891177	0.003173067	-0.000554153	-0.708419567	-0.705784204	0.058301227	0.434811352	-0.050548955	0
26	456907844	0.003221869	-0.000498364	-0.708483271	-0.705720076	0.008430836	0.437275937	-0.054067754	0
27	456924511	0.00348337	-0.000652753	-0.708549843	-0.705651869	0.040826557	0.428931147	-0.031350615	0
28	456941178	0.003652434	-0.000722518	-0.708615286	-0.705585228	0.088044071	0.462523624	-0.033176941	0
29	456957845	0.003738072	-0.000724582	-0.70867767	-0.70552212	0.104306877	0.431748053	-0.065570365	0
30	456974512	0.003782068	-0.000679859	-0.708737045	-0.705462284	0.063711483	0.44773255	-0.078994598	0
31	456991179	0.003882687	-0.000673229	-0.70880038	-0.705398109	0.019576786	0.442334084	-0.049915872	0
32	457007846	0.004060761	-0.000748918	-0.708862435	-0.705334671	0.019026252	0.439155618	-0.027575191	0
33	457024513	0.00426642	-0.000857671	-0.708928231	-0.705267202	0.057987359	0.437148393	-0.036309555	0
34	457041180	0.004336487	-0.000826523	-0.708997403	-0.705197274	0.094979003	0.444173677	-0.047044061	0
35	457057847	0.004489249	-0.000874097	-0.7090607	-0.705132616	0.100083604	0.441027669	-0.062192002	0
36	457074514	0.004601299	-0.000895337	-0.709133194	-0.705058962	0.056006807	0.423365115	-0.062879739	0
37	457091181	0.004650403	-0.000839326	-0.709203841	-0.704987646	0.046912434	0.455232052	-0.057755208	0
38	457107848	0.004829303	-0.00088729	-0.709272746	-0.704917061	0.065823185	0.427034011	-0.051050995	0
39	457124515	0.004968238	-0.000909328	-0.70934254	-0.704845835	0.107582563	0.440714428	-0.060840294	0
40	457141182	0.005039304	-0.000863947	-0.70941266	-0.704774813	0.108740343	0.420998122	-0.068222051	0
41	457157849	0.005215283	-0.000919113	-0.709476325	-0.704709373	0.075577148	0.419443786	-0.068615336	0
42	457174516	0.005255847	-0.000856192	-0.709537125	-0.704647935	0.072556835	0.442330078	-0.05531408	0
43	457191183	0.005441046	-0.000918596	-0.709603461	-0.704579647	0.069117022	0.448753994	-0.054295862	0
44	457207850	0.005697142	-0.001049652	-0.709669514	-0.704510909	0.096767919	0.427882537	-0.075148278	0
45	457224517	0.005835974	-0.00106781	-0.709739484	-0.704439257	0.097818457	0.453963118	-0.088523323	0
46	457241184	0.005924568	-0.001047028	-0.709810648	-0.704366841	0.120558934	0.436450052	-0.096255667	0
47	457257851	0.005975808	-0.000987556	-0.70987621	-0.70430042	0.109422789	0.430950523	-0.074924668	0
48	457274518	0.006223455	-0.00110459	-0.709936901	-0.704236924	0.087102501	0.419737094	-0.067672997	0
49	457291185	0.006118321	-0.000868464	-0.710004624	-0.704169899	0.050678636	0.431588659	-0.129168631	0
50	457307852	0.006301804	-0.000934164	-0.710062612	-0.704109722	0.108958097	0.461757543	-0.123468988	0
51	457324519	0.006401651	-0.000881524	-0.710120567	-0.70405044	0.185565881	0.430015371	-0.040360018	0
52	457341186	0.006397545	-0.000764083	-0.710182435	-0.703988208	0.110039807	0.43514762	-0.077982328	0
53	457357853	0.006460096	-0.000686553	-0.710243527	-0.703926081	0.060915912	0.458852843	-0.103290198	0
54	457374520	0.006637181	-0.00072924	-0.710309638	-0.70385768	0.077083807	0.44786908	-0.101348281	0
55	457391187	0.006851018	-0.000826152	-0.710371136	-0.703793457	0.109107333	0.428542792	-0.09342351	0
56	457407854	0.007032718	-0.000877206	-0.710428671	-0.703733525	0.123267542	0.459126344	-0.090411836	0
57	457424521	0.007162672	-0.000888194	-0.710485405	-0.703674922	0.163902056	0.454987418	-0.081933374	0
58	457441188	0.007152804	-0.000737179	-0.710545025	-0.703614995	0.154830631	0.432038571	-0.10439198	0
59	457457855	0.00743612	-0.000857883	-0.710605273	-0.703551075	0.085748881	0.44438601	-0.116781558	0
60	457474522	0.007591547	-0.000875148	-0.710666426	-0.703487622	0.045466762	0.44993739	-0.119895903	0
61	457491189	0.007737118	-0.000890079	-0.710722514	-0.703429352	0.153310579	0.465993126	-0.073663393	0
62	457507856	0.007798847	-0.000863801	-0.710787155	-0.703363386	0.210368331	0.465297472	-0.082487577	0
63	457524523	0.007898097	-0.000887211	-0.710841602	-0.703307223	0.168097805	0.454163002	-0.112990535	0
64	457541190	0.007975887	-0.00090688	-0.71090384	-0.70324341	0.093757775	0.46206142	-0.116251302	0
65	457557857	0.008038253	-0.000909521	-0.710969308	-0.703176509	0.111578339	0.418860476	-0.09528046	0
66	457574524	0.008135137	-0.000912562	-0.71103427	-0.703109702	0.113597856	0.45979565	-0.094134984	0
67	457591191	0.008171182	-0.000844479	-0.711094636	-0.703048318	0.145156194	0.399698664	-0.1261539	0
68	457607858	0.008381193	-0.000963274	-0.711144099	-0.70299566	0.191798368	0.440491656	-0.120233797	0
69	457624525	0.008462552	-0.000955221	-0.711201813	-0.702936309	0.177210501	0.434770235	-0.100367318	0
70	457641192	0.00852858	-0.001048106	-0.711264443	-0.702872006	0.116448287	0.28369401	-0.088259576	0
71	457657859	0.008725829	-0.001029894	-0.71131765	-0.702815766	0.034252095	0.293591094	-0.219401498	0
72	457674526	0.008928123	-0.000968191	-0.711370917	-0.702759397	0.170226169	0.471801206	-0.268965263	0
73	457691193	0.009133676	-0.000996616	-0.711423854	-0.702703125	0.306168719	0.505475568	-0.067837684	0
74	457707860	0.009233144	-0.001010285	-0.711473878	-0.702651157	0.160518326	0.555200702	0.028497589	0
75	457724527	0.009264078	-0.00098208	-0.711521391	-0.702602678	0.006242246	0.431936049	-0.060281334	0
76	457741194	0.009368426	-0.001019065	-0.711583384	-0.702538456	0.131925121	0.525116656	-0.192464736	0
77	457757861	0.009469849	-0.001076205	-0.71164181	-0.702477827	0.239787403	0.486224585	-0.238527451	0
78	457774528	0.009537639	-0.001059309	-0.711692117	-0.702425969	0.156779895	0.439113161	-0.140370432	0
79	457791195	0.00966252	-0.001128874	-0.711744983	-0.702370586	0.115863089	0.466374212	-0.050319897	0
80	457807862	0.009785581	-0.00115391	-0.71179738	-0.702315742	0.215122574	0.422476127	-0.013538986	0
81	457824529	0.009889856	-0.001185136	-0.711850662	-0.702260223	0.167216124	0.449094325	-0.183422116	0
82	457841196	0.010022911	-0.001211823	-0.711901063	-0.702207198	0.065303735	0.435690907	-0.276647691	0
83	457857863	0.010035335	-0.001152286	-0.711960683	-0.702146673	0.185404933	0.452776276	-0.167358728	0
84	457874530	0.010154214	-0.001189889	-0.712004815	-0.702100149	0.289547408	0.420501338	-0.012893923	0
85	457891197	0.010251634	-0.00121305	-0.712052219	-0.702050617	0.163053399	0.452308866	-0.045126312	0
86	457907864	0.010396766	-0.001288885	-0.712105695	-0.701994106	0.046278577	0.442718605	-0.192385576	0
87	457924531	0.010529908	-0.001341171	-0.712153228	-0.701943802	0.163400784	0.438215179	-0.206561541	0
88	457941198	0.010618978	-0.0013559	-0.712198045	-0.701896961	0.266088152	0.411743086	-0.149458121	0
89	457957865	0.010686173	-0.001354814	-0.712247999	-0.701845252	0.187746669	0.42470316	-0.096609504	0
90	457974532	0.010768093	-0.001368383	-0.712297917	-0.701793312	0.130611513	0.428212009	-0.097179066	0
91	457991199	0.010866334	-0.001409639	-0.712347428	-0.701741461	0.19812903	0.462130488	-0.129341431	0
92	458007866	0.010957058	-0.001428665	-0.712398251	-0.701688416	0.188675333	0.454919769	-0.202442608	0
93	458024533	0.011059822	-0.001449901	-0.71244288	-0.701641448	0.113245783	0.449101944	-0.195249567	0
94	458041200	0.01119714	-0.001511338	-0.712484772	-0.7015966	0.18131375	0.428811039	-0.10785548	0
95	458057867	0.011334229	-0.001569897	-0.712526496	-0.701551896	0.283251295	0.418870397	-0.076531593	0
96	458074534	0.011425234	-0.001582161	-0.712570321	-0.70150588	0.195787723	0.427105163	-0.164483394	0
97	458091201	0.011623228	-0.001698785	-0.712604378	-0.701467758	0.099920477	0.430526476	-0.212968567	0
98	458107868	0.011752934	-0.00175521	-0.712647945	-0.701421196	0.178666136	0.421298294	-0.169432966	0
99	458124535	0.011922575	-0.001856415	-0.712680563	-0.701384931	0.263056175	0.426236655	-0.112514255	0
100	458141202	0.012041018	-0.001885487	-0.71271444	-0.701348406	0.183034191	0.443033876	-0.118445517	0
