sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-13 15:18:37.504 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 750100842, 0.7270846, -0.05109654, -0.68272513, -0.051220067, -0.041375376, -0.0262899, 0.17662716, 0
2, 750117509, 0.72749585, -0.051058818, -0.68231636, -0.050864894, 0.021947185, -0.020300424, 0.17705822, 0
3, 750134176, 0.72759694, -0.051017176, -0.6822347, -0.050555535, 0.026679847, -0.020525167, 0.1722498, 0
4, 750150843, 0.72759, -0.051015407, -0.68225724, -0.05035417, 0.020397792, 0.0015735871, 0.18015194, 0
5, 750167510, 0.7275962, -0.050886527, -0.6822724, -0.050188415, 0.024598941, 0.011456743, 0.16193771, 0
6, 750184177, 0.72759825, -0.05074162, -0.68228585, -0.05012257, -0.0038417408, -0.00832583, 0.16271019, 0
7, 750200844, 0.72761995, -0.050697528, -0.6822655, -0.050126884, -0.012832773, -0.010502064, 0.16353893, 0
8, 750217511, 0.7276771, -0.050604828, -0.68221635, -0.050060287, 0.0020701769, -0.04298347, 0.17578125, 0
9, 750234178, 0.72774917, -0.050482284, -0.68215877, -0.04992128, 0.014630711, -0.015271216, 0.16651821, 0
10, 750250845, 0.7278234, -0.05036891, -0.6820971, -0.04979681, 0.022640968, 0.024823796, 0.16226006, 0
11, 750267512, 0.7278812, -0.050284706, -0.68204284, -0.04978011, -0.013412118, 1.0323505E-4, 0.17138672, 0
12, 750284179, 0.72795546, -0.0501163, -0.6819836, -0.049674843, -0.004035303, -0.025005708, 0.16741467, 0
13, 750300846, 0.7280176, -0.049991984, -0.68193144, -0.049606778, 0.028815737, -0.03587327, 0.16832733, 0
14, 750317513, 0.72808367, -0.04989918, -0.6818709, -0.04956249, 0.01637724, -0.0089258505, 0.17220879, 0
