sep=															
DeviceTag:	Xsens_1														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-17 14:57:19.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
0	1113757131	4.04E-17	3.95E-16	-0.707106781	-0.707106781	0	0	0	0	0	0	1.028808594	-0.007568359	-0.322021484	0
1	1113773798	0.001231882	0.000490409	0.707072576	0.707139742	-9.247828232	3.466745516	-0.833264029	1.560086484	0.571368122	-4.534283571	1.026934303	-0.007353107	-0.321677811	0
2	1113790465	0.002410578	0.000762815	0.70699802	0.707211006	-9.26597403	3.487905315	-0.865175626	2.329131325	0.429567258	-4.580705274	1.027818385	-0.008176871	-0.318652422	0
3	1113807132	0.003293571	0.001092916	0.706860291	0.707344673	-9.256567567	3.473902222	-0.853847109	3.499162355	0.289740099	-4.543918805	1.026844944	-0.007613016	-0.317853772	0
4	1113823799	0.004303769	0.001622376	0.70685889	0.707339632	-9.19730786	3.287990618	-0.867034756	2.324618658	-0.183243207	-6.401272051	1.028268689	-0.009859677	-0.318860672	0
5	1113840466	0.00557288	0.00250497	0.70645955	0.707727047	-9.250230207	3.456336505	-0.954476427	4.37119545	-0.03372829	-7.053051458	1.028921011	-0.010440695	-0.317812974	0
6	1113857133	0.006573691	0.003492871	0.705878182	0.708294133	-9.118842653	3.367754273	-0.944352241	5.896171657	0.238290313	-7.282827294	1.026731901	-0.011307771	-0.320496121	0
7	1113873800	0.007692749	0.004637809	0.705189198	0.708962275	-9.128382611	3.306937524	-0.906156956	5.334875863	0.233248253	-8.987832137	1.027656669	-0.013992964	-0.320057129	0
8	1113890467	0.008951892	0.005838186	0.704526842	0.709596863	-9.137685503	3.423183707	-0.97847037	4.479064008	-0.004365409	-9.729898946	1.025264774	-0.013030384	-0.318266705	0
9	1113907134	0.010244902	0.007124603	0.703897487	0.710191953	-9.154578371	3.439585324	-0.998760853	4.61862825	-0.386406855	-10.86770379	1.028741006	-0.012368403	-0.320913041	0
10	1113923801	0.011589468	0.008439108	0.703256777	0.710791369	-9.204582532	3.430961161	-0.962604137	4.572624974	-0.771324554	-11.68947846	1.026834303	-0.012455978	-0.319398578	0
11	1113940468	0.01303559	0.009780623	0.702654321	0.711344725	-9.215989279	3.458132676	-0.953894337	4.374893623	-1.174498183	-12.47667076	1.026870296	-0.014745612	-0.32022905	0
12	1113957135	0.014577821	0.011063518	0.70205801	0.711884567	-9.220113625	3.51075801	-0.967631542	3.637622	-1.595881539	-12.934358	1.02540115	-0.01292341	-0.318345786	0
13	1113973802	0.016058825	0.012361643	0.701594843	0.712287849	-9.159940698	3.525044468	-0.995808842	3.151733828	-1.464640918	-12.93009213	1.025359121	-0.012153809	-0.318526306	0
14	1113990469	0.017472218	0.013669861	0.701201118	0.712618305	-9.033329529	3.527138863	-1.028863404	2.605457853	-1.174663541	-12.92968315	1.025492054	-0.012380392	-0.316876523	0
15	1114007136	0.018766975	0.015057739	0.70083731	0.712915233	-8.919509914	3.47363558	-1.036180841	2.49134527	-0.390257724	-13.02527432	1.024238787	-0.014880118	-0.320197439	0
16	1114023803	0.019963146	0.016463957	0.700329912	0.713350142	-8.859705414	3.457440351	-1.058793072	2.507914315	0.550764885	-12.95295287	1.022647423	-0.012778765	-0.319454886	0
17	1114040470	0.021038754	0.018015991	0.699782692	0.713818589	-8.927860349	3.482467095	-1.087563106	3.427349837	1.520809467	-13.15404013	1.023570018	-0.012256427	-0.320079964	0
18	1114057137	0.022029061	0.019518876	0.699198605	0.714321387	-9.120690733	3.532624134	-1.136171784	3.694601482	1.601430785	-12.60438087	1.022268597	-0.012068261	-0.322967388	0
19	1114073804	0.022917757	0.020847054	0.698695997	0.714747565	-9.28728433	3.599552284	-1.193724141	3.577873371	0.892529566	-11.23710241	1.021075411	-0.01040539	-0.322053142	0
20	1114090471	0.023569836	0.021833866	0.698170989	0.71520977	-9.366070105	3.673084197	-1.211785895	3.8394834	0.221737319	-8.463266782	1.020473583	-0.011333551	-0.321291757	0
21	1114107138	0.023957392	0.022448674	0.697651198	0.715684921	-9.392755565	3.638295863	-1.185884982	3.610676731	-0.335058018	-5.467603755	1.01921733	-0.0111907	-0.324512895	0
22	1114123805	0.024194057	0.022756014	0.697118893	0.716185772	-9.417317718	3.801567504	-1.108945865	3.494999611	-1.051313233	-3.286192613	1.020200148	-0.010936785	-0.320666685	0
23	1114140472	0.024310612	0.022755866	0.696583872	0.716702221	-9.386866365	3.753801652	-1.032023927	3.91584327	-2.049734004	-1.332604724	1.019365329	-0.009516305	-0.32312409	0
24	1114157139	0.024444134	0.022565419	0.696051666	0.717220583	-9.292323361	3.85064613	-0.897149037	3.873657815	-2.925095658	-0.59376728	1.0202137	-0.006061403	-0.323018651	0
