sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-17 14:57:19.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1113944863, 0.09409263, -0.7083911, 0.19451527, -0.6719319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9697265625, -0.4638671875, -0.009033203125, 0, 
1, 1113961530, 0.09463377, -0.7086161, 0.1940783, -0.671745, 9.146709442138672, -3.9564318656921387, -0.7513290047645569, 0.7329779863357544, -4.623963832855225, 0.3969648480415344, -0.969482421875, -0.467041015625, -0.007568359375, 0, 
2, 1113978197, 0.09520215, -0.7088099, 0.19367686, -0.67157626, 9.12718677520752, -3.9655425548553467, -0.7449477314949036, 0.7545182108879089, -4.58076810836792, 0.1813059151172638, -0.966552734375, -0.466064453125, -0.00732421875, 0, 
3, 1113994864, 0.09571492, -0.70893073, 0.19335946, -0.67146707, 9.074810028076172, -3.931962490081787, -0.7743417024612427, 1.2575771808624268, -4.0960469245910645, -0.14633816480636597, -0.968994140625, -0.46435546875, -0.00439453125, 0, 
4, 1114011531, 0.096142665, -0.70914495, 0.19303331, -0.67127365, 9.03094482421875, -3.8363940715789795, -0.8171311616897583, 0.5659958124160767, -3.475719928741455, -0.3361794650554657, -0.968017578125, -0.46533203125, -0.004150390625, 0, 
5, 1114028198, 0.09617292, -0.7095175, 0.1928338, -0.6709329, 9.026902198791504, -3.822657346725464, -0.8181125521659851, -0.9731289744377136, -3.4083073139190674, -0.31542038917541504, -0.966796875, -0.4677734375, -0.002197265625, 0, 
6, 1114044865, 0.09609681, -0.7099163, 0.19259182, -0.67059135, 9.045849800109863, -3.8791120052337646, -0.820213794708252, -1.3530420064926147, -2.872361660003662, -0.41173696517944336, -0.969970703125, -0.46826171875, -0.001953125, 0, 
7, 1114061532, 0.09604071, -0.71026725, 0.19238552, -0.67028683, 9.079155921936035, -3.884971857070923, -0.7831162810325623, -0.8827544450759888, -2.566699981689453, -0.4432661533355713, -0.96875, -0.468505859375, -0.002197265625, 0, 
8, 1114078199, 0.09600526, -0.7105328, 0.19219548, -0.67006487, 9.114214897155762, -3.8379626274108887, -0.837733268737793, -0.3424290418624878, -2.302722692489624, -0.40897080302238464, -0.967529296875, -0.4697265625, -2.44140625E-4, 0, 
9, 1114094866, 0.095978096, -0.7108247, 0.19196348, -0.6698257, 9.09925651550293, -3.8231422901153564, -0.8569881916046143, -0.5289022922515869, -2.2477707862854004, -0.3439401686191559, -0.966552734375, -0.46875, 0.00146484375, 0, 
