sep=									
DeviceTag:	Xsens_1								
FirmwareVersion:	2.2.1								
AppVersion:	2023.0.0								
SyncStatus:	Un-synced								
OutputRate:	60Hz								
FilterProfile:	General								
Measurement Mode:	Sensor fusion Mode - Extended (Quaternion)								
StartTime:	2023-07-07 11:12:00.241 +0200								
© Movella Technologies B. V. 2005-2023									
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Status
1	382790620	0	2.30E-17	-0.707106781	-0.707106781	0.007791885	0.062366486	0.022647226	0
2	382807287	5.79E-05	0.000198153	0.707244866	0.70696864	0.005443196	0.067052317	-0.023390732	0
3	382823954	2.51E-05	-0.000151047	-0.707332395	-0.706881078	0.011703396	0.069964373	-0.013622255	0
4	382840621	0.000117005	-4.67E-05	-0.70725771	-0.706955809	0.000769876	0.0463277	0.011577495	0
5	382857288	0.000207725	-4.26E-05	-0.707280448	-0.70693304	0.010875508	0.051089545	-0.002421407	0
6	382873955	0.000268049	-6.13E-05	-0.707373642	-0.706839766	-0.004049548	0.048575824	0.017952153	0
7	382890622	0.000354818	-0.000107324	-0.707451323	-0.706761975	0.00653294	0.055816986	-0.009229885	0
8	382907289	0.000444845	-0.000142995	-0.707480315	-0.706732896	0.012219135	0.04763608	0.002379122	0
9	382923956	0.00052005	-0.000156293	-0.707447743	-0.706765446	0.014121208	0.056201526	-0.001564399	0
10	382940623	0.000598907	-0.000164624	-0.707521852	-0.706691194	0.010031732	0.052493802	0.004266676	0
11	382957290	0.000674892	-0.000206537	-0.707638008	-0.706574802	0.013059427	0.056096875	-0.005811892	0
12	382973957	0.000760915	-0.000221955	-0.707737121	-0.706475435	0.020444517	0.069801446	0.02904493	0
13	382990624	0.000828515	-0.000256647	-0.707811035	-0.706401293	0.014827508	0.050687507	0.00161733	0
14	383007291	0.000910189	-0.00028254	-0.707856036	-0.706356089	0.02391586	0.063849583	8.84E-05	0
15	383023958	0.000977154	-0.000311779	-0.707956832	-0.706254963	0.020559313	0.049994087	-0.007151287	0
16	383040625	0.001048439	-0.000345574	-0.708204934	-0.706006058	0.024851786	0.060587057	0.036628467	0
17	383057292	0.001125252	-0.000374703	-0.708244932	-0.7059658	0.0241831	0.062852813	0.017239225	0
18	383073959	0.001189176	-0.000405115	-0.708369975	-0.705840208	0.01995235	0.050517428	0.001565104	0
19	383090626	0.001267334	-0.000442411	-0.708591322	-0.705617841	0.032659433	0.064892907	0.016138693	0
20	383107293	0.001333372	-0.000461046	-0.708509024	-0.705700341	0.02235967	0.063995587	0.016106928	0
21	383123960	0.001392473	-0.00051174	-0.708757774	-0.705450365	0.008858974	0.044660655	0.007752093	0
22	383140627	0.001467033	-0.00054714	-0.708840822	-0.70536674	0.038326181	0.056764187	0.004637778	0
23	383157294	0.001533544	-0.000578742	-0.708767414	-0.705440335	0.026726441	0.056269283	0.000994357	0
24	383173961	0.001605782	-0.000608763	-0.70885508	-0.705352059	0.02757711	0.04458856	-0.004908115	0
25	383190628	0.001693419	-0.00062331	-0.708788455	-0.70541879	0.024889132	0.056550214	0.002360166	0
26	383207295	0.001765773	-0.000636695	-0.708332452	-0.705876486	0.040724796	0.059209837	0.001863851	0
27	383223962	0.001849604	-0.000665624	-0.708353345	-0.705855279	0.047702267	0.064147531	0.041675128	0
28	383240629	0.001935365	-0.000679402	-0.708258904	-0.705949799	0.048026997	0.053773792	0.010409201	0
29	383257296	0.001982582	-0.000728372	-0.70842165	-0.705786303	0.041379608	0.033712581	0.009719652	0
30	383273963	0.002065326	-0.000729766	-0.708128953	-0.706079732	0.030036267	0.067528037	0.015465995	0
31	383290630	0.002137228	-0.000752277	-0.70807186	-0.706136749	0.047566153	0.042492108	0.021883203	0
32	383307297	0.002203574	-0.000790589	-0.708184197	-0.70602384	0.052623655	0.065565074	0.010969514	0
33	383323964	0.002278412	-0.000821007	-0.708343271	-0.705863971	0.052743467	0.057109032	0.00790098	0
34	383340631	0.002351049	-0.000859763	-0.708669974	-0.705535684	0.053562715	0.066767143	0.035286848	0
35	383357298	0.002427255	-0.000879565	-0.708664632	-0.705540767	0.034439336	0.052489888	0.020834944	0
36	383373965	0.002499711	-0.000896229	-0.708382322	-0.70582394	0.050482038	0.051625713	0.013499025	0
37	383390632	0.002564326	-0.000939646	-0.708588696	-0.705616469	0.053593381	0.059734834	0.011992069	0
38	383407299	0.00264787	-0.000980072	-0.708953848	-0.705249225	0.067963341	0.048978655	0.010400402	0
39	383423966	0.002707246	-0.001061736	-0.709526806	-0.704672445	0.059159157	0.052984804	0.016080388	0
40	383440633	0.002770892	-0.001088663	-0.70928326	-0.704917295	0.064251531	0.069066799	0.045320706	0
41	383457300	0.002856483	-0.001109959	-0.709349819	-0.704849944	0.056646929	0.060628921	0.000309879	0
42	383473967	0.002912163	-0.001147	-0.709325811	-0.704873817	0.064804907	0.058793309	0.012929998	0
43	383490634	0.002986765	-0.001179475	-0.709408539	-0.70479019	0.051334346	0.054460081	0.005740764	0
44	383507301	0.003073427	-0.001183473	-0.709258034	-0.70494127	0.050539817	0.067543645	0.003293992	0
45	383523968	0.003133263	-0.001221737	-0.709344031	-0.704854407	0.076670066	0.049557937	0.029372944	0
46	383540635	0.003221527	-0.00122976	-0.709337124	-0.704860947	0.084419029	0.053369951	0.028411864	0
47	383557302	0.003294648	-0.0012562	-0.709583309	-0.704612727	0.059120036	0.056353125	-0.004322669	0
48	383573969	0.003364388	-0.001292914	-0.709687395	-0.704507495	0.083116871	0.055774316	0.028472865	0
49	383590636	0.003446463	-0.001304319	-0.709651172	-0.704543565	0.065137694	0.049645593	-0.003410108	0
50	383607303	0.003500977	-0.001359695	-0.709847857	-0.704345025	0.070084723	0.06524931	-0.002737042	0
51	383623970	0.003573658	-0.001364825	-0.709656586	-0.704537364	0.088908498	0.052791538	0.027986945	0
52	383640637	0.003646473	-0.001401462	-0.71003701	-0.704153523	0.07632571	0.056474552	0.025477585	0
53	383657304	0.003711389	-0.001410855	-0.709579406	-0.704614293	0.081159825	0.066689798	0.028950555	0
54	383673971	0.003781806	-0.001452755	-0.710232295	-0.703955733	0.060210611	0.050281382	0.016549933	0
55	383690638	0.00384596	-0.001486765	-0.710290531	-0.703896554	0.092626239	0.063001953	0.016032396	0
56	383707305	0.003909417	-0.001474507	-0.709754876	-0.704436341	0.080326885	0.067172205	0.017808614	0
57	383723972	0.00399295	-0.001507084	-0.709875379	-0.704314369	0.092442064	0.045953638	0.01943129	0
58	383740639	0.004065709	-0.001537067	-0.710057346	-0.704130437	0.089721264	0.043416625	0.016847915	0
59	383757306	0.004128015	-0.001574828	-0.710224003	-0.703961892	0.089170461	0.066606383	0.022403023	0
60	383773973	0.00419029	-0.001619363	-0.710315105	-0.703869499	0.084939749	0.054706811	0.00568375	0
61	383790640	0.004246673	-0.001643096	-0.710431939	-0.703751182	0.102663131	0.056960322	0.052695187	0
62	383807307	0.00432324	-0.001655549	-0.710423641	-0.703759063	0.079189772	0.056601587	0.019257572	0
63	383823974	0.004388524	-0.001697408	-0.710489431	-0.70369214	0.083291402	0.06548666	-0.005005039	0
64	383840641	0.004454768	-0.001725172	-0.710669176	-0.703510129	0.093743694	0.049708743	0.023850113	0
65	383857308	0.004528166	-0.001731622	-0.71034954	-0.703832386	0.091865255	0.047396297	0.018470113	0
66	383873975	0.004596709	-0.001749585	-0.710244774	-0.703937619	0.097712526	0.059647077	0.026478414	0
