sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-07 11:12:00.240 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 420684408, 0.4948209, 0.49123165, -0.48370537, 0.5290303, 0.0038010613, -0.0039445567, 0.15709305, 0
2, 420701075, 0.49474388, 0.49130747, -0.48337874, 0.5293304, 0.0018068787, -0.011820707, 0.15354156, 0
3, 420717742, 0.49502388, 0.49107847, -0.48339397, 0.52926725, 0.014198437, -0.020959033, 0.15926361, 0
4, 420734409, 0.49509814, 0.49097982, -0.48323914, 0.52943057, 0.012979621, 0.011390667, 0.16298103, 0
5, 420751076, 0.4951063, 0.4909384, -0.48313197, 0.52955925, 0.013257224, 0.008850219, 0.16847038, 0
6, 420767743, 0.49522746, 0.49080577, -0.48319155, 0.5295144, 0.012750073, -0.0036609187, 0.17488098, 0
7, 420784410, 0.49513948, 0.49087083, -0.48304513, 0.52967, -2.9727223E-4, 0.008797693, 0.16897964, 0
8, 420801077, 0.49520656, 0.49081835, -0.48301297, 0.5296852, 0.012924637, 0.005006243, 0.1608448, 0
9, 420817744, 0.4951345, 0.49089703, -0.48287287, 0.5298075, -0.0021676286, 0.013377697, 0.17454433, 0
10, 420834411, 0.49521798, 0.4908437, -0.48284876, 0.5298007, 0.0029787573, -0.0070381993, 0.16739559, 0
11, 420851078, 0.49512592, 0.49096447, -0.48265177, 0.5299543, 0.0010113962, -0.012150165, 0.16578102, 0
12, 420867745, 0.49504083, 0.49107248, -0.4824509, 0.5301166, -0.0031099592, -0.007218798, 0.16738605, 0
13, 420884412, 0.4950566, 0.4910944, -0.4823372, 0.53018516, 0.009007572, 0.009875696, 0.16102791, 0
14, 420901079, 0.49504972, 0.49115068, -0.4822036, 0.53026104, 0.0063209464, 0.014164686, 0.16812134, 0
15, 420917746, 0.4951302, 0.49112248, -0.48214746, 0.530263, 0.016795881, 0.011714314, 0.16000843, 0
16, 420934413, 0.49509618, 0.49118868, -0.48201802, 0.530351, 0.008975163, 0.008459295, 0.1615181, 0
17, 420951080, 0.49511185, 0.49121562, -0.48190814, 0.5304115, 0.017763693, 0.014198884, 0.16559601, 0
18, 420967747, 0.49510372, 0.49123552, -0.4818129, 0.53048706, 0.009448563, 0.020790504, 0.15518379, 0
19, 420984414, 0.49501246, 0.49134782, -0.4816341, 0.53063047, 0.011826964, 0.026281994, 0.17682838, 0
20, 421001081, 0.49503836, 0.4913563, -0.48155278, 0.53067213, 0.013417259, 0.036838736, 0.16686058, 0
21, 421017748, 0.49496534, 0.49146044, -0.48138994, 0.53079164, 0.0031466153, 0.02075072, 0.19032764, 0
22, 421034415, 0.49503282, 0.4914381, -0.48134223, 0.53079283, 0.024488304, 0.028396651, 0.1672926, 0
23, 421051082, 0.49506256, 0.49144235, -0.48127857, 0.53081876, 0.015957708, 0.018474687, 0.17001629, 0
24, 421067749, 0.49502575, 0.49150828, -0.48116684, 0.5308934, 0.019168695, 0.034274146, 0.17329884, 0
25, 421084416, 0.49513382, 0.4914523, -0.4811418, 0.530867, 0.016375229, 0.013981629, 0.14637852, 0
26, 421101083, 0.49513754, 0.49147558, -0.48104495, 0.5309299, 0.008884193, 0.0064861225, 0.15131855, 0
27, 421117750, 0.4950897, 0.49155754, -0.4809162, 0.5310151, 0.015264594, 0.020775305, 0.15538406, 0
28, 421134417, 0.4949655, 0.49169978, -0.48068148, 0.5312118, 0.0076526366, 0.033376966, 0.163517, 0
29, 421151084, 0.49498793, 0.49170303, -0.48061535, 0.5312476, 0.018858682, 0.024032783, 0.15998936, 0
30, 421167751, 0.49503332, 0.49168965, -0.48057824, 0.5312514, 0.02333967, 0.022939805, 0.17717266, 0
31, 421184418, 0.49500898, 0.49174526, -0.48043707, 0.5313504, 0.0068234033, 0.037434172, 0.16272926, 0
32, 421201085, 0.49510252, 0.49169135, -0.48042935, 0.5313198, 0.01280908, 0.041885212, 0.15251637, 0
33, 421217752, 0.495142, 0.4916959, -0.48035884, 0.53134257, 0.012398487, 0.038494743, 0.16910172, 0
34, 421234419, 0.49516776, 0.49171495, -0.48027742, 0.53137463, 0.016430661, 0.037766762, 0.1673708, 0
35, 421251086, 0.49520123, 0.49172914, -0.48020312, 0.5313976, 0.016169822, 0.044126377, 0.16179466, 0
36, 421267753, 0.49514186, 0.49182832, -0.48002526, 0.53152156, 0.024225451, 0.05446653, 0.17047215, 0
37, 421284420, 0.49519846, 0.4918205, -0.47999322, 0.5315051, 0.02491119, 0.028650114, 0.17486477, 0
38, 421301087, 0.4952592, 0.49180654, -0.4799264, 0.5315219, 0.024746014, 0.05868534, 0.17312336, 0
39, 421317754, 0.4953401, 0.49176538, -0.47990468, 0.53150415, 0.010542436, 0.025809264, 0.17189121, 0
40, 421334421, 0.49529862, 0.49184346, -0.479778, 0.5315848, 0.026343908, 0.07315557, 0.16959667, 0
41, 421351088, 0.49534413, 0.49184307, -0.47969657, 0.5316164, 0.021099176, 0.060465172, 0.15316105, 0
42, 421367755, 0.4954007, 0.49183017, -0.47964108, 0.5316255, 0.023418793, 0.04692677, 0.15057468, 0
43, 421384422, 0.49538782, 0.49187183, -0.4795525, 0.531679, 0.04142075, 0.049876023, 0.16219997, 0
44, 421401089, 0.49542174, 0.49189413, -0.47945932, 0.5317109, 0.029226778, 0.045415375, 0.16135406, 0
45, 421417756, 0.49544457, 0.49190795, -0.47938985, 0.5317394, 0.031071207, 0.04391918, 0.1640768, 0
46, 421434423, 0.49537975, 0.49200243, -0.47923994, 0.53184754, 0.028682971, 0.04935144, 0.14403343, 0
47, 421451090, 0.49544114, 0.4919871, -0.47918525, 0.5318537, 0.03906269, 0.025727682, 0.17429066, 0
48, 421467757, 0.49544516, 0.49201885, -0.47911155, 0.5318871, 0.046099547, 0.05593501, 0.1734333, 0
49, 421484424, 0.49554121, 0.49196288, -0.47908387, 0.5318743, 0.031295165, 0.05621172, 0.15169811, 0
50, 421501091, 0.4956259, 0.4919206, -0.47907224, 0.531845, 0.03567535, 0.03877078, 0.16105461, 0
51, 421517758, 0.49559304, 0.49198812, -0.4789514, 0.531922, 0.027855301, 0.0769497, 0.1651268, 0
52, 421534425, 0.49576494, 0.49187133, -0.47899395, 0.53183156, 0.040838275, 0.05952351, 0.17148209, 0
53, 421551092, 0.49569988, 0.49197212, -0.4788366, 0.5319405, 0.038601357, 0.054638635, 0.18223953, 0
54, 421567759, 0.49583447, 0.4918961, -0.47885478, 0.531869, 0.052721117, 0.06611312, 0.15908432, 0
55, 421584426, 0.4957758, 0.4919799, -0.47870442, 0.5319816, 0.038010612, 0.062307812, 0.14637756, 0
56, 421601093, 0.4957117, 0.49208117, -0.47854754, 0.5320887, 0.03068274, 0.0801095, 0.16131592, 0
57, 421617760, 0.4956554, 0.49215567, -0.47840774, 0.5321979, 0.050829083, 0.06113459, 0.1764555, 0
58, 421634427, 0.49580324, 0.49205968, -0.47845402, 0.53210753, 0.045729186, 0.042062905, 0.15433598, 0
59, 421651094, 0.4957874, 0.49210867, -0.47835052, 0.53216994, 0.04314292, 0.06329596, 0.15158272, 0
60, 421667761, 0.49588355, 0.49205595, -0.47835097, 0.5321287, 0.03942657, 0.075360745, 0.1637249, 0
61, 421684428, 0.495885, 0.49209198, -0.47826728, 0.53216934, 0.038051963, 0.077546924, 0.1764412, 0
62, 421701095, 0.49588376, 0.4921235, -0.47818184, 0.53221786, 0.07146648, 0.068955086, 0.16544151, 0
63, 421717762, 0.49601427, 0.49203426, -0.47821635, 0.53214794, 0.050311424, 0.08279948, 0.1534481, 0
64, 421734429, 0.496066, 0.49202147, -0.47816783, 0.53215516, 0.035735473, 0.076297715, 0.1560297, 0
65, 421751096, 0.49603158, 0.4920926, -0.4780356, 0.5322402, 0.036259167, 0.04823365, 0.16326523, 0
