sample;time;position_x;position_y;position_z
1;0;-0.111697;1.4037952;-0.214548
2;0.01666667;-0.111697;1.4037952;-0.214548
3;0.03333333;-0.111697;1.4037952;-0.214548
4;0.05;-0.111697;1.4037952;-0.214548
5;0.06666667;-0.111697;1.4037952;-0.214548
6;0.08333333;-0.111697;1.4037952;-0.214548
7;0.1;-0.111697;1.4037952;-0.214548
8;0.11666667;-0.111697;1.4037952;-0.214548
9;0.13333333;-0.111697;1.4037952;-0.214548
10;0.15;-0.111697;1.4037952;-0.214548
11;0.16666667;-0.111697;1.4037952;-0.214548
12;0.18333333;-0.111697;1.4037952;-0.214548
13;0.2;-0.111697;1.4037952;-0.214548
14;0.21666667;-0.111697;1.4037952;-0.214548
15;0.23333333;-0.111697;1.4037952;-0.214548
16;0.25;-0.111697;1.4037952;-0.214548
17;0.26666667;-0.111697;1.4037952;-0.214548
18;0.28333333;-0.111697;1.4037952;-0.214548
19;0.3;-0.111697;1.4037952;-0.214548
20;0.31666667;-0.111697;1.4037952;-0.214548
21;0.33333333;-0.111697;1.4037952;-0.214548
22;0.35;-0.111697;1.4037952;-0.214548
23;0.36666667;-0.111697;1.4037952;-0.214548
24;0.38333333;-0.111697;1.4037952;-0.214548
25;0.4;-0.111697;1.4037952;-0.214548
26;0.41666667;-0.111697;1.4037952;-0.214548
27;0.43333333;-0.111697;1.4037952;-0.214548
28;0.45;-0.111697;1.4037952;-0.214548
29;0.46666667;-0.111697;1.4037952;-0.214548
30;0.48333333;-0.111697;1.4037952;-0.214548
31;0.5;-0.111697;1.4037952;-0.214548
32;0.51666667;-0.111697;1.4037952;-0.214548
33;0.53333333;-0.111697;1.4037952;-0.214548
34;0.55;-0.111697;1.4037952;-0.214548
35;0.56666667;-0.111697;1.4037952;-0.214548
36;0.58333333;-0.111697;1.4037952;-0.214548
37;0.6;-0.111697;1.4037952;-0.214548
38;0.61666667;-0.111697;1.4037952;-0.214548
39;0.63333333;-0.111697;1.4037952;-0.214548
40;0.65;-0.111697;1.4037952;-0.214548
41;0.66666667;-0.111697;1.4037952;-0.214548
42;0.68333333;-0.111697;1.4037952;-0.214548
43;0.7;-0.111697;1.4037952;-0.214548
44;0.71666667;-0.111697;1.4037952;-0.214548
45;0.73333333;-0.111697;1.4037952;-0.214548
46;0.75;-0.111697;1.4037952;-0.214548
47;0.76666667;-0.111697;1.4037952;-0.214548
48;0.78333333;-0.111697;1.4037952;-0.214548
49;0.8;-0.111697;1.4037952;-0.214548
50;0.81666667;-0.111697;1.4037952;-0.214548
51;0.83333333;-0.111697;1.4037952;-0.214548
52;0.85;-0.111697;1.4037952;-0.214548
53;0.86666667;-0.111697;1.4037952;-0.214548
54;0.88333333;-0.111697;1.4037952;-0.214548
55;0.9;-0.111697;1.4037952;-0.214548
56;0.91666667;-0.111697;1.4037952;-0.214548
57;0.93333333;-0.111697;1.4037952;-0.214548
58;0.95;-0.111697;1.4037952;-0.214548
59;0.96666667;-0.111697;1.4037952;-0.214548
60;0.98333333;-0.111697;1.4037952;-0.214548
61;1;-0.111697;1.4037952;-0.214548
62;1.01666667;-0.111697;1.4037952;-0.214548
63;1.03333333;-0.111697;1.4037952;-0.214548
64;1.05;-0.111697;1.4037952;-0.214548
65;1.06666667;-0.111697;1.4037952;-0.214548
66;1.08333333;-0.111697;1.4037952;-0.214548
67;1.1;-0.111697;1.4037952;-0.214548
