sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-29 13:23:53.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2065668733, 0.6602678, 0.2967817, -0.57443976, 0.38208118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.704833984375, 0.208251953125, -0.427001953125, 0, 
1, 2065685400, 0.6625445, 0.29907984, -0.5714603, 0.38081396, 9.598922729492188, 0.056405678391456604, 1.878649353981018, 2.9219934940338135, 4.424715995788574, -1.2408459186553955, -0.703125, 0.21435546875, -0.428955078125, 0, 
2, 2065702067, 0.66622454, 0.30058545, -0.56809384, 0.37823665, 9.642345428466797, -0.04373543709516525, 1.9054679870605469, 0.5018616914749146, 4.405814170837402, -0.9823240041732788, -0.70263671875, 0.213623046875, -0.431640625, 0, 
3, 2065718734, 0.66932946, 0.3011341, -0.5654738, 0.3762394, 9.637489318847656, -0.10865083336830139, 1.9003560543060303, 0.3854263126850128, 4.349209785461426, -0.9506282210350037, -0.70361328125, 0.212646484375, -0.43017578125, 0, 
4, 2065735401, 0.6714963, 0.30122414, -0.5636674, 0.37501448, 9.635372161865234, -0.0209934264421463, 1.8791334629058838, 1.1424224376678467, 3.5188074111938477, -0.6150762438774109, -0.70068359375, 0.21142578125, -0.431396484375, 0, 
5, 2065752068, 0.6732455, 0.30093354, -0.5626085, 0.3736996, 9.612476348876953, 0.12601035833358765, 1.8579683303833008, -0.8873007297515869, 2.605983257293701, -0.4557395279407501, -0.70263671875, 0.2119140625, -0.43115234375, 0, 
6, 2065768735, 0.67473847, 0.30058688, -0.5620764, 0.37208304, 9.602884292602539, 0.15116094052791595, 1.894901990890503, -3.686461925506592, 1.1666840314865112, -0.7105731964111328, -0.7021484375, 0.210693359375, -0.43115234375, 0, 
7, 2065785402, 0.6761225, 0.30001292, -0.5619401, 0.37023553, 9.607710838317871, 0.05888015031814575, 1.9511948823928833, -6.549577713012695, 0.15943266451358795, -0.7151194214820862, -0.703369140625, 0.212890625, -0.43115234375, 0, 
8, 2065802069, 0.6773158, 0.29934788, -0.5619992, 0.36849877, 9.602641105651855, -0.07748567312955856, 1.9633822441101074, -7.3321356773376465, -0.6252957582473755, -0.8399942517280579, -0.703125, 0.21044921875, -0.43017578125, 0, 
9, 2065818736, 0.6783658, 0.2984984, -0.5622387, 0.36688733, 9.635534286499023, -0.1297363042831421, 2.0361969470977783, -6.994945049285889, -1.0042613744735718, -0.7804447412490845, -0.703857421875, 0.211181640625, -0.427001953125, 0, 
