sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-03 12:47:07.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1710937904, 0.20363213, 0.65184903, -0.047227677, 0.7289694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.68310546875, -0.679443359375, -0.284912109375, 0, 
1, 1710954571, 0.20094241, 0.6516265, -0.045457084, 0.7300265, 9.49287223815918, 1.8582103252410889, 1.4605249166488647, 21.63732147216797, 8.45852279663086, 9.014665603637695, -0.682861328125, -0.68017578125, -0.280029296875, 0, 
2, 1710971238, 0.197407, 0.651196, -0.04387728, 0.73147047, 9.481858253479004, 1.7987490892410278, 1.4974373579025269, 23.199542999267578, 8.38412094116211, 10.390087127685547, -0.685546875, -0.6767578125, -0.27880859375, 0, 
3, 1710987905, 0.19368944, 0.65059865, -0.04276486, 0.73306006, 9.537153244018555, 1.744563102722168, 1.540381669998169, 23.795644760131836, 8.322754859924316, 12.035107612609863, -0.681640625, -0.677490234375, -0.276123046875, 0, 
4, 1711004572, 0.18946661, 0.6500702, -0.04155386, 0.7347005, 9.455812454223633, 1.7637795209884644, 1.4265968799591064, 26.51372528076172, 7.622249603271484, 13.373215675354004, -0.68701171875, -0.67724609375, -0.269287109375, 0, 
5, 1711021239, 0.18456592, 0.6500689, -0.03975616, 0.73604715, 9.502508163452148, 1.6751315593719482, 1.591254711151123, 29.556264877319336, 5.6996684074401855, 14.638229370117188, -0.68798828125, -0.678466796875, -0.265869140625, 0, 
6, 1711037906, 0.17959964, 0.64996684, -0.038204495, 0.7374468, 9.465144157409668, 1.7190827131271362, 1.60080087184906, 29.56725311279297, 5.271857738494873, 16.393449783325195, -0.6904296875, -0.67626953125, -0.255859375, 0, 
7, 1711054573, 0.1742179, 0.6500542, -0.036340106, 0.73875374, 9.404346466064453, 1.7281489372253418, 1.5071992874145508, 30.826622009277344, 3.3239541053771973, 17.711645126342773, -0.693115234375, -0.67724609375, -0.253173828125, 0, 
8, 1711071240, 0.16882375, 0.6504791, -0.03440303, 0.7397243, 9.367115020751953, 1.7391154766082764, 1.541508436203003, 32.302433013916016, 0.9367762207984924, 18.24118423461914, -0.697265625, -0.675048828125, -0.246826171875, 0, 
9, 1711087907, 0.16339825, 0.6511304, -0.032233775, 0.7404671, 9.274162292480469, 1.7828028202056885, 1.5529823303222656, 33.850860595703125, -0.8426045179367065, 18.05128288269043, -0.700439453125, -0.674560546875, -0.238525390625, 0, 
10, 1711104574, 0.15793096, 0.6519732, -0.029780295, 0.74101436, 9.270197868347168, 1.8290417194366455, 1.493376612663269, 35.21724319458008, -2.4960672855377197, 17.716938018798828, -0.701904296875, -0.67333984375, -0.230712890625, 0, 
11, 1711121241, 0.15249218, 0.6530123, -0.027010487, 0.74134463, 9.242194175720215, 1.8408339023590088, 1.477062702178955, 36.61467742919922, -3.9314632415771484, 16.771522521972656, -0.70654296875, -0.672119140625, -0.223876953125, 0, 
12, 1711137908, 0.14727537, 0.65420806, -0.024044892, 0.7414471, 9.247303009033203, 1.8890520334243774, 1.4572436809539795, 37.31096267700195, -5.257159233093262, 15.264233589172363, -0.710205078125, -0.672119140625, -0.216064453125, 0, 
13, 1711154575, 0.14225166, 0.6555179, -0.02090458, 0.7413663, 9.336201667785645, 2.0367965698242188, 1.431583285331726, 37.54560470581055, -6.308079242706299, 13.903512954711914, -0.7138671875, -0.673095703125, -0.204345703125, 0, 
14, 1711171242, 0.13734144, 0.6569114, -0.017512247, 0.74114645, 9.366065979003906, 2.1269490718841553, 1.411020278930664, 37.70436096191406, -7.055435657501221, 12.67761516571045, -0.714599609375, -0.671630859375, -0.196044921875, 0, 
15, 1711187909, 0.13270216, 0.6583655, -0.014082386, 0.7407747, 9.325119972229004, 2.2134978771209717, 1.34307861328125, 37.0588264465332, -7.80963134765625, 11.681763648986816, -0.7177734375, -0.673095703125, -0.18603515625, 0, 
16, 1711204576, 0.12825201, 0.65980715, -0.010595416, 0.7403337, 9.399290084838867, 2.312837600708008, 1.244616150856018, 36.037532806396484, -7.891845703125, 10.934041976928711, -0.718017578125, -0.67333984375, -0.178466796875, 0, 
17, 1711221243, 0.12399371, 0.66120243, -0.0070974855, 0.7398557, 9.49599552154541, 2.3911542892456055, 1.1871651411056519, 35.70553207397461, -7.448394775390625, 10.471624374389648, -0.723876953125, -0.6708984375, -0.168212890625, 0, 
18, 1711237910, 0.11959984, 0.6625084, -0.0033776413, 0.739437, 9.61691951751709, 2.355988025665283, 1.1604726314544678, 36.10768508911133, -6.473443984985352, 10.462250709533691, -0.725830078125, -0.672607421875, -0.163330078125, 0, 
19, 1711254577, 0.11536546, 0.6636549, 1.1207268E-4, 0.7390894, 9.82300090789795, 2.2501680850982666, 1.1448713541030884, 36.767494201660156, -4.890072822570801, 11.267278671264648, -0.7265625, -0.672119140625, -0.151123046875, 0, 
20, 1711271244, 0.110706724, 0.66457945, 0.003734038, 0.7389617, 10.089606285095215, 2.0966620445251465, 1.18559992313385, 37.6199836730957, -2.723919630050659, 12.69706916809082, -0.72705078125, -0.673095703125, -0.142333984375, 0, 
21, 1711287911, 0.10568072, 0.665227, 0.0072535845, 0.73908865, 10.22270679473877, 1.9742547273635864, 1.2946605682373047, 38.06569290161133, -0.20612581074237823, 14.81433391571045, -0.72998046875, -0.67041015625, -0.134033203125, 0, 
22, 1711304578, 0.10037491, 0.66551775, 0.010553933, 0.7395266, 10.237940788269043, 1.8738154172897339, 1.4134730100631714, 38.066158294677734, 2.8510053157806396, 17.017885208129883, -0.733154296875, -0.66552734375, -0.12890625, 0, 
23, 1711321245, 0.09501612, 0.6653932, 0.013461618, 0.7402991, 10.163792610168457, 1.7765626907348633, 1.4656009674072266, 37.829036712646484, 6.3368916511535645, 19.037158966064453, -0.738525390625, -0.66552734375, -0.120849609375, 0, 
