sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-03 15:42:20.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 4170310183, 0.7449669, 0.08415037, -0.57302666, 0.33103415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12255859375, 0.7783203125, -0.650634765625, 0, 
1, 4170326850, 0.742816, 0.08712324, -0.5773616, 0.32754812, 8.988906860351562, -2.3000361919403076, 2.8287177085876465, -11.886214256286621, -14.175006866455078, -5.710230827331543, -0.13232421875, 0.779052734375, -0.642822265625, 0, 
2, 4170343517, 0.740543, 0.08872928, -0.5823399, 0.323425, 9.110657691955566, -2.3747711181640625, 2.7805559635162354, -17.46829605102539, -15.934425354003906, -5.346189022064209, -0.137451171875, 0.780517578125, -0.64208984375, 0, 
3, 4170360184, 0.7384931, 0.08892014, -0.5872749, 0.3191075, 9.25222396850586, -2.302546977996826, 3.123058795928955, -27.827228546142578, -15.867961883544922, -8.371569633483887, -0.146484375, 0.780517578125, -0.63330078125, 0, 
4, 4170376851, 0.7380783, 0.08751029, -0.59096926, 0.31358865, 9.234405517578125, -2.0278384685516357, 3.688168525695801, -42.19300079345703, -13.363616943359375, -13.535478591918945, -0.154296875, 0.784912109375, -0.626708984375, 0, 
5, 4170393518, 0.7396767, 0.08506272, -0.59254825, 0.30745628, 9.199742317199707, -1.7939732074737549, 3.7922356128692627, -52.42701721191406, -8.123397827148438, -15.712945938110352, -0.167724609375, 0.786865234375, -0.614013671875, 0, 
6, 4170410185, 0.74227345, 0.083826035, -0.5920049, 0.3025452, 9.064537048339844, -2.3683509826660156, 3.5233073234558105, -39.24261474609375, -2.685802936553955, -15.130463600158691, -0.175537109375, 0.789794921875, -0.605712890625, 0, 
7, 4170426852, 0.7443094, 0.08418645, -0.5907593, 0.29986602, 8.992461204528809, -3.0033462047576904, 3.25046968460083, -17.020708084106445, -3.8332679271698, -14.647736549377441, -0.180419921875, 0.791015625, -0.601318359375, 0, 
8, 4170443519, 0.7452843, 0.08568045, -0.58962667, 0.29924983, 9.034191131591797, -3.052696466445923, 2.905393123626709, 2.1980643272399902, -7.412410736083984, -13.90156078338623, -0.1884765625, 0.787353515625, -0.602294921875, 0, 
9, 4170460186, 0.74542534, 0.088583246, -0.5884883, 0.30029303, 9.202287673950195, -2.90028715133667, 2.858142137527466, 19.350994110107422, -8.553404808044434, -13.675943374633789, -0.192626953125, 0.784423828125, -0.606201171875, 0, 
