sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-03 15:58:29.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1967959073, 0.79411185, 0.22535717, -0.54956526, 0.12875828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4609375, 0.170166015625, -0.2978515625, 0, 
1, 1967975740, 0.7898723, 0.21660034, -0.56127155, 0.118998, 9.874144554138184, 1.8026149272918701, 2.1861534118652344, -80.81169128417969, -39.23817443847656, -10.87071418762207, -0.468994140625, 0.17919921875, -0.278076171875, 0, 
2, 1967992407, 0.7849857, 0.20744978, -0.57331735, 0.10986059, 9.793571472167969, 1.7334431409835815, 2.2940258979797363, -79.90778350830078, -33.896446228027344, -13.166872024536133, -0.47705078125, 0.184326171875, -0.260498046875, 0, 
3, 1968009074, 0.78156435, 0.19907437, -0.5824638, 0.101304315, 9.836472511291504, 1.595652461051941, 2.4444644451141357, -70.99040222167969, -29.497005462646484, -15.266996383666992, -0.480712890625, 0.193359375, -0.243408203125, 0, 
4, 1968025741, 0.7795237, 0.19176018, -0.58885074, 0.09394637, 9.9176664352417, 1.4814599752426147, 2.4764816761016846, -59.73942947387695, -25.448102951049805, -16.38673973083496, -0.483642578125, 0.1943359375, -0.229736328125, 0, 
5, 1968042408, 0.7783517, 0.18541843, -0.5933917, 0.08760804, 10.169289588928223, 1.287596344947815, 2.5824971199035645, -49.36802291870117, -21.182729721069336, -16.72499656677246, -0.49462890625, 0.197265625, -0.218994140625, 0, 
6, 1968059075, 0.7781775, 0.17961462, -0.5961584, 0.082301706, 10.198354721069336, 1.3933016061782837, 2.688868522644043, -41.971832275390625, -12.785792350769043, -17.067705154418945, -0.498046875, 0.199951171875, -0.208251953125, 0, 
7, 1968075742, 0.7784054, 0.17542367, -0.59763116, 0.07841397, 9.89344310760498, 1.9620929956436157, 2.8868794441223145, -35.76432418823242, -9.248735427856445, -17.866601943969727, -0.502685546875, 0.204345703125, -0.201416015625, 0, 
8, 1968092409, 0.77934456, 0.17102955, -0.5983505, 0.073127426, 9.727082252502441, 2.4987854957580566, 3.3300867080688477, -43.814537048339844, -8.013191223144531, -19.222824096679688, -0.505615234375, 0.199951171875, -0.19580078125, 0, 
9, 1968109076, 0.7813894, 0.16362183, -0.5987981, 0.06402748, 9.280954360961914, 2.861624240875244, 2.9808623790740967, -77.55902862548828, -9.806278228759766, -21.08040428161621, -0.511962890625, 0.204345703125, -0.1845703125, 0, 
10, 1968125743, 0.78353274, 0.15386462, -0.59981704, 0.05120255, 9.21082878112793, 2.5578134059906006, 1.8768980503082275, -107.08586120605469, -16.751293182373047, -24.885650634765625, -0.51611328125, 0.206787109375, -0.168212890625, 0, 
11, 1968142410, 0.78488314, 0.14386193, -0.60152537, 0.037808783, 9.47518539428711, 1.4371492862701416, 1.1103307008743286, -111.46725463867188, -20.1512451171875, -23.79993438720703, -0.523681640625, 0.215087890625, -0.147216796875, 0, 
12, 1968159077, 0.7853119, 0.13448429, -0.6038002, 0.02499191, 9.626273155212402, 1.014385461807251, 0.9367246627807617, -105.32164001464844, -21.01097297668457, -25.201826095581055, -0.528564453125, 0.2197265625, -0.12890625, 0, 
13, 1968175744, 0.7843806, 0.12721725, -0.60692763, 0.014202577, 9.815250396728516, 1.131337285041809, 0.7584409117698669, -84.47321319580078, -25.523645401000977, -24.9917049407959, -0.53271484375, 0.222412109375, -0.10986328125, 0, 
14, 1968192411, 0.7825337, 0.1213464, -0.61064506, 0.005378823, 9.899057388305664, 1.038573145866394, 0.5910612344741821, -68.20613861083984, -27.729549407958984, -21.304214477539062, -0.53857421875, 0.221923828125, -0.09619140625, 0, 
15, 1968209078, 0.7803461, 0.115757644, -0.6145359, -0.0024433176, 9.843046188354492, 1.2798991203308105, 1.0021376609802246, -62.36927032470703, -26.91566276550293, -18.26258087158203, -0.543701171875, 0.224609375, -0.0810546875, 0, 
16, 1968225745, 0.7777049, 0.1104895, -0.61876905, -0.0095977355, 9.734786987304688, 1.6920902729034424, 1.5061630010604858, -57.508384704589844, -29.591712951660156, -16.14310646057129, -0.55078125, 0.222900390625, -0.0673828125, 0, 
17, 1968242412, 0.77468204, 0.105128236, -0.6233362, -0.01637244, 9.710552215576172, 1.6227792501449585, 1.6007519960403442, -56.0616569519043, -33.504573822021484, -12.96751594543457, -0.555419921875, 0.221923828125, -0.04931640625, 0, 
18, 1968259079, 0.7719021, 0.098701455, -0.6275846, -0.023729343, 9.93058967590332, 1.5608690977096558, 1.89188814163208, -64.34515380859375, -32.2559700012207, -11.382100105285645, -0.560546875, 0.225830078125, -0.03564453125, 0, 
