sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-07 11:12:00.243 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 400745989, 0.3214412, -0.62969214, -0.30179718, -0.63959515, -0.0013909211, -0.008526796, 0.0934639, 0
2, 400762656, 0.32137132, -0.62983847, -0.3017381, -0.639514, -0.0074855606, 0.0067581376, 0.082429886, 0
3, 400779323, 0.3210704, -0.6301373, -0.30134547, -0.6395558, 0.006378166, 0.01684617, 0.083366394, 0
4, 400795990, 0.3211567, -0.6302065, -0.3012857, -0.63947254, 0.004617219, 0.013036394, 0.10621643, 0
5, 400812657, 0.321371, -0.6301914, -0.30134213, -0.6393533, 0.007305074, -0.0041414713, 0.078559875, 0
6, 400829324, 0.32137653, -0.6302789, -0.30129433, -0.6392867, 0.015418594, 0.0030478227, 0.083823204, 0
7, 400845991, 0.32129836, -0.6303943, -0.3011662, -0.6392726, 0.015418482, -0.008591838, 0.081668854, 0
8, 400862658, 0.3212398, -0.63048583, -0.30109313, -0.6392461, 0.028814172, 0.013490572, 0.08755684, 0
9, 400879325, 0.32113847, -0.63060075, -0.3009647, -0.63924426, 0.004964446, -0.009392238, 0.085876465, 0
10, 400895992, 0.32117915, -0.63064945, -0.3009734, -0.63917154, 0.009082113, 0.004208302, 0.09223461, 0
11, 400912659, 0.32117197, -0.6307331, -0.30094117, -0.6391079, 0.015022529, -0.0010319593, 0.09990692, 0
12, 400929326, 0.32124382, -0.63077956, -0.30096912, -0.6390128, 0.021837886, -0.00796019, 0.10082531, 0
13, 400945993, 0.32121885, -0.6308744, -0.30092415, -0.63895285, 0.03428644, 0.017126232, 0.0929203, 0
14, 400962660, 0.32107866, -0.63102055, -0.3007711, -0.6389509, 0.013912229, 0.009499747, 0.093242645, 0
15, 400979327, 0.32110432, -0.63108736, -0.30076587, -0.63887465, 0.049602106, 0.029718952, 0.09197521, 0
16, 400995994, 0.32112384, -0.63115495, -0.3007678, -0.63879716, 0.059079837, 0.024548652, 0.069768906, 0
17, 401012661, 0.32114097, -0.6312106, -0.3007472, -0.63874316, 0.025493776, -0.0020259214, 0.092905045, 0
18, 401029328, 0.32113987, -0.63127595, -0.30070886, -0.6386972, 0.041491605, -0.0081175435, 0.08276653, 0
19, 401045995, 0.32117012, -0.63133943, -0.30071345, -0.6386172, 0.025427056, -0.0018649921, 0.08659363, 0
20, 401062662, 0.32118437, -0.63140166, -0.30070034, -0.6385545, 0.0332575, 0.013957937, 0.095555305, 0
21, 401079329, 0.32121497, -0.6314605, -0.30070895, -0.63847697, 0.036069293, -0.0032360207, 0.0930872, 0
22, 401095996, 0.32114974, -0.63156664, -0.3006214, -0.63844603, 0.049018066, 0.022512225, 0.09171867, 0
