DeviceTag:;Xsens_1;;;;;;;;
FirmwareVersion:;2.2.1;;;;;;;;
AppVersion:;2023.0.0;;;;;;;;
SyncStatus:;Un-synced;;;;;;;;
OutputRate:;60Hz;;;;;;;;
FilterProfile:;General;;;;;;;;
Measurement Mode:;Sensor fusion Mode - Extended (Quaternion);;;;;;;;
StartTime:;2023-07-11 15:23:06.896 +0200;;;;;;;;
© Movella Technologies B. V. 2005-2023;;;;;;;;;
;;;;;;;;;
PacketCounter;SampleTimeFine;Quat_W;Quat_X;Quat_Y;Quat_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Status
1;41824572;0;5.74E-18;0.707106781;0.707106781;-0.006862658;0.001221338;0.14258575;0
2;41841239;1.24E-05;8.86E-05;-0.706966318;-0.707247211;0.002002033;-0.003301988;0.14465904;0
3;41857906;2.52E-05;0.00014242;-0.70684255;-0.707370899;0.002724427;-0.014687633;0.14543915;0
4;41874573;2.26E-05;-0.000161426;0.706716931;0.707496398;0.015046808;-0.00332589;0.13040829;0
5;41891240;4.35E-05;-0.000172716;0.706620519;0.707592687;0.011023436;-0.01113866;0.13452244;0
6;41907907;6.74E-05;-0.000175747;0.706529233;0.707683833;0.014466653;0.001004027;0.14151096;0
7;41924574;7.98E-05;-0.000200264;0.706438712;0.707774187;0.018658219;-0.000134097;0.13647556;0
8;41941241;6.83E-05;-0.000218082;0.706353578;0.707859146;0.021690061;0.007021848;0.15212727;0
9;41957908;5.35E-05;-0.00024783;0.706282966;0.707929592;0.02323719;-0.002324381;0.14036942;0
10;41974575;3.56E-05;-0.000262953;0.706213994;0.707998393;0.04102287;0.003674162;0.12917042;0
11;41991242;2.48E-05;-0.000269855;0.706153741;0.708058487;0.030168718;0.00983383;0.15612507;0
12;42007909;1.52E-05;-0.000307913;0.706095096;0.708116954;0.027362484;0.009271436;0.13411713;0
13;42024576;2.53E-05;0.000339403;-0.70602959;-0.708182252;0.02904903;0.009370998;0.15765381;0
14;42041243;5.10E-05;0.000358883;-0.705958057;-0.708253549;0.040590037;0.01874847;0.13164043;0
15;42057910;9.07E-05;0.000382958;-0.705882866;-0.708328472;0.03791777;0.013491972;0.14464855;0
16;42074577;0.000123445;0.000390028;-0.705817777;-0.708393322;0.049545586;0.003472651;0.15237331;0
17;42091244;0.000160447;0.000418569;-0.705749454;-0.708461366;0.04270349;0.003976463;0.1377554;0
18;42107911;0.000185102;0.000432498;-0.705679219;-0.708531311;0.038306292;0.012106313;0.16790771;0
19;42124578;0.000216939;0.000466626;-0.705612392;-0.708597831;0.03800592;-0.006996046;0.16479397;0
20;42141245;0.000255684;0.000499646;-0.70554164;-0.708668243;0.06187512;0.011719277;0.11836338;0
21;42157912;0.000282264;0.000517684;-0.705473631;-0.708735923;0.04266133;0.020766977;0.14100647;0
22;42174579;0.00031211;0.000547707;-0.705406224;-0.708802978;0.052444465;0.02293448;0.14010048;0
23;42191246;0.000345894;0.000566178;-0.705332835;-0.708875978;0.047449064;0.011407735;0.14944649;0
24;42207913;0.000379655;0.000588909;-0.705255073;-0.708953307;0.044527635;0.012800206;0.16012764;0
25;42224580;0.000414605;0.000609787;-0.705183096;-0.709024864;0.057707943;0.003241794;0.13838005;0
26;42241247;0.000441261;0.000632867;-0.705105787;-0.709101709;0.06902471;0.016374916;0.14429092;0
27;42257914;0.000471352;0.00065013;-0.705034704;-0.709172349;0.069116354;0.014163636;0.1453495;0
28;42274581;0.00050751;0.000674802;-0.704962455;-0.709244121;0.07057469;0.007151534;0.13941383;0
29;42291248;0.000541276;0.000690593;-0.704889015;-0.709317071;0.053206254;0.003339996;0.1519413;0
30;42307915;0.000578902;0.000712281;-0.704814324;-0.709391236;0.044730976;0.014571044;0.13104725;0
31;42324582;0.00062243;0.000755337;-0.704733701;-0.709471249;0.06581054;0.005272395;0.14114189;0
32;42341249;0.000655196;0.000788525;-0.704652333;-0.709551998;0.074907824;0.015470041;0.13833141;0
33;42357916;0.000684426;0.000815839;-0.704575595;-0.70962814;0.069990315;0.014088277;0.13132286;0
34;42374583;0.000730209;0.00084376;-0.704495497;-0.709707581;0.077283405;0.012273027;0.14898872;0
35;42391250;0.000762067;0.000864704;-0.704414483;-0.709787931;0.07429836;-0.003715955;0.15106869;0
36;42407917;0.000794824;0.000891287;-0.704338564;-0.709863199;0.07468082;0.010446622;0.14204502;0
37;42424584;0.000833004;0.000930365;-0.704257728;-0.709943303;0.09147396;0.019913374;0.12334728;0
38;42441251;0.000873393;0.000955933;-0.70417832;-0.710021983;0.08430375;0.004495949;0.1427021;0
39;42457918;0.00090764;0.000981513;-0.704102729;-0.710096866;0.099612765;0.010997637;0.15259361;0
40;42474585;0.000937007;0.001022117;-0.704019714;-0.710179076;0.09996047;0.021985339;0.15016747;0
41;42491252;0.000969444;0.001058292;-0.703943062;-0.710254958;0.08941678;0.02501236;0.15352535;0
42;42507919;0.000995739;0.00107665;-0.703860749;-0.710336466;0.097485766;0.009244538;0.13499546;0
43;42524586;0.001033166;0.001116243;-0.703790341;-0.710406111;0.09884436;0.000567419;0.14399242;0
44;42541253;0.001056709;0.001141724;-0.703708602;-0.710487004;0.10108116;0.019628104;0.1227541;0
45;42557920;0.001083887;0.001161479;-0.703632583;-0.710562217;0.09505718;0.014064707;0.15513992;0
46;42574587;0.001119093;0.001191647;-0.70355879;-0.710635178;0.09940585;0.010045539;0.14324665;0
