sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2023-07-11 15:23:06.899 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 37668746, 0.98173994, -0.013391475, 0.036960214, 0.18612231, 0.0077590845, -0.020930117, 0.23929214, 0
2, 37685413, 0.98176533, -0.013382803, 0.03705543, 0.18596977, 0.0018752178, -0.0010129607, 0.24399662, 0
3, 37702080, 0.98177105, -0.013259589, 0.0371721, 0.18592486, 0.0072271796, 0.0056605493, 0.21429157, 0
4, 37718747, 0.981794, -0.013050993, 0.03726304, 0.18580079, 0.0034242463, -0.0126851285, 0.2363615, 0
5, 37735414, 0.98182195, -0.0128603745, 0.037365414, 0.1856455, 0.025399817, -0.02497918, 0.23438168, 0
6, 37752081, 0.9818403, -0.012721559, 0.03743622, 0.18554372, 0.023528343, -0.008042667, 0.247159, 0
7, 37768748, 0.9818598, -0.012562802, 0.037515514, 0.18543524, 0.016708516, -0.021645093, 0.24930286, 0
8, 37785415, 0.9818827, -0.01240085, 0.037591066, 0.18530942, 0.024226122, -0.016382298, 0.25758934, 0
9, 37802082, 0.9819066, -0.012235717, 0.037673343, 0.18517725, 0.017270483, -0.015288384, 0.224926, 0
10, 37818749, 0.9819268, -0.0120620765, 0.03776779, 0.18506224, 0.004351853, -0.02505618, 0.27141476, 0
11, 37835416, 0.9819487, -0.011886884, 0.037875928, 0.18493539, 0.0227791, -0.029893294, 0.24353695, 0
12, 37852083, 0.9819694, -0.011710829, 0.037975606, 0.1848156, 0.03627266, -0.037433323, 0.26524448, 0
13, 37868750, 0.9819899, -0.011536227, 0.03807733, 0.18469697, 0.033931196, -0.040614296, 0.24960232, 0
14, 37885417, 0.9820131, -0.011372817, 0.038184557, 0.18456165, 0.042104337, -0.044789035, 0.24699593, 0
15, 37902084, 0.9820321, -0.011205833, 0.038266677, 0.18445377, 0.03476568, -0.0386689, 0.2379694, 0
16, 37918751, 0.982055, -0.011035069, 0.038362175, 0.18432193, 0.028219434, -0.04600332, 0.25040817, 0
17, 37935418, 0.9820749, -0.010873632, 0.038452905, 0.18420678, 0.037572306, -0.04370357, 0.26572323, 0
18, 37952085, 0.98209673, -0.010711218, 0.038552206, 0.18407968, 0.038783632, -0.049182076, 0.26582336, 0
19, 37968752, 0.9821169, -0.01054292, 0.038659588, 0.18395872, 0.046838563, -0.050225373, 0.2501278, 0
20, 37985419, 0.98213774, -0.010373188, 0.038750667, 0.18383826, 0.03667462, -0.052580368, 0.2498579, 0
21, 38002086, 0.9821575, -0.010189089, 0.03885245, 0.18372072, 0.037135698, -0.05313718, 0.23687077, 0
22, 38018753, 0.98217654, -0.01002681, 0.03895986, 0.18360552, 0.053293005, -0.055880208, 0.23071575, 0
23, 38035420, 0.9821983, -0.009854021, 0.039052103, 0.18347926, 0.061510596, -0.06283721, 0.24271297, 0
24, 38052087, 0.9822203, -0.009686026, 0.03914519, 0.1833498, 0.05752877, -0.05946173, 0.25254345, 0
25, 38068754, 0.98224163, -0.009509683, 0.039254606, 0.18322179, 0.064367235, -0.0654674, 0.2537632, 0
26, 38085421, 0.9822638, -0.0093410155, 0.03936291, 0.18308784, 0.055764556, -0.07414018, 0.24028397, 0
27, 38102088, 0.9822829, -0.009175153, 0.039454866, 0.18297426, 0.069171645, -0.06489253, 0.25681686, 0
28, 38118755, 0.98230326, -0.00900828, 0.03955652, 0.18285145, 0.06555604, -0.0765973, 0.24638844, 0
29, 38135422, 0.98232275, -0.0088381395, 0.039654218, 0.18273365, 0.07190325, -0.08255289, 0.27104473, 0
30, 38152089, 0.98234344, -0.008661868, 0.039755248, 0.18260917, 0.07446658, -0.0697406, 0.25145245, 0
31, 38168756, 0.9823636, -0.008494427, 0.03984468, 0.18248883, 0.06390646, -0.08876275, 0.22461033, 0
32, 38185423, 0.98238474, -0.008316673, 0.039934885, 0.18236351, 0.095149435, -0.08878406, 0.2566042, 0
33, 38202090, 0.9824068, -0.00815399, 0.04003531, 0.18222994, 0.07655665, -0.09158685, 0.24307537, 0
34, 38218757, 0.98242724, -0.007980957, 0.04013439, 0.18210578, 0.09413595, -0.090339795, 0.24119282, 0
35, 38235424, 0.9824483, -0.007803802, 0.04022736, 0.18197902, 0.087467715, -0.0944841, 0.24706268, 0
36, 38252091, 0.98246664, -0.007635241, 0.040332444, 0.18186384, 0.08711345, -0.10922338, 0.2662964, 0
37, 38268758, 0.9824898, -0.007461346, 0.040425554, 0.18172504, 0.10267277, -0.1008911, 0.27550602, 0
38, 38285425, 0.98250973, -0.007297767, 0.040515743, 0.18160424, 0.096893035, -0.112426266, 0.2493372, 0
39, 38302092, 0.98253065, -0.0071234824, 0.04060532, 0.18147781, 0.09782156, -0.10337178, 0.2480135, 0
40, 38318759, 0.9825525, -0.0069488925, 0.040688396, 0.18134789, 0.09150953, -0.10671465, 0.21682358, 0
41, 38335426, 0.98257256, -0.006782483, 0.040787917, 0.18122293, 0.10356071, -0.116631225, 0.25060463, 0
