sep=,
DeviceTag:,Xsens_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-22 11:29:26.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 271413908, 0.572715, 0.15411225, -0.6991801, 0.39924207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.77978515625, 0.539794921875, -0.21728515625, 0, 
1, 271430575, 0.5728795, 0.15352094, -0.6989482, 0.39963967, 9.065007209777832, -3.743380546569824, -0.24065817892551422, -2.2810158729553223, 0.4007427394390106, 0.6033903956413269, -0.77880859375, 0.53759765625, -0.214111328125, 0, 
2, 271447242, 0.57286346, 0.15342797, -0.69879264, 0.39997032, 9.090819358825684, -3.727255344390869, -0.32704758644104004, 0.8218667507171631, -0.14101073145866394, 0.8610286116600037, -0.777587890625, 0.53857421875, -0.21630859375, 0, 
3, 271463909, 0.5725689, 0.15381347, -0.6988053, 0.40022194, 9.185032844543457, -3.667936086654663, -0.312161386013031, 3.520920515060425, 0.20503605902194977, 1.0127068758010864, -0.777587890625, 0.53857421875, -0.2158203125, 0, 
4, 271480576, 0.57252026, 0.15429328, -0.69874346, 0.4002146, 9.240644454956055, -3.6096720695495605, -0.2100079357624054, 3.1952288150787354, 1.3811968564987183, 1.3349659442901611, -0.776123046875, 0.535400390625, -0.21826171875, 0, 
5, 271497243, 0.5727847, 0.15477608, -0.6985303, 0.40002182, 9.22667121887207, -3.561018943786621, -0.18353837728500366, 0.06976259499788284, 2.1357853412628174, 1.3200337886810303, -0.777099609375, 0.53857421875, -0.2197265625, 0, 
6, 271513910, 0.5733556, 0.15505311, -0.69828147, 0.39953116, 9.220297813415527, -3.558054208755493, -0.26134777069091797, -1.580316424369812, 2.438412666320801, 0.8417678475379944, -0.776611328125, 0.536376953125, -0.21923828125, 0, 
7, 271530577, 0.57394564, 0.15537657, -0.6980494, 0.39896333, 9.226456642150879, -3.5718650817871094, -0.2874848544597626, -1.6064285039901733, 2.523395299911499, 0.05269172787666321, -0.776611328125, 0.53857421875, -0.21923828125, 0, 
8, 271547244, 0.57457, 0.15563948, -0.6978776, 0.39826208, 9.225292205810547, -3.555076837539673, -0.294202595949173, -1.1538009643554688, 2.2665767669677734, -0.8383293151855469, -0.776611328125, 0.536865234375, -0.221435546875, 0, 
9, 271563911, 0.5751313, 0.15596186, -0.6976954, 0.39764464, 9.221797943115234, -3.503225564956665, -0.23096413910388947, -1.043294906616211, 2.4444501399993896, -1.1342710256576538, -0.779052734375, 0.539794921875, -0.22412109375, 0, 
10, 271580578, 0.5757423, 0.1561537, -0.69751936, 0.3969938, 9.243877410888672, -3.564610481262207, -0.19111327826976776, -1.4678893089294434, 2.6297645568847656, -1.0640923976898193, -0.776123046875, 0.5380859375, -0.22021484375, 0, 
11, 271597245, 0.576418, 0.15622906, -0.69736075, 0.39626095, 9.188834190368652, -3.647439479827881, -0.22963061928749084, -1.5527955293655396, 2.425848960876465, -1.5690594911575317, -0.780029296875, 0.540283203125, -0.2216796875, 0, 
12, 271613912, 0.5769921, 0.15650612, -0.69710076, 0.3957737, 9.13526725769043, -3.7053701877593994, -0.2542770802974701, 1.0765979290008545, 1.9201136827468872, -2.2322492599487305, -0.78125, 0.535400390625, -0.221923828125, 0, 
13, 271630579, 0.5773478, 0.15707839, -0.696765, 0.3956189, 9.137709617614746, -3.6380293369293213, -0.20897872745990753, 3.172805070877075, 1.2453597784042358, -2.642808198928833, -0.779541015625, 0.53369140625, -0.222900390625, 0, 
14, 271647246, 0.5776727, 0.1575869, -0.6964013, 0.39558315, 9.204052925109863, -3.521961212158203, -0.15028925240039825, 3.4681708812713623, 1.4967743158340454, -2.268120050430298, -0.7802734375, 0.535400390625, -0.22509765625, 0, 
15, 271663913, 0.5782049, 0.15768969, -0.69611627, 0.39526653, 9.277230262756348, -3.4862821102142334, -0.08065181970596313, 0.9060428738594055, 2.4654977321624756, -1.995152235031128, -0.7802734375, 0.53271484375, -0.224609375, 0, 
16, 271680580, 0.5788065, 0.15768792, -0.6958512, 0.3948527, 9.216572761535645, -3.632110357284546, -0.08756600320339203, -0.6696183681488037, 2.8565523624420166, -1.9995064735412598, -0.7802734375, 0.5322265625, -0.226806640625, 0, 
17, 271697247, 0.5792214, 0.15797685, -0.6955115, 0.39472744, 9.201630592346191, -3.7169480323791504, -0.18954338133335114, 1.5416347980499268, 1.9195243120193481, -2.0924034118652344, -0.7822265625, 0.533203125, -0.220703125, 0, 
18, 271713914, 0.5794307, 0.15860455, -0.69509566, 0.3949011, 9.23709487915039, -3.721398115158081, -0.26630958914756775, 4.750560760498047, 0.719774603843689, -2.4181978702545166, -0.77685546875, 0.531005859375, -0.22705078125, 0, 
19, 271730581, 0.57954997, 0.15941402, -0.69463176, 0.39521626, 9.279099464416504, -3.6781187057495117, -0.25577670335769653, 7.561363697052002, -0.13214874267578125, -2.8318302631378174, -0.77880859375, 0.530029296875, -0.22900390625, 0, 
20, 271747248, 0.5796551, 0.16020969, -0.6942423, 0.3954243, 9.36653995513916, -3.5509676933288574, -0.2141546905040741, 7.0314106941223145, -0.5306695699691772, -3.2304279804229736, -0.781494140625, 0.530029296875, -0.22802734375, 0, 
21, 271763915, 0.57984275, 0.16076659, -0.694039, 0.3952804, 9.359746932983398, -3.465376138687134, -0.15168088674545288, 3.0934832096099854, -0.28047189116477966, -3.4617106914520264, -0.781005859375, 0.529541015625, -0.2294921875, 0, 
22, 271780582, 0.5802579, 0.16088068, -0.6940801, 0.39455184, 9.349343299865723, -3.4369871616363525, -0.11930149793624878, -1.6929864883422852, 0.09978066384792328, -3.9427804946899414, -0.7822265625, 0.525146484375, -0.230224609375, 0, 
23, 271797249, 0.5807621, 0.16083173, -0.69428986, 0.39345962, 9.304889678955078, -3.4722931385040283, -0.056108955293893814, -6.264278411865234, 0.4716002941131592, -4.564670085906982, -0.781005859375, 0.5263671875, -0.22900390625, 0, 
24, 271813916, 0.5814212, 0.16046499, -0.69462997, 0.39203298, 9.24821949005127, -3.54172682762146, -0.07468272000551224, -8.786184310913086, 0.7429030537605286, -4.6714253425598145, -0.783203125, 0.52685546875, -0.231201171875, 0, 
25, 271830583, 0.58197147, 0.1602128, -0.69491136, 0.39081877, 9.226253509521484, -3.5308454036712646, -0.08256524801254272, -10.071889877319336, 1.4755802154541016, -4.169928073883057, -0.784912109375, 0.524658203125, -0.226806640625, 0, 
26, 271847250, 0.5826486, 0.15951243, -0.69530094, 0.38940087, 9.259137153625488, -3.5641913414001465, -0.10561276227235794, -10.992874145507812, 1.7033671140670776, -3.185452938079834, -0.783203125, 0.5224609375, -0.2236328125, 0, 
27, 271863917, 0.58331907, 0.15880245, -0.6955842, 0.38817963, 9.326227188110352, -3.5720622539520264, -0.17271831631660461, -8.787835121154785, 1.9202038049697876, -2.5582995414733887, -0.785888671875, 0.523681640625, -0.22509765625, 0, 
28, 271880584, 0.5837094, 0.15864335, -0.69561553, 0.38760123, 9.291156768798828, -3.6002140045166016, -0.20775340497493744, -3.8254878520965576, 1.333992838859558, -2.186953544616699, -0.78466796875, 0.524169921875, -0.223388671875, 0, 
29, 271897251, 0.583884, 0.15883198, -0.69546145, 0.38753736, 9.301426887512207, -3.5687925815582275, -0.23252032697200775, 1.59100341796875, 0.40281733870506287, -1.5137362480163574, -0.785400390625, 0.523193359375, -0.227783203125, 0, 
30, 271913918, 0.58388084, 0.15928036, -0.69519734, 0.38783228, 9.346697807312012, -3.436880111694336, -0.2427702695131302, 4.550256729125977, -0.15103812515735626, -1.014083743095398, -0.786376953125, 0.523193359375, -0.2255859375, 0, 
31, 271930585, 0.5838485, 0.1597858, -0.6949075, 0.38819227, 9.38903522491455, -3.347247362136841, -0.20398598909378052, 4.927518367767334, -0.12237748503684998, -0.9486815929412842, -0.787109375, 0.52197265625, -0.2255859375, 0, 
32, 271947252, 0.5838154, 0.16034925, -0.6946159, 0.38853106, 9.381799697875977, -3.34377121925354, -0.1960771232843399, 4.987490653991699, -0.24586912989616394, -1.2465060949325562, -0.78662109375, 0.518310546875, -0.226318359375, 0, 
33, 271963919, 0.5837353, 0.16102691, -0.6943316, 0.38887927, 9.379814147949219, -3.325204372406006, -0.24073342978954315, 3.7421889305114746, -0.10585730522871017, -1.5390673875808716, -0.787109375, 0.521484375, -0.22509765625, 0, 
34, 271980586, 0.58389115, 0.16128294, -0.69419307, 0.38878644, 9.290595054626465, -3.365403652191162, -0.24208681285381317, 1.9557281732559204, 0.10865548253059387, -1.7631399631500244, -0.787109375, 0.5205078125, -0.228271484375, 0, 
35, 271997253, 0.58406013, 0.16149355, -0.694089, 0.3886313, 9.19886302947998, -3.3782854080200195, -0.28061434626579285, 0.7464500665664673, 0.35289815068244934, -1.774088978767395, -0.787841796875, 0.518798828125, -0.22900390625, 0, 
36, 272013920, 0.5841671, 0.1616859, -0.69398457, 0.38857678, 9.200940132141113, -3.3422560691833496, -0.23949217796325684, 0.023237120360136032, 0.7135249972343445, -1.1090682744979858, -0.78955078125, 0.518310546875, -0.2294921875, 0, 
37, 272030587, 0.584271, 0.16175371, -0.69392407, 0.3885002, 9.22766399383545, -3.3018813133239746, -0.2279120534658432, -0.723110556602478, 0.8635130524635315, -0.5473561882972717, -0.788818359375, 0.51611328125, -0.228759765625, 0, 
38, 272047254, 0.5843216, 0.16183323, -0.6938735, 0.38848156, 9.246280670166016, -3.333796739578247, -0.1677713245153427, -1.3681280612945557, 0.9919606447219849, -0.18602505326271057, -0.788818359375, 0.51953125, -0.23095703125, 0, 
39, 272063921, 0.5844431, 0.16179065, -0.6938141, 0.38842276, 9.220705032348633, -3.4840896129608154, -0.17125192284584045, -0.7484927177429199, 1.1343673467636108, 0.01575821451842785, -0.787353515625, 0.517822265625, -0.231201171875, 0, 
40, 272080588, 0.58456737, 0.16167721, -0.6937753, 0.38835236, 9.188591003417969, -3.5994620323181152, -0.15564341843128204, -0.7866684794425964, 1.0995210409164429, 0.27194923162460327, -0.79052734375, 0.517333984375, -0.228759765625, 0, 
41, 272097255, 0.5846322, 0.16166838, -0.69374406, 0.38831407, 9.155767440795898, -3.6077029705047607, -0.1666870266199112, -0.020515773445367813, 0.4801549017429352, -0.00819606427103281, -0.787353515625, 0.515625, -0.22998046875, 0, 
42, 272113922, 0.58462024, 0.16185182, -0.6937172, 0.38830376, 9.193025588989258, -3.507547616958618, -0.15421010553836823, 0.5259631872177124, -0.22741517424583435, -0.6695672273635864, -0.787841796875, 0.518310546875, -0.22998046875, 0, 
43, 272130589, 0.5847038, 0.16185996, -0.6937521, 0.38811183, 9.267767906188965, -3.386507272720337, -0.12239283323287964, -1.1645710468292236, 0.18277862668037415, -0.7863355278968811, -0.791015625, 0.516357421875, -0.228759765625, 0, 
44, 272147256, 0.5848965, 0.1616252, -0.69384277, 0.38775742, 9.30160140991211, -3.3592588901519775, -0.09411534667015076, -3.83418345451355, 1.170289158821106, -0.49825671315193176, -0.787841796875, 0.51513671875, -0.22998046875, 0, 
45, 272163923, 0.5852471, 0.16109572, -0.693993, 0.38717923, 9.281126022338867, -3.43768310546875, -0.1349872648715973, -5.184471607208252, 1.7379176616668701, -0.35479992628097534, -0.788330078125, 0.5146484375, -0.227294921875, 0, 
46, 272180590, 0.58555263, 0.16075309, -0.6940646, 0.38673148, 9.289420127868652, -3.53011417388916, -0.23665902018547058, -4.261761665344238, 1.7421953678131104, -0.6861387491226196, -0.791259765625, 0.51513671875, -0.23046875, 0, 
47, 272197257, 0.5858215, 0.16063078, -0.69403005, 0.38643688, 9.254427909851074, -3.463200807571411, -0.2883508503437042, -2.5478873252868652, 1.6769465208053589, -1.166876196861267, -0.788818359375, 0.5146484375, -0.227783203125, 0, 
48, 272213924, 0.5860193, 0.16066395, -0.693911, 0.38633677, 9.270941734313965, -3.386418581008911, -0.2426803857088089, -1.03123140335083, 1.6344808340072632, -1.0386974811553955, -0.788330078125, 0.515625, -0.22900390625, 0, 
49, 272230591, 0.5862421, 0.16060555, -0.69380563, 0.3862126, 9.29334831237793, -3.327763557434082, -0.20189522206783295, -0.6838334202766418, 1.5991480350494385, -0.7624900341033936, -0.787841796875, 0.5146484375, -0.22900390625, 0, 
50, 272247258, 0.58648217, 0.16049755, -0.6936909, 0.38609892, 9.310491561889648, -3.306165933609009, -0.16776137053966522, -0.9353374242782593, 1.9050920009613037, -0.5248171091079712, -0.790771484375, 0.513671875, -0.231689453125, 0, 
51, 272263925, 0.58665127, 0.16052514, -0.6935519, 0.38608006, 9.284452438354492, -3.309915781021118, -0.19921034574508667, -0.5712527632713318, 1.6959638595581055, -0.5994523167610168, -0.78955078125, 0.51513671875, -0.2294921875, 0, 
52, 272280592, 0.58686966, 0.16053157, -0.69341403, 0.38599324, 9.308051109313965, -3.2600209712982178, -0.19457142055034637, 0.28152838349342346, 1.4250842332839966, -0.9080086946487427, -0.791259765625, 0.51513671875, -0.23095703125, 0, 
53, 272297259, 0.58702403, 0.16070557, -0.6932478, 0.38598433, 9.274775505065918, -3.2660672664642334, -0.2117050439119339, 0.05567559599876404, 1.4027241468429565, -1.2141954898834229, -0.79345703125, 0.512451171875, -0.2314453125, 0, 
54, 272313926, 0.5872483, 0.16077252, -0.69313264, 0.38582212, 9.239978790283203, -3.2593982219696045, -0.17527960240840912, -0.8496373295783997, 1.4796007871627808, -1.4430196285247803, -0.791259765625, 0.51416015625, -0.23046875, 0, 
55, 272330593, 0.58756065, 0.16070795, -0.69305074, 0.38552052, 9.231839179992676, -3.340735912322998, -0.10118398070335388, -1.1995067596435547, 1.582679033279419, -1.5766537189483643, -0.78955078125, 0.511962890625, -0.231689453125, 0, 
56, 272347260, 0.58779913, 0.16079016, -0.69293207, 0.38533607, 9.170578002929688, -3.397277355194092, -0.09645185619592667, -0.7037089467048645, 1.4128414392471313, -1.6387901306152344, -0.791259765625, 0.510986328125, -0.232666015625, 0, 
57, 272363927, 0.58778006, 0.16132933, -0.69270664, 0.38554513, 9.196678161621094, -3.420112371444702, -0.1054951474070549, 1.244309663772583, 0.6919078826904297, -1.6482926607131958, -0.79345703125, 0.511474609375, -0.23193359375, 0, 
58, 272380594, 0.5878633, 0.16162226, -0.69248563, 0.38569248, 9.307196617126465, -3.4454331398010254, -0.072345070540905, 2.612898826599121, 0.7167137861251831, -1.0423856973648071, -0.7919921875, 0.50927734375, -0.232666015625, 0, 
59, 272397261, 0.5878096, 0.162123, -0.69218105, 0.38611063, 9.396196365356445, -3.4100656509399414, -0.0688907653093338, 3.1889281272888184, 0.8460834622383118, -0.658950686454773, -0.791259765625, 0.5087890625, -0.231689453125, 0, 
60, 272413928, 0.58782506, 0.16244625, -0.6918813, 0.3864885, 9.48697566986084, -3.3760082721710205, -0.12959395349025726, 3.6929612159729004, 1.018585205078125, -0.1775984913110733, -0.79248046875, 0.510986328125, -0.23486328125, 0, 
61, 272430595, 0.58785605, 0.16266343, -0.69156027, 0.3869243, 9.4656982421875, -3.4308245182037354, -0.14809828996658325, 3.096491813659668, 1.7025593519210815, 0.5070353746414185, -0.791259765625, 0.510986328125, -0.234375, 0, 
62, 272447262, 0.5879251, 0.16283755, -0.69120824, 0.38737494, 9.493961334228516, -3.413257122039795, -0.17811952531337738, 2.8625330924987793, 2.2067582607269287, 0.6333316564559937, -0.7919921875, 0.509765625, -0.234375, 0, 
63, 272463929, 0.587988, 0.16308327, -0.6908112, 0.38788396, 9.45138168334961, -3.3364462852478027, -0.24896341562271118, 3.6821653842926025, 2.196782112121582, 0.49347350001335144, -0.791015625, 0.507568359375, -0.235595703125, 0, 
64, 272480596, 0.58806425, 0.16339816, -0.69043535, 0.3883049, 9.353385925292969, -3.2569119930267334, -0.23765261471271515, 4.659955024719238, 1.4750288724899292, -0.2046070396900177, -0.7919921875, 0.50830078125, -0.23876953125, 0, 
65, 272497263, 0.58803594, 0.16377307, -0.6900985, 0.38878837, 9.324519157409668, -3.178227663040161, -0.19806379079818726, 4.143795490264893, 1.14046311378479, 0.1066448837518692, -0.792236328125, 0.5078125, -0.241455078125, 0, 
66, 272513930, 0.5880708, 0.16384923, -0.68987083, 0.38910732, 9.34978199005127, -3.1876206398010254, -0.14229995012283325, 0.4048022925853729, 2.133467435836792, 0.8421392440795898, -0.79052734375, 0.506103515625, -0.239501953125, 0, 
67, 272530597, 0.58835834, 0.16346589, -0.6897803, 0.3889946, 9.307961463928223, -3.28039288520813, -0.13241691887378693, -2.995239019393921, 3.1032416820526123, 0.7670812010765076, -0.792724609375, 0.5087890625, -0.237548828125, 0, 
68, 272547264, 0.58865595, 0.16311543, -0.6897299, 0.38878053, 9.250417709350586, -3.370638847351074, -0.1459953784942627, -2.8748464584350586, 2.575030565261841, 0.2226192057132721, -0.79052734375, 0.506591796875, -0.241455078125, 0, 
69, 272563931, 0.5887927, 0.1630817, -0.6896375, 0.38875127, 9.278361320495605, -3.396637201309204, -0.1365494430065155, -1.993564486503601, 1.9234431982040405, -0.1483103334903717, -0.79150390625, 0.509765625, -0.23876953125, 0, 
70, 272580598, 0.5891098, 0.16286492, -0.6895741, 0.38847446, 9.363358497619629, -3.3403801918029785, -0.007639724761247635, -2.580197811126709, 2.2907168865203857, -0.7470200657844543, -0.791748046875, 0.5087890625, -0.24267578125, 0, 
71, 272597265, 0.5895863, 0.1625056, -0.68953085, 0.38797826, 9.402119636535645, -3.258490562438965, 0.06298656016588211, -4.154534339904785, 2.9884836673736572, -1.3621348142623901, -0.7900390625, 0.508056640625, -0.240966796875, 0, 
72, 272613932, 0.5901823, 0.16207828, -0.6894787, 0.3873432, 9.298773765563965, -3.2719945907592773, 0.06359972804784775, -4.7570343017578125, 3.4386396408081055, -1.9214519262313843, -0.79052734375, 0.5048828125, -0.24169921875, 0, 
73, 272630599, 0.5907542, 0.16159776, -0.68942237, 0.38677186, 9.27983570098877, -3.460463523864746, 0.0712478831410408, -5.121490478515625, 3.7143094539642334, -1.3447182178497314, -0.791015625, 0.50830078125, -0.2421875, 0, 
74, 272647266, 0.5913498, 0.16123492, -0.68917066, 0.38646188, 9.270866394042969, -3.55511736869812, 0.12444701790809631, -4.2227911949157715, 5.059679985046387, -1.1317739486694336, -0.792724609375, 0.506103515625, -0.241455078125, 0, 
75, 272663933, 0.5918767, 0.16114739, -0.6888152, 0.38632533, 9.14993953704834, -3.5356295108795166, 0.10415246337652206, -1.3553086519241333, 4.38791036605835, -1.6913089752197266, -0.791259765625, 0.506103515625, -0.2431640625, 0, 
76, 272680600, 0.5922081, 0.16135034, -0.6883425, 0.38657513, 9.226898193359375, -3.4867334365844727, 0.09428312629461288, 2.094741106033325, 3.6120243072509766, -1.1322606801986694, -0.792236328125, 0.506591796875, -0.245361328125, 0, 
77, 272697267, 0.59241116, 0.16179685, -0.68770856, 0.38720503, 9.310599327087402, -3.4094977378845215, 0.1497296243906021, 5.059872627258301, 3.5681886672973633, -0.5955977439880371, -0.7890625, 0.50390625, -0.24560546875, 0, 
78, 272713934, 0.5925508, 0.1620757, -0.6871748, 0.3878221, 9.277177810668945, -3.474395990371704, 0.033494412899017334, 5.02000617980957, 2.9478232860565186, 0.4190045893192291, -0.791748046875, 0.506591796875, -0.248046875, 0, 
79, 272730601, 0.5925572, 0.16255106, -0.68664896, 0.38854396, 9.326135635375977, -3.39919376373291, -0.028630418702960014, 5.327525615692139, 2.2818291187286377, 0.263433039188385, -0.790283203125, 0.50390625, -0.249755859375, 0, 
80, 272747268, 0.59253365, 0.16306594, -0.6861512, 0.38924298, 9.319297790527344, -3.323540687561035, -0.06229016184806824, 6.490367412567139, 1.4835454225540161, 0.09341592341661453, -0.789306640625, 0.502685546875, -0.252197265625, 0, 
81, 272763935, 0.5923103, 0.16390467, -0.6856463, 0.3901193, 9.390604019165039, -3.1596765518188477, -0.054812829941511154, 7.385904312133789, 0.4576670825481415, -0.19345277547836304, -0.789306640625, 0.50341796875, -0.252685546875, 0, 
82, 272780602, 0.59215796, 0.16454826, -0.68521947, 0.390829, 9.497424125671387, -3.0765535831451416, 0.038520507514476776, 5.395873069763184, 0.8635386228561401, -0.03704877570271492, -0.79150390625, 0.502197265625, -0.2509765625, 0, 
83, 272797269, 0.5922801, 0.16460958, -0.6849954, 0.3910107, 9.461884498596191, -3.1527230739593506, 0.11502760648727417, 0.8774206042289734, 1.8674153089523315, 0.0858345553278923, -0.79150390625, 0.5029296875, -0.253173828125, 0, 
84, 272813936, 0.59260136, 0.16429606, -0.6848726, 0.39087105, 9.386773109436035, -3.2427566051483154, 0.09961815923452377, -2.881108522415161, 3.110245943069458, 0.1387760043144226, -0.79150390625, 0.50390625, -0.255859375, 0, 
85, 272830603, 0.59298486, 0.16391042, -0.68474954, 0.39066663, 9.30640697479248, -3.3981451988220215, 0.1440751701593399, -2.8924293518066406, 3.282465934753418, 0.061797045171260834, -0.792724609375, 0.500732421875, -0.254638671875, 0, 
86, 272847270, 0.5932934, 0.16368604, -0.68454164, 0.39065656, 9.257709503173828, -3.5076887607574463, 0.12082332372665405, 0.22181236743927002, 2.606802463531494, 0.20435731112957, -0.79052734375, 0.502197265625, -0.253662109375, 0, 
87, 272863937, 0.5933717, 0.16397212, -0.6841057, 0.39118102, 9.289990425109863, -3.5646042823791504, 0.2195429652929306, 3.3681278228759766, 2.523446559906006, 0.3058220446109772, -0.791015625, 0.500732421875, -0.25537109375, 0, 
88, 272880604, 0.5933897, 0.1644413, -0.68351907, 0.39198178, 9.307478904724121, -3.4780492782592773, 0.2532372772693634, 5.7839436531066895, 2.697446823120117, 0.5402424335479736, -0.79052734375, 0.498046875, -0.256591796875, 0, 
89, 272897271, 0.5933283, 0.16503972, -0.6828628, 0.39296547, 9.279594421386719, -3.4488818645477295, 0.25946342945098877, 7.203854560852051, 2.5422911643981934, 0.7967343926429749, -0.78955078125, 0.49951171875, -0.259765625, 0, 
90, 272913938, 0.59320563, 0.16570842, -0.68213195, 0.3941372, 9.290753364562988, -3.445335626602173, 0.2591961622238159, 8.578335762023926, 2.5942726135253906, 1.3021243810653687, -0.7900390625, 0.500244140625, -0.259765625, 0, 
91, 272930605, 0.59300846, 0.16646513, -0.68138784, 0.39539987, 9.307790756225586, -3.4437806606292725, 0.17922337353229523, 10.162381172180176, 1.9075192213058472, 1.4485524892807007, -0.78955078125, 0.501220703125, -0.262451171875, 0, 
92, 272947272, 0.59274584, 0.16731595, -0.68067974, 0.3966524, 9.351239204406738, -3.3596246242523193, 0.0832909494638443, 10.430550575256348, 1.2018442153930664, 1.1765645742416382, -0.790283203125, 0.499755859375, -0.26416015625, 0, 
93, 272963939, 0.5925053, 0.16823786, -0.6800026, 0.39778146, 9.345792770385742, -3.196654796600342, 0.0951559767127037, 9.986408233642578, 0.8677586317062378, 0.31489548087120056, -0.79150390625, 0.49755859375, -0.265380859375, 0, 
94, 272980606, 0.5923711, 0.16899654, -0.67943156, 0.39863464, 9.370963096618652, -3.0595319271087646, 0.10540839284658432, 7.881061553955078, 0.9728794693946838, -0.1976916790008545, -0.7919921875, 0.495849609375, -0.26806640625, 0, 
95, 272997273, 0.5922794, 0.16957363, -0.67901665, 0.39923218, 9.40845775604248, -3.0140786170959473, 0.09641066938638687, 4.421424865722656, 1.1233923435211182, -0.32460257411003113, -0.788818359375, 0.498046875, -0.270263671875, 0, 
96, 273013940, 0.592382, 0.1695935, -0.67890877, 0.39925513, 9.330819129943848, -3.107327461242676, 0.003166044130921364, -0.15507209300994873, 1.124967336654663, -0.1776881217956543, -0.7958984375, 0.49658203125, -0.267822265625, 0, 
97, 273030607, 0.59245795, 0.16965671, -0.67890364, 0.39912418, 9.292612075805664, -3.1849443912506104, -0.05559701472520828, -1.56489098072052, 0.522511899471283, -0.8099439740180969, -0.7919921875, 0.49755859375, -0.26904296875, 0, 
98, 273047274, 0.5924027, 0.16998142, -0.67888516, 0.39909938, 9.315339088439941, -3.282928705215454, -0.018934793770313263, -0.24426192045211792, -0.45084109902381897, -1.2515454292297363, -0.789794921875, 0.494873046875, -0.267578125, 0, 
99, 273063941, 0.5923787, 0.17014228, -0.6789508, 0.39895493, 9.382024765014648, -3.2515714168548584, 0.1434917151927948, -1.6728869676589966, -0.34425389766693115, -0.9558210372924805, -0.7919921875, 0.49658203125, -0.26904296875, 0, 
100, 273080608, 0.59264606, 0.16975056, -0.6791234, 0.3984307, 9.409302711486816, -3.2588963508605957, 0.2290612906217575, -5.38663911819458, 1.3144309520721436, -0.5696200728416443, -0.789794921875, 0.4921875, -0.26806640625, 0, 
101, 273097275, 0.5929149, 0.16930711, -0.67932117, 0.39788157, 9.344559669494629, -3.2904043197631836, 0.24592182040214539, -6.496829032897949, 1.5833518505096436, -0.4147849380970001, -0.792724609375, 0.494384765625, -0.26904296875, 0, 
102, 273113942, 0.59307235, 0.16902886, -0.6793989, 0.3976327, 9.30057144165039, -3.446519374847412, 0.22715310752391815, -4.151780128479004, 1.5118985176086426, 0.2029358148574829, -0.79150390625, 0.494384765625, -0.266845703125, 0, 
103, 273130609, 0.5931297, 0.1690288, -0.67931354, 0.39769286, 9.261140823364258, -3.5100064277648926, 0.2757166624069214, -0.4255549907684326, 1.0930668115615845, 0.25152310729026794, -0.793212890625, 0.495361328125, -0.266845703125, 0, 
104, 273147276, 0.5930357, 0.16930644, -0.67907923, 0.39811492, 9.290034294128418, -3.4308578968048096, 0.27459415793418884, 2.3533267974853516, 0.8733866214752197, 0.6430131793022156, -0.793212890625, 0.49169921875, -0.26904296875, 0, 
