sample;time;ulna_l_offset|position;;;humerus_l_offset|position;;
;;x;y;z;x;y;z
1;0;0.1746557726559935;1.415821183703718;-0.2231807630676855;0.1746557726559935;1.415821183703718;-0.2231807630676855
2;0.01666667;0.1746683171408199;1.415617647598892;-0.2230447147539;0.1746683171408199;1.415617647598892;-0.2230447147539
3;0.03333333;0.1746712900967146;1.415570165882166;-0.2230103811990349;0.1746712900967146;1.415570165882166;-0.2230103811990349
4;0.05;0.1746675318425192;1.415658241620678;-0.223014548064049;0.1746675318425192;1.415658241620678;-0.223014548064049
5;0.06666667;0.1746570835558003;1.41576006510151;-0.2232221065257687;0.1746570835558003;1.41576006510151;-0.2232221065257687
6;0.08333333;0.1746434897506726;1.415857900109338;-0.2235298976512295;0.1746434897506726;1.415857900109338;-0.2235298976512295
7;0.1;0.1746256760808413;1.415962742133342;-0.2239466898203405;0.1746256760808413;1.415962742133342;-0.2239466898203405
8;0.11666667;0.1746071938154923;1.416068726052808;-0.2243627058994158;0.1746071938154923;1.416068726052808;-0.2243627058994158
9;0.13333333;0.1745879568976286;1.416185175481339;-0.224769117927839;0.1745879568976286;1.416185175481339;-0.224769117927839
10;0.15;0.1745689840670066;1.416275441978688;-0.2251823413666137;0.1745689840670066;1.416275441978688;-0.2251823413666137
11;0.16666667;0.17455161549054;1.416334117598121;-0.2255736503307756;0.17455161549054;1.416334117598121;-0.2255736503307756
12;0.18333333;0.1745328543895931;1.416379603264327;-0.2260006215598483;0.1745328543895931;1.416379603264327;-0.2260006215598483
13;0.2;0.1745130160864422;1.416409179288598;-0.2264548681148877;0.1745130160864422;1.416409179288598;-0.2264548681148877
14;0.21666667;0.1744947208156265;1.416420917203647;-0.2268747794530428;0.1744947208156265;1.416420917203647;-0.2268747794530428
15;0.23333333;0.1744787884946285;1.416441657219323;-0.2272186151893828;0.1744787884946285;1.416441657219323;-0.2272186151893828
16;0.25;0.1744634825828976;1.416476135964478;-0.2275261108404877;0.1744634825828976;1.416476135964478;-0.2275261108404877
17;0.26666667;0.1744466213929264;1.416478362435984;-0.2278905865844686;0.1744466213929264;1.416478362435984;-0.2278905865844686
18;0.28333333;0.1744284770959412;1.416469982293227;-0.2282819193400623;0.1744284770959412;1.416469982293227;-0.2282819193400623
19;0.3;0.174410331990204;1.416456507220693;-0.2286669649376432;0.174410331990204;1.416456507220693;-0.2286669649376432
20;0.31666667;0.1743927905688629;1.41645398744999;-0.2290202535411773;0.1743927905688629;1.41645398744999;-0.2290202535411773
21;0.33333333;0.1743762698055379;1.416469433412198;-0.2293299958118306;0.1743762698055379;1.416469433412198;-0.2293299958118306
22;0.35;0.1743621343637789;1.416495038795846;-0.2295794680455697;0.1743621343637789;1.416495038795846;-0.2295794680455697
