sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-29 13:18:27.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1739660266, 0.73003364, 0.21745709, -0.5641929, 0.3185118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.70068359375, 0.212646484375, -0.399169921875, 0, 
1, 1739676933, 0.7300625, 0.21726246, -0.56388915, 0.31911576, 9.522168159484863, -0.4789050817489624, 2.720499277114868, 4.316117286682129, -0.8932811617851257, 2.061188220977783, -0.697509765625, 0.212890625, -0.39892578125, 0, 
2, 1739693600, 0.7300419, 0.216934, -0.56357855, 0.3199339, 9.518814086914062, -0.4826163649559021, 2.740187883377075, 5.039420127868652, -0.5908722281455994, 2.0927305221557617, -0.703369140625, 0.211181640625, -0.398681640625, 0, 
3, 1739710267, 0.7299926, 0.21672879, -0.56324285, 0.32077554, 9.476252555847168, -0.38721102476119995, 2.704737901687622, 5.473799228668213, -0.586044192314148, 2.025228261947632, -0.701171875, 0.212646484375, -0.3994140625, 0, 
4, 1739726934, 0.72992915, 0.21684998, -0.5629867, 0.32128733, 9.464906692504883, -0.349228173494339, 2.7193636894226074, 4.965053558349609, -0.9396530389785767, 2.10661244392395, -0.703125, 0.21142578125, -0.3994140625, 0, 
5, 1739743601, 0.7298678, 0.21712662, -0.5628034, 0.32156095, 9.453680038452148, -0.3893747925758362, 2.758024215698242, 4.112215042114258, -1.5076531171798706, 2.061034679412842, -0.69873046875, 0.212158203125, -0.397216796875, 0, 
6, 1739760268, 0.7298672, 0.21725313, -0.56271565, 0.32163033, 9.521682739257812, -0.3662281930446625, 2.710232973098755, 3.252114772796631, -1.917648434638977, 1.9397073984146118, -0.70166015625, 0.213134765625, -0.39794921875, 0, 
7, 1739776935, 0.7298542, 0.21728952, -0.5627716, 0.32153773, 9.505377769470215, -0.44014495611190796, 2.7572824954986572, 2.1551740169525146, -2.0284743309020996, 1.950951337814331, -0.7021484375, 0.2119140625, -0.3984375, 0, 
8, 1739793602, 0.72977227, 0.21736206, -0.5628501, 0.32153696, 9.468214988708496, -0.5021394491195679, 2.7936553955078125, 2.110403299331665, -2.303170680999756, 1.651961326599121, -0.70263671875, 0.215087890625, -0.400634765625, 0, 
9, 1739810269, 0.7296656, 0.2173404, -0.5629649, 0.32159314, 9.45579719543457, -0.43067169189453125, 2.794708490371704, 2.44767165184021, -2.540024518966675, 1.8217098712921143, -0.698974609375, 0.21435546875, -0.395751953125, 0, 
10, 1739826936, 0.72962767, 0.21711288, -0.56325006, 0.321333, 9.462711334228516, -0.3999841511249542, 2.779198408126831, 0.7284060120582581, -3.3026680946350098, 1.3681087493896484, -0.70361328125, 0.215576171875, -0.39697265625, 0, 
11, 1739843603, 0.7296451, 0.21670035, -0.5636263, 0.32091227, 9.448745727539062, -0.41653308272361755, 2.7802622318267822, -1.8678960800170898, -3.3000173568725586, 1.1805150508880615, -0.706787109375, 0.212890625, -0.3955078125, 0, 
12, 1739860270, 0.7296407, 0.21633472, -0.56398505, 0.3205382, 9.423190116882324, -0.4935705065727234, 2.7591450214385986, -1.7162432670593262, -3.2843682765960693, 1.1602234840393066, -0.703125, 0.2138671875, -0.39501953125, 0, 
13, 1739876937, 0.72958714, 0.21604723, -0.56433713, 0.32023415, 9.456414222717285, -0.5193027853965759, 2.7224185466766357, -1.1477307081222534, -3.422125816345215, 1.0081350803375244, -0.704345703125, 0.212646484375, -0.3955078125, 0, 
14, 1739893604, 0.7294564, 0.21585657, -0.56469107, 0.32003653, 9.483807563781738, -0.4486244022846222, 2.652061700820923, -0.8922184705734253, -3.5640203952789307, 0.9071442484855652, -0.705322265625, 0.21044921875, -0.392333984375, 0, 
15, 1739910271, 0.7293581, 0.21559612, -0.56509984, 0.31971484, 9.501904487609863, -0.38300183415412903, 2.6630911827087402, -1.7881122827529907, -3.4479949474334717, 0.6255454421043396, -0.705810546875, 0.216064453125, -0.3916015625, 0, 
16, 1739926938, 0.7293053, 0.21525146, -0.56554097, 0.31928694, 9.520511627197266, -0.4477536380290985, 2.585446357727051, -3.005035400390625, -3.2017922401428223, 0.46339142322540283, -0.70751953125, 0.2138671875, -0.38916015625, 0, 
17, 1739943605, 0.7294271, 0.2146707, -0.5660469, 0.31850192, 9.546879768371582, -0.5121923089027405, 2.5059611797332764, -2.9088094234466553, -2.7326834201812744, 0.15609021484851837, -0.706787109375, 0.21240234375, -0.39111328125, 0, 
18, 1739960272, 0.7294892, 0.21419276, -0.566566, 0.31775787, 9.574983596801758, -0.4869471788406372, 2.509880304336548, -2.4230127334594727, -2.8564951419830322, -0.06018985062837601, -0.706787109375, 0.2099609375, -0.387451171875, 0, 
19, 1739976939, 0.7293355, 0.21418904, -0.5668455, 0.31761488, 9.646947860717773, -0.43589353561401367, 2.5753650665283203, -2.3067307472229004, -2.1419131755828857, -0.31360188126564026, -0.70751953125, 0.21044921875, -0.3876953125, 0, 
20, 1739993606, 0.7292753, 0.21403852, -0.5671289, 0.31734836, 9.72473430633545, -0.45195236802101135, 2.6065101623535156, -2.217726945877075, -1.6208997964859009, -0.10756053775548935, -0.705810546875, 0.21337890625, -0.387939453125, 0, 
21, 1740010273, 0.7293646, 0.21372318, -0.56736505, 0.31693318, 9.797626495361328, -0.5084770917892456, 2.546239137649536, -1.433875560760498, -0.7106243371963501, 0.052627693861722946, -0.708251953125, 0.21435546875, -0.38671875, 0, 
22, 1740026940, 0.72941804, 0.21361148, -0.5674272, 0.31677413, 9.769014358520508, -0.5226947069168091, 2.5219521522521973, -0.46876367926597595, 0.1541820466518402, -0.08162768185138702, -0.71142578125, 0.212890625, -0.386474609375, 0, 
23, 1740043607, 0.7295218, 0.21356994, -0.5673502, 0.31670126, 9.711484909057617, -0.48567891120910645, 2.474583148956299, 0.8486831188201904, 1.1102529764175415, -0.17447371780872345, -0.70361328125, 0.212646484375, -0.385009765625, 0, 
24, 1740060274, 0.7295896, 0.21360809, -0.5672073, 0.31677544, 9.641511917114258, -0.40244463086128235, 2.477550506591797, 2.0538887977600098, 1.4508761167526245, 0.23849906027317047, -0.709716796875, 0.21044921875, -0.3837890625, 0, 
25, 1740076941, 0.729868, 0.21323997, -0.5672179, 0.3163625, 9.652441024780273, -0.3523438274860382, 2.51846981048584, 2.2667689323425293, 1.5028058290481567, 0.5286012887954712, -0.70849609375, 0.210693359375, -0.385986328125, 0, 
26, 1740093608, 0.72983664, 0.21337153, -0.5669992, 0.3167384, 9.639521598815918, -0.30011701583862305, 2.576049566268921, 0.7366276383399963, 1.940194010734558, 0.7400597929954529, -0.707275390625, 0.21142578125, -0.385498046875, 0, 
27, 1740110275, 0.73008865, 0.21292017, -0.566987, 0.31648278, 9.626794815063477, -0.2979661822319031, 2.5729379653930664, -0.6561717987060547, 2.091219425201416, 0.9793848991394043, -0.710693359375, 0.2119140625, -0.388916015625, 0, 
28, 1740126942, 0.7302606, 0.21256094, -0.5669191, 0.31644917, 9.558637619018555, -0.36429184675216675, 2.5866668224334717, -1.4223116636276245, 2.280651092529297, 1.2708702087402344, -0.710693359375, 0.21240234375, -0.386962890625, 0, 
29, 1740143609, 0.730452, 0.21208806, -0.5669619, 0.3162481, 9.411148071289062, -0.4334045648574829, 2.631990432739258, -1.3643245697021484, 1.6935054063796997, 1.453501582145691, -0.708740234375, 0.21337890625, -0.385009765625, 0, 
30, 1740160276, 0.7305699, 0.21166915, -0.5670485, 0.31610093, 9.282419204711914, -0.3232019245624542, 2.668895959854126, -2.088843822479248, 1.1387726068496704, 1.3836556673049927, -0.707763671875, 0.210693359375, -0.386474609375, 0, 
31, 1740176943, 0.7307142, 0.21102104, -0.5672641, 0.31581408, 9.369443893432617, -0.3843356966972351, 2.6478993892669678, -4.663074016571045, 0.8206373453140259, 1.5938080549240112, -0.71044921875, 0.21240234375, -0.38818359375, 0, 
32, 1740193610, 0.73091084, 0.21028955, -0.5674476, 0.31551722, 9.689949989318848, -0.6688834428787231, 2.5248661041259766, -5.688247203826904, 1.3221211433410645, 1.5615102052688599, -0.70751953125, 0.214111328125, -0.384521484375, 0, 
33, 1740210277, 0.73121935, 0.20966356, -0.56737864, 0.31534278, 9.988190650939941, -0.8109723925590515, 2.4847426414489746, -2.9558846950531006, 2.947554349899292, 1.4125596284866333, -0.70703125, 0.213623046875, -0.3857421875, 0, 
34, 1740226944, 0.7315585, 0.20936121, -0.56694484, 0.31553742, 10.08555793762207, -0.7018139362335205, 2.414841651916504, 1.2163280248641968, 4.8025288581848145, 1.3607964515686035, -0.708740234375, 0.21533203125, -0.38671875, 0, 
35, 1740243611, 0.731886, 0.209337, -0.5662586, 0.31602556, 9.925690650939941, -0.4849344491958618, 2.4036359786987305, 3.8549230098724365, 5.988128185272217, 1.2019463777542114, -0.705078125, 0.21630859375, -0.38623046875, 0, 
36, 1740260278, 0.7323716, 0.20913474, -0.56562114, 0.31617627, 9.622753143310547, -0.30757686495780945, 2.498237133026123, 4.5279998779296875, 6.179519176483154, 0.8453408479690552, -0.700439453125, 0.21435546875, -0.386962890625, 0, 
37, 1740276945, 0.7326293, 0.20914337, -0.5651125, 0.31648284, 9.326919555664062, -0.2679782509803772, 2.6828036308288574, 3.3945088386535645, 4.582618713378906, 0.7581808567047119, -0.703125, 0.2138671875, -0.390380859375, 0, 
38, 1740293612, 0.7327681, 0.20902118, -0.5648704, 0.31667456, 9.175933837890625, -0.336106538772583, 2.8554325103759766, 1.1002894639968872, 2.871701955795288, 1.1805596351623535, -0.703857421875, 0.214111328125, -0.387939453125, 0, 
39, 1740310279, 0.73291314, 0.20859948, -0.56485397, 0.3166458, 9.149211883544922, -0.4649519622325897, 2.902289867401123, -0.025138864293694496, 1.8773274421691895, 2.078361988067627, -0.702880859375, 0.21240234375, -0.387451171875, 0, 
40, 1740326946, 0.7329147, 0.20819566, -0.5649167, 0.31679648, 9.244400978088379, -0.491681307554245, 2.8556182384490967, -0.5677438974380493, 1.0888149738311768, 2.940152168273926, -0.7021484375, 0.21533203125, -0.391357421875, 0, 
41, 1740343613, 0.7328327, 0.20781524, -0.5650602, 0.31697983, 9.369114875793457, -0.474884569644928, 2.786566734313965, -0.6367700695991516, 0.280657559633255, 3.225374698638916, -0.70263671875, 0.21630859375, -0.389892578125, 0, 
42, 1740360280, 0.7327215, 0.20738302, -0.5653141, 0.31706706, 9.493529319763184, -0.4625217914581299, 2.6951491832733154, -1.1026779413223267, -0.4826200604438782, 3.266329765319824, -0.699951171875, 0.21728515625, -0.3876953125, 0, 
43, 1740376947, 0.7326007, 0.20690592, -0.5656905, 0.31698692, 9.583373069763184, -0.528001070022583, 2.6149892807006836, -1.4616912603378296, -1.3337301015853882, 3.017285108566284, -0.702880859375, 0.21923828125, -0.390869140625, 0, 
44, 1740393614, 0.73247284, 0.20649904, -0.5660515, 0.31690317, 9.636366844177246, -0.5293799042701721, 2.6474380493164062, -1.9207473993301392, -1.377476453781128, 2.4670469760894775, -0.702880859375, 0.22021484375, -0.39013671875, 0, 
45, 1740410281, 0.73236567, 0.20624003, -0.56633544, 0.3168119, 9.599432945251465, -0.5431894063949585, 2.651759624481201, -1.746312141418457, -1.1936798095703125, 1.4999371767044067, -0.70361328125, 0.218994140625, -0.389892578125, 0, 
46, 1740426948, 0.73235106, 0.2060842, -0.56645864, 0.31672686, 9.567004203796387, -0.5900464653968811, 2.6717545986175537, -0.4400262236595154, -0.26871564984321594, 0.8455713391304016, -0.708251953125, 0.217529296875, -0.39013671875, 0, 
47, 1740443615, 0.73229146, 0.20619021, -0.5664015, 0.31689793, 9.487283706665039, -0.6680557131767273, 2.6236770153045654, 0.6941104531288147, 0.3503881096839905, 0.47345712780952454, -0.70654296875, 0.21875, -0.389404296875, 0, 
48, 1740460282, 0.732414, 0.20611192, -0.56634885, 0.31675988, 9.4664888381958, -0.6309944987297058, 2.588242769241333, 1.9496709108352661, 0.7859064936637878, 0.25011444091796875, -0.703369140625, 0.2197265625, -0.386474609375, 0, 
49, 1740476949, 0.7324045, 0.20624006, -0.5662181, 0.3169321, 9.41614818572998, -0.6016448736190796, 2.642849922180176, 1.5232322216033936, 0.8426643013954163, 0.29876574873924255, -0.70458984375, 0.2216796875, -0.388427734375, 0, 
50, 1740493616, 0.7323658, 0.20614946, -0.56628996, 0.31695178, 9.407949447631836, -0.6709107756614685, 2.6327977180480957, 0.8490673303604126, -0.12242870032787323, 1.1224828958511353, -0.7021484375, 0.219482421875, -0.38671875, 0, 
51, 1740510283, 0.73204225, 0.20638053, -0.56642973, 0.3172988, 9.435470581054688, -0.730552077293396, 2.587139844894409, 1.205493688583374, -1.647818684577942, 1.4104208946228027, -0.7021484375, 0.219482421875, -0.38671875, 0, 
